entry_year,entry_age,age,yos,count,entry_salary
2015,20,27,7,2.7012987012987013,33772.77763372108
2015,25,32,7,6.753246753246753,35958.74553833063
2010,20,32,12,5.402597402597403,30125.780819554515
2015,30,37,7,2.7012987012987013,34473.77620972925
2010,25,37,12,6.753246753246753,29583.90603523232
2005,20,37,17,1.3506493506493507,24294.82496662464
2015,35,42,7,1.3506493506493507,32615.819806946532
2010,30,42,12,5.402597402597403,26709.641815289422
2005,25,42,17,6.753246753246753,24807.61745915083
2000,20,42,22,4.051948051948052,19654.323572177866
2010,35,47,12,5.402597402597403,26891.344457765
2005,30,47,17,5.402597402597403,24501.883133953826
2000,25,47,22,6.753246753246753,24121.971510068997
1995,20,47,27,8.103896103896105,21643.62474204434
2015,45,52,7,2.7012987012987013,34289.996715797904
2010,40,52,12,1.3506493506493507,28358.544798608746
2005,35,52,17,5.402597402597403,25047.028465125204
2000,30,52,22,8.103896103896105,19633.190374404025
1995,25,52,27,5.402597402597403,23409.26518467283
1990,20,52,32,2.7012987012987013,24963.203886143096
2010,45,57,12,1.3506493506493507,21581.876851476776
2005,40,57,17,1.3506493506493507,33059.2089556054
2000,35,57,22,2.7012987012987013,25783.400569097554
1995,30,57,27,1.3506493506493507,24176.03832231888
1990,25,57,32,1.3506493506493507,13131.945932089304
2000,40,62,22,1.3506493506493507,19914.666583051352
