age,class_name,gender,retirement_rate,table_type
45,regular_k12,female,0.0,drop_entry
45,regular_k12,male,0.0,drop_entry
45,regular_non_k12,female,0.0,drop_entry
45,regular_non_k12,male,0.0,drop_entry
45,special,female,0.08,drop_entry
45,special,male,0.13,drop_entry
45,elected_officers,female,0.08,drop_entry
45,elected_officers,male,0.13,drop_entry
45,senior_management,female,0.05,drop_entry
45,senior_management,male,0.05,drop_entry
46,regular_k12,female,0.0,drop_entry
46,regular_k12,male,0.0,drop_entry
46,regular_non_k12,female,0.0,drop_entry
46,regular_non_k12,male,0.0,drop_entry
46,special,female,0.08,drop_entry
46,special,male,0.13,drop_entry
46,elected_officers,female,0.08,drop_entry
46,elected_officers,male,0.13,drop_entry
46,senior_management,female,0.05,drop_entry
46,senior_management,male,0.05,drop_entry
47,regular_k12,female,0.0,drop_entry
47,regular_k12,male,0.0,drop_entry
47,regular_non_k12,female,0.0,drop_entry
47,regular_non_k12,male,0.0,drop_entry
47,special,female,0.08,drop_entry
47,special,male,0.13,drop_entry
47,elected_officers,female,0.08,drop_entry
47,elected_officers,male,0.13,drop_entry
47,senior_management,female,0.05,drop_entry
47,senior_management,male,0.05,drop_entry
48,regular_k12,female,0.04,drop_entry
48,regular_k12,male,0.04,drop_entry
48,regular_non_k12,female,0.05,drop_entry
48,regular_non_k12,male,0.05,drop_entry
48,special,female,0.11,drop_entry
48,special,male,0.15,drop_entry
48,elected_officers,female,0.11,drop_entry
48,elected_officers,male,0.15,drop_entry
48,senior_management,female,0.16,drop_entry
48,senior_management,male,0.16,drop_entry
49,regular_k12,female,0.04,drop_entry
49,regular_k12,male,0.04,drop_entry
49,regular_non_k12,female,0.1,drop_entry
49,regular_non_k12,male,0.09,drop_entry
49,special,female,0.11,drop_entry
49,special,male,0.15,drop_entry
49,elected_officers,female,0.11,drop_entry
49,elected_officers,male,0.15,drop_entry
49,senior_management,female,0.16,drop_entry
49,senior_management,male,0.16,drop_entry
50,regular_k12,female,0.04,drop_entry
50,regular_k12,male,0.04,drop_entry
50,regular_non_k12,female,0.1,drop_entry
50,regular_non_k12,male,0.09,drop_entry
50,special,female,0.11,drop_entry
50,special,male,0.15,drop_entry
50,elected_officers,female,0.15,drop_entry
50,elected_officers,male,0.21,drop_entry
50,senior_management,female,0.16,drop_entry
50,senior_management,male,0.16,drop_entry
51,regular_k12,female,0.04,drop_entry
51,regular_k12,male,0.04,drop_entry
51,regular_non_k12,female,0.12,drop_entry
51,regular_non_k12,male,0.09,drop_entry
51,special,female,0.11,drop_entry
51,special,male,0.15,drop_entry
51,elected_officers,female,0.15,drop_entry
51,elected_officers,male,0.21,drop_entry
51,senior_management,female,0.16,drop_entry
51,senior_management,male,0.16,drop_entry
52,regular_k12,female,0.04,drop_entry
52,regular_k12,male,0.04,drop_entry
52,regular_non_k12,female,0.14,drop_entry
52,regular_non_k12,male,0.09,drop_entry
52,special,female,0.11,drop_entry
52,special,male,0.15,drop_entry
52,elected_officers,female,0.15,drop_entry
52,elected_officers,male,0.21,drop_entry
52,senior_management,female,0.16,drop_entry
52,senior_management,male,0.16,drop_entry
53,regular_k12,female,0.05,drop_entry
53,regular_k12,male,0.04,drop_entry
53,regular_non_k12,female,0.15,drop_entry
53,regular_non_k12,male,0.11,drop_entry
53,special,female,0.11,drop_entry
53,special,male,0.15,drop_entry
53,elected_officers,female,0.15,drop_entry
53,elected_officers,male,0.21,drop_entry
53,senior_management,female,0.16,drop_entry
53,senior_management,male,0.16,drop_entry
54,regular_k12,female,0.05,drop_entry
54,regular_k12,male,0.04,drop_entry
54,regular_non_k12,female,0.16,drop_entry
54,regular_non_k12,male,0.12,drop_entry
54,special,female,0.11,drop_entry
54,special,male,0.15,drop_entry
54,elected_officers,female,0.15,drop_entry
54,elected_officers,male,0.21,drop_entry
54,senior_management,female,0.16,drop_entry
54,senior_management,male,0.16,drop_entry
55,regular_k12,female,0.06,drop_entry
55,regular_k12,male,0.04,drop_entry
55,regular_non_k12,female,0.18,drop_entry
55,regular_non_k12,male,0.12,drop_entry
55,special,female,0.17,drop_entry
55,special,male,0.36,drop_entry
55,elected_officers,female,0.23,drop_entry
55,elected_officers,male,0.42,drop_entry
55,senior_management,female,0.16,drop_entry
55,senior_management,male,0.16,drop_entry
56,regular_k12,female,0.06,drop_entry
56,regular_k12,male,0.05,drop_entry
56,regular_non_k12,female,0.2,drop_entry
56,regular_non_k12,male,0.15,drop_entry
56,special,female,0.11,drop_entry
56,special,male,0.05,drop_entry
56,elected_officers,female,0.13,drop_entry
56,elected_officers,male,0.07,drop_entry
56,senior_management,female,0.16,drop_entry
56,senior_management,male,0.16,drop_entry
57,regular_k12,female,0.1,drop_entry
57,regular_k12,male,0.08,drop_entry
57,regular_non_k12,female,0.2,drop_entry
57,regular_non_k12,male,0.15,drop_entry
57,special,female,0.11,drop_entry
57,special,male,0.05,drop_entry
57,elected_officers,female,0.13,drop_entry
57,elected_officers,male,0.07,drop_entry
57,senior_management,female,0.16,drop_entry
57,senior_management,male,0.16,drop_entry
58,regular_k12,female,0.1,drop_entry
58,regular_k12,male,0.08,drop_entry
58,regular_non_k12,female,0.2,drop_entry
58,regular_non_k12,male,0.15,drop_entry
58,special,female,0.11,drop_entry
58,special,male,0.05,drop_entry
58,elected_officers,female,0.13,drop_entry
58,elected_officers,male,0.07,drop_entry
58,senior_management,female,0.16,drop_entry
58,senior_management,male,0.16,drop_entry
59,regular_k12,female,0.1,drop_entry
59,regular_k12,male,0.09,drop_entry
59,regular_non_k12,female,0.2,drop_entry
59,regular_non_k12,male,0.15,drop_entry
59,special,female,0.11,drop_entry
59,special,male,0.05,drop_entry
59,elected_officers,female,0.13,drop_entry
59,elected_officers,male,0.07,drop_entry
59,senior_management,female,0.16,drop_entry
59,senior_management,male,0.16,drop_entry
60,regular_k12,female,0.13,drop_entry
60,regular_k12,male,0.09,drop_entry
60,regular_non_k12,female,0.55,drop_entry
60,regular_non_k12,male,0.55,drop_entry
60,special,female,0.2,drop_entry
60,special,male,0.05,drop_entry
60,elected_officers,female,0.22,drop_entry
60,elected_officers,male,0.07,drop_entry
60,senior_management,female,0.55,drop_entry
60,senior_management,male,0.55,drop_entry
61,regular_k12,female,0.16,drop_entry
61,regular_k12,male,0.14,drop_entry
61,regular_non_k12,female,0.55,drop_entry
61,regular_non_k12,male,0.49,drop_entry
61,special,female,0.05,drop_entry
61,special,male,0.05,drop_entry
61,elected_officers,female,0.05,drop_entry
61,elected_officers,male,0.05,drop_entry
61,senior_management,female,0.5,drop_entry
61,senior_management,male,0.5,drop_entry
62,regular_k12,female,0.16,drop_entry
62,regular_k12,male,0.14,drop_entry
62,regular_non_k12,female,0.495,drop_entry
62,regular_non_k12,male,0.43,drop_entry
62,special,female,0.05,drop_entry
62,special,male,0.05,drop_entry
62,elected_officers,female,0.05,drop_entry
62,elected_officers,male,0.05,drop_entry
62,senior_management,female,0.45,drop_entry
62,senior_management,male,0.45,drop_entry
63,regular_k12,female,0.16,drop_entry
63,regular_k12,male,0.14,drop_entry
63,regular_non_k12,female,0.43,drop_entry
63,regular_non_k12,male,0.37,drop_entry
63,special,female,0.05,drop_entry
63,special,male,0.05,drop_entry
63,elected_officers,female,0.05,drop_entry
63,elected_officers,male,0.05,drop_entry
63,senior_management,female,0.4,drop_entry
63,senior_management,male,0.4,drop_entry
64,regular_k12,female,0.16,drop_entry
64,regular_k12,male,0.14,drop_entry
64,regular_non_k12,female,0.365,drop_entry
64,regular_non_k12,male,0.31,drop_entry
64,special,female,0.05,drop_entry
64,special,male,0.05,drop_entry
64,elected_officers,female,0.05,drop_entry
64,elected_officers,male,0.05,drop_entry
64,senior_management,female,0.35,drop_entry
64,senior_management,male,0.35,drop_entry
65,regular_k12,female,0.16,drop_entry
65,regular_k12,male,0.14,drop_entry
65,regular_non_k12,female,0.3,drop_entry
65,regular_non_k12,male,0.25,drop_entry
65,special,female,0.05,drop_entry
65,special,male,0.05,drop_entry
65,elected_officers,female,0.05,drop_entry
65,elected_officers,male,0.05,drop_entry
65,senior_management,female,0.3,drop_entry
65,senior_management,male,0.3,drop_entry
66,regular_k12,female,0.03,drop_entry
66,regular_k12,male,0.03,drop_entry
66,regular_non_k12,female,0.05,drop_entry
66,regular_non_k12,male,0.05,drop_entry
66,special,female,0.05,drop_entry
66,special,male,0.05,drop_entry
66,elected_officers,female,0.05,drop_entry
66,elected_officers,male,0.05,drop_entry
66,senior_management,female,0.03,drop_entry
66,senior_management,male,0.03,drop_entry
67,regular_k12,female,0.03,drop_entry
67,regular_k12,male,0.03,drop_entry
67,regular_non_k12,female,0.05,drop_entry
67,regular_non_k12,male,0.05,drop_entry
67,special,female,0.05,drop_entry
67,special,male,0.05,drop_entry
67,elected_officers,female,0.05,drop_entry
67,elected_officers,male,0.05,drop_entry
67,senior_management,female,0.03,drop_entry
67,senior_management,male,0.03,drop_entry
68,regular_k12,female,0.03,drop_entry
68,regular_k12,male,0.03,drop_entry
68,regular_non_k12,female,0.05,drop_entry
68,regular_non_k12,male,0.05,drop_entry
68,special,female,0.05,drop_entry
68,special,male,0.05,drop_entry
68,elected_officers,female,0.05,drop_entry
68,elected_officers,male,0.05,drop_entry
68,senior_management,female,0.03,drop_entry
68,senior_management,male,0.03,drop_entry
69,regular_k12,female,0.03,drop_entry
69,regular_k12,male,0.03,drop_entry
69,regular_non_k12,female,0.05,drop_entry
69,regular_non_k12,male,0.05,drop_entry
69,special,female,0.05,drop_entry
69,special,male,0.05,drop_entry
69,elected_officers,female,0.05,drop_entry
69,elected_officers,male,0.05,drop_entry
69,senior_management,female,0.03,drop_entry
69,senior_management,male,0.03,drop_entry
70,regular_k12,female,0.03,drop_entry
70,regular_k12,male,0.03,drop_entry
70,regular_non_k12,female,0.05,drop_entry
70,regular_non_k12,male,0.05,drop_entry
70,special,female,0.0,drop_entry
70,special,male,0.0,drop_entry
70,elected_officers,female,0.0,drop_entry
70,elected_officers,male,0.0,drop_entry
70,senior_management,female,0.03,drop_entry
70,senior_management,male,0.03,drop_entry
80,regular_k12,female,0.0,drop_entry
80,regular_k12,male,0.0,drop_entry
80,regular_non_k12,female,0.0,drop_entry
80,regular_non_k12,male,0.0,drop_entry
80,special,female,0.0,drop_entry
80,special,male,0.0,drop_entry
80,elected_officers,female,0.0,drop_entry
80,elected_officers,male,0.0,drop_entry
80,senior_management,female,0.0,drop_entry
80,senior_management,male,0.0,drop_entry
