yos,under_25,25_to_29,30_to_34,35_to_44,45_to_54,over_55
0,0.034,0.034,0.034,0.034,0.034,0.034
1,0.034,0.034,0.034,0.034,0.034,0.034
2,0.034,0.034,0.034,0.034,0.034,0.034
3,0.034,0.034,0.034,0.034,0.034,0.034
4,0.14,0.14,0.14,0.14,0.14,0.14
5,0.034,0.034,0.034,0.034,0.034,0.034
6,0.034,0.034,0.034,0.034,0.034,0.034
7,0.034,0.034,0.034,0.034,0.034,0.034
8,0.09,0.09,0.09,0.09,0.09,0.09
9,0.034,0.034,0.034,0.034,0.034,0.034
10,0.034,0.034,0.034,0.034,0.034,0.034
11,0.034,0.034,0.034,0.034,0.034,0.034
12,0.034,0.034,0.034,0.034,0.034,0.034
13,0.034,0.034,0.034,0.034,0.034,0.034
14,0.034,0.034,0.034,0.034,0.034,0.034
15,0.034,0.034,0.034,0.034,0.034,0.034
16,0.034,0.034,0.034,0.034,0.034,0.034
17,0.034,0.034,0.034,0.034,0.034,0.034
18,0.034,0.034,0.034,0.034,0.034,0.034
19,0.034,0.034,0.034,0.034,0.034,0.034
20,0.034,0.034,0.034,0.034,0.034,0.034
21,0.034,0.034,0.034,0.034,0.034,0.034
22,0.034,0.034,0.034,0.034,0.034,0.034
23,0.034,0.034,0.034,0.034,0.034,0.034
24,0.034,0.034,0.034,0.034,0.034,0.034
25,0.034,0.034,0.034,0.034,0.034,0.034
26,0.034,0.034,0.034,0.034,0.034,0.034
27,0.034,0.034,0.034,0.034,0.034,0.034
28,0.034,0.034,0.034,0.034,0.034,0.034
29,0.034,0.034,0.034,0.034,0.034,0.034
30,0.034,0.034,0.034,0.034,0.034,0.034
31,0.034,0.034,0.034,0.034,0.034,0.034
32,0.034,0.034,0.034,0.034,0.034,0.034
33,0.034,0.034,0.034,0.034,0.034,0.034
34,0.034,0.034,0.034,0.034,0.034,0.034
35,0.034,0.034,0.034,0.034,0.034,0.034
36,0.034,0.034,0.034,0.034,0.034,0.034
37,0.034,0.034,0.034,0.034,0.034,0.034
38,0.034,0.034,0.034,0.034,0.034,0.034
39,0.034,0.034,0.034,0.034,0.034,0.034
40,0.034,0.034,0.034,0.034,0.034,0.034
41,0.034,0.034,0.034,0.034,0.034,0.034
42,0.034,0.034,0.034,0.034,0.034,0.034
43,0.034,0.034,0.034,0.034,0.034,0.034
44,0.034,0.034,0.034,0.034,0.034,0.034
45,0.034,0.034,0.034,0.034,0.034,0.034
46,0.034,0.034,0.034,0.034,0.034,0.034
47,0.034,0.034,0.034,0.034,0.034,0.034
48,0.034,0.034,0.034,0.034,0.034,0.034
49,0.034,0.034,0.034,0.034,0.034,0.034
50,0.034,0.034,0.034,0.034,0.034,0.034
51,0.034,0.034,0.034,0.034,0.034,0.034
52,0.034,0.034,0.034,0.034,0.034,0.034
53,0.034,0.034,0.034,0.034,0.034,0.034
54,0.034,0.034,0.034,0.034,0.034,0.034
55,0.034,0.034,0.034,0.034,0.034,0.034
56,0.034,0.034,0.034,0.034,0.034,0.034
57,0.034,0.034,0.034,0.034,0.034,0.034
58,0.034,0.034,0.034,0.034,0.034,0.034
59,0.034,0.034,0.034,0.034,0.034,0.034
60,0.034,0.034,0.034,0.034,0.034,0.034
61,0.034,0.034,0.034,0.034,0.034,0.034
62,0.034,0.034,0.034,0.034,0.034,0.034
63,0.034,0.034,0.034,0.034,0.034,0.034
64,0.034,0.034,0.034,0.034,0.034,0.034
65,0.034,0.034,0.034,0.034,0.034,0.034
66,0.034,0.034,0.034,0.034,0.034,0.034
67,0.034,0.034,0.034,0.034,0.034,0.034
68,0.034,0.034,0.034,0.034,0.034,0.034
69,0.034,0.034,0.034,0.034,0.034,0.034
70,0.034,0.034,0.034,0.034,0.034,0.034
