yos,age,withdrawal_rate
0,18,0.175
0,19,0.175
0,20,0.175
0,21,0.175
0,22,0.175
0,23,0.175
0,24,0.175
0,25,0.175
0,26,0.175
0,27,0.175
0,28,0.175
0,29,0.175
0,30,0.175
0,31,0.175
0,32,0.175
0,33,0.175
0,34,0.175
0,35,0.175
0,36,0.175
0,37,0.175
0,38,0.175
0,39,0.175
0,40,0.175
0,41,0.175
0,42,0.175
0,43,0.175
0,44,0.175
0,45,0.175
0,46,0.175
0,47,0.175
0,48,0.175
0,49,0.175
0,50,0.175
0,51,0.175
0,52,0.175
0,53,0.175
0,54,0.175
0,55,0.175
0,56,0.175
0,57,0.175
0,58,0.175
0,59,0.175
0,60,0.175
0,61,0.175
0,62,0.175
0,63,0.175
0,64,0.175
0,65,0.175
0,66,0.175
0,67,0.175
0,68,0.175
0,69,0.175
0,70,0.175
0,71,0.175
0,72,0.175
0,73,0.175
0,74,0.175
0,75,0.175
0,76,0.175
0,77,0.175
0,78,0.175
0,79,0.175
0,80,0.175
0,81,0.175
0,82,0.175
0,83,0.175
0,84,0.175
0,85,0.175
0,86,0.175
0,87,0.175
0,88,0.175
0,89,0.175
0,90,0.175
0,91,0.175
0,92,0.175
0,93,0.175
0,94,0.175
0,95,0.175
0,96,0.175
0,97,0.175
0,98,0.175
0,99,0.175
0,100,0.175
0,101,0.175
0,102,0.175
0,103,0.175
0,104,0.175
0,105,0.175
0,106,0.175
0,107,0.175
0,108,0.175
0,109,0.175
0,110,0.175
0,111,0.175
0,112,0.175
0,113,0.175
0,114,0.175
0,115,0.175
0,116,0.175
0,117,0.175
0,118,0.175
0,119,0.175
0,120,0.175
0,18,0.155
0,19,0.155
0,20,0.155
0,21,0.155
0,22,0.155
0,23,0.155
0,24,0.155
0,25,0.155
0,26,0.155
0,27,0.155
0,28,0.155
0,29,0.155
0,30,0.155
0,31,0.155
0,32,0.155
0,33,0.155
0,34,0.155
0,35,0.155
0,36,0.155
0,37,0.155
0,38,0.155
0,39,0.155
0,40,0.155
0,41,0.155
0,42,0.155
0,43,0.155
0,44,0.155
0,45,0.155
0,46,0.155
0,47,0.155
0,48,0.155
0,49,0.155
0,50,0.155
0,51,0.155
0,52,0.155
0,53,0.155
0,54,0.155
0,55,0.155
0,56,0.155
0,57,0.155
0,58,0.155
0,59,0.155
0,60,0.155
0,61,0.155
0,62,0.155
0,63,0.155
0,64,0.155
0,65,0.155
0,66,0.155
0,67,0.155
0,68,0.155
0,69,0.155
0,70,0.155
0,71,0.155
0,72,0.155
0,73,0.155
0,74,0.155
0,75,0.155
0,76,0.155
0,77,0.155
0,78,0.155
0,79,0.155
0,80,0.155
0,81,0.155
0,82,0.155
0,83,0.155
0,84,0.155
0,85,0.155
0,86,0.155
0,87,0.155
0,88,0.155
0,89,0.155
0,90,0.155
0,91,0.155
0,92,0.155
0,93,0.155
0,94,0.155
0,95,0.155
0,96,0.155
0,97,0.155
0,98,0.155
0,99,0.155
0,100,0.155
0,101,0.155
0,102,0.155
0,103,0.155
0,104,0.155
0,105,0.155
0,106,0.155
0,107,0.155
0,108,0.155
0,109,0.155
0,110,0.155
0,111,0.155
0,112,0.155
0,113,0.155
0,114,0.155
0,115,0.155
0,116,0.155
0,117,0.155
0,118,0.155
0,119,0.155
0,120,0.155
0,18,0.155
0,19,0.155
0,20,0.155
0,21,0.155
0,22,0.155
0,23,0.155
0,24,0.155
0,25,0.155
0,26,0.155
0,27,0.155
0,28,0.155
0,29,0.155
0,30,0.155
0,31,0.155
0,32,0.155
0,33,0.155
0,34,0.155
0,35,0.155
0,36,0.155
0,37,0.155
0,38,0.155
0,39,0.155
0,40,0.155
0,41,0.155
0,42,0.155
0,43,0.155
0,44,0.155
0,45,0.155
0,46,0.155
0,47,0.155
0,48,0.155
0,49,0.155
0,50,0.155
0,51,0.155
0,52,0.155
0,53,0.155
0,54,0.155
0,55,0.155
0,56,0.155
0,57,0.155
0,58,0.155
0,59,0.155
0,60,0.155
0,61,0.155
0,62,0.155
0,63,0.155
0,64,0.155
0,65,0.155
0,66,0.155
0,67,0.155
0,68,0.155
0,69,0.155
0,70,0.155
0,71,0.155
0,72,0.155
0,73,0.155
0,74,0.155
0,75,0.155
0,76,0.155
0,77,0.155
0,78,0.155
0,79,0.155
0,80,0.155
0,81,0.155
0,82,0.155
0,83,0.155
0,84,0.155
0,85,0.155
0,86,0.155
0,87,0.155
0,88,0.155
0,89,0.155
0,90,0.155
0,91,0.155
0,92,0.155
0,93,0.155
0,94,0.155
0,95,0.155
0,96,0.155
0,97,0.155
0,98,0.155
0,99,0.155
0,100,0.155
0,101,0.155
0,102,0.155
0,103,0.155
0,104,0.155
0,105,0.155
0,106,0.155
0,107,0.155
0,108,0.155
0,109,0.155
0,110,0.155
0,111,0.155
0,112,0.155
0,113,0.155
0,114,0.155
0,115,0.155
0,116,0.155
0,117,0.155
0,118,0.155
0,119,0.155
0,120,0.155
0,18,0.175
0,19,0.175
0,20,0.175
0,21,0.175
0,22,0.175
0,23,0.175
0,24,0.175
0,25,0.175
0,26,0.175
0,27,0.175
0,28,0.175
0,29,0.175
0,30,0.175
0,31,0.175
0,32,0.175
0,33,0.175
0,34,0.175
0,35,0.175
0,36,0.175
0,37,0.175
0,38,0.175
0,39,0.175
0,40,0.175
0,41,0.175
0,42,0.175
0,43,0.175
0,44,0.175
0,45,0.175
0,46,0.175
0,47,0.175
0,48,0.175
0,49,0.175
0,50,0.175
0,51,0.175
0,52,0.175
0,53,0.175
0,54,0.175
0,55,0.175
0,56,0.175
0,57,0.175
0,58,0.175
0,59,0.175
0,60,0.175
0,61,0.175
0,62,0.175
0,63,0.175
0,64,0.175
0,65,0.175
0,66,0.175
0,67,0.175
0,68,0.175
0,69,0.175
0,70,0.175
0,71,0.175
0,72,0.175
0,73,0.175
0,74,0.175
0,75,0.175
0,76,0.175
0,77,0.175
0,78,0.175
0,79,0.175
0,80,0.175
0,81,0.175
0,82,0.175
0,83,0.175
0,84,0.175
0,85,0.175
0,86,0.175
0,87,0.175
0,88,0.175
0,89,0.175
0,90,0.175
0,91,0.175
0,92,0.175
0,93,0.175
0,94,0.175
0,95,0.175
0,96,0.175
0,97,0.175
0,98,0.175
0,99,0.175
0,100,0.175
0,101,0.175
0,102,0.175
0,103,0.175
0,104,0.175
0,105,0.175
0,106,0.175
0,107,0.175
0,108,0.175
0,109,0.175
0,110,0.175
0,111,0.175
0,112,0.175
0,113,0.175
0,114,0.175
0,115,0.175
0,116,0.175
0,117,0.175
0,118,0.175
0,119,0.175
0,120,0.175
0,18,0.175
0,19,0.175
0,20,0.175
0,21,0.175
0,22,0.175
0,23,0.175
0,24,0.175
0,25,0.175
0,26,0.175
0,27,0.175
0,28,0.175
0,29,0.175
0,30,0.175
0,31,0.175
0,32,0.175
0,33,0.175
0,34,0.175
0,35,0.175
0,36,0.175
0,37,0.175
0,38,0.175
0,39,0.175
0,40,0.175
0,41,0.175
0,42,0.175
0,43,0.175
0,44,0.175
0,45,0.175
0,46,0.175
0,47,0.175
0,48,0.175
0,49,0.175
0,50,0.175
0,51,0.175
0,52,0.175
0,53,0.175
0,54,0.175
0,55,0.175
0,56,0.175
0,57,0.175
0,58,0.175
0,59,0.175
0,60,0.175
0,61,0.175
0,62,0.175
0,63,0.175
0,64,0.175
0,65,0.175
0,66,0.175
0,67,0.175
0,68,0.175
0,69,0.175
0,70,0.175
0,71,0.175
0,72,0.175
0,73,0.175
0,74,0.175
0,75,0.175
0,76,0.175
0,77,0.175
0,78,0.175
0,79,0.175
0,80,0.175
0,81,0.175
0,82,0.175
0,83,0.175
0,84,0.175
0,85,0.175
0,86,0.175
0,87,0.175
0,88,0.175
0,89,0.175
0,90,0.175
0,91,0.175
0,92,0.175
0,93,0.175
0,94,0.175
0,95,0.175
0,96,0.175
0,97,0.175
0,98,0.175
0,99,0.175
0,100,0.175
0,101,0.175
0,102,0.175
0,103,0.175
0,104,0.175
0,105,0.175
0,106,0.175
0,107,0.175
0,108,0.175
0,109,0.175
0,110,0.175
0,111,0.175
0,112,0.175
0,113,0.175
0,114,0.175
0,115,0.175
0,116,0.175
0,117,0.175
0,118,0.175
0,119,0.175
0,120,0.175
0,18,0.175
0,19,0.175
0,20,0.175
0,21,0.175
0,22,0.175
0,23,0.175
0,24,0.175
0,25,0.175
0,26,0.175
0,27,0.175
0,28,0.175
0,29,0.175
0,30,0.175
0,31,0.175
0,32,0.175
0,33,0.175
0,34,0.175
0,35,0.175
0,36,0.175
0,37,0.175
0,38,0.175
0,39,0.175
0,40,0.175
0,41,0.175
0,42,0.175
0,43,0.175
0,44,0.175
0,45,0.175
0,46,0.175
0,47,0.175
0,48,0.175
0,49,0.175
0,50,0.175
0,51,0.175
0,52,0.175
0,53,0.175
0,54,0.175
0,55,0.175
0,56,0.175
0,57,0.175
0,58,0.175
0,59,0.175
0,60,0.175
0,61,0.175
0,62,0.175
0,63,0.175
0,64,0.175
0,65,0.175
0,66,0.175
0,67,0.175
0,68,0.175
0,69,0.175
0,70,0.175
0,71,0.175
0,72,0.175
0,73,0.175
0,74,0.175
0,75,0.175
0,76,0.175
0,77,0.175
0,78,0.175
0,79,0.175
0,80,0.175
0,81,0.175
0,82,0.175
0,83,0.175
0,84,0.175
0,85,0.175
0,86,0.175
0,87,0.175
0,88,0.175
0,89,0.175
0,90,0.175
0,91,0.175
0,92,0.175
0,93,0.175
0,94,0.175
0,95,0.175
0,96,0.175
0,97,0.175
0,98,0.175
0,99,0.175
0,100,0.175
0,101,0.175
0,102,0.175
0,103,0.175
0,104,0.175
0,105,0.175
0,106,0.175
0,107,0.175
0,108,0.175
0,109,0.175
0,110,0.175
0,111,0.175
0,112,0.175
0,113,0.175
0,114,0.175
0,115,0.175
0,116,0.175
0,117,0.175
0,118,0.175
0,119,0.175
0,120,0.175
1,18,0.1
1,19,0.1
1,20,0.1
1,21,0.1
1,22,0.1
1,23,0.1
1,24,0.1
1,25,0.1
1,26,0.1
1,27,0.1
1,28,0.1
1,29,0.1
1,30,0.1
1,31,0.1
1,32,0.1
1,33,0.1
1,34,0.1
1,35,0.1
1,36,0.1
1,37,0.1
1,38,0.1
1,39,0.1
1,40,0.1
1,41,0.1
1,42,0.1
1,43,0.1
1,44,0.1
1,45,0.1
1,46,0.1
1,47,0.1
1,48,0.1
1,49,0.1
1,50,0.1
1,51,0.1
1,52,0.1
1,53,0.1
1,54,0.1
1,55,0.1
1,56,0.1
1,57,0.1
1,58,0.1
1,59,0.1
1,60,0.1
1,61,0.1
1,62,0.1
1,63,0.1
1,64,0.1
1,65,0.1
1,66,0.1
1,67,0.1
1,68,0.1
1,69,0.1
1,70,0.1
1,71,0.1
1,72,0.1
1,73,0.1
1,74,0.1
1,75,0.1
1,76,0.1
1,77,0.1
1,78,0.1
1,79,0.1
1,80,0.1
1,81,0.1
1,82,0.1
1,83,0.1
1,84,0.1
1,85,0.1
1,86,0.1
1,87,0.1
1,88,0.1
1,89,0.1
1,90,0.1
1,91,0.1
1,92,0.1
1,93,0.1
1,94,0.1
1,95,0.1
1,96,0.1
1,97,0.1
1,98,0.1
1,99,0.1
1,100,0.1
1,101,0.1
1,102,0.1
1,103,0.1
1,104,0.1
1,105,0.1
1,106,0.1
1,107,0.1
1,108,0.1
1,109,0.1
1,110,0.1
1,111,0.1
1,112,0.1
1,113,0.1
1,114,0.1
1,115,0.1
1,116,0.1
1,117,0.1
1,118,0.1
1,119,0.1
1,120,0.1
1,18,0.09
1,19,0.09
1,20,0.09
1,21,0.09
1,22,0.09
1,23,0.09
1,24,0.09
1,25,0.09
1,26,0.09
1,27,0.09
1,28,0.09
1,29,0.09
1,30,0.09
1,31,0.09
1,32,0.09
1,33,0.09
1,34,0.09
1,35,0.09
1,36,0.09
1,37,0.09
1,38,0.09
1,39,0.09
1,40,0.09
1,41,0.09
1,42,0.09
1,43,0.09
1,44,0.09
1,45,0.09
1,46,0.09
1,47,0.09
1,48,0.09
1,49,0.09
1,50,0.09
1,51,0.09
1,52,0.09
1,53,0.09
1,54,0.09
1,55,0.09
1,56,0.09
1,57,0.09
1,58,0.09
1,59,0.09
1,60,0.09
1,61,0.09
1,62,0.09
1,63,0.09
1,64,0.09
1,65,0.09
1,66,0.09
1,67,0.09
1,68,0.09
1,69,0.09
1,70,0.09
1,71,0.09
1,72,0.09
1,73,0.09
1,74,0.09
1,75,0.09
1,76,0.09
1,77,0.09
1,78,0.09
1,79,0.09
1,80,0.09
1,81,0.09
1,82,0.09
1,83,0.09
1,84,0.09
1,85,0.09
1,86,0.09
1,87,0.09
1,88,0.09
1,89,0.09
1,90,0.09
1,91,0.09
1,92,0.09
1,93,0.09
1,94,0.09
1,95,0.09
1,96,0.09
1,97,0.09
1,98,0.09
1,99,0.09
1,100,0.09
1,101,0.09
1,102,0.09
1,103,0.09
1,104,0.09
1,105,0.09
1,106,0.09
1,107,0.09
1,108,0.09
1,109,0.09
1,110,0.09
1,111,0.09
1,112,0.09
1,113,0.09
1,114,0.09
1,115,0.09
1,116,0.09
1,117,0.09
1,118,0.09
1,119,0.09
1,120,0.09
1,18,0.09
1,19,0.09
1,20,0.09
1,21,0.09
1,22,0.09
1,23,0.09
1,24,0.09
1,25,0.09
1,26,0.09
1,27,0.09
1,28,0.09
1,29,0.09
1,30,0.09
1,31,0.09
1,32,0.09
1,33,0.09
