yos,age_band,withdrawal_rate
0,under_25,0.175
0,25_to_29,0.155
0,30_to_34,0.155
0,35_to_44,0.175
0,45_to_54,0.175
0,over_55,0.175
1,under_25,0.1
1,25_to_29,0.09
1,30_to_34,0.09
1,35_to_44,0.1
1,45_to_54,0.09
1,over_55,0.09
2,under_25,0.08
2,25_to_29,0.08
2,30_to_34,0.08
2,35_to_44,0.08
2,45_to_54,0.07
2,over_55,0.08
3,under_25,0.07
3,25_to_29,0.07
3,30_to_34,0.07
3,35_to_44,0.07
3,45_to_54,0.055
3,over_55,0.07
4,under_25,0.05
4,25_to_29,0.06
4,30_to_34,0.06
4,35_to_44,0.06
4,45_to_54,0.055
4,over_55,0.06
5,under_25,0.04
5,25_to_29,0.05
5,30_to_34,0.05
5,35_to_44,0.05
5,45_to_54,0.04
5,over_55,0.05
6,under_25,0.04
6,25_to_29,0.05
6,30_to_34,0.05
6,35_to_44,0.05
6,45_to_54,0.04
6,over_55,0.05
7,under_25,0.04
7,25_to_29,0.05
7,30_to_34,0.04
7,35_to_44,0.04
7,45_to_54,0.035
7,over_55,0.04
8,under_25,0.035
8,25_to_29,0.045
8,30_to_34,0.035
8,35_to_44,0.035
8,45_to_54,0.03
8,over_55,0.035
9,under_25,0.03
9,25_to_29,0.035
9,30_to_34,0.03
9,35_to_44,0.03
9,45_to_54,0.03
9,over_55,0.03
10,under_25,0.025
10,25_to_29,0.025
10,30_to_34,0.025
10,35_to_44,0.025
10,45_to_54,0.025
10,over_55,0.025
11,under_25,0.02
11,25_to_29,0.02
11,30_to_34,0.02
11,35_to_44,0.02
11,45_to_54,0.02
11,over_55,0.02
12,under_25,0.02
12,25_to_29,0.02
12,30_to_34,0.02
12,35_to_44,0.02
12,45_to_54,0.02
12,over_55,0.02
13,under_25,0.02
13,25_to_29,0.02
13,30_to_34,0.02
13,35_to_44,0.02
13,45_to_54,0.02
13,over_55,0.02
14,under_25,0.015
14,25_to_29,0.015
14,30_to_34,0.015
14,35_to_44,0.015
14,45_to_54,0.015
14,over_55,0.015
15,under_25,0.015
15,25_to_29,0.015
15,30_to_34,0.015
15,35_to_44,0.015
15,45_to_54,0.015
15,over_55,0.015
16,under_25,0.01
16,25_to_29,0.01
16,30_to_34,0.01
16,35_to_44,0.01
16,45_to_54,0.015
16,over_55,0.015
17,under_25,0.01
17,25_to_29,0.01
17,30_to_34,0.01
17,35_to_44,0.01
17,45_to_54,0.015
17,over_55,0.015
18,under_25,0.01
18,25_to_29,0.01
18,30_to_34,0.01
18,35_to_44,0.01
18,45_to_54,0.015
18,over_55,0.015
19,under_25,0.01
19,25_to_29,0.01
19,30_to_34,0.01
19,35_to_44,0.01
19,45_to_54,0.015
19,over_55,0.015
20,under_25,0.01
20,25_to_29,0.01
20,30_to_34,0.01
20,35_to_44,0.01
20,45_to_54,0.015
20,over_55,0.015
21,under_25,0.01
21,25_to_29,0.01
21,30_to_34,0.01
21,35_to_44,0.01
21,45_to_54,0.015
21,over_55,0.015
22,under_25,0.008
22,25_to_29,0.008
22,30_to_34,0.008
22,35_to_44,0.008
22,45_to_54,0.01
22,over_55,0.01
23,under_25,0.005
23,25_to_29,0.005
23,30_to_34,0.005
23,35_to_44,0.005
23,45_to_54,0.01
23,over_55,0.01
24,under_25,0.005
24,25_to_29,0.005
24,30_to_34,0.005
24,35_to_44,0.005
24,45_to_54,0.01
24,over_55,0.01
25,under_25,0.005
25,25_to_29,0.005
25,30_to_34,0.005
25,35_to_44,0.005
25,45_to_54,0.01
25,over_55,0.01
26,under_25,0.005
26,25_to_29,0.005
26,30_to_34,0.005
26,35_to_44,0.005
26,45_to_54,0.01
26,over_55,0.01
27,under_25,0.005
27,25_to_29,0.005
27,30_to_34,0.005
27,35_to_44,0.005
27,45_to_54,0.01
27,over_55,0.01
28,under_25,0.005
28,25_to_29,0.005
28,30_to_34,0.005
28,35_to_44,0.005
28,45_to_54,0.01
28,over_55,0.01
29,under_25,0.005
29,25_to_29,0.005
29,30_to_34,0.005
29,35_to_44,0.005
29,45_to_54,0.01
29,over_55,0.01
30,under_25,0.005
30,25_to_29,0.005
30,30_to_34,0.005
30,35_to_44,0.005
30,45_to_54,0.01
30,over_55,0.01
