yos,age,withdrawal_rate
0,18,0.034
0,19,0.034
0,20,0.034
0,21,0.034
0,22,0.034
0,23,0.034
0,24,0.034
0,25,0.034
0,26,0.034
0,27,0.034
0,28,0.034
0,29,0.034
0,30,0.034
0,31,0.034
0,32,0.034
0,33,0.034
0,34,0.034
0,35,0.034
0,36,0.034
0,37,0.034
0,38,0.034
0,39,0.034
0,40,0.034
0,41,0.034
0,42,0.034
0,43,0.034
0,44,0.034
0,45,0.034
0,46,0.034
0,47,0.034
0,48,0.034
0,49,0.034
0,50,0.034
0,51,0.034
0,52,0.034
0,53,0.034
0,54,0.034
0,55,0.034
0,56,0.034
0,57,0.034
0,58,0.034
0,59,0.034
0,60,0.034
0,61,0.034
0,62,0.034
0,63,0.034
0,64,0.034
0,65,0.034
0,66,0.034
0,67,0.034
0,68,0.034
0,69,0.034
0,70,0.034
0,71,0.034
0,72,0.034
0,73,0.034
0,74,0.034
0,75,0.034
0,76,0.034
0,77,0.034
0,78,0.034
0,79,0.034
0,80,0.034
0,81,0.034
0,82,0.034
0,83,0.034
0,84,0.034
0,85,0.034
0,86,0.034
0,87,0.034
0,88,0.034
0,89,0.034
0,90,0.034
0,91,0.034
0,92,0.034
0,93,0.034
0,94,0.034
0,95,0.034
0,96,0.034
0,97,0.034
0,98,0.034
0,99,0.034
0,100,0.034
0,101,0.034
0,102,0.034
0,103,0.034
0,104,0.034
0,105,0.034
0,106,0.034
0,107,0.034
0,108,0.034
0,109,0.034
0,110,0.034
0,111,0.034
0,112,0.034
0,113,0.034
0,114,0.034
0,115,0.034
0,116,0.034
0,117,0.034
0,118,0.034
0,119,0.034
0,120,0.034
1,18,0.034
1,19,0.034
1,20,0.034
1,21,0.034
1,22,0.034
1,23,0.034
1,24,0.034
1,25,0.034
1,26,0.034
1,27,0.034
1,28,0.034
1,29,0.034
1,30,0.034
1,31,0.034
1,32,0.034
1,33,0.034
1,34,0.034
1,35,0.034
1,36,0.034
1,37,0.034
1,38,0.034
1,39,0.034
1,40,0.034
1,41,0.034
1,42,0.034
1,43,0.034
1,44,0.034
1,45,0.034
1,46,0.034
1,47,0.034
1,48,0.034
1,49,0.034
1,50,0.034
1,51,0.034
1,52,0.034
1,53,0.034
1,54,0.034
1,55,0.034
1,56,0.034
1,57,0.034
1,58,0.034
1,59,0.034
1,60,0.034
1,61,0.034
1,62,0.034
1,63,0.034
1,64,0.034
1,65,0.034
1,66,0.034
1,67,0.034
1,68,0.034
1,69,0.034
1,70,0.034
1,71,0.034
1,72,0.034
1,73,0.034
1,74,0.034
1,75,0.034
1,76,0.034
1,77,0.034
1,78,0.034
1,79,0.034
1,80,0.034
1,81,0.034
1,82,0.034
1,83,0.034
1,84,0.034
1,85,0.034
1,86,0.034
1,87,0.034
1,88,0.034
1,89,0.034
1,90,0.034
1,91,0.034
1,92,0.034
1,93,0.034
1,94,0.034
1,95,0.034
1,96,0.034
1,97,0.034
1,98,0.034
1,99,0.034
1,100,0.034
1,101,0.034
1,102,0.034
1,103,0.034
1,104,0.034
1,105,0.034
1,106,0.034
1,107,0.034
1,108,0.034
1,109,0.034
1,110,0.034
1,111,0.034
1,112,0.034
1,113,0.034
1,114,0.034
1,115,0.034
1,116,0.034
1,117,0.034
1,118,0.034
1,119,0.034
1,120,0.034
2,18,0.034
2,19,0.034
2,20,0.034
2,21,0.034
2,22,0.034
2,23,0.034
2,24,0.034
2,25,0.034
2,26,0.034
2,27,0.034
2,28,0.034
2,29,0.034
2,30,0.034
2,31,0.034
2,32,0.034
2,33,0.034
2,34,0.034
2,35,0.034
2,36,0.034
2,37,0.034
2,38,0.034
2,39,0.034
2,40,0.034
2,41,0.034
2,42,0.034
2,43,0.034
2,44,0.034
2,45,0.034
2,46,0.034
2,47,0.034
2,48,0.034
2,49,0.034
2,50,0.034
2,51,0.034
2,52,0.034
2,53,0.034
2,54,0.034
2,55,0.034
2,56,0.034
2,57,0.034
2,58,0.034
2,59,0.034
2,60,0.034
2,61,0.034
2,62,0.034
2,63,0.034
2,64,0.034
2,65,0.034
2,66,0.034
2,67,0.034
2,68,0.034
2,69,0.034
2,70,0.034
2,71,0.034
2,72,0.034
2,73,0.034
2,74,0.034
2,75,0.034
2,76,0.034
2,77,0.034
2,78,0.034
2,79,0.034
2,80,0.034
2,81,0.034
2,82,0.034
2,83,0.034
2,84,0.034
2,85,0.034
2,86,0.034
2,87,0.034
2,88,0.034
2,89,0.034
2,90,0.034
2,91,0.034
2,92,0.034
2,93,0.034
2,94,0.034
2,95,0.034
2,96,0.034
2,97,0.034
2,98,0.034
2,99,0.034
2,100,0.034
2,101,0.034
2,102,0.034
2,103,0.034
2,104,0.034
2,105,0.034
2,106,0.034
2,107,0.034
2,108,0.034
2,109,0.034
2,110,0.034
2,111,0.034
2,112,0.034
2,113,0.034
2,114,0.034
2,115,0.034
2,116,0.034
2,117,0.034
2,118,0.034
2,119,0.034
2,120,0.034
3,18,0.034
3,19,0.034
3,20,0.034
3,21,0.034
3,22,0.034
3,23,0.034
3,24,0.034
3,25,0.034
3,26,0.034
3,27,0.034
3,28,0.034
3,29,0.034
3,30,0.034
3,31,0.034
3,32,0.034
3,33,0.034
3,34,0.034
3,35,0.034
3,36,0.034
3,37,0.034
3,38,0.034
3,39,0.034
3,40,0.034
3,41,0.034
3,42,0.034
3,43,0.034
3,44,0.034
3,45,0.034
3,46,0.034
3,47,0.034
3,48,0.034
3,49,0.034
3,50,0.034
3,51,0.034
3,52,0.034
3,53,0.034
3,54,0.034
3,55,0.034
3,56,0.034
3,57,0.034
3,58,0.034
3,59,0.034
3,60,0.034
3,61,0.034
3,62,0.034
3,63,0.034
3,64,0.034
3,65,0.034
3,66,0.034
3,67,0.034
3,68,0.034
3,69,0.034
3,70,0.034
3,71,0.034
3,72,0.034
3,73,0.034
3,74,0.034
3,75,0.034
3,76,0.034
3,77,0.034
3,78,0.034
3,79,0.034
3,80,0.034
3,81,0.034
3,82,0.034
3,83,0.034
3,84,0.034
3,85,0.034
3,86,0.034
3,87,0.034
3,88,0.034
3,89,0.034
3,90,0.034
3,91,0.034
3,92,0.034
3,93,0.034
3,94,0.034
3,95,0.034
3,96,0.034
3,97,0.034
3,98,0.034
3,99,0.034
3,100,0.034
3,101,0.034
3,102,0.034
3,103,0.034
3,104,0.034
3,105,0.034
3,106,0.034
3,107,0.034
3,108,0.034
3,109,0.034
3,110,0.034
3,111,0.034
3,112,0.034
3,113,0.034
3,114,0.034
3,115,0.034
3,116,0.034
3,117,0.034
3,118,0.034
3,119,0.034
3,120,0.034
4,18,0.14
4,19,0.14
4,20,0.14
4,21,0.14
4,22,0.14
4,23,0.14
4,24,0.14
4,25,0.14
4,26,0.14
4,27,0.14
4,28,0.14
4,29,0.14
4,30,0.14
4,31,0.14
4,32,0.14
4,33,0.14
4,34,0.14
4,35,0.14
4,36,0.14
4,37,0.14
4,38,0.14
4,39,0.14
4,40,0.14
4,41,0.14
4,42,0.14
4,43,0.14
4,44,0.14
4,45,0.14
4,46,0.14
4,47,0.14
4,48,0.14
4,49,0.14
4,50,0.14
4,51,0.14
4,52,0.14
4,53,0.14
4,54,0.14
4,55,0.14
4,56,0.14
4,57,0.14
4,58,0.14
4,59,0.14
4,60,0.14
4,61,0.14
4,62,0.14
4,63,0.14
4,64,0.14
4,65,0.14
4,66,0.14
4,67,0.14
4,68,0.14
4,69,0.14
4,70,0.14
4,71,0.14
4,72,0.14
4,73,0.14
4,74,0.14
4,75,0.14
4,76,0.14
4,77,0.14
4,78,0.14
4,79,0.14
4,80,0.14
4,81,0.14
4,82,0.14
4,83,0.14
4,84,0.14
4,85,0.14
4,86,0.14
4,87,0.14
4,88,0.14
4,89,0.14
4,90,0.14
4,91,0.14
4,92,0.14
4,93,0.14
4,94,0.14
4,95,0.14
4,96,0.14
4,97,0.14
4,98,0.14
4,99,0.14
4,100,0.14
4,101,0.14
4,102,0.14
4,103,0.14
4,104,0.14
4,105,0.14
4,106,0.14
4,107,0.14
4,108,0.14
4,109,0.14
4,110,0.14
4,111,0.14
4,112,0.14
4,113,0.14
4,114,0.14
4,115,0.14
4,116,0.14
4,117,0.14
4,118,0.14
4,119,0.14
4,120,0.14
5,18,0.034
5,19,0.034
5,20,0.034
5,21,0.034
5,22,0.034
5,23,0.034
5,24,0.034
5,25,0.034
5,26,0.034
5,27,0.034
5,28,0.034
5,29,0.034
5,30,0.034
5,31,0.034
5,32,0.034
5,33,0.034
5,34,0.034
5,35,0.034
5,36,0.034
5,37,0.034
5,38,0.034
5,39,0.034
5,40,0.034
5,41,0.034
5,42,0.034
5,43,0.034
5,44,0.034
5,45,0.034
5,46,0.034
5,47,0.034
5,48,0.034
5,49,0.034
5,50,0.034
5,51,0.034
5,52,0.034
5,53,0.034
5,54,0.034
5,55,0.034
5,56,0.034
5,57,0.034
5,58,0.034
5,59,0.034
5,60,0.034
5,61,0.034
5,62,0.034
5,63,0.034
5,64,0.034
5,65,0.034
5,66,0.034
5,67,0.034
5,68,0.034
5,69,0.034
5,70,0.034
5,71,0.034
5,72,0.034
5,73,0.034
5,74,0.034
5,75,0.034
5,76,0.034
5,77,0.034
5,78,0.034
5,79,0.034
5,80,0.034
5,81,0.034
5,82,0.034
5,83,0.034
5,84,0.034
5,85,0.034
5,86,0.034
5,87,0.034
5,88,0.034
5,89,0.034
5,90,0.034
5,91,0.034
5,92,0.034
5,93,0.034
5,94,0.034
5,95,0.034
5,96,0.034
5,97,0.034
5,98,0.034
5,99,0.034
5,100,0.034
5,101,0.034
5,102,0.034
5,103,0.034
5,104,0.034
5,105,0.034
5,106,0.034
5,107,0.034
5,108,0.034
5,109,0.034
5,110,0.034
5,111,0.034
5,112,0.034
5,113,0.034
5,114,0.034
5,115,0.034
5,116,0.034
5,117,0.034
5,118,0.034
5,119,0.034
5,120,0.034
6,18,0.034
6,19,0.034
6,20,0.034
6,21,0.034
6,22,0.034
6,23,0.034
6,24,0.034
6,25,0.034
6,26,0.034
6,27,0.034
6,28,0.034
6,29,0.034
6,30,0.034
6,31,0.034
6,32,0.034
6,33,0.034
6,34,0.034
6,35,0.034
6,36,0.034
6,37,0.034
6,38,0.034
6,39,0.034
6,40,0.034
6,41,0.034
6,42,0.034
6,43,0.034
6,44,0.034
6,45,0.034
6,46,0.034
6,47,0.034
6,48,0.034
6,49,0.034
6,50,0.034
6,51,0.034
6,52,0.034
6,53,0.034
6,54,0.034
6,55,0.034
6,56,0.034
6,57,0.034
6,58,0.034
6,59,0.034
6,60,0.034
6,61,0.034
6,62,0.034
6,63,0.034
6,64,0.034
6,65,0.034
6,66,0.034
6,67,0.034
6,68,0.034
6,69,0.034
6,70,0.034
6,71,0.034
6,72,0.034
6,73,0.034
6,74,0.034
6,75,0.034
6,76,0.034
6,77,0.034
