yos,age,withdrawal_rate
0,18,0.05
0,19,0.05
0,20,0.05
0,21,0.05
0,22,0.05
0,23,0.05
0,24,0.05
0,25,0.05
0,26,0.05
0,27,0.05
0,28,0.05
0,29,0.05
0,30,0.05
0,31,0.05
0,32,0.05
0,33,0.05
0,34,0.05
0,35,0.05
0,36,0.05
0,37,0.05
0,38,0.05
0,39,0.05
0,40,0.05
0,41,0.05
0,42,0.05
0,43,0.05
0,44,0.05
0,45,0.05
0,46,0.05
0,47,0.05
0,48,0.05
0,49,0.05
0,50,0.05
0,51,0.05
0,52,0.05
0,53,0.05
0,54,0.05
0,55,0.05
0,56,0.05
0,57,0.05
0,58,0.05
0,59,0.05
0,60,0.05
0,61,0.05
0,62,0.05
0,63,0.05
0,64,0.05
0,65,0.05
0,66,0.05
0,67,0.05
0,68,0.05
0,69,0.05
0,70,0.05
0,71,0.05
0,72,0.05
0,73,0.05
0,74,0.05
0,75,0.05
0,76,0.05
0,77,0.05
0,78,0.05
0,79,0.05
0,80,0.05
0,81,0.05
0,82,0.05
0,83,0.05
0,84,0.05
0,85,0.05
0,86,0.05
0,87,0.05
0,88,0.05
0,89,0.05
0,90,0.05
0,91,0.05
0,92,0.05
0,93,0.05
0,94,0.05
0,95,0.05
0,96,0.05
0,97,0.05
0,98,0.05
0,99,0.05
0,100,0.05
0,101,0.05
0,102,0.05
0,103,0.05
0,104,0.05
0,105,0.05
0,106,0.05
0,107,0.05
0,108,0.05
0,109,0.05
0,110,0.05
0,111,0.05
0,112,0.05
0,113,0.05
0,114,0.05
0,115,0.05
0,116,0.05
0,117,0.05
0,118,0.05
0,119,0.05
0,120,0.05
1,18,0.05
1,19,0.05
1,20,0.05
1,21,0.05
1,22,0.05
1,23,0.05
1,24,0.05
1,25,0.05
1,26,0.05
1,27,0.05
1,28,0.05
1,29,0.05
1,30,0.05
1,31,0.05
1,32,0.05
1,33,0.05
1,34,0.05
1,35,0.05
1,36,0.05
1,37,0.05
1,38,0.05
1,39,0.05
1,40,0.05
1,41,0.05
1,42,0.05
1,43,0.05
1,44,0.05
1,45,0.05
1,46,0.05
1,47,0.05
1,48,0.05
1,49,0.05
1,50,0.05
1,51,0.05
1,52,0.05
1,53,0.05
1,54,0.05
1,55,0.05
1,56,0.05
1,57,0.05
1,58,0.05
1,59,0.05
1,60,0.05
1,61,0.05
1,62,0.05
1,63,0.05
1,64,0.05
1,65,0.05
1,66,0.05
1,67,0.05
1,68,0.05
1,69,0.05
1,70,0.05
1,71,0.05
1,72,0.05
1,73,0.05
1,74,0.05
1,75,0.05
1,76,0.05
1,77,0.05
1,78,0.05
1,79,0.05
1,80,0.05
1,81,0.05
1,82,0.05
1,83,0.05
1,84,0.05
1,85,0.05
1,86,0.05
1,87,0.05
1,88,0.05
1,89,0.05
1,90,0.05
1,91,0.05
1,92,0.05
1,93,0.05
1,94,0.05
1,95,0.05
1,96,0.05
1,97,0.05
1,98,0.05
1,99,0.05
1,100,0.05
1,101,0.05
1,102,0.05
1,103,0.05
1,104,0.05
1,105,0.05
1,106,0.05
1,107,0.05
1,108,0.05
1,109,0.05
1,110,0.05
1,111,0.05
1,112,0.05
1,113,0.05
1,114,0.05
1,115,0.05
1,116,0.05
1,117,0.05
1,118,0.05
1,119,0.05
1,120,0.05
2,18,0.05
2,19,0.05
2,20,0.05
2,21,0.05
2,22,0.05
2,23,0.05
