yos,age,withdrawal_rate
0,18,0.01
0,19,0.01
0,20,0.01
0,21,0.01
0,22,0.01
0,23,0.01
0,24,0.01
0,25,0.01
0,26,0.01
0,27,0.01
0,28,0.01
0,29,0.01
0,30,0.01
0,31,0.01
0,32,0.01
0,33,0.01
0,34,0.01
0,35,0.01
0,36,0.01
0,37,0.01
0,38,0.01
0,39,0.01
0,40,0.01
0,41,0.01
0,42,0.01
0,43,0.01
0,44,0.01
0,45,0.01
0,46,0.01
0,47,0.01
0,48,0.01
0,49,0.01
0,50,0.01
0,51,0.01
0,52,0.01
0,53,0.01
0,54,0.01
0,55,0.01
0,56,0.01
0,57,0.01
0,58,0.01
0,59,0.01
0,60,0.01
0,61,0.01
0,62,0.01
0,63,0.01
0,64,0.01
0,65,0.01
0,66,0.01
0,67,0.01
0,68,0.01
0,69,0.01
0,70,0.01
0,71,0.01
0,72,0.01
0,73,0.01
0,74,0.01
0,75,0.01
0,76,0.01
0,77,0.01
0,78,0.01
0,79,0.01
0,80,0.01
0,81,0.01
0,82,0.01
0,83,0.01
0,84,0.01
0,85,0.01
0,86,0.01
0,87,0.01
0,88,0.01
0,89,0.01
0,90,0.01
0,91,0.01
0,92,0.01
0,93,0.01
0,94,0.01
0,95,0.01
0,96,0.01
0,97,0.01
0,98,0.01
0,99,0.01
0,100,0.01
0,101,0.01
0,102,0.01
0,103,0.01
0,104,0.01
0,105,0.01
0,106,0.01
0,107,0.01
0,108,0.01
0,109,0.01
0,110,0.01
0,111,0.01
0,112,0.01
0,113,0.01
0,114,0.01
0,115,0.01
0,116,0.01
0,117,0.01
0,118,0.01
0,119,0.01
0,120,0.01
1,18,0.01
1,19,0.01
1,20,0.01
1,21,0.01
1,22,0.01
1,23,0.01
1,24,0.01
1,25,0.01
1,26,0.01
1,27,0.01
1,28,0.01
1,29,0.01
1,30,0.01
1,31,0.01
1,32,0.01
1,33,0.01
1,34,0.01
1,35,0.01
1,36,0.01
1,37,0.01
1,38,0.01
1,39,0.01
1,40,0.01
1,41,0.01
1,42,0.01
1,43,0.01
1,44,0.01
1,45,0.01
1,46,0.01
1,47,0.01
1,48,0.01
1,49,0.01
1,50,0.01
1,51,0.01
1,52,0.01
1,53,0.01
1,54,0.01
1,55,0.01
1,56,0.01
1,57,0.01
1,58,0.01
1,59,0.01
1,60,0.01
1,61,0.01
1,62,0.01
1,63,0.01
1,64,0.01
1,65,0.01
1,66,0.01
1,67,0.01
1,68,0.01
1,69,0.01
1,70,0.01
1,71,0.01
1,72,0.01
1,73,0.01
1,74,0.01
1,75,0.01
1,76,0.01
1,77,0.01
1,78,0.01
1,79,0.01
1,80,0.01
1,81,0.01
1,82,0.01
1,83,0.01
1,84,0.01
1,85,0.01
1,86,0.01
1,87,0.01
1,88,0.01
1,89,0.01
1,90,0.01
1,91,0.01
1,92,0.01
1,93,0.01
1,94,0.01
1,95,0.01
1,96,0.01
1,97,0.01
1,98,0.01
1,99,0.01
1,100,0.01
1,101,0.01
1,102,0.01
1,103,0.01
1,104,0.01
1,105,0.01
1,106,0.01
1,107,0.01
1,108,0.01
1,109,0.01
1,110,0.01
1,111,0.01
1,112,0.01
1,113,0.01
1,114,0.01
1,115,0.01
1,116,0.01
1,117,0.01
1,118,0.01
1,119,0.01
1,120,0.01
2,18,0.01
2,19,0.01
2,20,0.01
2,21,0.01
2,22,0.01
2,23,0.01
2,24,0.01
2,25,0.01
2,26,0.01
2,27,0.01
2,28,0.01
2,29,0.01
2,30,0.01
2,31,0.01
2,32,0.01
2,33,0.01
2,34,0.01
2,35,0.01
2,36,0.01
2,37,0.01
2,38,0.01
2,39,0.01
2,40,0.01
2,41,0.01
2,42,0.01
2,43,0.01
2,44,0.01
2,45,0.01
2,46,0.01
2,47,0.01
2,48,0.01
2,49,0.01
2,50,0.01
2,51,0.01
2,52,0.01
2,53,0.01
2,54,0.01
2,55,0.01
2,56,0.01
2,57,0.01
2,58,0.01
2,59,0.01
2,60,0.01
2,61,0.01
2,62,0.01
2,63,0.01
2,64,0.01
2,65,0.01
2,66,0.01
2,67,0.01
2,68,0.01
2,69,0.01
2,70,0.01
2,71,0.01
2,72,0.01
2,73,0.01
2,74,0.01
2,75,0.01
2,76,0.01
2,77,0.01
2,78,0.01
2,79,0.01
2,80,0.01
2,81,0.01
2,82,0.01
2,83,0.01
2,84,0.01
2,85,0.01
2,86,0.01
2,87,0.01
2,88,0.01
2,89,0.01
2,90,0.01
2,91,0.01
2,92,0.01
2,93,0.01
2,94,0.01
2,95,0.01
2,96,0.01
2,97,0.01
2,98,0.01
2,99,0.01
2,100,0.01
2,101,0.01
2,102,0.01
2,103,0.01
2,104,0.01
2,105,0.01
2,106,0.01
2,107,0.01
2,108,0.01
2,109,0.01
2,110,0.01
2,111,0.01
2,112,0.01
2,113,0.01
2,114,0.01
2,115,0.01
2,116,0.01
2,117,0.01
2,118,0.01
2,119,0.01
2,120,0.01
3,18,0.01
3,19,0.01
3,20,0.01
3,21,0.01
3,22,0.01
3,23,0.01
3,24,0.01
3,25,0.01
3,26,0.01
3,27,0.01
3,28,0.01
3,29,0.01
3,30,0.01
3,31,0.01
3,32,0.01
3,33,0.01
