yos,age,withdrawal_rate
0,18,0.06
0,19,0.06
0,20,0.06
0,21,0.06
0,22,0.06
0,23,0.06
0,24,0.06
0,25,0.06
0,26,0.06
0,27,0.06
0,28,0.06
0,29,0.06
0,30,0.06
0,31,0.06
0,32,0.06
0,33,0.06
0,34,0.06
0,35,0.06
0,36,0.06
0,37,0.06
0,38,0.06
0,39,0.06
0,40,0.06
0,41,0.06
0,42,0.06
0,43,0.06
0,44,0.06
0,45,0.06
0,46,0.06
0,47,0.06
0,48,0.06
0,49,0.06
0,50,0.06
0,51,0.06
0,52,0.06
0,53,0.06
0,54,0.06
0,55,0.06
0,56,0.06
0,57,0.06
0,58,0.06
0,59,0.06
0,60,0.06
0,61,0.06
0,62,0.06
0,63,0.06
0,64,0.06
0,65,0.06
0,66,0.06
0,67,0.06
0,68,0.06
0,69,0.06
0,70,0.06
0,71,0.06
0,72,0.06
0,73,0.06
0,74,0.06
0,75,0.06
0,76,0.06
0,77,0.06
0,78,0.06
0,79,0.06
0,80,0.06
0,81,0.06
0,82,0.06
0,83,0.06
0,84,0.06
0,85,0.06
0,86,0.06
0,87,0.06
0,88,0.06
0,89,0.06
0,90,0.06
0,91,0.06
0,92,0.06
0,93,0.06
0,94,0.06
0,95,0.06
0,96,0.06
0,97,0.06
0,98,0.06
0,99,0.06
0,100,0.06
0,101,0.06
0,102,0.06
0,103,0.06
0,104,0.06
0,105,0.06
0,106,0.06
0,107,0.06
0,108,0.06
0,109,0.06
0,110,0.06
0,111,0.06
0,112,0.06
0,113,0.06
0,114,0.06
0,115,0.06
0,116,0.06
0,117,0.06
0,118,0.06
0,119,0.06
0,120,0.06
1,18,0.07
1,19,0.07
1,20,0.07
1,21,0.07
1,22,0.07
1,23,0.07
1,24,0.07
1,25,0.07
1,26,0.07
1,27,0.07
1,28,0.07
1,29,0.07
1,30,0.07
1,31,0.07
1,32,0.07
1,33,0.07
1,34,0.07
1,35,0.07
1,36,0.07
1,37,0.07
1,38,0.07
1,39,0.07
1,40,0.07
1,41,0.07
1,42,0.07
1,43,0.07
1,44,0.07
1,45,0.07
1,46,0.07
1,47,0.07
1,48,0.07
1,49,0.07
1,50,0.07
1,51,0.07
1,52,0.07
1,53,0.07
1,54,0.07
1,55,0.07
1,56,0.07
1,57,0.07
1,58,0.07
1,59,0.07
1,60,0.07
1,61,0.07
1,62,0.07
1,63,0.07
1,64,0.07
1,65,0.07
1,66,0.07
1,67,0.07
1,68,0.07
1,69,0.07
1,70,0.07
1,71,0.07
1,72,0.07
1,73,0.07
1,74,0.07
1,75,0.07
1,76,0.07
1,77,0.07
1,78,0.07
1,79,0.07
1,80,0.07
1,81,0.07
1,82,0.07
1,83,0.07
1,84,0.07
1,85,0.07
1,86,0.07
1,87,0.07
1,88,0.07
1,89,0.07
1,90,0.07
1,91,0.07
1,92,0.07
1,93,0.07
1,94,0.07
1,95,0.07
1,96,0.07
1,97,0.07
1,98,0.07
1,99,0.07
1,100,0.07
1,101,0.07
1,102,0.07
1,103,0.07
1,104,0.07
1,105,0.07
1,106,0.07
1,107,0.07
1,108,0.07
1,109,0.07
1,110,0.07
1,111,0.07
1,112,0.07
1,113,0.07
1,114,0.07
1,115,0.07
1,116,0.07
1,117,0.07
1,118,0.07
1,119,0.07
1,120,0.07
2,18,0.1
2,19,0.1
2,20,0.1
2,21,0.1
2,22,0.1
2,23,0.1
2,24,0.1
2,25,0.1
2,26,0.1
2,27,0.1
2,28,0.1
2,29,0.1
2,30,0.1
2,31,0.1
2,32,0.1
2,33,0.1
2,34,0.1
2,35,0.1
2,36,0.1
2,37,0.1
2,38,0.1
2,39,0.1
2,40,0.1
2,41,0.1
2,42,0.1
2,43,0.1
2,44,0.1
2,45,0.1
2,46,0.1
2,47,0.1
2,48,0.1
2,49,0.1
2,50,0.1
2,51,0.1
2,52,0.1
2,53,0.1
2,54,0.1
2,55,0.1
2,56,0.1
2,57,0.1
2,58,0.1
2,59,0.1
2,60,0.1
2,61,0.1
2,62,0.1
2,63,0.1
2,64,0.1
2,65,0.1
2,66,0.1
2,67,0.1
2,68,0.1
2,69,0.1
2,70,0.1
2,71,0.1
2,72,0.1
2,73,0.1
2,74,0.1
2,75,0.1
2,76,0.1
2,77,0.1
2,78,0.1
2,79,0.1
2,80,0.1
2,81,0.1
2,82,0.1
2,83,0.1
2,84,0.1
2,85,0.1
2,86,0.1
2,87,0.1
2,88,0.1
2,89,0.1
2,90,0.1
2,91,0.1
2,92,0.1
2,93,0.1
2,94,0.1
2,95,0.1
2,96,0.1
2,97,0.1
2,98,0.1
2,99,0.1
2,100,0.1
2,101,0.1
2,102,0.1
2,103,0.1
2,104,0.1
2,105,0.1
2,106,0.1
2,107,0.1
2,108,0.1
2,109,0.1
2,110,0.1
2,111,0.1
2,112,0.1
2,113,0.1
2,114,0.1
2,115,0.1
2,116,0.1
2,117,0.1
2,118,0.1
2,119,0.1
2,120,0.1
3,18,0.1
3,19,0.1
3,20,0.1
3,21,0.1
3,22,0.1
3,23,0.1
3,24,0.1
3,25,0.1
3,26,0.1
3,27,0.1
3,28,0.1
3,29,0.1
3,30,0.1
3,31,0.1
3,32,0.1
3,33,0.1
3,34,0.1
3,35,0.1
3,36,0.1
3,37,0.1
3,38,0.1
3,39,0.1
3,40,0.1
3,41,0.1
3,42,0.1
3,43,0.1
3,44,0.1
3,45,0.1
3,46,0.1
3,47,0.1
3,48,0.1
3,49,0.1
3,50,0.1
3,51,0.1
3,52,0.1
3,53,0.1
3,54,0.1
3,55,0.1
3,56,0.1
3,57,0.1
3,58,0.1
3,59,0.1
3,60,0.1
3,61,0.1
3,62,0.1
3,63,0.1
3,64,0.1
3,65,0.1
3,66,0.1
3,67,0.1
3,68,0.1
3,69,0.1
3,70,0.1
3,71,0.1
3,72,0.1
3,73,0.1
3,74,0.1
3,75,0.1
3,76,0.1
3,77,0.1
3,78,0.1
3,79,0.1
3,80,0.1
3,81,0.1
3,82,0.1
3,83,0.1
3,84,0.1
3,85,0.1
3,86,0.1
3,87,0.1
3,88,0.1
3,89,0.1
3,90,0.1
3,91,0.1
3,92,0.1
3,93,0.1
3,94,0.1
