yos,age_band,withdrawal_rate
0,Under 25,0.24
0,25 to 29,0.24
0,30 to 34,0.24
0,35 to 44,0.26
0,45 to 54,0.3
0,55+,0.3
1,Under 25,0.135
1,25 to 29,0.135
1,30 to 34,0.135
1,35 to 44,0.135
1,45 to 54,0.135
1,55+,0.135
2,Under 25,0.11
2,25 to 29,0.11
2,30 to 34,0.09
2,35 to 44,0.105
2,45 to 54,0.105
2,55+,0.105
3,Under 25,0.08
3,25 to 29,0.08
3,30 to 34,0.085
3,35 to 44,0.105
3,45 to 54,0.1
3,55+,0.1
4,Under 25,0.08
4,25 to 29,0.08
4,30 to 34,0.07
4,35 to 44,0.07
4,45 to 54,0.1
4,55+,0.1
5,Under 25,0.065
5,25 to 29,0.065
5,30 to 34,0.065
5,35 to 44,0.065
5,45 to 54,0.065
5,55+,0.065
6,Under 25,0.065
6,25 to 29,0.065
6,30 to 34,0.065
6,35 to 44,0.06
6,45 to 54,0.06
6,55+,0.06
7,Under 25,0.06
7,25 to 29,0.06
7,30 to 34,0.06
7,35 to 44,0.06
7,45 to 54,0.06
7,55+,0.06
8,Under 25,0.05
8,25 to 29,0.05
8,30 to 34,0.045
8,35 to 44,0.045
8,45 to 54,0.06
8,55+,0.06
9,Under 25,0.035
9,25 to 29,0.035
9,30 to 34,0.035
9,35 to 44,0.035
9,45 to 54,0.06
9,55+,0.06
10,Under 25,0.035
10,25 to 29,0.035
10,30 to 34,0.035
10,35 to 44,0.035
10,45 to 54,0.05
10,55+,0.05
11,Under 25,0.03
11,25 to 29,0.03
11,30 to 34,0.03
11,35 to 44,0.03
11,45 to 54,0.03
11,55+,0.03
12,Under 25,0.03
12,25 to 29,0.03
12,30 to 34,0.03
12,35 to 44,0.03
12,45 to 54,0.03
12,55+,0.03
13,Under 25,0.025
13,25 to 29,0.025
13,30 to 34,0.025
13,35 to 44,0.025
13,45 to 54,0.03
13,55+,0.03
14,Under 25,0.025
14,25 to 29,0.025
14,30 to 34,0.025
14,35 to 44,0.025
14,45 to 54,0.03
14,55+,0.03
15,Under 25,0.023
15,25 to 29,0.023
15,30 to 34,0.023
15,35 to 44,0.023
15,45 to 54,0.03
15,55+,0.03
16,Under 25,0.02
16,25 to 29,0.02
16,30 to 34,0.02
16,35 to 44,0.02
16,45 to 54,0.03
16,55+,0.03
17,Under 25,0.02
17,25 to 29,0.02
17,30 to 34,0.02
17,35 to 44,0.02
17,45 to 54,0.02
17,55+,0.02
18,Under 25,0.015
18,25 to 29,0.015
18,30 to 34,0.015
18,35 to 44,0.015
18,45 to 54,0.02
18,55+,0.02
19,Under 25,0.015
19,25 to 29,0.015
19,30 to 34,0.015
19,35 to 44,0.015
19,45 to 54,0.02
19,55+,0.02
20,Under 25,0.015
20,25 to 29,0.015
20,30 to 34,0.015
20,35 to 44,0.015
20,45 to 54,0.02
20,55+,0.02
21,Under 25,0.015
21,25 to 29,0.015
21,30 to 34,0.015
21,35 to 44,0.015
21,45 to 54,0.02
21,55+,0.02
22,Under 25,0.015
22,25 to 29,0.015
22,30 to 34,0.015
22,35 to 44,0.015
22,45 to 54,0.015
22,55+,0.015
23,Under 25,0.015
23,25 to 29,0.015
23,30 to 34,0.015
23,35 to 44,0.015
23,45 to 54,0.015
23,55+,0.015
24,Under 25,0.015
24,25 to 29,0.015
24,30 to 34,0.015
24,35 to 44,0.015
24,45 to 54,0.015
24,55+,0.015
25,Under 25,0.01
25,25 to 29,0.01
25,30 to 34,0.01
25,35 to 44,0.01
25,45 to 54,0.01
25,55+,0.01
26,Under 25,0.01
26,25 to 29,0.01
26,30 to 34,0.01
26,35 to 44,0.01
26,45 to 54,0.01
26,55+,0.01
27,Under 25,0.01
27,25 to 29,0.01
27,30 to 34,0.01
27,35 to 44,0.01
27,45 to 54,0.01
27,55+,0.01
28,Under 25,0.01
28,25 to 29,0.01
28,30 to 34,0.01
28,35 to 44,0.01
28,45 to 54,0.01
28,55+,0.01
29,Under 25,0.01
29,25 to 29,0.01
29,30 to 34,0.01
29,35 to 44,0.01
29,45 to 54,0.01
29,55+,0.01
30,Under 25,0.01
30,25 to 29,0.01
30,30 to 34,0.01
30,35 to 44,0.01
30,45 to 54,0.01
30,55+,0.01
