year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new
2022,2396438000,2396438000,0,0,0,0,0,0,0,0.067,0.067,18213388000,18213388000,0,15009653000,15009653000,0,15097402000,15097402000,0,-0.0718,3203735000,3203735000,0,3115986000,3115986000,0,0.8240999972108429,0.8289178268205784,0.11175817686265885,0.11175817686265885,0,0.11175817686265885,0,0.03,0,0.08175817686265885,0,0.18185817686265884,0.1001,0,0,0,0,267821541.84439644,0,71893140,71893140,0,195928401.84439644,195928401.84439644,0,150027458.15560356,150027458.15560356,0,0,0,345955860,345955860,0,800797363.6310126,800797363.6310126,0,1900178.3874375052,1900178.3874375052,0,51494233.301982574,1508046.2921298144,0,0,0,0,0.14436253305948246,345955860,0,3115986000,0,-437850821.6125623,0,1053560000,0,-976495000,0,0,0,0,0,0,0,0,0
2023,2474322235,2474322234.9999995,0,0,0,0,0,0,0,0,0,18832432161.347103,18832432161.347103,0,15604560191.530739,15604560191.530739,0,15736247344.580166,15736247344.580166,0,0.067,3227871969.8163643,3227871969.8163643,0,3096184816.7669373,3096184816.7669373,0,0.8286003665293187,0.8355929393378224,0.11265067461952374,0.11265067461952374,0,0.11265067461952374,0,0.03,0.03,0.08265067461952375,-0.03,0,0.0894303698357538,0,0,0,0,278734068.9988377,0,0,74229667.04999998,0,0,204504401.94883773,0,0,221279552.56887886,0,0,0,425783954.5177166,425783954.5177166,0,859857222.7487835,859857222.7487835,0,946458.8449871589,946458.8449871589,0,0,0,0,0,0,0,0.1720810444552775,415804643.0837076,415804643.0837076,3023617985.123962,3439422628.2076693,-360790060.026054,0,1012503960.0646375,0,56806708.507844925,14829257969.986973,15661366900.038584,0,0,0,0,0,0,0
2024,2554737707.6375,2554737707.6375,0,0,0,0,0,0,0,0,0,19485909556.503445,19485909556.503445,0,16256669429.654667,16256669429.654667,0,16432786890.835958,16432786890.835958,0,0.067,3229240126.848778,3229240126.848778,0,3053122665.667486,3053122665.667486,0,0.8342781938156428,0.8433163893728275,0.1122247565652527,0.1122247565652527,0,0.1122247565652527,0,0.03,0.03,0.0822247565652527,-0.03,0,0.09492716916594075,0,0,0,0,286704817.3276901,0,0,76642131.229125,0,0,210062686.09856516,0,0,242514018.54751262,0,0,0,452576704.64607775,452576704.64607775,0,874289842.3464816,874289842.3464816,0,1302611.5033296668,1302611.5033296668,0,0,0,0,0,0,0,0.17715192573119345,431610779.4247415,847415422.5084491,2911684671.084868,3759100093.593317,-346373617.9746085,0,1050341792.6361297,0,51858936.537591934,15431373382.543434,16308528366.192259,0,0,0,0,0,0,0
2025,2637766683.1357183,2496836024.967529,140930658.1681892,0,0,0,0,0,0,0,0,20176985101.725155,20161326675.81409,15658425.911063919,16953550249.305582,16937885237.433784,15665011.8717982,17180415322.68736,17164756896.776297,15658425.91106392,0.067,3223434852.419572,3223441438.3803062,-6585.960734281689,2996569779.037794,2996569779.037794,-1.862645149230957e-9,0.8402419967022742,0.8514857515168812,0.11195580727512233,0.1120941875130841,0.10950415645778087,0.1120941875130841,0.10950415645778087,0.03,0.03,0.0820941875130841,0.07950415645778088,0,0.10124061502411796,0,0,0,0,279880805.5721337,15432492.841747424,0,74905080.74902587,4227919.745045676,0,204975724.82310784,11204573.096701749,0,252781214.78208658,0,0,0,468961512.7018962,468961512.7018962,0,888646896.3258548,888646896.3258548,0,1541544.271060065,1267888.7413414442,273655.5297186206,0,0,0,0,0,0,0.1777873364237072,436754443.4050994,1284169865.9135485,2790773081.6284137,4074942947.541962,-357252764.712976,0,1091517341.0222747,0,53048768.53017998,16078043047.29818,16990934005.963964,15158837.312028805,0,506174.55976939667,0,1.862645149230957e-9,7579418.656014402,15665011.871798202
2026,2723494100.3376293,2467142863.149166,256351237.1884634,0,0,0,0,0,0,0,0,20891673589.773487,20846450462.382294,45223127.39119512,17680004042.090317,17634763753.718643,45240288.37167253,17966627162.080616,17921404490.45382,45222671.626796216,0.067,3211669547.683173,3211686708.6636505,-17160.980477415025,2925046427.6928735,2925045971.9284744,455.76439890265465,0.8462703558007297,0.8599898464273974,0.11174806310261913,0.11195938529532506,0.10971428302307824,0.11195938529532508,0.10971428302307824,0.03,0.03,0.08195938529532508,0.07971428302307824,0,0.10684680378691043,-1.7211660486258364e-6,0,0,0,276219798.39392895,28125392.190211333,0,74014285.89447498,7690537.115653901,0,202205512.499454,20434855.07455743,0,263606329.41317537,-441.22304597201213,0,0,486246255.76414084,486246255.76414084,0,919418912.8390152,919418912.8390152,0,1766632.8511621682,1247025.9293821556,519606.92178001266,0,0,0,0,0,0,0.1785376570868508,442238393.3744102,1726408259.2879586,2660314228.4264984,4386722487.714457,-380839810.96129304,0,1134522712.9578218,0,56804385.71166992,16747465331.953138,17691568139.430313,27605344.04538535,0,1969929.8379041837,0,-2.616584800183773,29467683.894490875,45240285.75508773
2027,2812007658.5986023,2411382515.2472157,400625143.3513865,0,0,0,0,0,0,0,0,21635936689.912697,21541997920.064377,93938769.8483187,18445022808.150932,18351051342.75399,93971465.39694168,18799138744.99868,18705201664.848423,93937080.15025753,0.067,3190913881.7617636,3190946577.3103867,-32695.548622980714,2836797944.914015,2836796255.215954,1689.6980611681938,0.8525178767393297,0.8688849026704439,0.11123311129369576,0.11102180637215096,0.11250496604783408,0.11102180637215096,0.1125049660478341,0.03,0.03,0.08102180637215096,0.0825049660478341,0,0.11410856173931797,-2.90796164493402e-6,0,0,0,267716042.69696677,45072318.1506564,0,72341475.45741647,12018754.300541595,0,195374567.2395503,33053563.85011481,0,275159390.61819875,-1165.0025508620254,0,0,503586356.705313,503586356.705313,0,945178607.8957494,945178607.8957494,0,2175451.914600674,1331205.6291537075,844246.2854469665,0,0,0,0,0,0,0.17908427637650223,447274534.48106843,2173682793.769027,2519582715.7222924,4693265509.49132,-403634380.20973766,0,1178866086.1859744,0,58944116.940891266,17432946563.613773,18409995459.69488,44226906.862658575,0,4504058.986731857,0,-211.17587871849537,67353741.80300182,93971254.22106296
2028,2903397907.503057,2371881814.873487,531516092.62957007,0,0,0,0,0,0,0,0,22390045641.137424,22229490999.523647,160554641.61377883,19230352123.338207,19069746806.809017,160605316.5291896,19659987911.82681,19499437394.368446,160550517.45836237,0.067,3159693517.799219,3159744192.71463,-50674.915410757065,2730057729.3106174,2730053605.155201,4124.155416458845,0.8588795410048703,0.8780682374182098,0.11096651694888339,0.11071852895721045,0.11207315927996703,0.11071852895721045,0.11207315927996703,0.03,0.03,0.08071852895721045,0.08207315927996703,0,0.1211435639630267,-4.227881799968129e-6,0,0,0,262611265.40315104,59568687.70913951,0,71156454.4462046,15945482.7788871,0,191454810.95694643,43623204.93025241,0,287338216.3528661,-2247.1872144187337,0,0,522413985.05285054,522413985.05285054,0,994012543.7257369,994012543.7257369,0,1476037.3352226596,304726.1065730168,1171311.2286496428,0,0,0,0,0,0,0.1799319286215682,453121902.0248883,2626804695.7939157,2367947616.9035316,4994752312.697447,-444367788.0762927,0,1224134956.9159813,0,61071704.78466034,18128867448.715843,19130818511.593678,58395129.293275446,0,8238617.728707843,0,-104.11026459932327,123169030.0435794,160605212.418925
2029,2997758339.4969063,2271315075.174369,726443264.3225374,0,0,0,0,0,0,0,0,23181833284.960438,22929526315.173824,252306969.78661418,20066105894.155396,19813726345.15605,252379548.99934208,20578897826.003952,20326598906.635937,252298919.3680142,0.067,3115727390.8050447,3115799970.0177727,-72579.21272790432,2602935458.9564877,2602927408.5378876,8050.4185999929905,0.8655961609030112,0.8877165827671973,0.11038968754246463,0.11046290388921284,0.1101607675423962,0.11046290388921284,0.1101607675423962,0.03,0.03,0.08046290388921284,0.0801607675423962,0,0.13214716130668216,-4.864098734736111e-6,0,0,0,250896058.85110655,80025547.57377453,0,68139452.25523107,21793297.929676123,0,182756606.5958755,58232249.64409841,0,300147839.61736625,-3533.4917628488247,0,0,541133162.3655772,541133162.3655772,0,1014756271.0494823,1014756271.0494823,0,1910694.1077665589,296129.1823879248,1614564.9253786341,0,0,0,0,0,0,0.1805126034463445,458357617.3755547,3085162313.1694703,2204772093.3126383,5289934406.482109,-464008501.76339746,0,1270463704.5739086,0,62475664.46347809,18837742555.92732,19876202009.61953,78407449.15663305,0,13367102.1509849,0,318.8374654650688,199809041.1075061,252379867.83680755
2030,3095185485.5305557,2238352895.446364,856832590.0841918,0,0,0,0,0,0,0,0,24018921182.477444,23654137668.956425,364783513.5210179,20962054690.899406,20597176288.68305,364878402.2163596,21565463933.627308,21200694311.928837,364769621.69847035,0.067,3056866491.578035,3056961380.2733765,-94888.69534170628,2453457248.8501353,2453443357.027588,13891.82254755497,0.8727308995956022,0.8978531454343582,0.11018485512666688,0.11014972046380407,0.11027663942065812,0.11014972046380407,0.11027663942065812,0.03,0.03,0.08014972046380407,0.08027663942065812,0,0.14007918780747763,-5.990508083583363e-6,0,0,0,246553945.73276344,94488618.58058298,0,67150586.86339092,25704977.702525754,0,179403358.86937252,68783640.87805723,0,313546655.62064254,-5132.862557177021,0,0,561728522.5055151,561728522.5055151,0,1032005861.1204574,1032005861.1204574,0,2284328.754525193,318423.2169228872,1965905.5376023059,0,0,0,0,0,0,0.1814846073463114,464650943.3346191,3549813256.5040894,2029452269.9765208,5579265526.48061,-472223682.98397434,0,1319033144.0651176,0,63359517.55414581,19577614503.664066,20660535806.237194,92517580.1804235,0,19981606.29290484,0,333.25631082057953,298638339.08955383,364878735.47267044
2031,3195779013.810299,2215157312.8986254,980621700.9116733,0,0,0,0,0,0,0,0,24886101573.831215,24387509209.664757,498592364.1664581,21908367164.574512,21409658122.87168,498709041.7028294,22606556854.317368,22107986361.332413,498570492.9849532,0.067,2977734409.2567043,2977851086.7930756,-116677.53637135029,2279544719.513849,2279522848.332344,21871.18150484562,0.8803454851929112,0.9084008914473416,0.110018496654641,0.10986888547125373,0.11035645807917775,0.10986888547125373,0.11035645807917775,0.03,0.03,0.07986888547125373,0.08035645807917775,0,0.1478484487834094,-6.958563229562983e-6,0,0,0,243376865.11166924,108217937.62819105,0,66454719.386958756,29418651.0273502,0,176922145.72471046,78799286.60084087,0,327507572.5232872,-6823.718110075479,0,0,583222181.1307285,583222181.1307285,0,1067666500.0981264,1067666500.0981264,0,2339025.3047752995,0,2339025.3047752995,0,0,0,0,0,0,0.18249765663094392,471123126.0178015,4020936382.5218906,1841401559.989731,5862337942.5116215,-496782062.46317005,0,1369846532.2252092,0,60582635.57340622,20348785257.45146,21470240758.445087,105872088.6053057,0,27958944.766142678,0,393.88497853279114,417814446.51901245,498709435.58780795
