year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,57226218.438756615,42615000,0,14611218.438756615,0,0,0,0,0,0.067,0.067,751363000.104456,751363000.104456,0,316423000,316423000,0,318273000,318273000,0,-0.0718,434940000.10445595,434940000.10445595,0,433090000,433090000,0,0.421131996119053,0.42359418816204686,0.1463,NA,NA,0.1463,0,0.03,0,0.11630000000000001,0,0.7650000000000001,0.6487,0,0,0.1195,0,6234574.500000001,0,1278450,1278450,0,4956124.500000001,4956124.500000001,0,29915425.5,29915425.5,0,1746040.6034314155,0,36617590.60343142,34871550,1746040.6034314155,49980736.57382647,49980736.57382647,0,118597.18792674896,118597.18792674896,0,3213946.282324999,94122.76799503317,0,0,0,0,0.6398743723144924,36617590.60343142,0,433090000,0,-17257402.812073246,0,20927000,0,3206000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,59086070.5380162,41169874.35744961,0,17916196.180566583,0,0,-0,0,0,0,0,752788748.6972107,752788748.6972107,0,321730337.1460094,321730337.1460094,0,323108521.5589418,323108521.5589418,0,0.067,431058411.5512013,431058411.5512013,0,429680227.1382689,429680227.1382689,0,0.42738462510604935,0.4292153969066608,0.1463000078745691,0.1463000078745691,0,0.1463000078745691,0,0.03,0.03,0.1163000078745691,-0.03,0,0.7625044480070058,0,0,0.1195,0.1195,6023152.942689898,0,0,1235096.2307234884,0,0,4788056.71196641,0,0,31392212.3214449,0,2140985.4435777063,0,38321254.476989016,36180269.03341131,2140985.4435777063,53364388.71577659,53364388.71577659,0,13664.93429255779,13664.93429255779,0,0,0,0,0,0,0,0.6485666440169342,37423100.07518458,37423100.07518458,419609596.8147157,457032696.88990027,-15962688.385934357,0,21059610.57428344,0,210414.95766033887,308441655.8070328,321519922.18834907,0,0,0,0,0,0,0,0.6967780050792304,0,0.3032219949207696,0
2024,61006367.83050173,40195069.00095751,0,20811298.829544224,0,0,0,0,0,0,0,752919790.214301,752919790.214301,0,327639586.31943923,327639586.31943923,0,328595817.35890436,328595817.35890436,0,0.067,425280203.89486176,425280203.89486176,0,424323972.8553966,424323972.8553966,0,0.43515868566316246,0.43642871608591566,0.14422842250896506,0.14422842250896506,0,0.14422842250896506,0,0.03,0.03,0.11422842250896506,-0.03,0,0.822375115137344,0,0,0.1195,0.1195,5797271.394647104,0,0,1205852.0700287253,0,0,4591419.324618379,0,0,33055424.49761592,0,2486950.2101305346,0,40133794.03236483,37646843.822234295,2486950.2101305346,54474732.02664657,54474732.02664657,0,23316.368508391377,23316.368508391377,0,0,0,0,0,0,0,0.6578623750207744,38274568.58860477,75697668.66378936,404666874.74765456,480364543.41144395,-15645352.502891935,0,21366234.04104726,0,188367.63527452655,313907660.89456344,327451218.6841647,0,0,0,0,0,0,0,0.658866777852343,0,0.341133222147657,0
2025,62989074.78499303,38736949.74628262,1198408.5294010711,19458490.921106126,3595225.5882032136,0,0,-0,0,0,0,751930448.1259923,751776439.6702913,154008.45570095195,333839696.3641909,333685623.1322699,154073.23192097273,334395715.31867796,334241706.862977,154008.45570095195,0.067,418090751.76180136,418090816.5380214,-64.77622002077987,417534732.8073143,417534732.8073143,0,0.4439768295009291,0.44471628480011643,0.14306727590521767,0.14342881964743193,0.1313808589366777,0.14342881964743193,0.1313808589366777,0.03,0.03,0.11342881964743193,0.1013808589366777,0,0.8801743892510862,0,0,0.1195,0.1195,5555994.978851204,157447.9419497535,0,1162108.4923884787,35952.255882032136,0,4393886.486462725,121495.68606772136,0,34095271.08438432,0,2325289.665072182,429629.457790284,41365572.37977724,38610653.25691477,2754919.122862466,55477814.24552726,55477814.24552726,0,29542.63476581297,21189.44460703953,8353.19015877344,0,0,0,0,0,0,0.6567102711220084,38524691.36917706,114222360.03296642,388859522.3494938,503081882.38246024,-15847737.626898771,0,21705082.442468643,0,188691.997260791,319715717.50598985,333496931.1350091,149094.75179098005,0,4978.480129992663,0,4.245498792721925e-12,74547.37589549003,154073.23192097273,0.6149788654382902,0.019025656964985118,0.30891850670176946,0.05707697089495536
2026,65036219.7155053,37655827.16501044,2155027.44425527,18760282.773473777,6465082.33276581,0,0,-0,0,0,0,749346387.7715117,748904786.3007536,441601.4707580925,340005801.0119026,339564032.23257256,441768.7793300376,340168260.58007437,339726663.59198725,441596.9880871243,0.067,409340586.7596091,409340754.06818104,-167.30857194511918,409178127.1914373,409178122.70876634,4.482670968165621,0.4537364916418014,0.4539532933383505,0.14197613321880354,0.1425752694378025,0.13150713897417643,0.1425752694378025,0.13150713897417643,0.03,0.03,0.1125752694378025,0.10150713897417643,0,0.9340458094291096,-2.0137328161943965e-6,0,0.1195,0.1195,5368789.7039546855,283401.49360484205,0,1129674.8149503132,64650.8233276581,0,4239114.889004372,218750.67027718396,0,35172267.56406483,-4.339649484296378,2241853.791430116,772577.3387655143,42644559.91389254,39630128.783696905,3014431.1301956307,56888695.70526019,56888695.70526019,0,37076.52758309129,22102.925763067422,14973.601820023861,0,0,0,0,0,0,0.6557047765143341,38785001.301123455,153007361.33408988,372145338.7619815,525152700.09607136,-16369741.363003742,0,22050381.321624763,0,197769.1416816097,325500752.45076805,339366263.09089094,268423.5521353339,0,19272.00118918878,0,-0.00591545776117778,288285.00798863964,441768.7852454954,0.5789977850762581,0.033135804228508835,0.2884589980097065,0.0994074126855265
2027,67149896.85625923,35846073.27516248,3332291.917746394,17974655.910111174,9996875.75323918,0,-0,0,0,0,0,745310472.6276755,744410256.8822873,900215.7453882807,346424589.7965536,345524065.49290925,900524.3036443315,346199801.9146373,345299602.68597597,900199.2286613337,0.067,398885882.831122,398886191.389378,-308.55825605080463,399110670.71303827,399110654.1963113,16.516726947040297,0.464805745416665,0.4645041424066821,0.14076617631379315,0.14160866860993804,0.13170333268339698,0.14160866860993804,0.13170333268339698,0.03,0.03,0.11160866860993804,0.10170333268339699,0,1.012286918795355,-3.4088693837734195e-6,0,0.1195,0.1195,5076114.71139004,438873.9510411483,0,1075382.1982548744,99968.75753239181,0,4000732.5131351654,338905.19350875646,0,36286511.06662674,-11.359347896201296,2147971.381258285,1194626.6525120821,43968735.44769314,40626137.41392277,3342598.0337703675,57979166.83291937,57979166.83291937,0,47327.4287280824,23792.16945259572,23535.25927548668,0,0,0,0,0,0,0.6547848545741243,39052081.966144964,192059443.30023485,354481484.7993634,546540928.0995982,-16640333.22435518,0,22399664.796315446,0,200701.688376449,331243865.62039495,345323363.8045328,415327.3324177654,0,43428.6494603401,0,-0.4575638115168481,649432.4455389204,900524.7612081431,0.5338217175805113,0.04962467663769437,0.2676795758687112,0.1488740299130831
2028,69332268.50408766,34597395.00910197,4335489.239401308,17392916.537380446,13006467.718203923,0,0,0,0,0,0,738887543.2299372,737368944.9023312,1518598.327605944,352319474.483747,350800405.9573931,1519068.5263538947,351709474.5736159,350190915.795505,1518558.7781109486,0.067,386568068.7461902,386568538.9449381,-470.1987479508389,387178068.6563212,387178029.10682625,39.549494995269924,0.47682421731409186,0.47599865202243113,0.13976867550811833,0.14075675866880483,0.13188372838348156,0.14075675866880483,0.13188372838348156,0.03,0.03,0.11075675866880483,0.10188372838348156,0,1.0821381060667143,-4.896006727103959e-6,0,0.1195,0.1195,4869817.179865479,571780.4852587092,0,1037921.8502730591,130064.67718203923,0,3831895.32959242,441715.8080766699,0,37439159.5099916,-21.22658448139563,2078453.526216963,1554272.8923253687,45345475.83961854,41712749.42107621,3632726.418542332,59963132.50770459,59963132.50770459,0,39047.43821971554,7529.68425112112,31517.75396859442,0,0,0,0,0,0,0.6540313308361616,39330930.734162696,231390374.03439754,335823442.5407402,567213816.5751377,-17661685.502098635,0,22734897.526331946,0,203128.44025049536,336693222.7418599,350597277.5171426,540241.5047056333,0,78302.9395372351,0,-0.22153330493635298,1170645.0559971482,1519068.7478871997,0.4990085533846653,0.06253205517349686,0.2508632259213472,0.18759616552049058
2029,71585567.23047051,32000381.194687225,5768140.837228838,16512622.68686793,17304422.511686515,0,0,-0,0,0,0,730967344.6755929,728603209.9945171,2364134.681075791,358748131.7662426,356383326.6473721,2364805.1188705093,357752620.1057595,355388561.5353476,2364058.5704119033,0.067,372219212.9093502,372219883.34714496,-670.4377947184257,373214724.5698334,373214648.4591695,76.110663887579,0.49078544257740664,0.48942353268124716,0.13824291211339132,0.13935202491785179,0.13208979735212023,0.13935202491785179,0.13208979735212023,0.03,0.03,0.10935202491785179,0.10208979735212023,0,1.2072089010557416,-5.691504043375457e-6,0,0.1195,0.1195,4459317.91762281,761912.5542880464,0,960011.4358406167,173044.22511686516,0,3499306.4817821933,588868.3291711812,0,38631145.01540319,-32.829396897847026,1973258.4110807176,2067878.4901465385,46760423.89818692,42719286.996959664,4041136.9012272563,60764913.221053064,60764913.221053064,0,49791.4805743799,7938.253662623785,41853.226911756115,0,0,0,0,0,0,0.6532102169092442,39607619.66934168,270997993.7037392,316125168.1110879,587123161.8148272,-17682388.541689686,0,23062570.56028013,0,202738.67138854283,341959211.6865483,356180587.97598356,720026.4979793924,0,125709.41686045783,0,0.6776767641619389,1879081.7753435909,2364804.441193745,0.44702280686917867,0.08057686850001826,0.23066971913074827,0.2417306055000548
2030,73912098.1654608,30794262.971963823,6798865.5280863745,15922373.081151472,20396596.584259123,0,0,0,0,0,0,721791433.5224344,718392350.7052672,3399082.8171671494,366132248.3102317,362732291.32035524,3399956.989876433,364748635.9777672,361349683.407818,3398952.569949189,0.067,355659185.21220267,355660059.38491195,-874.172709283419,357042797.5446671,357042667.2974492,130.24721796019003,0.5072549095290028,0.5053379952124776,0.13731796711529562,0.13843398098401727,0.13226317901692786,0.13843398098401724,0.13226317901692786,0.03,0.03,0.10843398098401724,0.10226317901692786,0,1.294513258656089,-6.982428029804388e-6,0,0.1195,0.1195,4262972.4146776665,899239.5684533078,0,923827.8891589147,203965.96584259122,0,3339144.5255187512,695273.6026107167,0,39863581.70774943,-47.472589234181115,1902723.583197601,2437393.291818965,48238069.238306224,43897952.36328966,4340116.875016566,61398293.12947297,61398293.12947297,0,59319.06029646476,8663.876053796368,50655.184242668394,0,0,0,0,0,0,0.6526410484291721,39901595.6609175,310899589.36465675,295338879.98064435,606238469.3453012,-17280402.883099675,0,23429039.7168368,0,200327.83924595814,347743125.2058223,362531963.48110926,848536.9116214054,0,186614.25140900168,0,0.7079755165613958,2789073.574681212,3399956.2819009162,0.4166335922845445,0.09198582771749121,0.21542309684549066,0.2759574831524736
2031,76314241.35583827,29756191.270012237,7786096.199495737,15413665.287843088,23358288.598487213,0,0,0,0,0,0,710777427.8504938,706147564.6557759,4629863.194717918,374071674.5104849,369440737.4102542,4630937.100230694,372305326.9540534,367675667.7478743,4629659.206179057,0.067,336705753.340009,336706827.2455217,-1073.9055127762258,338472100.89644045,338471896.9079016,203.9885388603434,0.5262852474673236,0.5238001551061703,0.1364723111380809,0.1375280067702251,0.13243774999882435,0.1375280067702251,0.13243774999882435,0.03,0.03,0.10752800677022509,0.10243774999882435,0,1.3824647011912328,-8.083695960056184e-6,0,0.1195,0.1195,4092309.6744383555,1031173.0619356129,0,892685.7381003671,233582.88598487212,0,3199623.9363379884,797590.1759507408,0,41136884.072686635,-62.9404343924725,1841933.001897249,2791315.487519222,49767283.73395745,45134035.244540974,4633248.489416471,62543027.54798902,62543027.54798902,0,60133.7003606935,0,60133.7003606935,0,0,0,0,0,0,0.6521362572668764,40201691.644682854,351101281.0093396,273415585.694949,624516866.7042885,-17313833.800864026,0,23835767.966437362,0,186511.92432563606,354075374.41992325,369254225.48592854,970976.421140527,0,260002.8521182789,0,0.8370954549416744,3885445.2004466965,4630936.263135239,0.38991662291792933,0.102026778503775,0.20197626306697072,0.306080335511325
