entry_year,entry_age,age,yos,count,entry_salary
2020,25,27,2,1.4685067232837934,34909.039743446934
2015,20,27,7,1.4685067232837934,6916.49533680545
2020,30,32,2,11.748053786270347,23414.336720037056
2015,25,32,7,5.874026893135174,13789.822533506012
2010,20,32,12,2.937013446567587,52026.54741151804
2020,35,37,2,13.21656050955414,49765.666680346374
2015,30,37,7,14.685067232837934,21607.252942500523
2010,25,37,12,10.279547062986554,43080.10954427099
2005,20,37,17,2.937013446567587,45075.205952052354
2020,40,42,2,23.496107572540694,39487.59739460277
2015,35,42,7,24.96461429582449,29825.187762468162
2010,30,42,12,16.153573956121726,60180.66824863956
2005,25,42,17,14.685067232837934,43598.767543354574
2000,20,42,22,5.874026893135174,52619.16061900071
2020,45,47,2,22.0276008492569,51468.20348363419
2015,40,47,7,27.901627742392073,52801.03062829404
2010,35,47,12,19.090587402689316,35618.15904473118
2005,30,47,17,16.153573956121726,62752.40619964226
2000,25,47,22,14.685067232837934,43743.16860846676
1995,20,47,27,7.342533616418967,43071.052443005014
2020,50,52,2,16.153573956121726,58948.10897642597
2015,45,52,7,41.118188251946215,30666.966494513486
2010,40,52,12,36.71266808209484,56191.15102730247
2005,35,52,17,23.496107572540694,44748.33421626908
2000,30,52,22,24.96461429582449,35255.58474377534
1995,25,52,27,24.96461429582449,36544.50929637198
1990,20,52,32,13.21656050955414,45269.51941046439
2020,55,57,2,16.153573956121726,30347.366754803043
2015,50,57,7,42.58669497523001,53155.96866915645
2010,45,57,12,29.370134465675868,30660.557128803925
2005,40,57,17,17.62208067940552,57943.96620717865
2000,35,57,22,22.0276008492569,45374.97760845232
1995,30,57,27,7.342533616418967,47049.469201532134
1990,25,57,32,16.153573956121726,36726.32424261988
1985,20,57,37,7.342533616418967,36808.70652286355
2020,60,62,2,10.279547062986554,44159.02068957431
2015,55,62,7,49.92922859164898,42662.11357365886
2010,50,62,12,23.496107572540694,43450.03916366752
2005,45,62,17,17.62208067940552,40208.12644748552
2000,40,62,22,14.685067232837934,38321.78255242013
1995,35,62,27,14.685067232837934,28630.264024427575
1990,30,62,32,7.342533616418967,36281.80786243044
1985,25,62,37,4.40552016985138,19169.04484493503
2020,65,67,2,24.96461429582449,33695.220116199314
2015,60,67,7,45.52370842179759,46503.27863299198
2010,55,67,12,38.18117480537863,33072.93426008033
2005,50,67,17,41.118188251946215,32394.556607039336
2000,45,67,22,30.838641188959663,26389.98326962699
1995,40,67,27,20.559094125973107,28082.520159104126
1990,35,67,32,5.874026893135174,33156.897238236954
1985,30,67,37,8.81104033970276,35115.17650413187
1980,25,67,42,5.874026893135174,26697.839530743477
