entry_year,entry_age,age,yos,count,entry_salary
2020,30,32,2,1.4685067232837934,149599.75728721792
2020,35,37,2,19.090587402689316,131225.466171906
2015,30,37,7,11.748053786270347,122041.6024563373
2010,25,37,12,16.153573956121726,104139.54338537391
2020,40,42,2,26.43312101910828,152947.32665873185
2015,35,42,7,23.496107572540694,132479.56241421844
2010,30,42,12,17.62208067940552,107111.61217799039
2005,25,42,17,16.153573956121726,86246.22979600161
2020,45,47,2,20.559094125973107,149750.0525099769
2015,40,47,7,35.24416135881104,127677.94363540098
2010,35,47,12,22.0276008492569,111020.10433768599
2005,30,47,17,30.838641188959663,89547.66218915148
2000,25,47,22,29.370134465675868,74399.3144771898
2020,50,52,2,26.43312101910828,149339.3078018157
2015,45,52,7,29.370134465675868,131460.9181291722
2010,40,52,12,44.0552016985138,103701.44284190651
2005,35,52,17,42.58669497523001,91140.70779455494
2000,30,52,22,46.99221514508139,76634.34808211171
1995,25,52,27,36.71266808209484,65352.8004292033
1990,20,52,32,1.4685067232837934,52009.3808628031
2020,55,57,2,8.81104033970276,150246.68020257185
2015,50,57,7,38.18117480537863,130325.94718194476
2010,45,57,12,30.838641188959663,106960.06380268218
2005,40,57,17,29.370134465675868,88990.45840971691
2000,35,57,22,45.52370842179759,77217.03316551074
1995,30,57,27,33.775654635527246,65507.25021594704
1990,25,57,32,14.685067232837934,53831.639876259665
2020,60,62,2,4.40552016985138,160046.67553501835
2015,55,62,7,26.43312101910828,131239.26867825937
2010,50,62,12,42.58669497523001,109506.60593449874
2005,45,62,17,36.71266808209484,92002.70204134024
2000,40,62,22,38.18117480537863,77048.13893843857
1995,35,62,27,27.901627742392073,64762.65213919012
1990,30,62,32,13.21656050955414,54342.165078971084
1985,25,62,37,7.342533616418967,45836.414055674286
2020,65,67,2,2.937013446567587,142428.52808700321
2015,60,67,7,11.748053786270347,132701.99785609194
2010,55,67,12,22.0276008492569,108725.0398592193
2005,50,67,17,17.62208067940552,91374.17617813803
2000,45,67,22,16.153573956121726,83095.4905688843
1995,40,67,27,5.874026893135174,71471.9350748486
1990,35,67,32,2.937013446567587,57950.76341735469
1985,30,67,37,2.937013446567587,45069.127443670914
1980,25,67,42,4.40552016985138,40396.03349042325
