entry_age,entry_year,dist_age,dist_year,term_year,yos,cum_mort_dr
20,1995,48,2023,2023,28,1
20,1995,49,2024,2023,28,0.9363282642373119
20,1995,50,2025,2023,28,0.8766421775651299
20,1995,51,2026,2023,28,0.8206910500476704
20,1995,52,2027,2023,28,0.7682402297173306
20,1995,53,2028,2023,28,0.7190699815376507
20,1995,54,2029,2023,28,0.6729709181674357
20,1995,55,2030,2023,28,0.6297539149234521
20,1995,56,2031,2023,28,0.5892392564668647
20,1995,57,2032,2023,28,0.5512555646717132
20,1995,58,2033,2023,28,0.5156465005955396
20,1995,59,2034,2023,28,0.481250516490783
20,1995,60,2035,2023,28,0.4490625278799103
20,1995,61,2036,2023,28,0.4189390303845392
20,1995,49,2024,2024,29,1
20,1995,50,2025,2024,29,0.9362551693120152
20,1995,51,2026,2024,29,0.8764992806408188
20,1995,52,2027,2024,29,0.8204817253307015
20,1995,53,2028,2024,29,0.7679678260309387
20,1995,54,2029,2024,29,0.718733956744973
20,1995,55,2030,2024,29,0.672578132025545
20,1995,56,2031,2024,29,0.6293084156194203
20,1995,57,2032,2024,29,0.5887417754293036
20,1995,58,2033,2024,29,0.5507112412285883
20,1995,59,2034,2024,29,0.5139762782690177
20,1995,60,2035,2024,29,0.4795994578308442
20,1995,61,2036,2024,29,0.4474275170212734
25,1995,53,2023,2023,28,1
25,1995,54,2024,2023,28,0.935851580452877
25,1995,55,2025,2023,28,0.8757072106422349
25,1995,56,2026,2023,28,0.8193176153225007
25,1995,57,2027,2023,28,0.7664450968297004
25,1995,58,2028,2023,28,0.716872936482797
25,1995,59,2029,2023,28,0.6689203238440226
25,1995,60,2030,2023,28,0.6240446910387072
25,1995,61,2031,2023,28,0.5820476683059325
25,1995,54,2024,2024,29,1
25,1995,55,2025,2024,29,0.9357330039646489
25,1995,56,2026,2024,29,0.8754781553352902
25,1995,57,2027,2024,29,0.8189814633414443
25,1995,58,2028,2024,29,0.7660113542105557
25,1995,59,2029,2024,29,0.7147718055039441
25,1995,60,2030,2024,29,0.6668201497685347
25,1995,61,2031,2024,29,0.6219444198878932
20,2000,43,2023,2023,23,1
20,2000,44,2024,2023,23,0.9365602385749826
20,2000,45,2025,2023,23,0.8771126798680994
20,2000,46,2026,2023,23,0.8214033698416614
20,2000,47,2027,2023,23,0.7691967955513562
20,2000,48,2028,2023,23,0.7202698678741534
20,2000,49,2029,2023,23,0.674415563616364
20,2000,50,2030,2023,23,0.6314365883588147
20,2000,51,2031,2023,23,0.5911519327246131
20,2000,52,2032,2023,23,0.553391945339213
20,2000,53,2033,2023,23,0.5179977251586181
20,2000,54,2034,2023,23,0.48481768540978304
20,2000,55,2035,2023,23,0.45371460400281705
20,2000,56,2036,2023,23,0.4245581738373226
20,2000,57,2037,2023,23,0.39722443922795053
20,2000,58,2038,2023,23,0.37160021162095386
20,2000,59,2039,2023,23,0.34688401534426927
20,2000,60,2040,2023,23,0.3237525571684493
20,2000,61,2041,2023,23,0.3021029971474733
20,2000,44,2024,2024,24,1
20,2000,45,2025,2024,24,0.9365256432439035
20,2000,46,2026,2024,24,0.8770427528414644
20,2000,47,2027,2024,24,0.8212998629129535
20,2000,48,2028,2024,24,0.7690587729520479
20,2000,49,2029,2024,24,0.7200984366392885
20,2000,50,2030,2024,24,0.6742081954275285
20,2000,51,2031,2024,24,0.6311947789114736
20,2000,52,2032,2024,24,0.5908770440449437
20,2000,53,2033,2024,24,0.5530853263072264
20,2000,54,2034,2024,24,0.5176577708951796
20,2000,55,2035,2024,24,0.4844478607090598
20,2000,56,2036,2024,24,0.4533164620391172
20,2000,57,2037,2024,24,0.42413122281631865
20,2000,58,2038,2024,24,0.3967712874362036
20,2000,59,2039,2024,24,0.3703808906857593
20,2000,60,2040,2024,24,0.34568257740799785
20,2000,61,2041,2024,24,0.3225665415896112
20,2000,45,2025,2025,25,1
20,2000,46,2026,2025,25,0.9364855721447151
20,2000,47,2027,2025,25,0.8769646286119458
20,2000,48,2028,2025,25,0.8211828245174474
20,2000,49,2029,2025,25,0.7689041318132386
20,2000,50,2030,2025,25,0.7199036142696859
20,2000,51,2031,2025,25,0.6739749023050389
20,2000,52,2032,2025,25,0.6309245756456653
20,2000,53,2033,2025,25,0.5905714705167809
20,2000,54,2034,2025,25,0.5527427621758817
20,2000,55,2035,2025,25,0.5172820031185126
20,2000,56,2036,2025,25,0.4840406296499645
20,2000,57,2037,2025,25,0.4528773193515859
20,2000,58,2038,2025,25,0.4236630254585252
20,2000,59,2039,2025,25,0.39548398205397495
20,2000,60,2040,2025,25,0.3691117054847906
20,2000,61,2041,2025,25,0.34442894747902136
20,2000,46,2026,2026,26,1
20,2000,47,2027,2026,26,0.9364422204642663
20,2000,48,2028,2026,26,0.8768771766945599
20,2000,49,2029,2026,26,0.8210528327225739
20,2000,50,2030,2026,26,0.7687289966688767
20,2000,51,2031,2026,26,0.7196853025311633
20,2000,52,2032,2026,26,0.6737152118646507
20,2000,53,2033,2026,26,0.6306252739850219
20,2000,54,2034,2026,26,0.5902309428110082
20,2000,55,2035,2026,26,0.5523651602382369
20,2000,56,2036,2026,26,0.516869286668696
20,2000,57,2037,2026,26,0.48359241489905486
20,2000,58,2038,2026,26,0.4523967459405307
20,2000,59,2039,2026,26,0.4223065403434328
20,2000,60,2040,2026,26,0.3941456403214632
20,2000,61,2041,2026,26,0.3677888455774274
20,2000,47,2027,2027,27,1
20,2000,48,2028,2027,27,0.9363921847306549
20,2000,49,2029,2027,27,0.8767789563306051
20,2000,50,2030,2027,27,0.8209038207266636
20,2000,51,2031,2027,27,0.768531455335664
20,2000,52,2032,2027,27,0.7194413036296445
20,2000,53,2033,2027,27,0.6734267851276212
20,2000,54,2034,2027,27,0.6302908283208177
20,2000,55,2035,2027,27,0.5898550366133504
20,2000,56,2036,2027,27,0.5519500032927224
20,2000,57,2037,2027,27,0.5164145788506855
20,2000,58,2038,2027,27,0.48310161166830223
20,2000,59,2039,2027,27,0.45096913735271693
20,2000,60,2040,2027,27,0.4208969135608334
20,2000,61,2041,2027,27,0.3927512424579556
20,2000,48,2028,2028,28,1
20,2000,49,2029,2028,28,0.9363373281279607
20,2000,50,2030,2028,28,0.8766666724827369
20,2000,51,2031,2028,28,0.8207367253462559
20,2000,52,2032,2028,28,0.7683119480931866
20,2000,53,2033,2028,28,0.7191717275185574
20,2000,54,2034,2028,28,0.6731056053208255
20,2000,55,2035,2028,28,0.6299230666721306
20,2000,56,2036,2028,28,0.589443197298241
20,2000,57,2037,2028,28,0.5514939010295432
20,2000,58,2038,2028,28,0.5159180304428345
20,2000,59,2039,2028,28,0.4816028419571167
20,2000,60,2040,2028,28,0.4494878539400677
20,2000,61,2041,2028,28,0.4194302866495272
20,2000,49,2029,2029,29,1
20,2000,50,2030,2029,29,0.936272266572428
20,2000,51,2031,2029,29,0.8765395768074018
20,2000,52,2032,2029,29,0.8205503775325174
20,2000,53,2033,2029,29,0.7680690557925453
20,2000,54,2034,2029,29,0.7188708439794663
20,2000,55,2035,2029,29,0.6727522739390828
20,2000,56,2036,2029,29,0.6295201308237144
20,2000,57,2037,2029,29,0.5889906174435626
20,2000,58,2038,2029,29,0.5509959017380205
20,2000,59,2039,2029,29,0.5143475833864231
20,2000,60,2040,2029,29,0.48004905971092526
20,2000,61,2041,2029,29,0.4479478432074296
25,2000,48,2023,2023,23,1
25,2000,49,2024,2023,23,0.9363282642373119
25,2000,50,2025,2023,23,0.8766421775651299
25,2000,51,2026,2023,23,0.8206910500476704
25,2000,52,2027,2023,23,0.7682402297173306
25,2000,53,2028,2023,23,0.7190699815376507
25,2000,54,2029,2023,23,0.6729709181674357
25,2000,55,2030,2023,23,0.6297539149234521
25,2000,56,2031,2023,23,0.5892392564668647
25,2000,57,2032,2023,23,0.5512555646717132
25,2000,58,2033,2023,23,0.5156465005955396
25,2000,59,2034,2023,23,0.481250516490783
25,2000,60,2035,2023,23,0.4490625278799103
25,2000,61,2036,2023,23,0.4189390303845392
25,2000,49,2024,2024,24,1
25,2000,50,2025,2024,24,0.9362551693120152
25,2000,51,2026,2024,24,0.8764992806408188
25,2000,52,2027,2024,24,0.8204817253307015
25,2000,53,2028,2024,24,0.7679678260309387
25,2000,54,2029,2024,24,0.718733956744973
25,2000,55,2030,2024,24,0.672578132025545
25,2000,56,2031,2024,24,0.6293084156194203
25,2000,57,2032,2024,24,0.5887417754293036
25,2000,58,2033,2024,24,0.5507112412285883
25,2000,59,2034,2024,24,0.5139762782690177
25,2000,60,2035,2024,24,0.4795994578308442
25,2000,61,2036,2024,24,0.4474275170212734
25,2000,50,2025,2025,25,1
25,2000,51,2026,2025,25,0.9361756381915556
25,2000,52,2027,2025,25,0.8763441337617531
25,2000,53,2028,2025,25,0.8202548313781397
25,2000,54,2029,2025,25,0.7676688794926679
25,2000,55,2030,2025,25,0.7183705405010185
25,2000,56,2031,2025,25,0.6721548101911712
25,2000,57,2032,2025,25,0.6288261947455269
25,2000,58,2033,2025,25,0.5882063557878834
25,2000,59,2034,2025,25,0.5489702968974803
25,2000,60,2035,2025,25,0.5122529344038405
25,2000,61,2036,2025,25,0.4778905705268947
25,2000,51,2026,2026,26,1
25,2000,52,2027,2026,26,0.9360894451970774
25,2000,53,2028,2026,26,0.8761762194139722
25,2000,54,2029,2026,26,0.8200051872484119
25,2000,55,2030,2026,26,0.7673459030494758
25,2000,56,2031,2026,26,0.7179793863142999
25,2000,57,2032,2026,26,0.6716968153115513
25,2000,58,2033,2026,26,0.6283076933342796
25,2000,59,2034,2026,26,0.5863966914989864
25,2000,60,2035,2026,26,0.5471760997683918
25,2000,61,2036,2026,26,0.510471060163511
25,2000,52,2027,2027,27,1
25,2000,53,2028,2027,27,0.9359962596624604
25,2000,54,2029,2027,27,0.8759902074056332
25,2000,55,2030,2027,27,0.8197356641361601
25,2000,56,2031,2027,27,0.7669986986800623
25,2000,57,2032,2027,27,0.7175562322146868
25,2000,58,2033,2027,27,0.671204762064164
25,2000,59,2034,2027,27,0.6264323292049627
25,2000,60,2035,2027,27,0.5845339914640243
25,2000,61,2036,2027,27,0.5453229526116921
25,2000,53,2028,2028,28,1
25,2000,54,2029,2028,28,0.9358907136247888
25,2000,55,2030,2028,28,0.8757894656884353
25,2000,56,2031,2028,28,0.8194463287242815
25,2000,57,2032,2028,28,0.7666229697044434
25,2000,58,2033,2028,28,0.7171019703713499
25,2000,59,2034,2028,28,0.6692679834328261
25,2000,60,2035,2028,28,0.6245046232073828
25,2000,61,2036,2028,28,0.5826123202760947
25,2000,54,2029,2029,29,1
25,2000,55,2030,2029,29,0.9357817669719405
25,2000,56,2031,2029,29,0.8755790786196522
25,2000,57,2032,2029,29,0.8191372759061193
25,2000,58,2033,2029,29,0.7662240472436675
25,2000,59,2034,2029,29,0.7151133927172875
25,2000,60,2035,2029,29,0.6672837053683546
25,2000,61,2036,2029,29,0.6225217451080209
30,2000,53,2023,2023,23,1
30,2000,54,2024,2023,23,0.935851580452877
30,2000,55,2025,2023,23,0.8757072106422349
30,2000,56,2026,2023,23,0.8193176153225007
30,2000,57,2027,2023,23,0.7664450968297004
30,2000,58,2028,2023,23,0.716872936482797
30,2000,59,2029,2023,23,0.6689203238440226
30,2000,60,2030,2023,23,0.6240446910387072
30,2000,61,2031,2023,23,0.5820476683059325
30,2000,54,2024,2024,24,1
30,2000,55,2025,2024,24,0.9357330039646489
30,2000,56,2026,2024,24,0.8754781553352902
30,2000,57,2027,2024,24,0.8189814633414443
30,2000,58,2028,2024,24,0.7660113542105557
30,2000,59,2029,2024,24,0.7147718055039441
30,2000,60,2030,2024,24,0.6668201497685347
30,2000,61,2031,2024,24,0.6219444198878932
30,2000,55,2025,2025,25,1
30,2000,56,2026,2025,25,0.9356067934185689
30,2000,57,2027,2025,25,0.8752298570975537
30,2000,58,2028,2025,25,0.8186217125665207
30,2000,59,2029,2025,25,0.763862984927854
30,2000,60,2030,2025,25,0.7126179657479801
30,2000,61,2031,2025,25,0.6646601298156088
30,2000,56,2026,2026,26,1
30,2000,57,2027,2026,26,0.935467616582382
30,2000,58,2028,2026,26,0.8749634123277342
30,2000,59,2029,2026,26,0.8164359112195109
30,2000,60,2030,2026,26,0.7616639498139804
30,2000,61,2031,2026,26,0.7104054122854742
30,2000,57,2027,2027,27,1
30,2000,58,2028,2027,27,0.9353219681984369
30,2000,59,2029,2027,27,0.8727570006135125
30,2000,60,2030,2027,27,0.8142066452247998
30,2000,61,2031,2027,27,0.7594120840664207
20,2005,38,2023,2023,18,1
20,2005,39,2024,2023,18,0.9366882236720044
20,2005,40,2025,2023,18,0.8773604940551892
20,2005,41,2026,2023,18,0.8217720385082693
20,2005,42,2027,2023,18,0.7696854240394869
20,2005,43,2028,2023,18,0.7208843555386174
20,2005,44,2029,2023,18,0.675154489708079
20,2005,45,2030,2023,18,0.6323061689731734
20,2005,46,2031,2023,18,0.5921557556206118
20,2005,47,2032,2023,18,0.5545329378404286
20,2005,48,2033,2023,18,0.5192763216101842
20,2005,49,2034,2023,18,0.48623604567512835
20,2005,50,2035,2023,18,0.45526940045972886
20,2005,51,2036,2023,18,0.4262453023087948
20,2005,52,2037,2023,18,0.39904098239928837
20,2005,53,2038,2023,18,0.3735415568466776
20,2005,54,2039,2023,18,0.349637667269792
20,2005,55,2040,2023,18,0.3272302760984133
20,2005,56,2041,2023,18,0.306225487102387
20,2005,57,2042,2023,18,0.2865340439275549
20,2005,58,2043,2023,18,0.26807434091667065
20,2005,59,2044,2023,18,0.2502928217469998
20,2005,60,2045,2023,18,0.23365013370088988
20,2005,61,2046,2023,18,0.21807248166464502
20,2005,39,2024,2024,19,1
20,2005,40,2025,2024,19,0.9366622445788432
20,2005,41,2026,2024,19,0.8773165048309877
20,2005,42,2027,2024,19,0.8217092994103916
20,2005,43,2028,2024,19,0.7696097135849612
20,2005,44,2029,2024,19,0.720788916360386
20,2005,45,2030,2024,19,0.6750444310001115
20,2005,46,2031,2024,19,0.6321802075179758
20,2005,47,2032,2024,19,0.5920144225434467
20,2005,48,2033,2024,19,0.5543747732564819
20,2005,49,2034,2024,19,0.5191012691170455
20,2005,50,2035,2024,19,0.4860415546541004
20,2005,51,2036,2024,19,0.4550556861255588
20,2005,52,2037,2024,19,0.4260125966300379
20,2005,53,2038,2024,19,0.3987896371562357
20,2005,54,2039,2024,19,0.3732700576709961
20,2005,55,2040,2024,19,0.3493481265469587
20,2005,56,2041,2024,19,0.3269236010055962
20,2005,57,2042,2024,19,0.30590119175864555
20,2005,58,2043,2024,19,0.2861937773336851
20,2005,59,2044,2024,19,0.26721038593375507
20,2005,60,2045,2024,19,0.24944280049228637
20,2005,61,2046,2024,19,0.23281223800354556
20,2005,40,2025,2025,20,1
20,2005,41,2026,2025,20,0.9366412598657272
20,2005,42,2027,2025,20,0.8772738563620246
20,2005,43,2028,2025,20,0.8216512601412745
20,2005,44,2029,2025,20,0.769529166497448
20,2005,45,2030,2025,20,0.7206914070755949
