entry_year,entry_age,term_age,yos,term_year,separation_rate,remaining_prob,separation_prob
1970,20,20,0,1970,0.075,1,0
1970,20,21,1,1971,0.0875,0.925,0.07499999999999996
1970,20,22,2,1972,0.135,0.8440625,0.0809375
1970,20,23,3,1973,0.13,0.7301140625,0.11394843750000005
1970,20,24,4,1974,0.11,0.635199234375,0.09491482812499996
1970,20,25,5,1975,0.095,0.56532731859375,0.06987191578125007
1970,20,26,6,1976,0.0925,0.5116212233273437,0.05370609526640624
1970,20,27,7,1977,0.07,0.4642962601695645,0.04732496315777923
1970,20,28,8,1978,0.06,0.43179552195769494,0.03250073821186955
1970,20,29,9,1979,0.06,0.4058877906402332,0.025907731317461713
1970,20,30,10,1980,0.055,0.3815345232018192,0.02435326743841404
1970,20,31,11,1981,0.045,0.3605501244257191,0.02098439877610009
1970,20,32,12,1982,0.04,0.34432536882656173,0.01622475559915737
1970,20,33,13,1983,0.035,0.33055235407349925,0.013773014753062474
1970,20,34,14,1984,0.03,0.3189830216809268,0.011569332392572462
1970,20,35,15,1985,0.025,0.30941353103049896,0.009569490650427837
1970,20,36,16,1986,0.02,0.3016781927547365,0.007735338275762449
1970,20,37,17,1987,0.02,0.29564462889964177,0.006033563855094737
1970,20,38,18,1988,0.02,0.2897317363216489,0.005912892577992879
1970,20,39,19,1989,0.0175,0.2839371015952159,0.00579463472643299
1970,20,40,20,1990,0.0175,0.27896820231729963,0.004968899277916272
1970,20,41,21,1991,0.0175,0.2740862587767469,0.004881943540552713
1970,20,42,22,1992,0.0175,0.26928974924815385,0.0047965095285930626
1970,20,43,23,1993,0.01,0.2645771786363112,0.004712570611842659
1970,20,44,24,1994,0.01,0.2619314068499481,0.0026457717863631047
1970,20,45,25,1995,0.01,0.25931209278144857,0.002619314068499523
1970,20,46,26,1996,0.01,0.25671897185363407,0.002593120927814496
1970,20,47,27,1997,0.01,0.25415178213509776,0.0025671897185363113
1970,20,48,28,1998,0.01,0.2516102643137468,0.0025415178213509804
1970,20,49,29,1999,0.01,0.2490941616706093,0.00251610264313748
1970,20,50,30,2000,0.19,0.2466032200539032,0.0024909416167060994
1970,20,51,31,2001,0.19,0.1997486082436616,0.046854611810241587
1970,20,52,32,2002,0.19,0.1617963726773659,0.037952235566295706
1970,20,53,33,2003,0.19,0.1310550618686664,0.030741310808699518
1970,20,54,34,2004,0.19,0.1061546001136198,0.024900461755046593
1970,20,55,35,2005,0.19,0.08598522609203203,0.020169374021587763
1970,20,56,36,2006,0.19,0.06964803313454596,0.016337192957486077
1970,20,57,37,2007,0.5800000000000001,0.056414906838982225,0.013233126295563731
1970,20,58,38,2008,0.65,0.02369426087237253,0.032720645966609695
1970,20,59,39,2009,0.65,0.008292991305330386,0.015401269567042145
1970,20,60,40,2010,0.65,0.0029025469568656347,0.005390444348464751
1970,20,61,41,2011,0.65,0.001015891434902972,0.0018866555219626626
1970,20,62,42,2012,0.53,3.555620022160402e-4,6.603294326869318e-4
1970,20,63,43,2013,0.06,1.6711414104153888e-4,1.8844786117450132e-4
1970,20,64,44,2014,0.06,1.5708729257904656e-4,1.0026848462492324e-5
1970,20,65,45,2015,0.06,1.4766205502430375e-4,9.425237554742803e-6
1970,20,66,46,2016,0.06,1.388023317228455e-4,8.859723301458256e-6
1970,20,67,47,2017,0.06,1.3047419181947477e-4,8.328139903370727e-6
1970,20,68,48,2018,0.06,1.2264574031030628e-4,7.828451509168493e-6
1970,20,69,49,2019,0.06,1.152869958916879e-4,7.358744418618375e-6
