age,2,7,12,17,22,27,32,37,42,47,52
20,32413,,,,,,,,,,
22,45079,57446.0,50175.0,,,,,,,,
27,52441,62197.0,65756.0,,,,,,,,
32,53728,68662.0,75107.0,81059.0,,,,,,,
37,53663,70223.0,81868.0,94375.0,93281.0,,,,,,
42,53970,68963.0,81278.0,97371.0,100383.0,95462.0,,,,,
47,54184,66519.0,79342.0,95326.0,103428.0,105418.0,153960.0,,,,
52,56606,67342.0,78272.0,93581.0,102022.0,99464.0,94742.0,,,,
57,51337,68649.0,79583.0,90295.0,92384.0,87774.0,92674.0,92499.0,,,
62,47846,64856.0,74993.0,87025.0,89895.0,93451.0,88251.0,106377.0,88681.0,,
67,48158,63347.0,72305.0,82234.0,90353.0,88112.0,98159.0,90783.0,85948.0,146029.0,
