age,tier,retire_type,retire_rate
52,tier_1,early,0.0
53,tier_1,early,0.0
54,tier_1,early,0.0
55,tier_1,early,0.0
56,tier_1,early,0.0
57,tier_1,early,0.0
58,tier_1,early,0.03
59,tier_1,early,0.03
60,tier_1,early,0.03
61,tier_1,early,0.03
62,tier_1,early,0.03
63,tier_1,early,0.05
64,tier_1,early,0.05
65,tier_1,early,0.05
66,tier_1,early,0.05
67,tier_1,early,0.12
68,tier_1,early,0.12
69,tier_1,early,0.12
70,tier_1,early,0.12
71,tier_1,early,0.12
72,tier_1,early,0.12
73,tier_1,early,0.12
74,tier_1,early,0.12
75,tier_1,early,0.12
76,tier_1,early,0.12
77,tier_1,early,0.12
78,tier_1,early,0.12
79,tier_1,early,0.12
80,tier_1,early,1.0
45,tier_1,normal,0.05
46,tier_1,normal,0.05
47,tier_1,normal,0.05
48,tier_1,normal,0.19
49,tier_1,normal,0.19
50,tier_1,normal,0.19
51,tier_1,normal,0.19
52,tier_1,normal,0.19
53,tier_1,normal,0.19
54,tier_1,normal,0.19
55,tier_1,normal,0.19
56,tier_1,normal,0.19
57,tier_1,normal,0.5800000000000001
58,tier_1,normal,0.5800000000000001
59,tier_1,normal,0.5800000000000001
60,tier_1,normal,0.5800000000000001
61,tier_1,normal,0.5800000000000001
62,tier_1,normal,0.4599999999999999
63,tier_1,normal,0.06
64,tier_1,normal,0.06
65,tier_1,normal,0.06
66,tier_1,normal,0.06
67,tier_1,normal,0.06
68,tier_1,normal,0.06
69,tier_1,normal,0.06
70,tier_1,normal,0.06
71,tier_1,normal,0.06
72,tier_1,normal,0.06
73,tier_1,normal,0.06
74,tier_1,normal,0.06
75,tier_1,normal,0.06
76,tier_1,normal,0.06
77,tier_1,normal,0.06
78,tier_1,normal,0.06
79,tier_1,normal,0.06
80,tier_1,normal,1.0
55,tier_2,early,0.0
56,tier_2,early,0.0
57,tier_2,early,0.0
58,tier_2,early,0.0
59,tier_2,early,0.0
60,tier_2,early,0.0
61,tier_2,early,0.03
62,tier_2,early,0.03
63,tier_2,early,0.03
64,tier_2,early,0.03
65,tier_2,early,0.03
66,tier_2,early,0.05
67,tier_2,early,0.12
68,tier_2,early,0.12
69,tier_2,early,0.12
70,tier_2,early,0.12
71,tier_2,early,0.12
72,tier_2,early,0.12
73,tier_2,early,0.12
74,tier_2,early,0.12
75,tier_2,early,0.12
76,tier_2,early,0.12
77,tier_2,early,0.12
78,tier_2,early,0.12
79,tier_2,early,0.12
80,tier_2,early,1.0
45,tier_2,normal,0.05
46,tier_2,normal,0.05
47,tier_2,normal,0.05
48,tier_2,normal,0.16
49,tier_2,normal,0.16
50,tier_2,normal,0.19
51,tier_2,normal,0.19
52,tier_2,normal,0.19
53,tier_2,normal,0.19
54,tier_2,normal,0.19
55,tier_2,normal,0.19
56,tier_2,normal,0.19
57,tier_2,normal,0.19
58,tier_2,normal,0.19
59,tier_2,normal,0.19
60,tier_2,normal,0.5800000000000001
61,tier_2,normal,0.53
62,tier_2,normal,0.48
63,tier_2,normal,0.43
64,tier_2,normal,0.38
65,tier_2,normal,0.3299999999999999
66,tier_2,normal,0.06
67,tier_2,normal,0.06
68,tier_2,normal,0.06
69,tier_2,normal,0.06
70,tier_2,normal,0.06
71,tier_2,normal,0.06
72,tier_2,normal,0.06
73,tier_2,normal,0.06
74,tier_2,normal,0.06
75,tier_2,normal,0.06
76,tier_2,normal,0.06
77,tier_2,normal,0.06
78,tier_2,normal,0.06
79,tier_2,normal,0.06
80,tier_2,normal,1.0
