age,tier,retire_type,retire_rate
52,tier_1,early,0.0
53,tier_1,early,0.0
54,tier_1,early,0.0
55,tier_1,early,0.0
56,tier_1,early,0.0
57,tier_1,early,0.0
58,tier_1,early,0.02
59,tier_1,early,0.035
60,tier_1,early,0.05
61,tier_1,early,0.05
62,tier_1,early,0.095
63,tier_1,early,0.08
64,tier_1,early,0.08
65,tier_1,early,0.14
66,tier_1,early,0.14
67,tier_1,early,0.14
68,tier_1,early,0.14
69,tier_1,early,0.14
70,tier_1,early,0.14
71,tier_1,early,0.14
72,tier_1,early,0.14
73,tier_1,early,0.14
74,tier_1,early,0.14
75,tier_1,early,0.14
76,tier_1,early,0.14
77,tier_1,early,0.14
78,tier_1,early,0.14
79,tier_1,early,0.14
80,tier_1,early,1.0
45,tier_1,normal,0.0
46,tier_1,normal,0.0
47,tier_1,normal,0.0
48,tier_1,normal,0.0775
49,tier_1,normal,0.1
50,tier_1,normal,0.1
51,tier_1,normal,0.105
52,tier_1,normal,0.11
53,tier_1,normal,0.12
54,tier_1,normal,0.125
55,tier_1,normal,0.135
56,tier_1,normal,0.15
57,tier_1,normal,0.3575
58,tier_1,normal,0.3675
59,tier_1,normal,0.375
60,tier_1,normal,0.385
61,tier_1,normal,0.43
62,tier_1,normal,0.44375
63,tier_1,normal,0.15125
64,tier_1,normal,0.15125
65,tier_1,normal,0.17375
66,tier_1,normal,0.18
67,tier_1,normal,0.18
68,tier_1,normal,0.18
69,tier_1,normal,0.18
70,tier_1,normal,0.18
71,tier_1,normal,0.18
72,tier_1,normal,0.18
73,tier_1,normal,0.18
74,tier_1,normal,0.18
75,tier_1,normal,0.18
76,tier_1,normal,0.18
77,tier_1,normal,0.18
78,tier_1,normal,0.18
79,tier_1,normal,0.18
80,tier_1,normal,1.0
55,tier_2,early,0.0
56,tier_2,early,0.0
57,tier_2,early,0.0
58,tier_2,early,0.0
59,tier_2,early,0.0
60,tier_2,early,0.0
61,tier_2,early,0.05
62,tier_2,early,0.05
63,tier_2,early,0.05
64,tier_2,early,0.05
65,tier_2,early,0.14
66,tier_2,early,0.14
67,tier_2,early,0.14
68,tier_2,early,0.14
69,tier_2,early,0.14
70,tier_2,early,0.14
71,tier_2,early,0.14
72,tier_2,early,0.14
73,tier_2,early,0.14
74,tier_2,early,0.14
75,tier_2,early,0.14
76,tier_2,early,0.14
77,tier_2,early,0.14
78,tier_2,early,0.14
79,tier_2,early,0.14
80,tier_2,early,1.0
45,tier_2,normal,0.0
46,tier_2,normal,0.0
47,tier_2,normal,0.0
48,tier_2,normal,0.045
49,tier_2,normal,0.0675
50,tier_2,normal,0.1
51,tier_2,normal,0.105
52,tier_2,normal,0.11
53,tier_2,normal,0.12
54,tier_2,normal,0.125
55,tier_2,normal,0.135
56,tier_2,normal,0.15
57,tier_2,normal,0.17
58,tier_2,normal,0.1725
59,tier_2,normal,0.1775
60,tier_2,normal,0.375
61,tier_2,normal,0.4275
62,tier_2,normal,0.4025
63,tier_2,normal,0.37125
64,tier_2,normal,0.34
65,tier_2,normal,0.3525
66,tier_2,normal,0.18
67,tier_2,normal,0.18
68,tier_2,normal,0.18
69,tier_2,normal,0.18
70,tier_2,normal,0.18
71,tier_2,normal,0.18
72,tier_2,normal,0.18
73,tier_2,normal,0.18
74,tier_2,normal,0.18
75,tier_2,normal,0.18
76,tier_2,normal,0.18
77,tier_2,normal,0.18
78,tier_2,normal,0.18
79,tier_2,normal,0.18
80,tier_2,normal,1.0
