age,yos,count
27,2,1.0
27,7,1.0
32,2,8.0
32,7,4.0
32,12,2.0
37,2,9.0
37,7,10.0
37,12,7.0
37,17,2.0
42,2,16.0
42,7,17.0
42,12,11.0
42,17,10.0
42,22,4.0
47,2,15.0
47,7,19.0
47,12,13.0
47,17,11.0
47,22,10.0
47,27,5.0
47,32,1.0
52,2,11.0
52,7,28.0
52,12,25.0
52,17,16.0
52,22,17.0
52,27,17.0
52,32,9.0
52,37,1.0
57,2,11.0
57,7,29.0
57,12,20.0
57,17,12.0
57,22,15.0
57,27,5.0
57,32,11.0
57,37,5.0
62,2,7.0
62,7,34.0
62,12,16.0
62,17,12.0
62,22,10.0
62,27,10.0
62,32,5.0
62,37,3.0
67,2,17.0
67,7,31.0
67,12,26.0
67,17,28.0
67,22,21.0
67,27,14.0
67,32,4.0
67,37,6.0
67,42,4.0
