age,yos,salary
20,2,14714.0
22,2,27033.0
22,7,31838.0
27,2,36316.0
27,7,44009.0
27,12,42689.0
27,17,40528.0
32,2,37561.0
32,7,48102.0
32,12,51838.0
32,17,51688.0
37,2,38575.0
37,7,48558.0
37,12,55197.0
37,17,56215.0
37,22,59570.0
42,2,39052.0
42,7,47868.0
42,12,54369.0
42,17,60275.0
42,22,62139.0
42,27,65576.0
47,2,39166.0
47,7,46655.0
47,12,52033.0
47,17,58560.0
47,22,65071.0
47,27,66796.0
47,32,74768.0
52,2,38322.0
52,7,45774.0
52,12,50922.0
52,17,55447.0
52,22,61758.0
52,27,71083.0
52,32,71855.0
52,37,65857.0
57,2,37694.0
57,7,44108.0
57,12,48059.0
57,17,52461.0
57,22,56979.0
57,27,64855.0
57,32,74881.0
57,37,69984.0
57,42,62797.0
62,2,35118.0
62,7,42732.0
62,12,47628.0
62,17,51385.0
62,22,54574.0
62,27,61124.0
62,32,69276.0
62,37,76889.0
62,42,65926.0
62,47,70135.0
67,2,25122.0
67,7,36538.0
67,12,44737.0
67,17,50693.0
67,22,53029.0
67,27,58743.0
67,32,64990.0
67,37,76118.0
67,42,82148.0
67,47,89887.0
67,52,100637.0
