age,yos,salary
22,2,42065.0
27,2,53166.0
27,7,61026.0
32,2,56168.0
32,7,68476.0
32,12,85739.0
32,17,64389.0
37,2,64150.0
37,7,74641.0
37,12,87588.0
37,17,86311.0
37,22,97611.0
42,2,91314.0
42,7,85842.0
42,12,87989.0
42,17,99864.0
42,22,107578.0
42,27,98542.0
47,2,93778.0
47,7,121790.0
47,12,112017.0
47,17,105440.0
47,22,107502.0
47,27,100444.0
47,32,96054.0
52,2,119578.0
52,7,113064.0
52,12,106639.0
52,17,112603.0
52,22,116324.0
52,27,124839.0
52,32,124615.0
52,37,79818.0
57,2,119883.0
57,7,113058.0
57,12,119772.0
57,17,115707.0
57,22,119032.0
57,27,124957.0
57,32,135496.0
57,37,138692.0
57,42,52852.0
62,2,112662.0
62,7,134721.0
62,12,125737.0
62,17,126311.0
62,22,130338.0
62,27,126428.0
62,32,132497.0
62,37,140258.0
62,42,109370.0
67,2,78477.0
67,7,135997.0
67,12,147809.0
67,17,108804.0
67,22,135277.0
67,27,143160.0
67,32,167875.0
67,37,136501.0
67,42,188556.0
67,47,242596.0
