class,amo_period,amo_balance,date
regular,8.0,-221791000,"June 30, 1999"
regular,13.0,-2833606000,"June 30, 2004"
regular,18.0,5598025000,"June 30, 2009"
regular,18.0,34389532000,"June 30, 2009"
regular,18.0,-26975469000,"June 30, 2009"
regular,18.0,-1026693000,"June 30, 2009"
regular,19.0,1318278000,"June 30, 2010"
regular,19.0,-1673509000,"June 30, 2010"
regular,20.0,1436538000,"June 30, 2011"
regular,20.0,521637000,"June 30, 2012"
regular,20.0,1809136000,"June 30, 2013"
regular,20.0,628646000,"June 30, 2014"
regular,20.0,-1319221000,"June 30, 2014"
regular,20.0,790125000,"June 30, 2015"
regular,20.0,819689000,"June 30, 2016"
regular,20.0,1370249000,"June 30, 2016"
regular,20.0,1595900000,"June 30, 2017"
regular,20.0,-328407000,"June 30, 2017"
regular,20.0,1616206000,"June 30, 2018"
regular,20.0,-1171590000,"June 30, 2018"
regular,20.0,4249090000,"June 30, 2019"
regular,,-1868850000,"June 30, 2019"
regular,20.0,-605354000,"June 30, 2019"
regular,20.0,2751033000,"June 30, 2020"
regular,20.0,1213591000,"June 30, 2020"
regular,20.0,3324397000,"June 30, 2021"
regular,20.0,-5164898000,"June 30, 2021"
regular,21.0,1620698000,"June 30, 2022"
regular,21.0,476777000,"June 30, 2022"
special,8.0,-67149000,"June 30, 1999"
special,9.0,-2036000,"June 30, 2000"
special,9.0,254277000,"June 30, 2000"
special,13.0,-578880000,"June 30, 2004"
special,18.0,549845000,"June 30, 2009"
special,18.0,7576732000,"June 30, 2009"
special,18.0,-2514164000,"June 30, 2009"
special,18.0,-191760000,"June 30, 2009"
special,19.0,-418829000,"June 30, 2010"
special,19.0,468009000,"June 30, 2010"
special,20.0,267715000,"June 30, 2011"
special,20.0,-581691000,"June 30, 2012"
special,20.0,517805000,"June 30, 2013"
special,20.0,1417072000,"June 30, 2014"
special,20.0,-923987000,"June 30, 2014"
special,20.0,-18232000,"June 30, 2015"
special,20.0,45643000,"June 30, 2016"
special,20.0,260892000,"June 30, 2016"
special,20.0,228317000,"June 30, 2016"
special,20.0,95208000,"June 30, 2017"
special,20.0,518831000,"June 30, 2017"
special,20.0,517661000,"June 30, 2017"
special,20.0,544118000,"June 30, 2018"
special,20.0,209409000,"June 30, 2018"
special,20.0,11889000,"June 30, 2019"
special,20.0,-26931000,"June 30, 2019"
special,,-1380848000,"June 30, 2019"
special,20.0,128433000,"June 30, 2019"
special,20.0,889870000,"June 30, 2020"
special,20.0,248393000,"June 30, 2020"
special,20.0,1109225000,"June 30, 2021"
special,20.0,-1162865000,"June 30, 2021"
special,21.0,99285000,"June 30, 2022"
special,21.0,539523000,"June 30, 2022"
special,21.0,379132000,"June 30, 2022"
eso,8.0,4000,"June 30, 1999"
eso,13.0,32322000,"June 30, 2004"
eso,18.0,11792000,"June 30, 2009"
eso,18.0,242041000,"June 30, 2009"
eso,18.0,-59928000,"June 30, 2009"
eso,18.0,-7316000,"June 30, 2009"
eso,19.0,2143000,"June 30, 2010"
eso,19.0,306000,"June 30, 2010"
eso,20.0,14411000,"June 30, 2011"
eso,20.0,-5930000,"June 30, 2012"
eso,20.0,114821000,"June 30, 2013"
eso,20.0,-24551000,"June 30, 2014"
eso,20.0,-10908000,"June 30, 2014"
eso,20.0,-10912000,"June 30, 2015"
eso,20.0,3428000,"June 30, 2016"
eso,20.0,22609000,"June 30, 2016"
eso,20.0,7187000,"June 30, 2017"
eso,20.0,40666000,"June 30, 2017"
eso,20.0,7331000,"June 30, 2018"
eso,20.0,11226000,"June 30, 2018"
eso,20.0,-9010000,"June 30, 2019"
eso,,-5367000,"June 30, 2019"
eso,20.0,-2139000,"June 30, 2019"
eso,20.0,12342000,"June 30, 2020"
eso,20.0,3651000,"June 30, 2020"
eso,20.0,14471000,"June 30, 2021"
eso,20.0,17382000,"June 30, 2021"
eso,21.0,7030000,"June 30, 2022"
eso,21.0,5837000,"June 30, 2022"
eco,8.0,2000,"June 30, 1999"
eco,13.0,1923000,"June 30, 2004"
eco,18.0,2028000,"June 30, 2009"
eco,18.0,62121000,"June 30, 2009"
eco,18.0,-35527000,"June 30, 2009"
eco,18.0,-806000,"June 30, 2009"
eco,19.0,2928000,"June 30, 2010"
eco,19.0,133000,"June 30, 2010"
eco,20.0,8722000,"June 30, 2011"
eco,20.0,-4126000,"June 30, 2012"
eco,20.0,19883000,"June 30, 2013"
eco,20.0,-3088000,"June 30, 2014"
eco,20.0,-952000,"June 30, 2014"
eco,20.0,-7589000,"June 30, 2015"
eco,20.0,642000,"June 30, 2016"
eco,20.0,10823000,"June 30, 2016"
eco,20.0,1302000,"June 30, 2017"
eco,20.0,4171000,"June 30, 2017"
eco,20.0,1345000,"June 30, 2018"
eco,20.0,2820000,"June 30, 2018"
eco,20.0,-2827000,"June 30, 2019"
eco,,-738000,"June 30, 2019"
eco,20.0,1048000,"June 30, 2019"
eco,20.0,2490000,"June 30, 2020"
eco,20.0,4096000,"June 30, 2020"
eco,20.0,2618000,"June 30, 2021"
eco,20.0,-1379000,"June 30, 2021"
eco,21.0,1296000,"June 30, 2022"
eco,21.0,1620000,"June 30, 2022"
judges,8.0,31000,"June 30, 1999"
judges,13.0,25536000,"June 30, 2004"
judges,18.0,20209000,"June 30, 2009"
judges,18.0,511245000,"June 30, 2009"
judges,18.0,-277331000,"June 30, 2009"
judges,18.0,-25541000,"June 30, 2009"
judges,19.0,-22492000,"June 30, 2010"
judges,19.0,3233000,"June 30, 2010"
judges,20.0,86529000,"June 30, 2011"
judges,20.0,6842000,"June 30, 2012"
judges,20.0,112010000,"June 30, 2013"
judges,20.0,25735000,"June 30, 2014"
judges,20.0,-56908000,"June 30, 2014"
judges,20.0,5714000,"June 30, 2015"
judges,20.0,7630000,"June 30, 2016"
judges,20.0,37338000,"June 30, 2016"
judges,20.0,14789000,"June 30, 2017"
judges,20.0,-2714000,"June 30, 2017"
judges,20.0,15590000,"June 30, 2018"
judges,20.0,38086000,"June 30, 2018"
judges,20.0,-47179000,"June 30, 2019"
judges,,-22709000,"June 30, 2019"
judges,20.0,32850000,"June 30, 2019"
judges,20.0,26806000,"June 30, 2020"
judges,20.0,-9834000,"June 30, 2020"
judges,20.0,31326000,"June 30, 2021"
judges,20.0,209000,"June 30, 2021"
judges,21.0,14897000,"June 30, 2022"
judges,21.0,-24625000,"June 30, 2022"
admin,8.0,-241000,"June 30, 1999"
admin,9.0,40000,"June 30, 2000"
admin,13.0,9664000,"June 30, 2004"
admin,18.0,1323000,"June 30, 2009"
admin,18.0,19883000,"June 30, 2009"
admin,18.0,-22065000,"June 30, 2009"
