yos,salary_increase
0,0.0895
1,0.0545
2,0.0475
3,0.0445
4,0.0425
5,0.0415
6,0.0405
7,0.0395
8,0.039
9,0.0385
10,0.038
11,0.0375
12,0.037
13,0.036
14,0.0355
15,0.035
16,0.034
17,0.0335
18,0.033
19,0.0325
20,0.032
21,0.0315
22,0.031
23,0.0305
24,0.0295
25,0.0295
26,0.0295
27,0.0295
28,0.0295
29,0.0295
30,0.0295
31,0.0295
32,0.0295
33,0.0295
34,0.0295
35,0.0295
36,0.0295
37,0.0295
38,0.0295
39,0.0295
40,0.0295
41,0.0295
42,0.0295
43,0.0295
44,0.0295
45,0.0295
46,0.0295
47,0.0295
48,0.0295
49,0.0295
50,0.0295
51,0.0295
52,0.0295
53,0.0295
54,0.0295
55,0.0295
56,0.0295
57,0.0295
58,0.0295
59,0.0295
60,0.0295
61,0.0295
62,0.0295
63,0.0295
64,0.0295
65,0.0295
66,0.0295
67,0.0295
68,0.0295
69,0.0295
70,0.0295
71,0.0295
72,0.0295
73,0.0295
74,0.0295
75,0.0295
76,0.0295
77,0.0295
78,0.0295
79,0.0295
80,0.0295
81,0.0295
82,0.0295
83,0.0295
84,0.0295
85,0.0295
86,0.0295
87,0.0295
88,0.0295
89,0.0295
90,0.0295
91,0.0295
92,0.0295
93,0.0295
94,0.0295
95,0.0295
96,0.0295
97,0.0295
98,0.0295
99,0.0295
100,0.0295
