age,gender,member_type,table,qx
18,female,employee,teacher_below_median,0.00013
19,female,employee,teacher_below_median,0.00014
20,female,employee,teacher_below_median,0.00013
21,female,employee,teacher_below_median,0.00013
22,female,employee,teacher_below_median,0.00012
23,female,employee,teacher_below_median,0.00011
24,female,employee,teacher_below_median,0.00011
25,female,employee,teacher_below_median,0.00011
26,female,employee,teacher_below_median,0.00012
27,female,employee,teacher_below_median,0.00013
28,female,employee,teacher_below_median,0.00014
29,female,employee,teacher_below_median,0.00016
30,female,employee,teacher_below_median,0.00017
31,female,employee,teacher_below_median,0.00019
32,female,employee,teacher_below_median,0.0002
33,female,employee,teacher_below_median,0.00022
34,female,employee,teacher_below_median,0.00024
35,female,employee,teacher_below_median,0.00026
36,female,employee,teacher_below_median,0.00028
37,female,employee,teacher_below_median,0.00031
38,female,employee,teacher_below_median,0.00033
39,female,employee,teacher_below_median,0.00036
40,female,employee,teacher_below_median,0.0004
41,female,employee,teacher_below_median,0.00043
42,female,employee,teacher_below_median,0.00047
43,female,employee,teacher_below_median,0.00052
44,female,employee,teacher_below_median,0.00056
45,female,employee,teacher_below_median,0.00062
46,female,employee,teacher_below_median,0.00067
47,female,employee,teacher_below_median,0.00073
48,female,employee,teacher_below_median,0.00079
49,female,employee,teacher_below_median,0.00086
50,female,employee,teacher_below_median,0.00093
51,female,employee,teacher_below_median,0.00101
52,female,employee,teacher_below_median,0.00109
53,female,employee,teacher_below_median,0.00117
54,female,employee,teacher_below_median,0.00126
55,female,employee,teacher_below_median,0.00135
56,female,employee,teacher_below_median,0.00146
57,female,employee,teacher_below_median,0.00158
58,female,employee,teacher_below_median,0.00171
59,female,employee,teacher_below_median,0.00186
60,female,employee,teacher_below_median,0.00204
61,female,employee,teacher_below_median,0.00225
62,female,employee,teacher_below_median,0.00248
63,female,employee,teacher_below_median,0.00276
64,female,employee,teacher_below_median,0.00307
65,female,employee,teacher_below_median,0.00342
66,female,employee,teacher_below_median,0.00383
67,female,employee,teacher_below_median,0.0043
68,female,employee,teacher_below_median,0.00483
69,female,employee,teacher_below_median,0.00545
70,female,employee,teacher_below_median,0.00616
71,female,employee,teacher_below_median,0.00698
72,female,employee,teacher_below_median,0.00793
73,female,employee,teacher_below_median,0.00902
74,female,employee,teacher_below_median,0.01027
75,female,employee,teacher_below_median,0.0117
76,female,employee,teacher_below_median,0.01341
77,female,employee,teacher_below_median,0.01538
78,female,employee,teacher_below_median,0.01763
79,female,employee,teacher_below_median,0.02022
80,female,employee,teacher_below_median,0.02318
81,female,employee,teacher_below_median,0.03298
82,female,employee,teacher_below_median,0.03756
83,female,employee,teacher_below_median,0.04277
84,female,employee,teacher_below_median,0.04869
85,female,employee,teacher_below_median,0.05539
86,female,employee,teacher_below_median,0.06295
87,female,employee,teacher_below_median,0.07145
88,female,employee,teacher_below_median,0.08102
89,female,employee,teacher_below_median,0.09177
90,female,employee,teacher_below_median,0.10386
91,female,employee,teacher_below_median,0.11725
92,female,employee,teacher_below_median,0.13188
93,female,employee,teacher_below_median,0.14767
94,female,employee,teacher_below_median,0.16453
95,female,employee,teacher_below_median,0.18234
96,female,employee,teacher_below_median,0.201
97,female,employee,teacher_below_median,0.22038
98,female,employee,teacher_below_median,0.24035
99,female,employee,teacher_below_median,0.2608
100,female,employee,teacher_below_median,0.2816
101,female,employee,teacher_below_median,0.30265
102,female,employee,teacher_below_median,0.32382
103,female,employee,teacher_below_median,0.34494
104,female,employee,teacher_below_median,0.36581
105,female,employee,teacher_below_median,0.38625
106,female,employee,teacher_below_median,0.40609
107,female,employee,teacher_below_median,0.42519
108,female,employee,teacher_below_median,0.44341
109,female,employee,teacher_below_median,0.46067
110,female,employee,teacher_below_median,0.4769
111,female,employee,teacher_below_median,0.49205
112,female,employee,teacher_below_median,0.5
113,female,employee,teacher_below_median,0.5
114,female,employee,teacher_below_median,0.5
115,female,employee,teacher_below_median,0.5
116,female,employee,teacher_below_median,0.5
117,female,employee,teacher_below_median,0.5
118,female,employee,teacher_below_median,0.5
119,female,employee,teacher_below_median,0.5
120,female,employee,teacher_below_median,1.0
18,female,retiree,teacher_below_median,0.00013
19,female,retiree,teacher_below_median,0.00014
20,female,retiree,teacher_below_median,0.00013
21,female,retiree,teacher_below_median,0.00013
22,female,retiree,teacher_below_median,0.00012
23,female,retiree,teacher_below_median,0.00011
24,female,retiree,teacher_below_median,0.00011
25,female,retiree,teacher_below_median,0.00011
26,female,retiree,teacher_below_median,0.00012
27,female,retiree,teacher_below_median,0.00013
28,female,retiree,teacher_below_median,0.00014
29,female,retiree,teacher_below_median,0.00016
30,female,retiree,teacher_below_median,0.00017
31,female,retiree,teacher_below_median,0.00019
32,female,retiree,teacher_below_median,0.0002
33,female,retiree,teacher_below_median,0.00022
34,female,retiree,teacher_below_median,0.00024
35,female,retiree,teacher_below_median,0.00026
36,female,retiree,teacher_below_median,0.00028
37,female,retiree,teacher_below_median,0.00031
38,female,retiree,teacher_below_median,0.00033
39,female,retiree,teacher_below_median,0.00036
40,female,retiree,teacher_below_median,0.0004
41,female,retiree,teacher_below_median,0.00043
42,female,retiree,teacher_below_median,0.00047
43,female,retiree,teacher_below_median,0.00052
44,female,retiree,teacher_below_median,0.00056
45,female,retiree,teacher_below_median,0.00062
46,female,retiree,teacher_below_median,0.00067
47,female,retiree,teacher_below_median,0.00073
48,female,retiree,teacher_below_median,0.00079
49,female,retiree,teacher_below_median,0.00086
50,female,retiree,teacher_below_median,0.00093
51,female,retiree,teacher_below_median,0.00101
52,female,retiree,teacher_below_median,0.00109
53,female,retiree,teacher_below_median,0.00117
54,female,retiree,teacher_below_median,0.00126
55,female,retiree,teacher_below_median,0.00266
56,female,retiree,teacher_below_median,0.0028
57,female,retiree,teacher_below_median,0.00295
58,female,retiree,teacher_below_median,0.00311
59,female,retiree,teacher_below_median,0.00327
60,female,retiree,teacher_below_median,0.00344
61,female,retiree,teacher_below_median,0.00363
62,female,retiree,teacher_below_median,0.00383
63,female,retiree,teacher_below_median,0.00405
64,female,retiree,teacher_below_median,0.00429
65,female,retiree,teacher_below_median,0.00456
66,female,retiree,teacher_below_median,0.00504
67,female,retiree,teacher_below_median,0.0056
68,female,retiree,teacher_below_median,0.00624
69,female,retiree,teacher_below_median,0.007
70,female,retiree,teacher_below_median,0.00789
71,female,retiree,teacher_below_median,0.00893
72,female,retiree,teacher_below_median,0.01013
73,female,retiree,teacher_below_median,0.01153
74,female,retiree,teacher_below_median,0.01314
75,female,retiree,teacher_below_median,0.01499
76,female,retiree,teacher_below_median,0.01711
77,female,retiree,teacher_below_median,0.01953
78,female,retiree,teacher_below_median,0.02228
79,female,retiree,teacher_below_median,0.02541
80,female,retiree,teacher_below_median,0.02895
81,female,retiree,teacher_below_median,0.03298
82,female,retiree,teacher_below_median,0.03756
83,female,retiree,teacher_below_median,0.04277
84,female,retiree,teacher_below_median,0.04869
85,female,retiree,teacher_below_median,0.05539
86,female,retiree,teacher_below_median,0.06295
87,female,retiree,teacher_below_median,0.07145
88,female,retiree,teacher_below_median,0.08102
89,female,retiree,teacher_below_median,0.09177
90,female,retiree,teacher_below_median,0.10386
91,female,retiree,teacher_below_median,0.11725
92,female,retiree,teacher_below_median,0.13188
93,female,retiree,teacher_below_median,0.14767
94,female,retiree,teacher_below_median,0.16453
95,female,retiree,teacher_below_median,0.18234
96,female,retiree,teacher_below_median,0.201
97,female,retiree,teacher_below_median,0.22038
98,female,retiree,teacher_below_median,0.24035
99,female,retiree,teacher_below_median,0.2608
100,female,retiree,teacher_below_median,0.2816
101,female,retiree,teacher_below_median,0.30265
102,female,retiree,teacher_below_median,0.32382
103,female,retiree,teacher_below_median,0.34494
104,female,retiree,teacher_below_median,0.36581
