plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
frs,2022,618430.16298012,,,38015971963.0,11944986866.0,217434441000.0,4349768550.0,844300453.502724,5194069003.502724,798564450.0,28343757.0,22494571.0,180226405000.0,0.0,179178895000.0,0.8288769900992824,0.8240594000469319
frs,2023,618430.16298012,,,39251491051.7975,12837589960.657074,222066325277.72174,4830827802.86156,743092419.648718,5573920222.510277,862276156.8159842,19480327.457844287,0.0,184901505536.45523,11839066864.892605,184004238518.939,0.8326409026907288,0.828600366529318
frs,2024,618430.1629801202,,,40527164510.98091,13060171946.44066,226770030109.99185,5122916559.592755,825601648.590977,5948518208.183735,864890176.117235,25340713.808504924,0.0,189958281951.6273,12154482339.711227,189189291131.68274,0.8376692539992631,0.8342781938156419
frs,2025,618430.16298012,,,41844297357.5878,13280837726.596964,231598585373.79166,5227903296.706511,891318640.8936892,6119221937.600199,877288071.2328025,29454003.67027858,0.0,195242928558.85837,12489746969.559008,194583387642.2034,0.8430229754803701,0.8401751993784976
frs,2026,618430.16298012,,,43204237021.709404,13866094173.487703,236191729705.2513,5342594633.696351,955525491.0743759,6298120124.770728,891429384.9526037,32955734.473704033,0.0,200406563232.6736,12828660563.127703,199840248932.63596,0.8484910266873663,0.8460933377388821
frs,2027,618430.16298012,,,44608374724.91496,14261032294.38564,240677395873.9805,5422686229.850705,1044945017.1030427,6467631246.953747,897349262.9024034,40618247.41336487,0.0,205589138466.07263,13164190282.444914,205102264859.56143,0.8542104160613396,0.8521874857203194
frs,2028,618430.1629801202,,,46058146903.47469,14951963013.008356,244797824377.92368,5531698901.800285,1124610781.4189541,6656309683.21924,907715769.4248848,24103206.173919752,0.0,210545617447.32382,13493130529.208294,210126313273.73547,0.8600796105208818,0.8583667514517546
frs,2029,618430.16298012,,,47555036677.837616,15285706004.87929,248819468390.72504,5605344968.923225,1236669079.688024,6842014048.611248,905157800.1473527,30782165.27337345,0.0,215555970252.7575,13816338206.51577,215194226331.39746,0.8663147286942461,0.8648608877882283
frs,2030,618430.16298012,,,49100575369.86733,15586231210.111874,252831446080.90256,5727348280.8960705,1319201494.901059,7046549775.79713,917156957.8870478,36896535.792299025,0.0,220723690002.70447,14146342257.068012,220411004508.13412,0.873007267980724,0.8717705329961435
frs,2031,618430.16298012,,,50696344069.388016,16286916857.22335,256434843879.7639,5914672328.83646,1399796147.440867,7314468476.277326,931431404.9936591,37719776.43306136,0.0,225721261076.02844,14476103973.15027,225450234661.77258,0.8802285120888786,0.8791716104207772
frs,2032,618430.1629801202,,,52343975251.643135,16773493008.146168,259759455999.24768,5962402383.446959,1516632464.3437998,7479034847.790758,933459611.6067308,41017918.47916773,0.0,230599048510.36755,14796436365.91076,230363391072.7392,0.887740727756357,0.8868335136696867
frs,2033,618430.1629801202,,,54045154447.32154,17427722486.99292,262650322678.88168,6085811280.250658,1620339106.6601865,7706150386.910843,941372213.0733709,43632025.12949306,0.0,235260806025.83136,15105928534.262186,235055111226.51395,0.895718701680268,0.8949355509221824
frs,2034,618430.1629801202,,,55801621966.85948,17706961651.126526,265426690207.79562,6185913645.217369,1752851327.348782,7938764972.566153,938339691.3996654,45693626.46388541,0.0,240044598688.76566,15412194603.90767,239864399955.90863,0.9043724973582763,0.9036935952753096
frs,2035,618430.1629801202,,,57615174680.78242,17967583950.009365,268156407044.62912,6329237016.415677,1854826382.4275637,8184063398.843241,950484657.6540377,47517440.21903573,0.0,245038402026.87885,15729183054.27187,244879920258.41943,0.9137891006501189,0.9131980956832563
frs,2036,618430.1629801202,,,59487667857.90784,18652944016.823017,270410469238.37744,6951676361.953156,1954582785.607106,8906259147.560263,965285363.3411189,47813975.638681486,0.0,250316777977.20526,16062172217.493835,250176812774.33392,0.9256918886396414,0.9251742858882924
frs,2037,618430.1629801204,,,61421017063.28983,19047059971.922573,272379223156.85626,7071665970.001056,2103799165.9659386,9175465135.966993,962225650.8269193,51101365.69312839,0.0,255659088125.34863,16406579864.9311,255534806807.40103,0.9386144991614176,0.9381582186988067
