plan,year,mva_boy,er_db_cont,ee_cont,invest_income,benefits,refunds,admin_exp,mva_eoy,aal_boy,ava_boy,fr_mva_boy,fr_ava_boy,n_active_boy,payroll,er_cont_total
frs,2022,180226405000.0,4349768550.0,798564450.0,12325589087.455292,11944986866.0,28343757.0,22494571,184901505536.4553,217434441000.0,179178895000.0,0.8288769900992824,0.8240594000469319,618430.16298012,38015971963.0,5194069003.502724
frs,2023,184901505536.4553,4830827802.86156,862276156.8159842,12220742743.60936,12837589960.657064,19480327.45784429,0,189958281951.62726,222066325277.7216,184004238518.939,0.8326409026907294,0.8286003665293186,618430.16298012,39251491051.7975,5573920222.510277
frs,2024,189958281951.6273,5122916559.592744,864890176.1172351,12382352531.770279,13060171946.440643,25340713.80850493,0,195242928558.8584,226770030109.9917,189189291131.68277,0.8376692539992636,0.8342781938156425,618430.16298012,40527164510.98091,5948518208.183722
frs,2025,195242928558.8584,5227903296.706499,877288071.2328025,12368735036.143177,13280837726.59695,29454003.67027857,0,200406563232.67365,231598585373.79144,194583387642.2034,0.8430229754803709,0.8401751993784984,618430.16298012,41844297357.5878,6119221937.600185
frs,2026,200406563232.67365,5342594633.696338,891429384.9526035,12847601122.711508,13866094173.487694,32955734.47370405,0,205589138466.0727,236191729705.2512,199840248932.636,0.8484910266873671,0.8460933377388828,618430.16298012,43204237021.70941,6298120124.770714
frs,2027,205589138466.0727,5422686229.850691,897349262.9024032,12938094030.297058,14261032294.38563,40618247.41336487,0,210545617447.32385,240677395873.98035,205102264859.56143,0.8542104160613404,0.8521874857203201,618430.16298012,44608374724.91496,6467631246.953733
frs,2028,210545617447.32385,5531698901.80027,907715769.4248848,13547004353.390852,14951963013.00834,24103206.173919767,0,215555970252.7576,244797824377.92355,210126313273.73547,0.8600796105208823,0.858366751451755,618430.16298012,46058146903.47469,6656309683.219226
frs,2029,215555970252.7576,5605344968.923212,905157800.1473529,13973705151.029016,15285706004.879276,30782165.27337346,0,220723690002.70453,248819468390.7249,215194226331.39743,0.8663147286942467,0.8648608877882287,618430.16298012,47555036677.837616,6842014048.611237
frs,2030,220723690002.70453,5727348280.896056,917156957.8870478,13976193580.445028,15586231210.111862,36896535.79229903,0,225721261076.0285,252831446080.90244,220411004508.1342,0.8730072679807247,0.8717705329961442,618430.16298012,49100575369.86733,7046549775.797115
frs,2031,225721261076.0285,5914672328.836443,931431404.993659,14356320334.165411,16286916857.22334,37719776.43306137,0,230599048510.3676,256434843879.76373,225450234661.7726,0.8802285120888793,0.8791716104207777,618430.16298012,50696344069.388016,7314468476.277308
frs,2032,230599048510.3676,5962402383.446942,933459611.6067309,14580406447.035429,16773493008.146156,41017918.47916775,0,235260806025.8314,259759455999.2476,230363391072.7392,0.8877407277563577,0.8868335136696871,618430.16298012,52343975251.643135,7479034847.790742
frs,2033,235260806025.8314,6085811280.250642,941372213.0733709,15227963681.73268,17427722486.99291,43632025.12949307,0,240044598688.7657,262650322678.8816,235055111226.51395,0.8957187016802686,0.8949355509221828,618430.16298012,54045154447.32154,7706150386.910828
frs,2034,240044598688.7657,6185913645.217353,938339691.3996651,15622205279.086569,17706961651.126514,45693626.46388543,0,245038402026.87888,265426690207.79547,239864399955.90863,0.9043724973582769,0.90369359527531,618430.16298012,55801621966.85948,7938764972.566136
frs,2035,245038402026.87888,6329237016.415662,950484657.654038,16013755666.485106,17967583950.009354,47517440.21903573,0,250316777977.2053,268156407044.62903,244879920258.41937,0.9137891006501192,0.9131980956832564,618430.16298012,57615174680.78242,8184063398.843226
frs,2036,250316777977.2053,6951676361.953142,965285363.341119,16126106415.310823,18652944016.823,47813975.63868149,0,255659088125.3487,270410469238.3773,250176812774.33383,0.925691888639642,0.9251742858882926,618430.16298012,59487667857.90784,8906259147.560247
frs,2037,255659088125.3487,7071665970.00104,962225650.8269194,16497362055.610428,19047059971.92256,51101365.6931284,0,261092180464.1714,272379223156.85608,255534806807.40097,0.9386144991614184,0.9381582186988072,618430.16298012,61421017063.28983,9175465135.966978
frs,2038,261092180464.1714,7238012452.062486,969069717.7775536,17149799381.432938,19476196881.09554,53783980.173313886,0,266919081154.17548,274061070728.51028,260981174545.55844,0.9526788309267532,0.9522737901147988,618430.16298012,63417200117.84676,9468812220.60376
frs,2039,266919081154.1755,7396916820.802505,969709352.1173894,17595018887.558426,19605668185.13185,55016014.24466264,0,273220042015.27728,275728564630.7235,266819419646.64948,0.9680501601698528,0.9676887122812036,618430.16298012,65478259121.67677,9773493240.81942
frs,2040,273220042015.2773,7588164317.654748,982449031.4930079,14874120664.225546,19727138825.221703,56543863.253674135,0,276881093340.17523,277429317716.5763,273130099283.67947,0.9848275743315664,0.984503373802444,618430.16298012,67606302543.13126,10087543552.317682
frs,2041,276881093340.17523,5021740104.377613,998780406.1290557,18036640095.864464,20141108474.43075,56858545.99683825,0,280740286926.1188,278877935054.15015,276798158642.1812,0.9928397285587072,0.9925423414671904,618430.16298012,69803507375.78304,7640353768.649437
frs,2042,280740286926.1188,5119406267.592806,999873000.1182644,16078364522.673399,20282849682.255283,59519990.85592712,0,282595561043.392,280280922356.5394,280663314455.0049,1.001638943406198,1.0013643172544546,618430.16298012,72072121365.49597,7899696265.949644
frs,2043,282595561043.392,2967244399.0143747,1010931420.7041385,18084015387.17748,20329759314.89968,61806809.094329655,0,284266186126.294,281781985191.73773,282522726323.8955,1.0028872528919857,1.0026287739141797,618430.16298012,74414465309.8746,5887908794.911535
frs,2044,284266186126.294,2537207991.4469147,1021408955.9259174,18659157662.097122,20209129039.60221,61973357.29425789,0,286212858338.8675,283563024630.3801,284196753445.67,1.0024797361956146,1.0022348781760806,618430.16298012,76832935432.44553,5604815589.587855
frs,2045,286212858338.8675,2617866390.5148487,1039603485.4203985,18383024320.61801,20148143322.9694,62932918.73491717,0,288042276293.71643,285603583382.90656,286146398665.7796,1.0021332889060572,1.001900589889117,618430.16298012,79330005834.0,5820642175.034126
frs,2046,288042276293.71643,2702672390.6602902,1061349787.8444703,18888623123.64044,20494221773.97325,63185691.38240106,0,290137514130.506,287512768577.55804,287978250204.6844,1.0018416841755515,1.0016189946256275,618430.16298012,81908231023.605,6038261300.934765
frs,2047,290137514130.506,2759297048.03508,1073446826.159581,19181616685.880524,20421493486.997307,65957210.216298886,0,292664423993.36755,289675708365.71344,290075625599.54785,1.001594216399428,1.0013805687611526,618430.16298012,84570248531.87215,6266596548.507924
frs,2048,292664423993.36755,2844913095.385537,1096358787.1507068,19091847638.273643,20245983423.839462,67997954.26412138,0,295383562136.07385,292260039897.7004,292604482599.5125,1.001383644838373,1.0011785487401312,618430.16298012,87318781609.15797,6497870281.048145
frs,2049,295383562136.07385,2933034378.901082,1121109821.2126555,19144675872.57231,20336202911.869827,68456906.62829807,0,298177722390.2618,295027839587.9328,295325292460.8784,1.0012057253601487,1.0010082196763568,618430.16298012,90156642011.4556,6733434403.170178
frs,2050,298177722390.2618,3007047175.742752,1131265501.3544674,19036021525.469795,20521679830.206238,70889620.33562857,0,300759487142.2869,297863205590.82874,298120834622.3742,1.0010559102082084,1.000864923987622,618430.16298012,93086732876.82793,6993397301.276552
frs,2051,300759487142.2869,3089283792.748316,1148211288.2039669,19726159493.437344,21005559658.99269,73046894.94649655,0,303644535162.73737,300479813771.8009,300703610896.2504,1.000930755936565,1.0007447991984562,618430.16298012,96112051695.32484,7252823240.296563
frs,2052,303644535162.73737,3156975850.863432,1158578354.3206534,0.0,20952913904.72426,77604179.65085268,0,286929571283.5463,303394262155.6134,303589577158.2718,1.000824910152703,1.000643766303524,618430.16298012,99235693375.4229,7527304756.677127
