plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
txtrs,2024,970082.0,,,61388248000.0,15258219146.0,273095060051.1554,10720587115.0,0.0,10720587115.0,4921798309.0,744483839.0,84717041.0,210543258495.0,0.0,212520440440.0,0.7709522774072934,0.7781921811412927
txtrs,2025,970082.0000000002,,,63168507191.99999,15677477712.735603,282904893440.8926,6042699397.986719,0.0,6042699397.986719,5211401843.339999,963154779.7593967,88435910.06879999,219617936521.37875,14549645187.615837,221044187252.07812,0.7762959977476092,0.7813374472374086
txtrs,2026,970082.0,,,65000393900.567986,16185794970.449442,293061982910.83673,6217937680.528335,0.0,6217937680.528335,5362532496.796859,1011500764.2719272,91000551.46079518,229086970841.23654,15176860428.714758,229904295577.191,0.7817014290486651,0.7844903432839282
txtrs,2027,970082.0,,,66885405323.68445,16681189556.11893,303855317428.117,6398257873.263655,0.0,6398257873.263655,5518045939.203967,824524320.3263013,93639567.45315821,239244466551.0182,15840545341.212414,239399485416.7797,0.7873631061520462,0.7878732794380483
txtrs,2028,970081.9999999999,,,68825082078.07129,17397701880.506382,314882906678.9416,6583807351.588301,0.0,6583807351.588301,5678069271.440882,856649456.2843614,96355114.9092998,249693244660.6561,16537607938.308771,249796967289.95697,0.7929717344588868,0.7933011350935381
txtrs,2029,970081.9999999999,,,70821009458.33536,18010535721.043793,326193046997.3939,6774737764.78436,0.0,6774737764.78436,5842733280.312667,952154273.1080383,99149413.24166949,260505665319.09073,17256789020.731106,260553601352.57706,0.7986242126159483,0.7987711686406936
txtrs,2030,970081.9999999998,,,72874818732.62708,18563689565.35495,337957921321.76776,6971205159.963106,0.0,6971205159.963106,6012172545.441733,972520376.7782006,102024746.2256779,271857224301.389,18006415965.252266,271874426108.35556,0.8044114582020858,0.8044623574587131
txtrs,2031,970081.9999999998,,,74988188475.87326,19349167846.27968,349929738668.94366,7173370109.6020355,0.0,7173370109.6020355,6186525549.259543,1042276451.3490605,104983463.86622255,283505143794.40454,18784451595.64892,283510822907.3935,0.8101773369499724,0.8101935662450604
txtrs,2032,970081.9999999998,,,77162845941.67358,20129080700.00025,362279882785.4878,7381397842.780497,0.0,7381397842.780497,6365934790.188072,974854662.9960581,108027984.31834303,295629029808.9868,19588516728.92836,295629777057.89087,0.8160238640245832,0.8160259266533394
txtrs,2033,970081.9999999998,,,79400568473.98212,21185482554.546043,374675587367.2946,7595458380.221129,0.0,7595458380.221129,6550546899.103525,988320323.9452858,111160795.86357495,307904057867.88464,20413986453.928078,307900295286.97076,0.8217884170981393,0.8217783748614932
txtrs,2034,970081.9999999998,,,81703184959.72758,21926516908.705868,387352327737.65564,7815726673.247541,0.0,7815726673.247541,6740512759.177526,1074640295.2084146,114384458.94361863,320603530846.6222,21258775209.17038,320596050354.17706,0.8276793706626676,0.8276600588064854
txtrs,2035,970081.9999999997,,,84072577323.55968,22721185853.21386,400375084465.83765,8042382746.77172,0.0,8042382746.77172,6935987629.193674,1091411101.2918444,117701608.25298356,333785831486.61206,22134228826.78316,333775671420.8784,0.833682825023775,0.833657448655145
txtrs,2036,970081.9999999995,,,86510682065.9429,23679065407.456783,413556715072.9922,8275611846.428097,0.0,8275611846.428097,7137131270.440289,1159364118.4145858,121114954.89232004,347275551572.276,23036521449.559246,347263882733.2922,0.839728963199116,0.8397007473860039
txtrs,2037,970081.9999999993,,,89019491845.85524,24647347344.654835,427051175522.5533,8515604589.974514,0.0,8515604589.974514,7344108077.283059,1086583863.9277487,124627288.58419736,361241953632.37195,23965247890.00515,361229352432.6534,0.8458985113209088,0.8458690038509828
txtrs,2038,970081.9999999995,,,91601057109.38504,25679144333.83144,440682008778.39655,8762557123.08377,0.0,8762557123.08377,7557087211.524265,1152842908.1245818,128241479.95313904,375522184311.2263,24920815066.15549,375508688653.21387,0.8521386778466448,0.8521080533651737
