plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
txtrs,2024,970082.0,,,61388248000.0,15258219146.0,273095060051.155,10720587115.0,0.0,10720587115.0,4921798309.0,744483839.0,84717041.0,210543258495.0,0.0,212520440440.0,0.770952277407293,0.778192181141293
txtrs,2025,970082.0,,,63168507192.0,15677477712.7356,282904893440.893,6042699397.98672,0.0,6042699397.98672,5211401843.34,963154779.759397,88435910.0688,219617936521.379,14549645187.616077,221044187252.078,0.776295997747609,0.781337447237408
txtrs,2026,970082.0,,,65000393900.568,16185794970.4494,293061982910.837,6217937680.52833,0.0,6217937680.52833,5362532496.796863,1011500764.2719269,91000551.46079522,229086970841.237,15176860428.714966,229904295577.191,0.781701429048665,0.784490343283928
txtrs,2027,970082.0,,,66885405323.6844,16681189556.1189,303855317428.117,6398257873.26365,0.0,6398257873.26365,5518045939.203962,824524320.3263011,93639567.4531582,239244466551.018,15840545341.211765,239399485416.78,0.787363106152046,0.787873279438048
txtrs,2028,970082.0,,,68825082078.0713,17397701880.5064,314882906678.942,6583807351.5883,0.0,6583807351.5883,5678069271.44088,856649456.2843609,96355114.9092998,249693244660.656,16537607938.30886,249796967289.957,0.792971734458886,0.793301135093538
txtrs,2029,970081.999999999,,,70821009458.3354,18010535721.0438,326193046997.394,6774737764.78436,0.0,6774737764.78436,5842733280.31266,952154273.108038,99149413.2416695,260505665319.091,17256789020.73147,260553601352.577,0.798624212615948,0.798771168640693
txtrs,2030,970082.0,,,72874818732.6271,18563689565.354923,337957921321.768,6971205159.96311,0.0,6971205159.96311,6012172545.44174,972520376.7782,102024746.2256779,271857224301.389,18006415965.251995,271874426108.356,0.804411458202085,0.804462357458713
txtrs,2031,970082.0,,,74988188475.8733,19349167846.279644,349929738668.944,7173370109.60204,0.0,7173370109.60204,6186525549.259541,1042276451.349061,104983463.8662226,283505143794.404,18784451595.648396,283510822907.393,0.810177336949972,0.81019356624506
txtrs,2032,970082.0,,,77162845941.6736,20129080700.0003,362279882785.488,7381397842.78049,0.0,7381397842.78049,6365934790.18807,974854662.996058,108027984.31834301,295629029808.987,19588516728.929108,295629777057.891,0.816023864024583,0.816025926653339
txtrs,2033,970081.999999999,,,79400568473.9821,21185482554.546024,374675587367.295,7595458380.22113,0.0,7595458380.22113,6550546899.10353,988320323.945286,111160795.86357489,307904057867.885,20413986453.92826,307900295286.971,0.821788417098139,0.821778374861493
txtrs,2034,970081.999999999,,,81703184959.7276,21926516908.70591,387352327737.656,7815726673.24754,0.0,7815726673.24754,6740512759.17753,1074640295.208414,114384458.9436186,320603530846.622,21258775209.169838,320596050354.177,0.827679370662667,0.827660058806485
