year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,5381322,3749000,0,1632322,0,0,0,0,0,0.067,0.067,90336999.76365773,90336999.76365773,0,74171000,74171000,0,74605000,74605000,0,-0.0718,16165999.763657734,16165999.763657734,0,15732000,15732000,0,0.8210478541461417,0.825852087184653,0.1457,NA,NA,0.1457,0,0.03,0,0.1157,0,0.4538,0.3381,0,0,0.0843,0,546229.2999999999,0,112470,112470,0,433759.3,433759.3,0,4616770.7,4616770.7,0,137604.7446,0,5188134.7446,5050530,137604.7446,7554163.56317035,7554163.56317035,0,17924.957036344935,17924.957036344935,0,485760.66629318916,14225.856463771219,0,0,0,0,0.9641004096391184,5188134.7446,0,15732000,0,-2909075.0429636557,0,4899000,0,276000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,5556214.965,4167161.2237500004,0,1389053.74125,0,0,0,0,0,0,0,89263117.81670809,89263117.81670809,0,73529385.74937189,73529385.74937189,0,73879312.59715877,73879312.59715877,0,0.067,15733732.067336202,15733732.067336202,0,15383805.219549313,15383805.219549313,0,0.8237375922758639,0.8276577650901882,0.14569999658864466,0.14569999658864466,0,0.14569999658864466,0,0.03,0.03,0.11569999658864466,-0.03,0,0.32576121998457164,0,0,0.0843,0.0843,607155.3760847073,0,0,125014.83671250001,0,0,482140.53937220736,0,0,1357499.5241212007,0,117097.23038737499,0,1956737.293880783,1839640.063493408,117097.23038737499,7506243.603654641,7506243.603654641,0,0,0,0,0,0,0,0,0,0,0.3521709124299123,1910876.2635554522,1910876.2635554522,15023247.284716126,16934123.548271578,-5541588.703448733,0,4875024.166052192,0,24950.286768416026,71400205.64827563,73504435.46260346,0,0,0,0,0,0,0,0.7500000000000001,0,0.25,0
2024,5736791.9513625,4126431.21615096,0,1610360.7352115398,0,0,0,0,0,0,0,88077498.3474361,88077498.3474361,0,72826588.00950031,72826588.00950031,0,73105550.93453301,73105550.93453301,0,0.067,15250910.33793579,15250910.33793579,0,14971947.412903085,14971947.412903085,0,0.8268466904251063,0.8300139343894193,0.1440230300810572,0.1440230300810572,0,0.1440230300810572,0,0.03,0.03,0.11402303008105721,-0.03,0,0.3384393919847843,0,0,0.0843,0.0843,594301.1271711232,0,0,123792.9364845288,0,0,470508.1906865944,0,0,1396546.871861165,0,135753.4099783328,0,2002808.472526092,1867055.0625477594,135753.4099783328,7531435.482043484,7531435.482043484,0,471.8699923387296,471.8699923387296,0,0,0,0,0,0,0,0.3491164555915996,1910027.0009289668,3820903.264484419,14278361.714270674,18099264.978755094,-5541059.353003535,0,4816226.131663373,0,22035.481468590875,70758856.07287012,72804552.52803172,0,0,0,0,0,0,0,0.7192924636513834,0,0.28070753634861656,0
2025,5923237.689781781,4001121.468290735,98318.99199155078,1528840.253524843,294956.9759746524,0,-0,-0,-0,0,0,86775092.66289553,86768185.72994277,6906.932952761704,72066321.05605714,72059411.21803656,6909.838020581392,72282947.81181845,72276040.87886569,6906.932952761704,0.067,14708771.606838387,14708774.511906207,-2.9050678196881563,14492144.85107708,14492144.85107708,0,0.8304954664355229,0.8329918827355649,0.14156062522168023,0.14323773616560698,0.0733100821015141,0.14323773616560698,0.0733100821015141,0.03,0.03,0.11323773616560698,0.0433100821015141,0,0.35880184413774424,0,0,0.0843,0.0843,573111.5812415743,7207.773375038695,0,120033.64404872205,2949.5697597465232,0,453077.93719285226,4258.203615292172,0,1435609.7614418347,0,128881.23337214426,24864.873074663195,2046692.0086967866,1892945.902249979,153746.10644680745,7553144.4095882885,7553144.4095882885,0,939.2226436050843,418.013649346566,521.2089942585183,0,0,0,0,0,0,0.3455360253780714,1906130.4709844165,5727033.735468836,13496861.654405555,19223895.38987439,-5544841.0805542255,0,4755885.923342219,0,21778.36574827841,70054167.4692232,72037632.85228829,6686.564380780177,0,223.2736398012148,0,1.9040107492084824e-13,3343.2821903900885,6909.838020581392,0.6754956795323439,0.01659885980283411,0.25810888125631964,0.04979657940850234
2026,6115742.9146996895,3913207.925685085,179355.23803279508,1485114.0368834245,538065.7140983853,0,0,0,0,0,0,85279779.46936163,85259866.34794435,19913.121417279268,71181955.5397468,71162034.8658204,19920.67392641948,71342171.7080699,71322258.78769034,19912.920379565556,0.067,14097823.929614816,14097831.482123956,-7.552509140212351,13937607.761291722,13937607.560254008,0.20103771371213952,0.8346873782116224,0.836566090484567,0.1394355446955336,0.14247356643925352,0.07315138764317769,0.14247356643925352,0.07315138764317769,0.03,0.03,0.11247356643925352,0.04315138764317769,0,0.37739853346139207,-1.0851287304252372e-6,0,0.0843,0.0843,557528.6893907074,13120.084543171399,0,117396.23777055254,5380.6571409838525,0,440132.45162015484,7739.427402187547,0,1476838.9322830471,-0.19462352174164316,125195.11330927268,45358.93969849388,2095264.6696896343,1924710.6166818677,170554.05300776655,7645254.027019334,7645254.027019334,0,1434.662567660842,457.79881661283844,976.8637510480033,0,0,0,0,0,0,0.3426018226916462,1905632.1158947267,7632665.851363562,12676180.414284062,20308846.265647624,-5611344.2041621925,0,4691452.612497749,0,22515.239448276374,69253739.11595547,71139519.62637211,12143.026168601655,0,867.8100039819824,0,-2.66745553258467e-4,12981.351104882218,19920.674193165032,0.639858146469723,0.029326811236898148,0.24283460858268438,0.08798043371069446
2027,6314504.559427429,3563282.540390964,347850.15549749584,1359821.3970464813,1043550.4664924875,0,-0,-0,-0,0,0,83630972.481252715,83585428.0622982,45544.41895451903,70220834.05048303,70175273.41662328,45560.63385975642,70329726.74325077,70284183.06843187,45543.67481889957,0.067,13410138.430769676,13410154.645674914,-16.21490523738612,13301245.738001944,13301244.993866324,0.7441356194613036,0.8396510523206484,0.8409531140991617,0.13489039391877897,0.1409087391672613,0.07324009936797966,0.1409087391672613,0.07324009936797966,0.03,0.03,0.1109087391672613,0.043240099367979665,0,0.4265968068585744,-1.4739978029460838e-6,0,0.0843,0.0843,502097.65006320656,25476.57995380377,0,106898.47621172892,10435.504664924874,0,395199.1738514776,15041.075288878897,0,1520084.9536656945,-0.5127303649577625,114632.94377101837,87971.3043253167,2132928.938172021,1930324.690075686,202604.24809633507,7652794.978070482,7652794.978070482,0,2426.170312481635,471.4990807449009,1954.6712317367342,0,0,0,0,0,0,0.33778246861625916,1894421.4536382915,9527087.305001853,11813879.419621592,21340966.724623445,-5631083.873422326,0,4621786.817843276,0,22535.60638193113,68346492.92910923,70152737.81024134,23521.39599170208,0,2118.587091061023,0,-0.02314942616468171,31681.37192227052,45560.657009182585,0.5643012063505528,0.055087481879819454,0.21534886613016932,0.16526244563945836
2028,6519725.95760882,3443298.5552951973,440831.97193769267,1313099.5145628515,1322495.9158130782,0,0,0,0,0,0,81848736.88430543,81769502.20385724,79234.6804481883,69211829.12599553,69132568.91671698,79260.20927856005,69273225.77108598,69193993.03256443,79232.7385215495,0.067,12636907.758309893,12636933.287140265,-25.52883037175343,12575511.113219451,12575509.171292812,1.9419266387994867,0.8456065635298394,0.846356686835679,0.13249452300497633,0.14008532035727966,0.07320349326900491,0.14008532035727966,0.07320349326900491,0.03,0.03,0.11008532035727966,0.04320349326900491,0,0.4546021004163395,-2.520934717596799e-6,0,0.0843,0.0843,482355.58120428596,32270.440290503047,0,103298.95665885591,13224.95915813078,0,379056.62454543007,19045.481132372268,0,1565330.7555977441,-1.1113086226843873,110694.28907764838,111486.40570304249,2185612.4447476147,1963431.7499669238,222180.6947806909,7661390.377907998,7661390.377907998,0,3108.600788662382,499.4027146012937,2609.1980740610884,0,0,0,0,0,0,0.3352307227264521,1895716.6086453747,11422803.913647227,10907517.175254505,22330321.088901732,-5614203.44382057,0,4548973.298431696,0,22525.645482573203,67368171.694713,69110043.27123441,29660.130907819275,0,4039.4560697489997,0,-0.01155876462272635,60390.69931366605,79260.22083732468,0.5281354734360744,0.06761510756801388,0.20140409629187006,0.20284532270404168
2029,6731617.051231107,3302018.9912238703,542126.9907179953,1261090.0971352553,1626380.972153986,0,0,0,0,0,0,79949641.46548566,79827591.7612378,122049.70424786268,68180289.90558498,68058204.84431739,122085.0612675843,68197247.3058152,68075201.50764938,122045.79816583524,0.067,11769351.559900686,11769386.916920409,-35.35701972161769,11752394.15967045,11752390.253588423,3.9060820274462458,0.8527904397797516,0.853002540796334,0.12972979009286148,0.1390032822585173,0.07324625806025353,0.1390032822585173,0.07324625806025353,0.03,0.03,0.1090032822585173,0.043246258060253534,0,0.48834785179710916,-3.2751187880282555e-6,0,0.0843,0.0843,458991.4778600762,39708.77346355896,0,99060.5697367161,16263.80972153986,0,359930.9081233601,23444.9637420191,0,1612533.8809574344,-1.7755302927977261,106309.89518850202,137103.91595258104,2239321.788433604,1995907.9772925207,243413.81114108308,7642239.4083517175,7642239.4083517175,0,3865.194686083197,466.0673059408853,3399.1273801423117,0,0,0,0,0,0,0.3326573349896764,1896779.3343076862,13319583.247954912,9954665.062359886,23274248.310314797,-5571180.116840148,0,4474603.488042481,0,22212.556398073142,66346978.8582969,68035992.28791931,36307.87055312385,0,6516.946450478753,0,0.03498542164441166,97414.14455512198,122085.02628216265,0.4905238913761416,0.08053443720760212,0.1873383597934499,0.24160331162280638
2030,6950394.605396117,3188211.212723227,635520.7242625642,1220100.4956226333,1906562.1727876926,0,0,-0,0,0,0,77938374.82906926,77764290.2704682,174084.55860105317,67140087.41359943,66965957.653231256,174129.76036818099,67115020.96278924,66940943.1543194,174077.80846983285,0.067,10798287.415469822,10798332.61723695,-45.2017671278154,10823353.866280027,10823347.116148807,6.750131220323965,0.8614509548197262,0.8611293359655332,0.1273196040333173,0.13808929280459195,0.07329140135281523,0.13808929280459195,0.07329140135281523,0.03,0.03,0.10808929280459195,0.04329140135281523,0,0.5211979435392317,-3.9337049358685695e-6,0,0.0843,0.0843,440257.83167662093,46578.20446995941,0,95646.33638169682,19065.621727876925,0,344611.4952949241,27512.582742082486,0,1661689.127640066,-2.499951009878417,102854.47178098798,160723.19116600248,2297388.368673053,2033810.7057260626,263577.66294699046,7615019.64013592,7615019.64013592,0,4633.328673265596,513.3558005306011,4119.972872734995,0,0,0,0,0,0,0.33054071014750974,1900355.1180711768,15219938.366026089,8952868.480987692,24172806.84701378,-5513586.036619764,0,4399653.825885125,0,21685.019648503567,65301411.82600751,66944272.63358275,42455.73164621454,0,9588.931195305266,0,0.036259076912889036,143312.92709069158,174129.72410910408,0.45870938180229043,0.09143663926205879,0.17554406114947443,0.27430991778617636
2031,7176282.430071491,3098841.9896782767,722534.2021066435,1187303.63196664,2167602.6063199304,0,0,0,0,0,0,75774078.50184093,75538659.41340134,235419.08843960415,66105431.394024655,65869957.704165384,235473.68985927253,66041226.65087193,65805818.12713973,235408.5237322029,0.067,9668647.107816283,9668701.709235951,-54.60141966838273,9732851.850969005,9732841.286261603,10.564707401237683,0.872401653718806,0.8715543356857511,0.1251734360934893,0.1372620364772164,0.0733272226459971,0.1372620364772164,0.0733272226459971,0.03,0.03,0.10726203647721641,0.0433272226459971,0,0.5672249125136158,-4.50503414685774e-6,0,0.0843,0.0843,425353.3622243495,52981.426307221715,0,92965.25969034829,21676.026063199304,0,332388.10253400117,31305.40024402241,0,1757740.3764887797,-3.2550412527630406,100089.69617478775,182728.89971277013,2404249.2201131084,2121430.6242255503,282818.5958875579,7623948.149919818,7623948.149919818,0,4895.331507515202,0,4895.331507515202,0,0,0,0,0,0,0.3350271179459637,1942137.053343066,17162075.419369154,7862135.113254306,25024210.53262346,-5440854.411206689,0,4324902.738969411,0,19951.723171402806,64245530.44762791,65850005.98099398,48082.839758453745,0,13261.047168043426,0,0.042564594384588816,198171.18024740787,235473.64729467814,0.43181717273178805,0.10068363517563585,0.1654482865656685,0.30205090552690755
