year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,3646110.0000000005,0,1215370,0,4861480,0.10436283755649464,0,14347626.407757716,0,2887771.319501987,0,99.94805194805195,3646110.0000000005,1215370,0.10436283755649464,11459855.08825573,0,0,0,0,0,0,0,0,0,7570938.439096869,80972435.675402,0,-2095291,90336999.76365773,0,90336999.76365773,7570938.439096869,0,7570938.439096869,0,0,0,90336999.76365773,0,90336999.76365773
2023,3555449.44637848,0,1387532.2002381948,0,4942981.646616675,0.10316165027223446,0,13790752.355663251,0,2758099.956247449,0,99.94805194805195,3555449.44637848,1387532.2002381948,0.10316165027223446,11032652.399415802,0,54186.59066645079,0,0,0,92064.94748337865,0,1429279.8272463419,0,7503790.087306456,78893798.77834748,-89611.43113519328,-2146064.0658648065,89263853.52981126,0,89263853.52981126,7506243.603654641,0,7506243.603654641,0,0,0,89263853.52981126,0,89263853.52981126
2024,3411440.783270547,83828.85191268947,1303521.5334785613,251486.55573806842,5050277.724399867,0.10259915539748425,0.052510970272801515,13416209.318943223,39513.46075038379,2576106.6209681216,39513.46075038379,99.94805194805195,3495269.6351832366,1555008.0892166297,0.10139786465552629,10840102.697975101,0,115753.10751604669,0,471.8699923387296,0,169984.9973427182,0,2595172.137611312,0,7453974.287347853,76725709.0091489,-92523.80264708707,-2197326.555630661,88079410.3966207,0,88079410.3966207,7531907.352035823,0,7531907.352035823,0,0,0,88079410.39662069,0,88079410.39662069
2025,3311286.299347939,151767.1827546218,1256676.838208249,455301.54826386546,5175031.868574675,0.10205179147926689,0.05239729968691099,13172432.231465088,80748.33873409597,2398694.821520895,76867.61337756418,99.94805194805195,3463053.482102561,1711978.3864721146,0.09987569966625134,10773737.409944193,3880.725356531795,169644.1338767273,0,418.013649346566,521.2089942585183,241561.12342790366,0,3623597.077444243,0,7407114.112393503,74459217.40036836,-95530.82623311739,-2249016.608624798,86777179.41300872,3880.725356531795,86781060.13836525,7553562.423237636,521.2089942585183,7554083.632231894,-0,-0,-0,86777179.41300872,3880.7253565317988,86781060.13836525
2026,2982003.0543487775,291105.2419759613,1137993.2726065877,873315.725927884,5284417.294859211,0.10093092793627058,0.05246084263503475,11796445.56266189,160648.20533347293,2221484.675613586,149532.14457166937,99.94805194805195,3273108.2963247388,2011308.9985344717,0.09662007273907003,9574960.887048304,11116.060761803557,231829.7160997725,0,457.79881661283844,976.8637510480033,388640.96701407025,0,5684999.518860379,0,7355248.638090957,72092736.3281021,-98635.5780856937,-2301065.1433169656,85283461.30679359,11116.060761803557,85294577.3675554,7645711.825835947,976.8637510480033,7646688.689586995,0,0,0,85283461.30679356,11116.060761803532,85294577.36755536
2027,2871032.5019820626,367566.99978850817,1094866.2522595616,1102700.9993655246,5436166.753395657,0.1003411247412184,0.05243462220641206,11491706.20858477,223453.30911268224,2069347.8134954807,198275.51722203998,99.94805194805195,3238599.501770571,2197567.251625086,0.09490394444231066,9422358.39508929,25177.791890642256,302233.16687579936,0,471.4990807449009,1954.6712317367342,460817.0390167375,0,6644836.295504663,0,7293819.173427223,69629130.4886577,-101841.23437347874,-2353395.2735457234,83645163.07258172,25177.791890642256,83670340.86447236,7653266.477151226,1954.6712317367342,7655221.148382963,-0,-0,-0,83645163.07258171,25177.79189064225,83670340.86447234
2028,2739075.5871847076,449702.6847441583,1046093.6498197688,1349108.0542324749,5583979.97598111,0.099566076223888,0.05246525401881229,11005103.057680951,292337.83115535905,1919911.4865822038,248809.08851265008,99.94805194805195,3188778.271928866,2395201.704052244,0.09292360553668422,9085191.571098749,43528.74264270897,354379.93862039765,0,499.4027146012937,2609.1980740610884,546448.0258236272,0,7767743.216080325,0,7220093.426574987,67074188.80482278,-105151.0744906168,-2405921.68238267,81875581.84823957,43528.74264270897,81919110.59088229,7661889.780622599,2609.1980740610884,7664498.97869666,0,0,0,81875581.84823956,43528.74264270896,81919110.59088227
2029,2637188.0738888215,525682.7615579668,1009228.7685211073,1577048.2846739006,5749147.888641796,0.09891139856334098,0.05249758951791105,10724441.970347127,363735.9644017121,1775826.5474865877,297096.1577940398,99.94805194805195,3162870.8354467885,2586277.053195008,0.09119722350440938,8948615.422860539,66639.8066076723,412242.41841850284,0,466.0673059408853,3399.1273801423117,618471.4870300022,0,8653128.425509673,0,7132336.405733277,64435823.049012624,-108568.48441156183,-2458549.9506907472,79991259.36511059,66639.8066076723,80057899.17171827,7642705.475657659,3399.1273801423117,7646104.603037801,0,0,0,79991259.36511058,66639.80660767228,80057899.17171825
2030,2558947.168084907,596650.8962004996,980446.0107349295,1789952.688601499,5925996.763621835,0.0983188466091002,0.05252324780129425,10530495.553999819,437518.5478636017,1633958.9655052822,342936.7692530384,99.94805194805195,3155598.0642854064,2770398.699336428,0.0896599539003092,8896536.588494537,94581.77861056331,295066.76773619204,0,513.3558005306011,4119.972872734995,697705.0593241754,0,9591949.53597103,0,7029411.540966682,61723611.65232978,-112096.9601549376,-2511175.8372320896,77995988.70729946,94581.77861056331,78090570.48591001,7615532.995936451,4119.972872734995,7619652.968809186,0,-0,0,77995988.70729943,94581.77861056337,78090570.48590998
2031,2274887.0139336335,734167.4069850583,883812.5670991113,2202502.2209551753,6095369.208972978,0.09734476799276377,0.052601826982622904,9430297.840338005,547652.6992448163,1491841.482094405,420291.2301028573,99.94805194805195,3009054.420918692,3086314.7880542865,0.0864281129951212,7938456.3582435995,127361.46914195904,347331.0134915032,0,0,4895.331507515202,829067.9227758511,0,11178788.37556805,0,6910620.338503941,58948473.294531934,-115740.11135997306,-2563684.5069666663,75849364.53486842,127361.46914195904,75976726.00401038,7623948.149919818,4895.331507515202,7628843.481427333,0,0,0,75849364.53486839,127361.46914195905,75976726.00401035
2032,2179473.750874614,815573.5380097674,851185.4704673596,2446720.6140293023,6292953.373381044,0.09676300428530626,0.05262228302026381,9185080.968336618,643097.526682061,1370346.512813609,474928.0526243762,99.94805194805195,2995047.2888843813,3297906.084496662,0.08474315927449737,7814734.4555230085,168169.47405768483,406593.1140730548,869.721125723578,0,5474.03930957089,895642.6333814426,0,11873180.46797608,0,6775588.663782228,56122432.34148334,-119501.66497917219,-2615949.7039542603,73600990.67510122,169039.19518340842,73770029.87028463,7551729.632184499,5474.03930957089,7557203.6714940695,0,0,0,73600990.67510118,169039.19518340836,73770029.87028459
2033,2072364.1986223347,901899.4895826977,815584.7959067333,2705698.468748093,6495546.952859859,0.09604552054633611,0.05266826614335136,8834815.754947688,744883.162792278,1251267.301276528,530083.5069507392,99.94805194805195,2974263.6882050326,3521283.2646548264,0.08289203864064777,7583548.45367116,214799.6558415388,457112.28203592054,2674.2356159167402,0,5808.2713442290815,969709.3102136606,0,12641362.458064327,0,6624189.409344682,53258445.89901805,-123385.46909099528,-2667832.8650282,71272636.22776125,217473.89145745555,71490110.1192187,7470513.250467347,5808.2713442290815,7476321.521811576,0,0,0,71272636.2277612,217473.8914574555,71490110.11921865
2034,1989607.765185477,982708.0278891564,788507.2677038749,2948124.083667469,6708947.144445977,0.0954095783241433,0.052710270729918025,8624804.278414333,849584.7998258545,1136060.9122437825,582020.2721273005,99.94805194805195,2972315.7930746335,3736631.351371344,0.08129231916348453,7488743.366170551,267564.527698554,512295.6883364535,6310.838201657672,0,5670.75863678761,1033108.8712463236,0,13232612.120219033,0,6456491.613244257,50370270.16100799,-127395.49683645261,-2719182.1701486367,68884739.1655854,273875.3659002117,69158614.53148562,7362204.987654128,5670.75863678761,7367875.746290916,0,-0,0,68884739.16558534,273875.3659002117,69158614.53148556
2035,1923863.6044904334,1060118.2654546425,767471.943169447,3180354.7963639274,6931808.60947845,0.09481209255294315,0.05274086810498263,8472069.827651244,957941.8618560778,1022349.3554573285,631110.270631369,99.94805194805195,2983981.869945076,3947826.7395333746,0.07986546236844214,7449720.472193915,326831.5912247088,330320.3708550975,11081.045381214948,0,5801.02551979396,1108930.1723110026,23.4917693728598,13957162.425979456,286.6677189365339,6272780.731740907,47472297.53005463,-131535.85048363733,-2769831.525064958,66439669.27401814,338199.3043248603,66777868.578343,7250175.053568272,5824.517289166819,7255999.570857439,0,0,0,66439669.274018064,338199.3043248603,66777868.57834292
