entry_year,entry_age,term_age,yos,term_year,separation_rate,remaining_prob,separation_prob
1970,20,20,0,1970,0.2075,1,0
1970,20,21,1,1971,0.11750000000000001,0.7925,0.20750000000000002
1970,20,22,2,1972,0.095,0.69938125,0.09311875000000003
1970,20,23,3,1973,0.07500000000000001,0.63294003125,0.06644121874999998
1970,20,24,4,1974,0.065,0.58546952890625,0.04747050234374994
1970,20,25,5,1975,0.0575,0.5474140095273438,0.03805551937890628
1970,20,26,6,1976,0.0575,0.5159377039795215,0.031476305547822214
1970,20,27,7,1977,0.055,0.486271286000699,0.029666417978822524
1970,20,28,8,1978,0.0475,0.45952636527066054,0.02674492073003848
1970,20,29,9,1979,0.035,0.4376988629203042,0.021827502350356354
1970,20,30,10,1980,0.030000000000000002,0.42237940271809354,0.015319460202210644
1970,20,31,11,1981,0.025,0.4097080206365507,0.012671382081542837
1970,20,32,12,1982,0.025,0.39946532012063696,0.01024270051591375
1970,20,33,13,1983,0.0225,0.389478687117621,0.009986633003015943
1970,20,34,14,1984,0.02,0.38071541665747455,0.008763270460146466
1970,20,35,15,1985,0.019,0.373101108324325,0.007614308333149522
1970,20,36,16,1986,0.015,0.36601218726616286,0.0070889210581621676
1970,20,37,17,1987,0.015,0.3605220044571704,0.005490182808992439
1970,20,38,18,1988,0.0125,0.35511417439031284,0.005407830066857577
1970,20,39,19,1989,0.0125,0.35067524721043397,0.004438927179878871
1970,20,40,20,1990,0.0125,0.34629180662030357,0.004383440590130405
1970,20,41,21,1991,0.0125,0.34196315903754976,0.0043286475827538085
1970,20,42,22,1992,0.0115,0.3376886195495804,0.004274539487969353
1970,20,43,23,1993,0.01,0.33380520042476025,0.0038834191248201533
1970,20,44,24,1994,0.01,0.33046714842051267,0.0033380520042475825
1970,20,45,25,1995,0.17,0.3271624769363075,0.0033046714842051572
1970,20,46,26,1996,0.17,0.2715448558571352,0.055617621079172286
1970,20,47,27,1997,0.17,0.22538223036142224,0.04616262549571298
1970,20,48,28,1998,0.195,0.18706725119998044,0.0383149791614418
1970,20,49,29,1999,0.195,0.15058913721598424,0.036478113983996197
1970,20,50,30,2000,0.195,0.12122425545886731,0.029364881757116934
1970,20,51,31,2001,0.19999999999999998,0.09758552564438817,0.023638729814479134
1970,20,52,32,2002,0.32499999999999996,0.07806842051551055,0.019517105128877624
1970,20,53,33,2003,0.3025,0.05269618384796962,0.02537223666754093
1970,20,54,34,2004,0.31875,0.03675558823395881,0.01594059561401081
1970,20,55,35,2005,0.40625,0.02503974448438444,0.011715843749574368
1970,20,56,36,2006,0.12000000000000001,0.014867348287603261,0.01017239619678118
1970,20,57,37,2007,0.12000000000000001,0.01308326649309087,0.0017840817945123915
1970,20,58,38,2008,0.12000000000000001,0.011513274513919966,0.0015699919791709038
1970,20,59,39,2009,0.12000000000000001,0.01013168157224957,0.0013815929416703954
1970,20,60,40,2010,0.12000000000000001,0.008915879783579621,0.0012158017886699495
1970,20,61,41,2011,0.12000000000000001,0.007845974209550067,0.0010699055740295543
1970,20,62,42,2012,0.12000000000000001,0.006904457304404059,9.415169051460075e-4
1970,20,63,43,2013,0.12000000000000001,0.006075922427875572,8.285348765284875e-4
1970,20,64,44,2014,0.12000000000000001,0.005346811736530503,7.291106913450687e-4
