yos,under_25,25_to_29,30_to_34,35_to_44,45_to_54,over_55
0,0.2075,0.1975,0.1975,0.2175,0.2375,0.2375
1,0.11750000000000001,0.1125,0.1125,0.11750000000000001,0.1125,0.1125
2,0.095,0.095,0.08499999999999999,0.0925,0.0875,0.0925
3,0.07500000000000001,0.07500000000000001,0.07750000000000001,0.0875,0.0775,0.085
4,0.065,0.07,0.065,0.065,0.0775,0.08
5,0.052500000000000005,0.0575,0.0575,0.0575,0.052500000000000005,0.0575
6,0.052500000000000005,0.0575,0.0575,0.055,0.05,0.055
7,0.05,0.055,0.05,0.05,0.0475,0.05
8,0.0425,0.0475,0.04,0.04,0.045,0.0475
9,0.0325,0.035,0.0325,0.0325,0.045,0.045
10,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.037500000000000006,0.037500000000000006
11,0.025,0.025,0.025,0.025,0.025,0.025
12,0.025,0.025,0.025,0.025,0.025,0.025
13,0.0225,0.0225,0.0225,0.0225,0.025,0.025
14,0.02,0.02,0.02,0.02,0.0225,0.0225
15,0.019,0.019,0.019,0.019,0.0225,0.0225
16,0.015,0.015,0.015,0.015,0.0225,0.0225
17,0.015,0.015,0.015,0.015,0.0175,0.0175
18,0.0125,0.0125,0.0125,0.0125,0.0175,0.0175
19,0.0125,0.0125,0.0125,0.0125,0.0175,0.0175
20,0.0125,0.0125,0.0125,0.0125,0.0175,0.0175
21,0.0125,0.0125,0.0125,0.0125,0.0175,0.0175
22,0.0115,0.0115,0.0115,0.0115,0.0125,0.0125
23,0.01,0.01,0.01,0.01,0.0125,0.0125
24,0.01,0.01,0.01,0.01,0.0125,0.0125
25,0.0075,0.0075,0.0075,0.0075,0.01,0.01
26,0.0075,0.0075,0.0075,0.0075,0.01,0.01
27,0.0075,0.0075,0.0075,0.0075,0.01,0.01
28,0.0075,0.0075,0.0075,0.0075,0.01,0.01
29,0.0075,0.0075,0.0075,0.0075,0.01,0.01
30,0.0075,0.0075,0.0075,0.0075,0.01,0.01
31,0.0075,0.0075,0.0075,0.0075,0.01,0.01
32,0.0075,0.0075,0.0075,0.0075,0.01,0.01
33,0.0075,0.0075,0.0075,0.0075,0.01,0.01
34,0.0075,0.0075,0.0075,0.0075,0.01,0.01
35,0.0075,0.0075,0.0075,0.0075,0.01,0.01
36,0.0075,0.0075,0.0075,0.0075,0.01,0.01
37,0.0075,0.0075,0.0075,0.0075,0.01,0.01
38,0.0075,0.0075,0.0075,0.0075,0.01,0.01
39,0.0075,0.0075,0.0075,0.0075,0.01,0.01
40,0.0075,0.0075,0.0075,0.0075,0.01,0.01
41,0.0075,0.0075,0.0075,0.0075,0.01,0.01
42,0.0075,0.0075,0.0075,0.0075,0.01,0.01
43,0.0075,0.0075,0.0075,0.0075,0.01,0.01
44,0.0075,0.0075,0.0075,0.0075,0.01,0.01
45,0.0075,0.0075,0.0075,0.0075,0.01,0.01
46,0.0075,0.0075,0.0075,0.0075,0.01,0.01
47,0.0075,0.0075,0.0075,0.0075,0.01,0.01
48,0.0075,0.0075,0.0075,0.0075,0.01,0.01
49,0.0075,0.0075,0.0075,0.0075,0.01,0.01
50,0.0075,0.0075,0.0075,0.0075,0.01,0.01
51,0.0075,0.0075,0.0075,0.0075,0.01,0.01
52,0.0075,0.0075,0.0075,0.0075,0.01,0.01
53,0.0075,0.0075,0.0075,0.0075,0.01,0.01
54,0.0075,0.0075,0.0075,0.0075,0.01,0.01
55,0.0075,0.0075,0.0075,0.0075,0.01,0.01
56,0.0075,0.0075,0.0075,0.0075,0.01,0.01
57,0.0075,0.0075,0.0075,0.0075,0.01,0.01
58,0.0075,0.0075,0.0075,0.0075,0.01,0.01
59,0.0075,0.0075,0.0075,0.0075,0.01,0.01
60,0.0075,0.0075,0.0075,0.0075,0.01,0.01
61,0.0075,0.0075,0.0075,0.0075,0.01,0.01
62,0.0075,0.0075,0.0075,0.0075,0.01,0.01
63,0.0075,0.0075,0.0075,0.0075,0.01,0.01
64,0.0075,0.0075,0.0075,0.0075,0.01,0.01
65,0.0075,0.0075,0.0075,0.0075,0.01,0.01
66,0.0075,0.0075,0.0075,0.0075,0.01,0.01
67,0.0075,0.0075,0.0075,0.0075,0.01,0.01
68,0.0075,0.0075,0.0075,0.0075,0.01,0.01
69,0.0075,0.0075,0.0075,0.0075,0.01,0.01
70,0.0075,0.0075,0.0075,0.0075,0.01,0.01
