age,class_name,gender,retirement_rate,table_type
55,regular_non_k12,female,0.0,early
55,regular_non_k12,male,0.0,early
55,special,female,0.0,early
55,special,male,0.0,early
55,elected_officers,female,0.0,early
55,elected_officers,male,0.0,early
55,senior_management,female,0.0,early
55,senior_management,male,0.0,early
56,regular_non_k12,female,0.0,early
56,regular_non_k12,male,0.0,early
56,special,female,0.05,early
56,special,male,0.05,early
56,elected_officers,female,0.0,early
56,elected_officers,male,0.0,early
56,senior_management,female,0.0,early
56,senior_management,male,0.0,early
57,regular_non_k12,female,0.0,early
57,regular_non_k12,male,0.0,early
57,special,female,0.05,early
57,special,male,0.05,early
57,elected_officers,female,0.0,early
57,elected_officers,male,0.0,early
57,senior_management,female,0.0,early
57,senior_management,male,0.0,early
58,regular_non_k12,female,0.0,early
58,regular_non_k12,male,0.0,early
58,special,female,0.05,early
58,special,male,0.05,early
58,elected_officers,female,0.0,early
58,elected_officers,male,0.0,early
58,senior_management,female,0.0,early
58,senior_management,male,0.0,early
59,regular_non_k12,female,0.0,early
59,regular_non_k12,male,0.0,early
59,special,female,0.05,early
59,special,male,0.05,early
59,elected_officers,female,0.0,early
59,elected_officers,male,0.0,early
59,senior_management,female,0.0,early
59,senior_management,male,0.0,early
60,regular_non_k12,female,0.0,early
60,regular_non_k12,male,0.0,early
60,special,female,0.07,early
60,special,male,0.07,early
60,elected_officers,female,0.0,early
60,elected_officers,male,0.0,early
60,senior_management,female,0.0,early
60,senior_management,male,0.0,early
61,regular_non_k12,female,0.05,early
61,regular_non_k12,male,0.05,early
61,special,female,0.09,early
61,special,male,0.09,early
61,elected_officers,female,0.03,early
61,elected_officers,male,0.03,early
61,senior_management,female,0.06,early
61,senior_management,male,0.06,early
62,regular_non_k12,female,0.05,early
62,regular_non_k12,male,0.05,early
62,special,female,0.2,early
62,special,male,0.2,early
62,elected_officers,female,0.03,early
62,elected_officers,male,0.03,early
62,senior_management,female,0.06,early
62,senior_management,male,0.06,early
63,regular_non_k12,female,0.05,early
63,regular_non_k12,male,0.05,early
63,special,female,0.14,early
63,special,male,0.14,early
63,elected_officers,female,0.03,early
63,elected_officers,male,0.03,early
63,senior_management,female,0.06,early
63,senior_management,male,0.06,early
64,regular_non_k12,female,0.05,early
64,regular_non_k12,male,0.05,early
64,special,female,0.14,early
64,special,male,0.14,early
64,elected_officers,female,0.03,early
64,elected_officers,male,0.03,early
64,senior_management,female,0.06,early
64,senior_management,male,0.06,early
65,regular_non_k12,female,0.15,early
65,regular_non_k12,male,0.13,early
65,special,female,0.2,early
65,special,male,0.2,early
65,elected_officers,female,0.03,early
65,elected_officers,male,0.03,early
65,senior_management,female,0.11,early
65,senior_management,male,0.11,early
66,regular_non_k12,female,0.15,early
66,regular_non_k12,male,0.13,early
66,special,female,0.25,early
66,special,male,0.25,early
66,elected_officers,female,0.05,early
66,elected_officers,male,0.05,early
66,senior_management,female,0.11,early
66,senior_management,male,0.11,early
67,regular_non_k12,female,0.15,early
67,regular_non_k12,male,0.13,early
67,special,female,0.25,early
67,special,male,0.25,early
67,elected_officers,female,0.12,early
67,elected_officers,male,0.12,early
67,senior_management,female,0.11,early
67,senior_management,male,0.11,early
68,regular_non_k12,female,0.15,early
68,regular_non_k12,male,0.13,early
68,special,female,0.25,early
68,special,male,0.25,early
68,elected_officers,female,0.12,early
68,elected_officers,male,0.12,early
68,senior_management,female,0.11,early
68,senior_management,male,0.11,early
69,regular_non_k12,female,0.15,early
69,regular_non_k12,male,0.13,early
69,special,female,0.25,early
69,special,male,0.25,early
69,elected_officers,female,0.12,early
69,elected_officers,male,0.12,early
69,senior_management,female,0.11,early
69,senior_management,male,0.11,early
70,regular_non_k12,female,0.15,early
70,regular_non_k12,male,0.13,early
70,special,female,1.0,early
70,special,male,1.0,early
70,elected_officers,female,0.12,early
70,elected_officers,male,0.12,early
70,senior_management,female,0.11,early
70,senior_management,male,0.11,early
80,regular_non_k12,female,1.0,early
80,regular_non_k12,male,1.0,early
80,special,female,1.0,early
80,special,male,1.0,early
80,elected_officers,female,1.0,early
80,elected_officers,male,1.0,early
80,senior_management,female,1.0,early
80,senior_management,male,1.0,early
