age,class_name,gender,retirement_rate,table_type
50,regular_k12,female,0.04,normal
50,regular_k12,male,0.04,normal
50,regular_non_k12,female,0.025,normal
50,regular_non_k12,male,0.025,normal
50,special,female,0.04,normal
50,special,male,0.05,normal
50,elected_officers,female,0.03,normal
50,elected_officers,male,0.03,normal
50,senior_management,female,0.03,normal
50,senior_management,male,0.03,normal
51,regular_k12,female,0.04,normal
51,regular_k12,male,0.04,normal
51,regular_non_k12,female,0.025,normal
51,regular_non_k12,male,0.025,normal
51,special,female,0.05,normal
51,special,male,0.05,normal
51,elected_officers,female,0.03,normal
51,elected_officers,male,0.03,normal
51,senior_management,female,0.03,normal
51,senior_management,male,0.03,normal
52,regular_k12,female,0.04,normal
52,regular_k12,male,0.04,normal
52,regular_non_k12,female,0.025,normal
52,regular_non_k12,male,0.025,normal
52,special,female,0.05,normal
52,special,male,0.05,normal
52,elected_officers,female,0.03,normal
52,elected_officers,male,0.03,normal
52,senior_management,female,0.03,normal
52,senior_management,male,0.03,normal
53,regular_k12,female,0.04,normal
53,regular_k12,male,0.04,normal
53,regular_non_k12,female,0.025,normal
53,regular_non_k12,male,0.025,normal
53,special,female,0.05,normal
53,special,male,0.05,normal
53,elected_officers,female,0.03,normal
53,elected_officers,male,0.03,normal
53,senior_management,female,0.03,normal
53,senior_management,male,0.03,normal
54,regular_k12,female,0.04,normal
54,regular_k12,male,0.04,normal
54,regular_non_k12,female,0.025,normal
54,regular_non_k12,male,0.025,normal
54,special,female,0.05,normal
54,special,male,0.05,normal
54,elected_officers,female,0.03,normal
54,elected_officers,male,0.03,normal
54,senior_management,female,0.03,normal
54,senior_management,male,0.03,normal
55,regular_k12,female,0.04,normal
55,regular_k12,male,0.05,normal
55,regular_non_k12,female,0.025,normal
55,regular_non_k12,male,0.025,normal
55,special,female,0.05,normal
55,special,male,0.05,normal
55,elected_officers,female,0.03,normal
55,elected_officers,male,0.03,normal
55,senior_management,female,0.03,normal
55,senior_management,male,0.03,normal
56,regular_k12,female,0.04,normal
56,regular_k12,male,0.05,normal
56,regular_non_k12,female,0.025,normal
56,regular_non_k12,male,0.025,normal
56,special,female,0.07,normal
56,special,male,0.07,normal
56,elected_officers,female,0.03,normal
56,elected_officers,male,0.03,normal
56,senior_management,female,0.03,normal
56,senior_management,male,0.03,normal
57,regular_k12,female,0.05,normal
57,regular_k12,male,0.05,normal
57,regular_non_k12,female,0.025,normal
57,regular_non_k12,male,0.025,normal
57,special,female,0.07,normal
57,special,male,0.07,normal
57,elected_officers,female,0.03,normal
57,elected_officers,male,0.03,normal
57,senior_management,female,0.03,normal
57,senior_management,male,0.03,normal
58,regular_k12,female,0.05,normal
58,regular_k12,male,0.06,normal
58,regular_non_k12,female,0.025,normal
58,regular_non_k12,male,0.025,normal
58,special,female,0.07,normal
58,special,male,0.07,normal
58,elected_officers,female,0.03,normal
58,elected_officers,male,0.03,normal
58,senior_management,female,0.03,normal
58,senior_management,male,0.03,normal
59,regular_k12,female,0.06,normal
59,regular_k12,male,0.06,normal
59,regular_non_k12,female,0.025,normal
59,regular_non_k12,male,0.025,normal
59,special,female,0.07,normal
59,special,male,0.07,normal
59,elected_officers,female,0.03,normal
59,elected_officers,male,0.03,normal
59,senior_management,female,0.03,normal
59,senior_management,male,0.03,normal
60,regular_k12,female,0.07,normal
60,regular_k12,male,0.06,normal
60,regular_non_k12,female,0.025,normal
60,regular_non_k12,male,0.025,normal
60,special,female,0.07,normal
60,special,male,0.07,normal
60,elected_officers,female,0.03,normal
60,elected_officers,male,0.03,normal
60,senior_management,female,0.03,normal
60,senior_management,male,0.03,normal
61,regular_k12,female,0.1,normal
61,regular_k12,male,0.1,normal
61,regular_non_k12,female,0.09,normal
61,regular_non_k12,male,0.08,normal
61,special,female,0.07,normal
61,special,male,0.07,normal
61,elected_officers,female,0.03,normal
61,elected_officers,male,0.03,normal
61,senior_management,female,0.1,normal
61,senior_management,male,0.1,normal
62,regular_k12,female,0.1,normal
62,regular_k12,male,0.1,normal
62,regular_non_k12,female,0.09,normal
62,regular_non_k12,male,0.095,normal
62,special,female,0.07,normal
62,special,male,0.07,normal
62,elected_officers,female,0.03,normal
62,elected_officers,male,0.03,normal
62,senior_management,female,0.1,normal
62,senior_management,male,0.1,normal
63,regular_k12,female,0.1,normal
63,regular_k12,male,0.1,normal
63,regular_non_k12,female,0.09,normal
63,regular_non_k12,male,0.095,normal
63,special,female,0.07,normal
63,special,male,0.07,normal
63,elected_officers,female,0.03,normal
63,elected_officers,male,0.03,normal
63,senior_management,female,0.1,normal
63,senior_management,male,0.1,normal
64,regular_k12,female,0.1,normal
64,regular_k12,male,0.1,normal
64,regular_non_k12,female,0.09,normal
64,regular_non_k12,male,0.095,normal
64,special,female,0.07,normal
64,special,male,0.07,normal
64,elected_officers,female,0.03,normal
64,elected_officers,male,0.03,normal
64,senior_management,female,0.1,normal
64,senior_management,male,0.1,normal
65,regular_k12,female,0.2,normal
65,regular_k12,male,0.175,normal
65,regular_non_k12,female,0.09,normal
65,regular_non_k12,male,0.095,normal
65,special,female,0.07,normal
65,special,male,0.07,normal
65,elected_officers,female,0.03,normal
