yos,under_25,25_to_29,30_to_34,35_to_44,45_to_54,over_55
0,0.275,0.265,0.25,0.24,0.22999999999999998,0.28500000000000003
1,0.185,0.17,0.155,0.14250000000000002,0.125,0.125
2,0.16749999999999998,0.135,0.1225,0.11,0.0975,0.095
3,0.16,0.115,0.10250000000000001,0.0925,0.08399999999999999,0.08399999999999999
4,0.1575,0.1,0.0875,0.08,0.07,0.07
5,0.1175,0.08499999999999999,0.0825,0.075,0.0675,0.0675
6,0.11249999999999999,0.0825,0.0775,0.07,0.0675,0.0675
7,0.0775,0.0775,0.07,0.0625,0.0575,0.0575
8,0.057499999999999996,0.057499999999999996,0.055,0.055,0.052500000000000005,0.0475
9,0.05,0.05,0.05,0.0475,0.045,0.045
10,0.042499999999999996,0.042499999999999996,0.042499999999999996,0.042499999999999996,0.042499999999999996,0.0375
11,0.037500000000000006,0.037500000000000006,0.035,0.037500000000000006,0.037500000000000006,0.035
12,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325
13,0.0325,0.0325,0.0325,0.0325,0.0325,0.030000000000000002
14,0.0275,0.0275,0.0225,0.0275,0.0275,0.0275
15,0.0275,0.0275,0.0225,0.024,0.024,0.026500000000000003
16,0.025,0.025,0.0225,0.0225,0.0225,0.0225
17,0.0225,0.0225,0.02,0.0225,0.0225,0.0225
18,0.02,0.02,0.0175,0.0175,0.0175,0.02
19,0.02,0.02,0.0175,0.0175,0.0175,0.02
20,0.0175,0.0175,0.0175,0.015,0.015,0.0175
21,0.013999999999999999,0.013999999999999999,0.015,0.0125,0.0125,0.013999999999999999
22,0.013999999999999999,0.013999999999999999,0.015,0.0125,0.0125,0.013999999999999999
23,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
24,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
25,0.01,0.01,0.01,0.01,0.01,0.01
26,0.01,0.01,0.01,0.01,0.01,0.01
27,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001
28,0.006500000000000001,0.006500000000000001,0.006500000000000001,0.006500000000000001,0.006500000000000001,0.006500000000000001
29,0.005,0.005,0.005,0.005,0.005,0.005
30,0.005,0.005,0.005,0.005,0.005,0.005
31,0.005,0.005,0.005,0.005,0.005,0.005
32,0.005,0.005,0.005,0.005,0.005,0.005
33,0.005,0.005,0.005,0.005,0.005,0.005
34,0.005,0.005,0.005,0.005,0.005,0.005
35,0.005,0.005,0.005,0.005,0.005,0.005
36,0.005,0.005,0.005,0.005,0.005,0.005
37,0.005,0.005,0.005,0.005,0.005,0.005
38,0.005,0.005,0.005,0.005,0.005,0.005
39,0.005,0.005,0.005,0.005,0.005,0.005
40,0.005,0.005,0.005,0.005,0.005,0.005
41,0.005,0.005,0.005,0.005,0.005,0.005
42,0.005,0.005,0.005,0.005,0.005,0.005
43,0.005,0.005,0.005,0.005,0.005,0.005
44,0.005,0.005,0.005,0.005,0.005,0.005
45,0.005,0.005,0.005,0.005,0.005,0.005
46,0.005,0.005,0.005,0.005,0.005,0.005
47,0.005,0.005,0.005,0.005,0.005,0.005
48,0.005,0.005,0.005,0.005,0.005,0.005
49,0.005,0.005,0.005,0.005,0.005,0.005
50,0.005,0.005,0.005,0.005,0.005,0.005
51,0.005,0.005,0.005,0.005,0.005,0.005
52,0.005,0.005,0.005,0.005,0.005,0.005
53,0.005,0.005,0.005,0.005,0.005,0.005
54,0.005,0.005,0.005,0.005,0.005,0.005
55,0.005,0.005,0.005,0.005,0.005,0.005
56,0.005,0.005,0.005,0.005,0.005,0.005
57,0.005,0.005,0.005,0.005,0.005,0.005
58,0.005,0.005,0.005,0.005,0.005,0.005
59,0.005,0.005,0.005,0.005,0.005,0.005
60,0.005,0.005,0.005,0.005,0.005,0.005
61,0.005,0.005,0.005,0.005,0.005,0.005
62,0.005,0.005,0.005,0.005,0.005,0.005
63,0.005,0.005,0.005,0.005,0.005,0.005
64,0.005,0.005,0.005,0.005,0.005,0.005
65,0.005,0.005,0.005,0.005,0.005,0.005
66,0.005,0.005,0.005,0.005,0.005,0.005
67,0.005,0.005,0.005,0.005,0.005,0.005
68,0.005,0.005,0.005,0.005,0.005,0.005
69,0.005,0.005,0.005,0.005,0.005,0.005
70,0.005,0.005,0.005,0.005,0.005,0.005
