yos,under_25,25_to_29,30_to_34,35_to_44,45_to_54,over_55
0,0.075,0.075,0.075,0.075,0.075,0.08499999999999999
1,0.0875,0.0875,0.0875,0.0875,0.0875,0.09
2,0.135,0.135,0.135,0.135,0.135,0.1225
3,0.13,0.13,0.13,0.13,0.13,0.10250000000000001
4,0.11,0.11,0.11,0.11,0.11,0.085
5,0.095,0.095,0.095,0.095,0.095,0.07
6,0.0925,0.0925,0.0925,0.0925,0.0925,0.07
7,0.07,0.07,0.07,0.07,0.07,0.060000000000000005
8,0.06,0.06,0.06,0.06,0.06,0.05
9,0.06,0.06,0.06,0.06,0.06,0.05
10,0.055,0.055,0.055,0.055,0.055,0.05
11,0.045,0.045,0.045,0.045,0.045,0.04
12,0.04,0.04,0.04,0.04,0.04,0.04
13,0.035,0.035,0.035,0.035,0.035,0.0325
14,0.03,0.03,0.03,0.03,0.03,0.03
15,0.025,0.025,0.025,0.025,0.025,0.025
16,0.02,0.02,0.02,0.02,0.02,0.02
17,0.02,0.02,0.02,0.02,0.02,0.02
18,0.02,0.02,0.02,0.02,0.02,0.02
19,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
20,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
21,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
22,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
23,0.01,0.01,0.01,0.01,0.01,0.01
24,0.01,0.01,0.01,0.01,0.01,0.01
25,0.01,0.01,0.01,0.01,0.01,0.01
26,0.01,0.01,0.01,0.01,0.01,0.01
27,0.01,0.01,0.01,0.01,0.01,0.01
28,0.01,0.01,0.01,0.01,0.01,0.01
29,0.01,0.01,0.01,0.01,0.01,0.01
30,0.01,0.01,0.01,0.01,0.01,0.01
31,0.01,0.01,0.01,0.01,0.01,0.01
32,0.01,0.01,0.01,0.01,0.01,0.01
33,0.01,0.01,0.01,0.01,0.01,0.01
34,0.01,0.01,0.01,0.01,0.01,0.01
35,0.01,0.01,0.01,0.01,0.01,0.01
36,0.01,0.01,0.01,0.01,0.01,0.01
37,0.01,0.01,0.01,0.01,0.01,0.01
38,0.01,0.01,0.01,0.01,0.01,0.01
39,0.01,0.01,0.01,0.01,0.01,0.01
40,0.01,0.01,0.01,0.01,0.01,0.01
41,0.01,0.01,0.01,0.01,0.01,0.01
42,0.01,0.01,0.01,0.01,0.01,0.01
43,0.01,0.01,0.01,0.01,0.01,0.01
44,0.01,0.01,0.01,0.01,0.01,0.01
45,0.01,0.01,0.01,0.01,0.01,0.01
46,0.01,0.01,0.01,0.01,0.01,0.01
47,0.01,0.01,0.01,0.01,0.01,0.01
48,0.01,0.01,0.01,0.01,0.01,0.01
49,0.01,0.01,0.01,0.01,0.01,0.01
50,0.01,0.01,0.01,0.01,0.01,0.01
51,0.01,0.01,0.01,0.01,0.01,0.01
52,0.01,0.01,0.01,0.01,0.01,0.01
53,0.01,0.01,0.01,0.01,0.01,0.01
54,0.01,0.01,0.01,0.01,0.01,0.01
55,0.01,0.01,0.01,0.01,0.01,0.01
56,0.01,0.01,0.01,0.01,0.01,0.01
57,0.01,0.01,0.01,0.01,0.01,0.01
58,0.01,0.01,0.01,0.01,0.01,0.01
59,0.01,0.01,0.01,0.01,0.01,0.01
60,0.01,0.01,0.01,0.01,0.01,0.01
61,0.01,0.01,0.01,0.01,0.01,0.01
62,0.01,0.01,0.01,0.01,0.01,0.01
63,0.01,0.01,0.01,0.01,0.01,0.01
64,0.01,0.01,0.01,0.01,0.01,0.01
65,0.01,0.01,0.01,0.01,0.01,0.01
66,0.01,0.01,0.01,0.01,0.01,0.01
67,0.01,0.01,0.01,0.01,0.01,0.01
68,0.01,0.01,0.01,0.01,0.01,0.01
69,0.01,0.01,0.01,0.01,0.01,0.01
70,0.01,0.01,0.01,0.01,0.01,0.01
