yos,age_band,withdrawal_rate
0,Under 25,0.034
0,25 to 29,0.034
0,30 to 34,0.034
0,35 to 44,0.034
0,45 to 54,0.034
0,55+,0.034
1,Under 25,0.034
1,25 to 29,0.034
1,30 to 34,0.034
1,35 to 44,0.034
1,45 to 54,0.034
1,55+,0.034
2,Under 25,0.034
2,25 to 29,0.034
2,30 to 34,0.034
2,35 to 44,0.034
2,45 to 54,0.034
2,55+,0.034
3,Under 25,0.034
3,25 to 29,0.034
3,30 to 34,0.034
3,35 to 44,0.034
3,45 to 54,0.034
3,55+,0.034
4,Under 25,0.14
4,25 to 29,0.14
4,30 to 34,0.14
4,35 to 44,0.14
4,45 to 54,0.14
4,55+,0.14
5,Under 25,0.034
5,25 to 29,0.034
5,30 to 34,0.034
5,35 to 44,0.034
5,45 to 54,0.034
5,55+,0.034
6,Under 25,0.034
6,25 to 29,0.034
6,30 to 34,0.034
6,35 to 44,0.034
6,45 to 54,0.034
6,55+,0.034
7,Under 25,0.034
7,25 to 29,0.034
7,30 to 34,0.034
7,35 to 44,0.034
7,45 to 54,0.034
7,55+,0.034
8,Under 25,0.09
8,25 to 29,0.09
8,30 to 34,0.09
8,35 to 44,0.09
8,45 to 54,0.09
8,55+,0.09
9,Under 25,0.034
9,25 to 29,0.034
9,30 to 34,0.034
9,35 to 44,0.034
9,45 to 54,0.034
9,55+,0.034
10,Under 25,0.034
10,25 to 29,0.034
10,30 to 34,0.034
10,35 to 44,0.034
10,45 to 54,0.034
10,55+,0.034
11,Under 25,0.034
11,25 to 29,0.034
11,30 to 34,0.034
11,35 to 44,0.034
11,45 to 54,0.034
11,55+,0.034
12,Under 25,0.034
12,25 to 29,0.034
12,30 to 34,0.034
12,35 to 44,0.034
12,45 to 54,0.034
12,55+,0.034
13,Under 25,0.034
13,25 to 29,0.034
13,30 to 34,0.034
13,35 to 44,0.034
13,45 to 54,0.034
13,55+,0.034
14,Under 25,0.034
14,25 to 29,0.034
14,30 to 34,0.034
14,35 to 44,0.034
14,45 to 54,0.034
14,55+,0.034
15,Under 25,0.034
15,25 to 29,0.034
15,30 to 34,0.034
15,35 to 44,0.034
15,45 to 54,0.034
15,55+,0.034
16,Under 25,0.034
16,25 to 29,0.034
16,30 to 34,0.034
16,35 to 44,0.034
16,45 to 54,0.034
16,55+,0.034
17,Under 25,0.034
17,25 to 29,0.034
17,30 to 34,0.034
17,35 to 44,0.034
17,45 to 54,0.034
17,55+,0.034
18,Under 25,0.034
18,25 to 29,0.034
18,30 to 34,0.034
18,35 to 44,0.034
18,45 to 54,0.034
18,55+,0.034
19,Under 25,0.034
19,25 to 29,0.034
19,30 to 34,0.034
19,35 to 44,0.034
19,45 to 54,0.034
19,55+,0.034
20,Under 25,0.034
20,25 to 29,0.034
20,30 to 34,0.034
20,35 to 44,0.034
20,45 to 54,0.034
20,55+,0.034
21,Under 25,0.034
21,25 to 29,0.034
21,30 to 34,0.034
21,35 to 44,0.034
21,45 to 54,0.034
21,55+,0.034
22,Under 25,0.034
22,25 to 29,0.034
22,30 to 34,0.034
22,35 to 44,0.034
22,45 to 54,0.034
22,55+,0.034
23,Under 25,0.034
23,25 to 29,0.034
23,30 to 34,0.034
23,35 to 44,0.034
23,45 to 54,0.034
23,55+,0.034
24,Under 25,0.034
24,25 to 29,0.034
24,30 to 34,0.034
24,35 to 44,0.034
24,45 to 54,0.034
24,55+,0.034
25,Under 25,0.034
25,25 to 29,0.034
25,30 to 34,0.034
25,35 to 44,0.034
25,45 to 54,0.034
25,55+,0.034
26,Under 25,0.034
26,25 to 29,0.034
26,30 to 34,0.034
26,35 to 44,0.034
26,45 to 54,0.034
26,55+,0.034
27,Under 25,0.034
27,25 to 29,0.034
27,30 to 34,0.034
27,35 to 44,0.034
27,45 to 54,0.034
27,55+,0.034
28,Under 25,0.034
28,25 to 29,0.034
28,30 to 34,0.034
28,35 to 44,0.034
28,45 to 54,0.034
28,55+,0.034
29,Under 25,0.034
29,25 to 29,0.034
29,30 to 34,0.034
29,35 to 44,0.034
29,45 to 54,0.034
29,55+,0.034
30,Under 25,0.034
30,25 to 29,0.034
30,30 to 34,0.034
30,35 to 44,0.034
30,45 to 54,0.034
30,55+,0.034
