yos,age_band,withdrawal_rate
0,Under 25,0.05
0,25 to 29,0.05
0,30 to 34,0.05
0,35 to 44,0.05
0,45 to 54,0.05
0,55+,0.05
1,Under 25,0.05
1,25 to 29,0.05
1,30 to 34,0.05
1,35 to 44,0.05
1,45 to 54,0.05
1,55+,0.05
2,Under 25,0.05
2,25 to 29,0.05
2,30 to 34,0.05
2,35 to 44,0.05
2,45 to 54,0.05
2,55+,0.05
3,Under 25,0.05
3,25 to 29,0.05
3,30 to 34,0.05
3,35 to 44,0.05
3,45 to 54,0.05
3,55+,0.05
4,Under 25,0.05
4,25 to 29,0.05
4,30 to 34,0.05
4,35 to 44,0.05
4,45 to 54,0.05
4,55+,0.05
5,Under 25,0.05
5,25 to 29,0.05
5,30 to 34,0.05
5,35 to 44,0.05
5,45 to 54,0.05
5,55+,0.05
6,Under 25,0.05
6,25 to 29,0.05
6,30 to 34,0.05
6,35 to 44,0.05
6,45 to 54,0.05
6,55+,0.05
7,Under 25,0.05
7,25 to 29,0.05
7,30 to 34,0.05
7,35 to 44,0.05
7,45 to 54,0.05
7,55+,0.05
8,Under 25,0.05
8,25 to 29,0.05
8,30 to 34,0.05
8,35 to 44,0.05
8,45 to 54,0.05
8,55+,0.05
9,Under 25,0.05
9,25 to 29,0.05
9,30 to 34,0.05
9,35 to 44,0.05
9,45 to 54,0.05
9,55+,0.05
10,Under 25,0.05
10,25 to 29,0.05
10,30 to 34,0.05
10,35 to 44,0.05
10,45 to 54,0.05
10,55+,0.05
11,Under 25,0.05
11,25 to 29,0.05
11,30 to 34,0.05
11,35 to 44,0.05
11,45 to 54,0.05
11,55+,0.05
12,Under 25,0.05
12,25 to 29,0.05
12,30 to 34,0.05
12,35 to 44,0.05
12,45 to 54,0.05
12,55+,0.05
13,Under 25,0.05
13,25 to 29,0.05
13,30 to 34,0.05
13,35 to 44,0.05
13,45 to 54,0.05
13,55+,0.05
14,Under 25,0.05
14,25 to 29,0.05
14,30 to 34,0.05
14,35 to 44,0.05
14,45 to 54,0.05
14,55+,0.05
15,Under 25,0.05
15,25 to 29,0.05
15,30 to 34,0.05
15,35 to 44,0.05
15,45 to 54,0.05
15,55+,0.05
16,Under 25,0.05
16,25 to 29,0.05
16,30 to 34,0.05
16,35 to 44,0.05
16,45 to 54,0.05
16,55+,0.05
17,Under 25,0.05
17,25 to 29,0.05
17,30 to 34,0.05
17,35 to 44,0.05
17,45 to 54,0.05
17,55+,0.05
18,Under 25,0.05
18,25 to 29,0.05
18,30 to 34,0.05
18,35 to 44,0.05
18,45 to 54,0.05
18,55+,0.05
19,Under 25,0.05
19,25 to 29,0.05
19,30 to 34,0.05
19,35 to 44,0.05
19,45 to 54,0.05
19,55+,0.05
20,Under 25,0.05
20,25 to 29,0.05
20,30 to 34,0.05
20,35 to 44,0.05
20,45 to 54,0.05
20,55+,0.05
21,Under 25,0.05
21,25 to 29,0.05
21,30 to 34,0.05
21,35 to 44,0.05
21,45 to 54,0.05
21,55+,0.05
22,Under 25,0.05
22,25 to 29,0.05
22,30 to 34,0.05
22,35 to 44,0.05
22,45 to 54,0.05
22,55+,0.05
23,Under 25,0.05
23,25 to 29,0.05
23,30 to 34,0.05
23,35 to 44,0.05
23,45 to 54,0.05
23,55+,0.05
24,Under 25,0.05
24,25 to 29,0.05
24,30 to 34,0.05
24,35 to 44,0.05
24,45 to 54,0.05
24,55+,0.05
25,Under 25,0.05
25,25 to 29,0.05
25,30 to 34,0.05
25,35 to 44,0.05
25,45 to 54,0.05
25,55+,0.05
26,Under 25,0.05
26,25 to 29,0.05
26,30 to 34,0.05
26,35 to 44,0.05
26,45 to 54,0.05
26,55+,0.05
27,Under 25,0.05
27,25 to 29,0.05
27,30 to 34,0.05
27,35 to 44,0.05
27,45 to 54,0.05
27,55+,0.05
28,Under 25,0.05
28,25 to 29,0.05
28,30 to 34,0.05
28,35 to 44,0.05
28,45 to 54,0.05
28,55+,0.05
29,Under 25,0.05
29,25 to 29,0.05
29,30 to 34,0.05
29,35 to 44,0.05
29,45 to 54,0.05
29,55+,0.05
30,Under 25,0.05
30,25 to 29,0.05
30,30 to 34,0.05
30,35 to 44,0.05
30,45 to 54,0.05
30,55+,0.05
