yos,age,withdrawal_rate
0,18,0.28
0,19,0.28
0,20,0.28
0,21,0.28
0,22,0.28
0,23,0.28
0,24,0.28
0,25,0.28
0,26,0.28
0,27,0.28
0,28,0.28
0,29,0.28
0,30,0.28
0,31,0.28
0,32,0.28
0,33,0.28
0,34,0.28
0,35,0.28
0,36,0.28
0,37,0.28
0,38,0.28
0,39,0.28
0,40,0.28
0,41,0.28
0,42,0.28
0,43,0.28
0,44,0.28
0,45,0.28
0,46,0.28
0,47,0.28
0,48,0.28
0,49,0.28
0,50,0.28
0,51,0.28
0,52,0.28
0,53,0.28
0,54,0.28
0,55,0.28
0,56,0.28
0,57,0.28
0,58,0.28
0,59,0.28
0,60,0.28
0,61,0.28
0,62,0.28
0,63,0.28
0,64,0.28
0,65,0.28
0,66,0.28
0,67,0.28
0,68,0.28
0,69,0.28
0,70,0.28
0,71,0.28
0,72,0.28
0,73,0.28
0,74,0.28
0,75,0.28
0,76,0.28
0,77,0.28
0,78,0.28
0,79,0.28
0,80,0.28
0,81,0.28
0,82,0.28
0,83,0.28
0,84,0.28
0,85,0.28
0,86,0.28
0,87,0.28
0,88,0.28
0,89,0.28
0,90,0.28
0,91,0.28
0,92,0.28
0,93,0.28
0,94,0.28
0,95,0.28
0,96,0.28
0,97,0.28
0,98,0.28
0,99,0.28
0,100,0.28
0,101,0.28
0,102,0.28
0,103,0.28
0,104,0.28
0,105,0.28
0,106,0.28
0,107,0.28
0,108,0.28
0,109,0.28
0,110,0.28
0,111,0.28
0,112,0.28
0,113,0.28
0,114,0.28
0,115,0.28
0,116,0.28
0,117,0.28
0,118,0.28
0,119,0.28
0,120,0.28
0,18,0.28
0,19,0.28
0,20,0.28
0,21,0.28
0,22,0.28
0,23,0.28
0,24,0.28
0,25,0.28
0,26,0.28
0,27,0.28
0,28,0.28
0,29,0.28
0,30,0.28
0,31,0.28
0,32,0.28
0,33,0.28
0,34,0.28
0,35,0.28
0,36,0.28
0,37,0.28
0,38,0.28
0,39,0.28
0,40,0.28
0,41,0.28
0,42,0.28
0,43,0.28
0,44,0.28
0,45,0.28
0,46,0.28
0,47,0.28
0,48,0.28
0,49,0.28
0,50,0.28
0,51,0.28
0,52,0.28
0,53,0.28
0,54,0.28
0,55,0.28
0,56,0.28
0,57,0.28
0,58,0.28
0,59,0.28
0,60,0.28
0,61,0.28
0,62,0.28
0,63,0.28
0,64,0.28
0,65,0.28
0,66,0.28
0,67,0.28
0,68,0.28
0,69,0.28
0,70,0.28
0,71,0.28
0,72,0.28
0,73,0.28
0,74,0.28
0,75,0.28
0,76,0.28
0,77,0.28
0,78,0.28
0,79,0.28
0,80,0.28
0,81,0.28
0,82,0.28
0,83,0.28
0,84,0.28
0,85,0.28
0,86,0.28
0,87,0.28
0,88,0.28
0,89,0.28
0,90,0.28
0,91,0.28
0,92,0.28
0,93,0.28
0,94,0.28
0,95,0.28
0,96,0.28
0,97,0.28
0,98,0.28
0,99,0.28
0,100,0.28
0,101,0.28
0,102,0.28
0,103,0.28
0,104,0.28
0,105,0.28
0,106,0.28
0,107,0.28
0,108,0.28
0,109,0.28
0,110,0.28
0,111,0.28
0,112,0.28
0,113,0.28
0,114,0.28
0,115,0.28
0,116,0.28
0,117,0.28
0,118,0.28
0,119,0.28
0,120,0.28
0,18,0.27
0,19,0.27
0,20,0.27
0,21,0.27
0,22,0.27
0,23,0.27
0,24,0.27
0,25,0.27
0,26,0.27
0,27,0.27
0,28,0.27
0,29,0.27
0,30,0.27
0,31,0.27
0,32,0.27
0,33,0.27
0,34,0.27
0,35,0.27
0,36,0.27
0,37,0.27
0,38,0.27
0,39,0.27
0,40,0.27
0,41,0.27
0,42,0.27
0,43,0.27
0,44,0.27
0,45,0.27
0,46,0.27
0,47,0.27
0,48,0.27
0,49,0.27
0,50,0.27
0,51,0.27
0,52,0.27
0,53,0.27
0,54,0.27
0,55,0.27
0,56,0.27
0,57,0.27
0,58,0.27
0,59,0.27
0,60,0.27
0,61,0.27
0,62,0.27
0,63,0.27
0,64,0.27
0,65,0.27
0,66,0.27
0,67,0.27
0,68,0.27
0,69,0.27
0,70,0.27
0,71,0.27
0,72,0.27
0,73,0.27
0,74,0.27
0,75,0.27
0,76,0.27
0,77,0.27
0,78,0.27
0,79,0.27
0,80,0.27
0,81,0.27
0,82,0.27
0,83,0.27
0,84,0.27
0,85,0.27
0,86,0.27
0,87,0.27
0,88,0.27
0,89,0.27
0,90,0.27
0,91,0.27
0,92,0.27
0,93,0.27
0,94,0.27
0,95,0.27
0,96,0.27
0,97,0.27
0,98,0.27
0,99,0.27
0,100,0.27
0,101,0.27
0,102,0.27
0,103,0.27
0,104,0.27
0,105,0.27
0,106,0.27
0,107,0.27
0,108,0.27
0,109,0.27
0,110,0.27
0,111,0.27
0,112,0.27
0,113,0.27
0,114,0.27
0,115,0.27
0,116,0.27
0,117,0.27
0,118,0.27
0,119,0.27
0,120,0.27
0,18,0.26
0,19,0.26
0,20,0.26
0,21,0.26
0,22,0.26
0,23,0.26
0,24,0.26
0,25,0.26
0,26,0.26
0,27,0.26
0,28,0.26
0,29,0.26
0,30,0.26
0,31,0.26
0,32,0.26
0,33,0.26
0,34,0.26
0,35,0.26
0,36,0.26
0,37,0.26
0,38,0.26
0,39,0.26
0,40,0.26
0,41,0.26
0,42,0.26
0,43,0.26
0,44,0.26
0,45,0.26
0,46,0.26
0,47,0.26
0,48,0.26
0,49,0.26
0,50,0.26
0,51,0.26
0,52,0.26
0,53,0.26
0,54,0.26
0,55,0.26
0,56,0.26
0,57,0.26
0,58,0.26
0,59,0.26
0,60,0.26
0,61,0.26
0,62,0.26
0,63,0.26
0,64,0.26
0,65,0.26
0,66,0.26
0,67,0.26
0,68,0.26
0,69,0.26
0,70,0.26
0,71,0.26
0,72,0.26
0,73,0.26
0,74,0.26
