yos,age,withdrawal_rate
0,18,0.27
0,19,0.27
0,20,0.27
0,21,0.27
0,22,0.27
0,23,0.27
0,24,0.27
0,25,0.27
0,26,0.27
0,27,0.27
0,28,0.27
0,29,0.27
0,30,0.27
0,31,0.27
0,32,0.27
0,33,0.27
0,34,0.27
0,35,0.27
0,36,0.27
0,37,0.27
0,38,0.27
0,39,0.27
0,40,0.27
0,41,0.27
0,42,0.27
0,43,0.27
0,44,0.27
0,45,0.27
0,46,0.27
0,47,0.27
0,48,0.27
0,49,0.27
0,50,0.27
0,51,0.27
0,52,0.27
0,53,0.27
0,54,0.27
0,55,0.27
0,56,0.27
0,57,0.27
0,58,0.27
0,59,0.27
0,60,0.27
0,61,0.27
0,62,0.27
0,63,0.27
0,64,0.27
0,65,0.27
0,66,0.27
0,67,0.27
0,68,0.27
0,69,0.27
0,70,0.27
0,71,0.27
0,72,0.27
0,73,0.27
0,74,0.27
0,75,0.27
0,76,0.27
0,77,0.27
0,78,0.27
0,79,0.27
0,80,0.27
0,81,0.27
0,82,0.27
0,83,0.27
0,84,0.27
0,85,0.27
0,86,0.27
0,87,0.27
0,88,0.27
0,89,0.27
0,90,0.27
0,91,0.27
0,92,0.27
0,93,0.27
0,94,0.27
0,95,0.27
0,96,0.27
0,97,0.27
0,98,0.27
0,99,0.27
0,100,0.27
0,101,0.27
0,102,0.27
0,103,0.27
0,104,0.27
0,105,0.27
0,106,0.27
0,107,0.27
0,108,0.27
0,109,0.27
0,110,0.27
0,111,0.27
0,112,0.27
0,113,0.27
0,114,0.27
0,115,0.27
0,116,0.27
0,117,0.27
0,118,0.27
0,119,0.27
0,120,0.27
0,18,0.25
0,19,0.25
0,20,0.25
0,21,0.25
0,22,0.25
0,23,0.25
0,24,0.25
0,25,0.25
0,26,0.25
0,27,0.25
0,28,0.25
0,29,0.25
0,30,0.25
0,31,0.25
0,32,0.25
0,33,0.25
0,34,0.25
0,35,0.25
0,36,0.25
0,37,0.25
0,38,0.25
0,39,0.25
0,40,0.25
0,41,0.25
0,42,0.25
0,43,0.25
0,44,0.25
0,45,0.25
0,46,0.25
0,47,0.25
0,48,0.25
0,49,0.25
0,50,0.25
0,51,0.25
0,52,0.25
0,53,0.25
0,54,0.25
0,55,0.25
0,56,0.25
0,57,0.25
0,58,0.25
0,59,0.25
0,60,0.25
0,61,0.25
0,62,0.25
0,63,0.25
0,64,0.25
0,65,0.25
0,66,0.25
0,67,0.25
0,68,0.25
0,69,0.25
0,70,0.25
0,71,0.25
0,72,0.25
0,73,0.25
0,74,0.25
0,75,0.25
0,76,0.25
0,77,0.25
0,78,0.25
0,79,0.25
0,80,0.25
0,81,0.25
0,82,0.25
0,83,0.25
0,84,0.25
0,85,0.25
0,86,0.25
0,87,0.25
0,88,0.25
0,89,0.25
0,90,0.25
0,91,0.25
0,92,0.25
0,93,0.25
0,94,0.25
0,95,0.25
0,96,0.25
0,97,0.25
0,98,0.25
0,99,0.25
0,100,0.25
0,101,0.25
0,102,0.25
0,103,0.25
0,104,0.25
0,105,0.25
0,106,0.25
0,107,0.25
0,108,0.25
0,109,0.25
0,110,0.25
0,111,0.25
0,112,0.25
0,113,0.25
0,114,0.25
0,115,0.25
0,116,0.25
0,117,0.25
0,118,0.25
0,119,0.25
0,120,0.25
0,18,0.23
0,19,0.23
0,20,0.23
0,21,0.23
0,22,0.23
0,23,0.23
0,24,0.23
0,25,0.23
0,26,0.23
0,27,0.23
0,28,0.23
0,29,0.23
0,30,0.23
0,31,0.23
0,32,0.23
0,33,0.23
0,34,0.23
0,35,0.23
0,36,0.23
0,37,0.23
0,38,0.23
0,39,0.23
0,40,0.23
0,41,0.23
0,42,0.23
0,43,0.23
0,44,0.23
0,45,0.23
0,46,0.23
0,47,0.23
0,48,0.23
0,49,0.23
0,50,0.23
0,51,0.23
0,52,0.23
0,53,0.23
0,54,0.23
0,55,0.23
0,56,0.23
0,57,0.23
0,58,0.23
0,59,0.23
0,60,0.23
0,61,0.23
0,62,0.23
0,63,0.23
0,64,0.23
0,65,0.23
0,66,0.23
0,67,0.23
0,68,0.23
0,69,0.23
0,70,0.23
0,71,0.23
0,72,0.23
0,73,0.23
0,74,0.23
0,75,0.23
0,76,0.23
0,77,0.23
0,78,0.23
0,79,0.23
0,80,0.23
0,81,0.23
0,82,0.23
0,83,0.23
0,84,0.23
0,85,0.23
0,86,0.23
0,87,0.23
0,88,0.23
0,89,0.23
0,90,0.23
0,91,0.23
0,92,0.23
0,93,0.23
0,94,0.23
0,95,0.23
0,96,0.23
0,97,0.23
0,98,0.23
0,99,0.23
0,100,0.23
0,101,0.23
0,102,0.23
0,103,0.23
0,104,0.23
0,105,0.23
0,106,0.23
0,107,0.23
0,108,0.23
0,109,0.23
0,110,0.23
0,111,0.23
0,112,0.23
0,113,0.23
0,114,0.23
0,115,0.23
0,116,0.23
0,117,0.23
0,118,0.23
