yos,age_band,withdrawal_rate
0,under_25,0.27
0,25_to_29,0.25
0,30_to_34,0.23
0,35_to_44,0.22
0,45_to_54,0.21
0,over_55,0.27
1,under_25,0.19
1,25_to_29,0.17
1,30_to_34,0.15
1,35_to_44,0.135
1,45_to_54,0.125
1,over_55,0.125
2,under_25,0.175
2,25_to_29,0.135
2,30_to_34,0.12
2,35_to_44,0.105
2,45_to_54,0.095
2,over_55,0.09
3,under_25,0.16
3,25_to_29,0.115
3,30_to_34,0.1
3,35_to_44,0.09
3,45_to_54,0.078
3,over_55,0.078
4,under_25,0.155
4,25_to_29,0.1
4,30_to_34,0.085
4,35_to_44,0.08
4,45_to_54,0.065
4,over_55,0.065
5,under_25,0.105
5,25_to_29,0.09
5,30_to_34,0.085
5,35_to_44,0.075
5,45_to_54,0.06
5,over_55,0.06
6,under_25,0.105
6,25_to_29,0.085
6,30_to_34,0.075
6,35_to_44,0.065
6,45_to_54,0.06
6,over_55,0.06
7,under_25,0.08
7,25_to_29,0.08
7,30_to_34,0.065
7,35_to_44,0.06
7,45_to_54,0.05
7,over_55,0.05
8,under_25,0.055
8,25_to_29,0.055
8,30_to_34,0.05
8,35_to_44,0.055
8,45_to_54,0.05
8,over_55,0.04
9,under_25,0.05
9,25_to_29,0.05
9,30_to_34,0.05
9,35_to_44,0.045
9,45_to_54,0.04
9,over_55,0.04
10,under_25,0.04
10,25_to_29,0.04
10,30_to_34,0.04
10,35_to_44,0.04
10,45_to_54,0.04
10,over_55,0.03
11,under_25,0.035
11,25_to_29,0.035
11,30_to_34,0.03
11,35_to_44,0.035
11,45_to_54,0.035
11,over_55,0.03
12,under_25,0.03
12,25_to_29,0.03
12,30_to_34,0.03
12,35_to_44,0.03
12,45_to_54,0.03
12,over_55,0.03
13,under_25,0.03
13,25_to_29,0.03
13,30_to_34,0.03
13,35_to_44,0.03
13,45_to_54,0.03
13,over_55,0.025
14,under_25,0.025
14,25_to_29,0.025
14,30_to_34,0.015
14,35_to_44,0.025
14,45_to_54,0.025
14,over_55,0.025
15,under_25,0.025
15,25_to_29,0.025
15,30_to_34,0.015
15,35_to_44,0.02
15,45_to_54,0.02
15,over_55,0.025
16,under_25,0.02
16,25_to_29,0.02
16,30_to_34,0.015
16,35_to_44,0.02
16,45_to_54,0.02
16,over_55,0.02
17,under_25,0.02
17,25_to_29,0.02
17,30_to_34,0.015
17,35_to_44,0.02
17,45_to_54,0.02
17,over_55,0.02
18,under_25,0.02
18,25_to_29,0.02
18,30_to_34,0.015
18,35_to_44,0.015
18,45_to_54,0.015
18,over_55,0.02
19,under_25,0.02
19,25_to_29,0.02
19,30_to_34,0.015
19,35_to_44,0.015
19,45_to_54,0.015
19,over_55,0.02
20,under_25,0.015
20,25_to_29,0.015
20,30_to_34,0.015
20,35_to_44,0.01
20,45_to_54,0.01
20,over_55,0.015
21,under_25,0.013
21,25_to_29,0.013
21,30_to_34,0.015
21,35_to_44,0.01
21,45_to_54,0.01
21,over_55,0.013
22,under_25,0.013
22,25_to_29,0.013
22,30_to_34,0.015
22,35_to_44,0.01
22,45_to_54,0.01
22,over_55,0.013
23,under_25,0.01
23,25_to_29,0.01
23,30_to_34,0.01
23,35_to_44,0.01
23,45_to_54,0.01
23,over_55,0.01
24,under_25,0.01
24,25_to_29,0.01
24,30_to_34,0.01
24,35_to_44,0.01
24,45_to_54,0.01
24,over_55,0.01
25,under_25,0.01
25,25_to_29,0.01
25,30_to_34,0.01
25,35_to_44,0.01
25,45_to_54,0.01
25,over_55,0.01
26,under_25,0.01
26,25_to_29,0.01
26,30_to_34,0.01
26,35_to_44,0.01
26,45_to_54,0.01
26,over_55,0.01
27,under_25,0.01
27,25_to_29,0.01
27,30_to_34,0.01
27,35_to_44,0.01
27,45_to_54,0.01
27,over_55,0.01
28,under_25,0.005
28,25_to_29,0.005
28,30_to_34,0.005
28,35_to_44,0.005
28,45_to_54,0.005
28,over_55,0.005
29,under_25,0.005
29,25_to_29,0.005
29,30_to_34,0.005
29,35_to_44,0.005
29,45_to_54,0.005
29,over_55,0.005
30,under_25,0.005
30,25_to_29,0.005
30,30_to_34,0.005
30,35_to_44,0.005
30,45_to_54,0.005
30,over_55,0.005
