yos,age,withdrawal_rate
0,18,0.09
0,19,0.09
0,20,0.09
0,21,0.09
0,22,0.09
0,23,0.09
0,24,0.09
0,25,0.09
0,26,0.09
0,27,0.09
0,28,0.09
0,29,0.09
0,30,0.09
0,31,0.09
0,32,0.09
0,33,0.09
0,34,0.09
0,35,0.09
0,36,0.09
0,37,0.09
0,38,0.09
0,39,0.09
0,40,0.09
0,41,0.09
0,42,0.09
0,43,0.09
0,44,0.09
0,45,0.09
0,46,0.09
0,47,0.09
0,48,0.09
0,49,0.09
0,50,0.09
0,51,0.09
0,52,0.09
0,53,0.09
0,54,0.09
0,55,0.11
0,56,0.11
0,57,0.11
0,58,0.11
0,59,0.11
0,60,0.11
0,61,0.11
0,62,0.11
0,63,0.11
0,64,0.11
0,65,0.11
0,66,0.11
0,67,0.11
0,68,0.11
0,69,0.11
0,70,0.11
0,71,0.11
0,72,0.11
0,73,0.11
0,74,0.11
0,75,0.11
0,76,0.11
0,77,0.11
0,78,0.11
0,79,0.11
0,80,0.11
0,81,0.11
0,82,0.11
0,83,0.11
0,84,0.11
0,85,0.11
0,86,0.11
0,87,0.11
0,88,0.11
0,89,0.11
0,90,0.11
0,91,0.11
0,92,0.11
0,93,0.11
0,94,0.11
0,95,0.11
0,96,0.11
0,97,0.11
0,98,0.11
0,99,0.11
0,100,0.11
0,101,0.11
0,102,0.11
0,103,0.11
0,104,0.11
0,105,0.11
0,106,0.11
0,107,0.11
0,108,0.11
0,109,0.11
0,110,0.11
0,111,0.11
0,112,0.11
0,113,0.11
0,114,0.11
0,115,0.11
0,116,0.11
0,117,0.11
0,118,0.11
0,119,0.11
0,120,0.11
1,18,0.105
1,19,0.105
1,20,0.105
1,21,0.105
1,22,0.105
1,23,0.105
1,24,0.105
1,25,0.105
1,26,0.105
1,27,0.105
1,28,0.105
1,29,0.105
1,30,0.105
1,31,0.105
1,32,0.105
1,33,0.105
1,34,0.105
1,35,0.105
1,36,0.105
1,37,0.105
1,38,0.105
1,39,0.105
1,40,0.105
1,41,0.105
1,42,0.105
1,43,0.105
1,44,0.105
1,45,0.105
1,46,0.105
1,47,0.105
1,48,0.105
1,49,0.105
1,50,0.105
1,51,0.105
1,52,0.105
1,53,0.105
1,54,0.105
1,55,0.11
1,56,0.11
1,57,0.11
1,58,0.11
1,59,0.11
1,60,0.11
1,61,0.11
1,62,0.11
1,63,0.11
1,64,0.11
1,65,0.11
1,66,0.11
1,67,0.11
1,68,0.11
1,69,0.11
1,70,0.11
1,71,0.11
1,72,0.11
1,73,0.11
1,74,0.11
1,75,0.11
1,76,0.11
1,77,0.11
1,78,0.11
1,79,0.11
1,80,0.11
1,81,0.11
1,82,0.11
1,83,0.11
1,84,0.11
1,85,0.11
1,86,0.11
1,87,0.11
1,88,0.11
1,89,0.11
1,90,0.11
1,91,0.11
1,92,0.11
1,93,0.11
1,94,0.11
1,95,0.11
1,96,0.11
1,97,0.11
1,98,0.11
1,99,0.11
1,100,0.11
1,101,0.11
1,102,0.11
1,103,0.11
1,104,0.11
1,105,0.11
1,106,0.11
1,107,0.11
1,108,0.11
1,109,0.11
1,110,0.11
1,111,0.11
1,112,0.11
1,113,0.11
1,114,0.11
1,115,0.11
1,116,0.11
1,117,0.11
1,118,0.11
1,119,0.11
1,120,0.11
2,18,0.17
2,19,0.17
2,20,0.17
2,21,0.17
2,22,0.17
2,23,0.17
2,24,0.17
2,25,0.17
2,26,0.17
2,27,0.17
2,28,0.17
2,29,0.17
2,30,0.17
2,31,0.17
2,32,0.17
2,33,0.17
2,34,0.17
2,35,0.17
2,36,0.17
2,37,0.17
2,38,0.17
2,39,0.17
2,40,0.17
2,41,0.17
2,42,0.17
2,43,0.17
2,44,0.17
2,45,0.17
2,46,0.17
2,47,0.17
2,48,0.17
2,49,0.17
2,50,0.17
2,51,0.17
2,52,0.17
2,53,0.17
2,54,0.17
2,55,0.145
2,56,0.145
2,57,0.145
2,58,0.145
2,59,0.145
2,60,0.145
2,61,0.145
2,62,0.145
2,63,0.145
2,64,0.145
2,65,0.145
2,66,0.145
2,67,0.145
2,68,0.145
2,69,0.145
2,70,0.145
2,71,0.145
2,72,0.145
2,73,0.145
2,74,0.145
2,75,0.145
2,76,0.145
2,77,0.145
2,78,0.145
2,79,0.145
2,80,0.145
2,81,0.145
2,82,0.145
2,83,0.145
2,84,0.145
2,85,0.145
2,86,0.145
2,87,0.145
2,88,0.145
2,89,0.145
2,90,0.145
