year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,7973936.05747593,5938000,0,2035936.05747593,0,0,0,0,0,0.067,0.067,138007999.99643606,138007999.99643606,0,63028000,63028000,0,63396000,63396000,0,-0.0718,74979999.99643606,74979999.99643606,0,74612000,74612000,0,0.45669816242536665,0.4593646745116225,0.1254,NA,NA,0.1254,0,0.03,0,0.09540000000000001,0,0.8602000000000001,0.7648,0,0,0.0994,0,744625.2000000001,0,178140,178140,0,566485.2000000001,566485.2000000001,0,5862374.8,5862374.8,0,202372.04411310746,0,6631232.044113107,6428860,202372.04411310746,8816614.630834913,8816614.630834913,0,20920.574083704436,20920.574083704436,0,566940.9408084415,16603.280189237066,0,0,0,0,0.8316133959835336,6631232.044113107,0,74612000,0,-2814079.4259162955,0,4152000,0,585000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,8233088.979343898,5565033.606885837,0,2668055.3724580617,0,0,0,0,0,0,0,137576753.6926842,137576753.6926842,0,63108859.91136748,63108859.91136748,0,63387415.420263946,63387415.420263946,0,0.067,74467893.78131673,74467893.78131673,0,74189338.27242026,74189338.27242026,0,0.4587174665593477,0.46074219458512083,0.12540001895609054,0.12540001895609054,0,0.12540001895609054,0,0.03,0.03,0.09540001895609054,-0.03,0,0.9431542721904852,0,0,0.0994,0.0994,697855.319794765,0,0,166951.00820657512,0,0,530904.3115881898,0,0,5248685.221218003,0,265204.70402233134,0,6044794.236828524,5779589.5328061925,265204.70402233134,10066193.845033005,10066193.845033005,0,670.1039450768807,670.1039450768807,0,0,0,0,0,0,0,0.7342073250992897,5903119.371902855,5903119.371902855,72450525.65666041,78353645.02856326,-4120323.407965314,0,4162728.6972978767,0,38454.62203492187,60967838.29601734,63070405.28933256,0,0,0,0,0,0,0,0.6759350738037717,0,0.3240649261962284,0
2024,8500664.371172573,5559686.896408824,0,2940977.47476375,0,0,-0,0,0,0,0,137082607.49750334,137082607.49750334,0,63488095.51609163,63488095.51609163,0,63687895.63572543,63687895.63572543,0,0.067,73594511.98141171,73594511.98141171,0,73394711.8617779,73394711.8617779,0,0.46313749552252953,0.4645950117113534,0.1244134322678262,0.1244134322678262,0,0.1244134322678262,0,0.03,0.03,0.0944134322678262,-0.03,0,1.003899589383371,0,0,0.0994,0.0994,691699.7291166801,0,0,166790.6068922647,0,0,524909.1222244154,0,0,5581367.392404928,0,292333.1609915168,0,6398609.67562086,6106276.5146293435,292333.1609915168,10092680.35976168,10092680.35976168,0,949.399611800151,949.399611800151,0,0,0,0,0,0,0,0.752718775407697,6102189.708348141,12005309.080250997,69994651.66261473,81999960.74286573,-3820562.6378518716,0,4165502.5221723625,0,34295.72040365838,61198578.592441544,63453799.79568797,0,0,0,0,0,0,0,0.6540296915218553,0,0.3459703084781448,0
2025,8776935.963235682,5526334.78913376,77948.27543016865,2938808.072381247,233844.82629050597,0,0,-0,0,0,0,136522188.56502202,136513752.95779413,8435.607227895343,64029837.04311349,64021397.88785476,8439.155258731156,64155974.12270652,64147538.515478626,8435.607227895343,0.067,72492351.52190854,72492355.06993937,-3.548030835812824,72366214.4423155,72366214.4423155,0,0.46900681651918963,0.4699307475000715,0.12418841589913723,0.12445198363725393,0.10550213256048373,0.12445198363725392,0.10550213256048374,0.03,0.03,0.09445198363725392,0.07550213256048374,0,1.041600905993677,0,0,0.0994,0.0994,687763.3267512618,8223.70928729475,0,165790.0436740128,2338.4482629050594,0,521973.283077249,5885.261024389692,0,5756235.3231861,0,292117.52239469596,23244.175733276294,6599455.565415711,6284093.867287739,315361.69812797225,10125381.939837767,10125381.939837767,0,4641.927389036932,4584.6837683508975,57.24362068603512,0,0,0,0,0,0,0.7519088202373956,6146221.948243408,18151531.028494406,67396289.1495931,85547820.1780875,-3685967.9736687555,0,4185006.0996536254,0,34264.24577826568,61645111.52925725,63987133.6420765,8166.465666608716,0,272.68959212244,0,2.325415194828465e-13,4083.232833304358,8439.155258731156,0.6296428289191296,0.008881034994065565,0.33483303110460816,0.026643104982196696
2026,9062186.382040842,5519915.623671568,171807.36576478707,2855041.2953101248,515422.0972943612,0,0,-0,0,0,0,135897765.42562068,135870206.17791465,27559.24770603534,64761803.107459165,64734233.1672497,27569.940209459986,64816176.83506734,64788617.83289361,27559.002173727087,0.067,71135962.31816152,71135973.01066494,-10.69250342464511,71081588.59055334,71081588.34502104,0.2455323082540417,0.47654796165801916,0.4769480692494713,0.12385400244796504,0.12442150023188193,0.10562114106919042,0.12442150023188193,0.10562114106919042,0.03,0.03,0.09442150023188194,0.07562114106919042,0,1.075647123500722,-1.383517503231858e-6,0,0.0994,0.0994,686796.1830506207,18146.490016168573,0,165597.46871014705,5154.220972943612,0,521198.7143404737,12992.26904322496,0,5937481.3625690155,-0.2376984977197408,283791.1047538264,51232.95647105951,6806696.169479102,6471672.108254216,335024.0612248859,10163071.514895277,10163071.514895277,0,1520.0336898988096,1339.8832394559072,180.15045044290244,0,0,0,0,0,0,0.7511097082452862,6190654.102719327,24342185.131213732,64648328.21671128,88990513.347925,-3540133.8525150972,0,4217088.824363009,0,35880.30754702426,62251330.96159721,64698352.85970268,17966.10186722795,0,1164.683452669862,0,-3.6916898273690863e-4,17422.206192345133,27569.940578628968,0.6091152168985141,0.01895871024075046,0.315049942138484,0.05687613072225138
2027,9356707.439457169,5492900.2517396845,252388.1562912365,2854254.562552539,757164.4688737096,0,-0,0,0,0,0,135213379.80760652,135156779.5177735,56600.28983302135,65712130.681060225,65655510.688538596,56619.9925216266,65696263.73324862,65639664.45386621,56599.279382406734,0.067,69501249.12654631,69501268.82923491,-19.702688605248113,69517116.07435791,69517115.0639073,1.0104506146162748,0.4859883746309812,0.4858710271626006,0.12341825840630374,0.12423139152217108,0.10572147277864688,0.12423139152217108,0.10572147277864688,0.03,0.03,0.09423139152217108,0.07572147277864688,0,1.1150896200138314,-2.870925009203868e-6,0,0.0994,0.0994,682390.6417661048,26682.847594996834,0,164787.00755219054,7571.644688737095,0,517603.6342139143,19111.20290625974,0,6125076.054486283,-0.7245874699233654,283712.9035177224,75262.14820604674,7020765.218742756,6661790.167018987,358975.0517237691,10184343.346948726,10184343.346948726,0,1926.8245331917008,1570.89530816279,355.9292250289108,0,0,0,0,0,0,0.750345702713354,6235692.157068545,30577877.288282275,61743602.29703338,92321479.58531564,-3378447.546004501,0,4263285.2230086755,0,36439.8442847222,63045009.39424745,65619070.844253875,26326.193782498,0,2723.8872985992566,0,-0.028768930649824546,40733.037100708985,56620.02129055725,0.5870548253519355,0.026974035249506405,0.3050490336500389,0.08092210574851923
2028,9660800.431239527,5514262.608251058,318872.14406755776,2871049.2467182386,956616.432202673,0,0,0,0,0,0,134418085.2221677,134323431.34884083,94653.87332687058,66856505.12237446,66761821.77306878,94683.34930568509,66770773.90688035,66676122.51024303,94651.39663732018,0.067,67561580.09979323,67561609.57577205,-29.475978814502014,67647311.31528735,67647308.8385978,2.4766895503998967,0.49737730612568454,0.4967395108814478,0.12307878720083733,0.1240774162421985,0.10580947445357868,0.1240774162421985,0.10580947445357869,0.03,0.03,0.0940774162421985,0.07580947445357869,0,1.1459722322897141,-4.24595816474355e-6,0,0.0994,0.0994,684195.4569127576,33739.693981674114,0,165427.8782475317,9566.164322026732,0,518767.5786652259,24173.529659647385,0,6319191.830609166,-1.3539177836129284,285382.2951237929,95087.6733609457,7242601.553500994,6862131.585016255,380469.9684847386,10256174.203097494,10256174.203097494,0,1937.1498906691404,1365.696896404911,571.4529942642292,0,0,0,0,0,0,0.7496895940507213,6281955.471002134,36859832.75928441,58674689.512670234,95534522.27195464,-3254152.6124719754,0,4323460.6345764715,0,37003.06242568783,64028434.38230261,66724818.71064309,33166.88706962628,0,4896.483522550511,0,-0.013808118316701928,73203.43605643974,94683.3631138034,0.5707873428810237,0.033006803767153786,0.2971854420503612,0.09902041130146134
2029,9974776.44525481,5396329.096168676,442626.2303482214,2807942.4276932483,1327878.691044664,0,0,-0,0,0,0,133547782.82497735,133400093.67204016,147689.15293718173,68258722.06227888,68110990.79425816,147731.26802071664,68102934.15446344,67955249.76991008,147684.38455335106,0.067,65289060.762698464,65289102.877782,-42.11508353491081,65444848.67051391,65444843.90213008,4.768383830669336,0.5111183474437473,0.5099518143533431,0.12235614888885085,0.12370053026734713,0.10596596716957164,0.12370053026734713,0.10596596716957164,0.03,0.03,0.09370053026734713,0.07596596716957164,0,1.2082207754889622,-4.649369617922094e-6,0,0.0994,0.0994,667528.7706931793,46903.31659347088,0,161889.8728850603,13278.78691044664,0,505638.8978081191,33624.529683024244,0,6519956.925366568,-2.0579329474764068,279109.47731270886,131991.1418898396,7470318.914127313,7059218.294924764,411100.61920254846,10273590.249152333,10273590.249152333,0,2048.0310166743666,348.4099134763969,1699.6211031979697,0,0,0,0,0,0,0.7489209362362286,6327606.246762802,43187439.00604721,55433943.05199707,98621382.05804428,-3086452.9630060615,0,4398502.524133804,0,37119.4600616433,65218595.291565746,68073871.33419652,45201.63755732543,0,7846.238822762987,0,0.04233494312546673,117284.1680843478,147731.2256857735,0.5409974976166821,0.04437455142754473,0.2815042966731389,0.13312365428263417
2030,10298956.679725591,5400398.422834443,530322.3018054552,2777269.0496693277,1590966.9054163657,0,0,0,0,0,0,132621054.3823459,132407594.96402119,213459.4183247094,69967230.48030785,69753715.68245554,213514.79785230273,69740664.81582575,69527213.56530659,213451.25051916068,0.067,62653823.90203806,62653879.28156565,-55.379527593322564,62880389.56652015,62880381.3987146,8.16780554872821,0.5275725698771225,0.5258642011302649,0.12202827039207495,0.12359402986885154,0.10608376837861012,0.12359402986885153,0.10608376837861012,0.03,0.03,0.09359402986885153,0.07608376837861013,0,1.2457502686457227,-5.622379490702552e-6,0,0.0994,0.0994,667457.0039754988,56258.58823074129,0,162011.9526850333,15909.669054163656,0,505445.0512904655,40348.919176577634,0,6727547.786039945,-2.98167323313316,276060.54353713116,158142.11039838675,7707541.428769273,7273338.774833755,434202.6539355179,10280531.746080823,10280531.746080823,0,2565.9405067383964,399.72633497387903,2166.2141717645172,0,0,0,0,0,0,0.7483807989931884,6375528.840327204,49562967.846374415,52013439.15920714,101576407.00558156,-2885926.6824003537,0,4491728.951122653,0,36922.61947507662,66668027.45305798,69716793.06298046,54089.392385743646,0,11694.092985601217,0,0.04446024121273998,174775.96421358845,213514.7533920615,0.5243636409759452,0.05149281799091763,0.2696650870603843,0.1544784539727529
2031,10633672.771816673,5416283.000832816,607276.1283315636,2788285.2576576034,1821828.3849946903,0,0,-0,0,0,0,131360145.42442869,131068213.3840392,291932.04038949043,71733840.4004445,71441839.86459155,292000.53585293505,71437323.91633494,71145404.7068337,291919.20950123505,0.067,59626305.023984194,59626373.51944764,-68.49546344461851,59922821.508093745,59922808.67720549,12.830888255382888,0.5460852693841822,0.5438279904876684,0.12169423788522625,0.12343258737581468,0.10618993538407512,0.12343258737581468,0.10618993538407512,0.03,0.03,0.09343258737581468,0.07618993538407512,0,1.2816499112923814,-6.561302129957407e-6,0,0.0994,0.0994,668545.8247524363,64486.61282782004,0,162488.49002498446,18218.283849946907,0,506057.3347274518,46268.328977873134,0,6941778.627551812,-3.9845221542941758,277155.5546111658,181089.74146847223,7952345.60281462,7494100.306734982,458245.296079638,10553459.936908586,10553459.936908586,0,2363.169195532389,0,2363.169195532389,0,0,0,0,0,0,0.747845619614269,6423853.620087473,55986821.46646189,48405269.72751046,104392091.19397235,-2943135.484604338,0,4596641.14517382,0,34618.52156651814,68282147.94015338,71407221.34302503,62119.45911013336,0,16366.226108165283,0,0.052782333707115235,244574.5274073694,292000.48307060136,0.5093520476940057,0.057108784646926425,0.26221281371828864,0.17132635394077925
