year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,4135349.0755484784,0,1982618.8119249824,0,6117967.88747346,0.15139042288492927,0,19604407.100079328,0,5577991.907047235,0,105.73248407643312,4135349.0755484784,1982618.8119249824,0.15139042288492927,14026415.193032093,0,0,0,0,0,0,0,0,0,8836192.922367446,96377187.80340397,0,27604397.000000004,138007999.99643606,0,138007999.99643606,8836192.922367446,0,8836192.922367446,0,0,0,138007999.99643606,0,138007999.99643606
2023,4036558.2280419716,0,2135268.95406859,0,6171827.182110561,0.15019935627112532,0,19278556.659198686,0,5426576.32396297,0,105.73248407643312,4036558.2280419716,2135268.95406859,0.15019935627112532,13851980.335235717,0,231111.27871395028,0,670.1039450768807,0,113440.15237618814,0,1395035.386018396,0,8772168.503872044,94062290.88236,1180585.1887847732,28273306.41021523,137813724.2925433,0,137813724.2925433,10066863.948978081,0,10066863.948978081,0,0,0,137813724.29254323,0,137813724.29254323
2024,3978850.337629372,56121.196751014824,2115882.9381842264,168363.59025304447,6319218.062817657,0.15024589779615094,0.1273685011896703,19909479.60959136,81494.69594386593,5183868.490265669,81494.69594386593,105.73248407643312,4034971.5343803866,2284246.528437271,0.14992770301703945,14725611.119325692,0,535403.6642131446,0,949.399611800151,0,144545.2698250598,0,1714940.5033930447,0,8729180.882516341,91635283.48896176,1218954.2074202783,28948663.732279368,137559902.508173,0,137559902.508173,10093629.75937348,0,10093629.75937348,-0,0,0,137559902.50817293,0,137559902.50817293
2025,3932691.3517538607,122405.01260803187,2034088.3767889868,367215.03782409563,6456399.778974975,0.1502090964011539,0.12751217539809542,20577655.158347547,183362.6722063774,4933381.737939825,176271.8431119161,105.73248407643312,4055096.3643618925,2401303.4146130825,0.1495239790446444,15644273.420407722,7090.829094461311,861619.6052949522,0,4584.6837683508975,57.24362068603512,176422.05347440243,0,2024250.4693845331,0,8690389.667201927,89084457.81552027,1258570.2191614374,29629653.98318065,137244255.29378814,7090.829094461311,137251346.1228826,10129966.623606117,57.24362068603512,10130023.867226804,0,-0,0,137244255.29378805,7090.829094461318,137251346.12288252
2026,3881276.26048667,178337.14696183047,2016812.6066939442,535011.4408854914,6611437.455027936,0.14997958576633244,0.12763330185445346,21171051.000589464,277054.7015692226,4673192.300010215,254060.80793859388,105.73248407643312,4059613.4074485004,2551824.0475794356,0.14899792270680767,16497858.700579248,22993.893630628736,1239509.2516059051,0,1339.8832394559072,180.15045044290244,217200.79945276375,0,2406480.4887522557,0,8646396.96415833,86406719.52500181,1299473.751284184,30315367.04876957,136865935.0147088,22993.893630628736,136888928.9083394,10164411.398134734,180.15045044290244,10164591.548585176,0,-0,0,136865935.01470867,22993.893630628765,136888928.9083393
2027,3859147.183023718,223162.12047676602,2009298.8673075195,669486.3614302981,6761094.532238302,0.14979369757474423,0.12773954275372454,21853569.75890272,360801.61006941175,4404183.978318408,313861.29588051845,105.73248407643312,4082309.303500484,2678785.2287378176,0.14858809271012471,17449385.780584313,46940.3141888933,1679993.2354257593,0,1570.89530816279,355.9292250289108,250905.10116903926,0,2693743.4797854302,0,8591731.597578768,83604238.13559815,1341706.6482009199,31004789.992836207,136432150.62422985,46940.3141888933,136479090.93841875,10185914.24225689,355.9292250289108,10186270.171481919,-0,0,0,136432150.62422976,46940.314188893324,136479090.93841866
2028,3756071.7558240118,308086.4514690526,1954445.8939923868,924259.3544071577,6942863.455692609,0.14933869822476706,0.1279284701450424,21997376.080078263,508793.62073153775,4121188.37883546,430773.1312565991,105.73248407643312,4064158.2072930643,2878705.2483995445,0.1477156804046466,17876187.701242805,78020.48947493866,1902522.1434919015,0,1365.696896404911,571.4529942642292,347832.63483935804,0,3735439.452573613,0,8523029.453990687,80682692.63669254,1385312.1142674498,31696798.808088783,135893640.74208963,78020.48947493866,135971661.23156458,10257539.8999939,571.4529942642292,10258111.352988165,0,0,0,135893640.74208954,78020.48947493863,135971661.2315645
2029,3727026.216009497,365996.16676542116,1916702.018366375,1097988.5002962635,7107712.901437556,0.1492101245570764,0.1280706868289086,22647726.687457398,635243.2160266137,3836381.133763863,514281.9464512015,105.73248407643312,4093022.3827749183,3014690.5186626385,0.1473198458210876,18811345.553693533,120961.26957541221,2162428.1752856537,0,348.4099134763969,1699.6211031979697,405143.227526253,0,4271258.800262633,0,8438112.263644937,77650320.779706,1430334.7579811418,32390149.57024959,135285502.87919742,120961.26957541221,135406464.14877284,10273938.65906581,1699.6211031979697,10275638.280169006,0,-0,0,135285502.87919727,120961.2695754123,135406464.1487727
2030,3708655.401942352,415816.14060070197,1909204.002334826,1247448.4218021058,7281123.966679986,0.1490152214980824,0.12819885800453976,23293225.060014274,759651.02118996,3537308.6238077753,585878.1802703643,105.73248407643312,4124471.5425430536,3156652.424136932,0.1469165817475244,19755916.436206497,173772.84091959568,2422314.643258481,0,399.72633497387903,2166.2141717645172,468273.29893174535,0,4845655.6498875925,0,8335437.80953355,74517454.46241274,1476820.637615529,33083468.95384078,134624810.1456061,173772.84091959568,134798582.98652568,10280931.472415797,2166.2141717645172,10283097.686587563,0,0,0,134624810.14560592,173772.84091959565,134798582.9865255
2031,3304718.6283223806,502641.69123177225,1765130.2410922681,1507925.0736953167,7080415.634341738,0.14844983822430532,0.12838928025886348,20080023.335233808,945209.7936186201,3221662.1954223965,708850.1871880789,105.73248407643312,3807360.319554153,3273055.314787585,0.14580147507070093,16858361.13981141,236359.60643054126,2731314.574677533,0,0,2363.169195532389,814714.0910352645,0,8982743.44087548,0,8213928.537535288,71296195.3738591,1524817.3083380335,33775244.06541008,133643858.5946336,236359.60643054126,133880218.20106414,10553459.936908586,2363.169195532389,10555823.106104119,0,-0,0,133643858.59463342,236359.6064305413,133880218.20106396
