entry_year,entry_age,term_age,yos,term_year,separation_rate,remaining_prob,separation_prob
1970,30,30,0,1970,0.034,1,0
1970,30,31,1,1971,0.034,0.966,0.03400000000000003
1970,30,32,2,1972,0.034,0.933156,0.032843999999999984
1970,30,33,3,1973,0.034,0.9014286959999999,0.03172730400000012
1970,30,34,4,1974,0.14,0.8707801203359999,0.030648575663999922
1970,30,35,5,1975,0.034,0.7488709034889599,0.12190921684704004
1970,30,36,6,1976,0.034,0.7234092927703353,0.025461610718624628
1970,30,37,7,1977,0.034,0.6988133768161439,0.024595915954191416
1970,30,38,8,1978,0.09,0.675053722004395,0.02375965481174891
1970,30,39,9,1979,0.034,0.6142988870239994,0.06075483498039558
1970,30,40,10,1980,0.034,0.5934127248651834,0.020886162158816002
1970,30,41,11,1981,0.034,0.5732366922197671,0.02017603264541623
1970,30,42,12,1982,0.034,0.553746644684295,0.01949004753547212
1970,30,43,13,1983,0.034,0.534919258765029,0.018827385919266026
1970,30,44,14,1984,0.034,0.516732003967018,0.018187254798010977
1970,30,45,15,1985,0.034,0.49916311583213935,0.01756888813487867
1970,30,46,16,1986,0.034,0.4821915698938466,0.016971545938292754
1970,30,47,17,1987,0.034,0.4657970565174558,0.016394513376390807
1970,30,48,18,1988,0.034,0.4499599565958623,0.01583709992159349
1970,30,49,19,1989,0.034,0.43466131807160296,0.015298638524259334
1970,30,50,20,1990,0.034,0.41988283325716846,0.0147784848144345
1970,30,51,21,1991,0.034,0.4056068169264247,0.014276016330743768
1970,30,52,22,1992,0.034,0.39181618515092625,0.013790631775498441
1970,30,53,23,1993,0.034,0.37849443485579476,0.013321750295131496
1970,30,54,24,1994,0.034,0.3656256240706977,0.012868810785097051
1970,30,55,25,1995,0.034,0.353194352852294,0.012431271218403706
1970,30,56,26,1996,0.034,0.341185744855316,0.012008607996978005
1970,30,57,27,1997,0.034,0.32958542953023523,0.011600315325080768
1970,30,58,28,1998,0.03,0.3183795249262072,0.011205904604028039
1970,30,59,29,1999,0.03,0.308828139178421,0.00955138574778619
1970,30,60,30,2000,0.5800000000000001,0.29956329500306833,0.009264844175352671
1970,30,61,31,2001,0.5800000000000001,0.1258165839012887,0.17374671110177964
1970,30,62,32,2002,0.45999999999999996,0.05284296523854124,0.07297361866274746
1970,30,63,33,2003,0.06,0.02853520122881227,0.02430776400972897
1970,30,64,34,2004,0.06,0.026823089155083534,0.0017121120737287367
1970,30,65,35,2005,0.06,0.02521370380577852,0.0016093853493050134
1970,30,66,36,2006,0.06,0.023700881577431807,0.0015128222283467135
1970,30,67,37,2007,0.06,0.022278828682785898,0.0014220528946459095
1970,30,68,38,2008,0.06,0.020942098961818742,0.0013367297209671558
1970,30,69,39,2009,0.06,0.01968557302410962,0.0012565259377091235
1970,30,70,40,2010,0.06,0.01850443864266304,0.0011811343814465795
1970,30,71,41,2011,0.06,0.017394172324103254,0.0011102663185597848
1970,30,72,42,2012,0.06,0.01635052198465706,0.0010436503394461935
1970,30,73,43,2013,0.06,0.015369490665577634,9.810313190794263e-4
