entry_year,entry_age,yos,term_age,tier_at_term_age,salary,fas,db_benefit,pvfb_db_wealth_at_term_age,pvfb_db_wealth_at_current_age,pvfs_at_current_age,indv_norm_cost,pvfnc_db,separation_rate,remaining_prob
1980,25,0,25,tier_1_non_vested,26697.839530743477,NA,0,0,29122.77403319454,186646.38120484544,0.15603181719999237,29122.774033194535,0.265,1
1980,25,1,26,tier_1_non_vested,27565.51931549264,NA,0,800.9351859223043,41988.77832537301,234631.08736711115,0.15603181719999237,36609.91493350053,0.17,0.735
1980,25,2,27,tier_1_non_vested,28461.39869324615,NA,0,1627.9007653870835,53644.91969043034,268416.6878376084,0.15603181719999237,41881.54357010513,0.135,0.61005
1980,25,3,28,tier_1_non_vested,29386.39415077665,NA,0,2481.7427261844678,65785.07981694139,298195.61529419885,0.15603181719999237,46528.003735423685,0.115,0.52769325
1980,25,4,29,tier_1_non_vested,30341.451960676888,NA,0,3363.3345507077674,78876.71942524865,326314.49420128105,0.15603181719999237,50915.44350892225,0.1,0.46700852624999994
1980,25,5,30,tier_1_non_vested,31327.549149398885,28490.52073018716,0,4273.5781095280745,93037.89090643052,353151.23705787736,0.15603181719999237,55102.829264565895,0.0825,0.420307673625
1980,25,6,31,tier_1_vested,32345.694496754346,29416.462653918243,4765.466949934756,9695.82548866585,107325.9117104593,376550.21339657356,0.15603181719999237,58753.81406331228,0.0775,0.38563229055093745
1980,25,7,32,tier_1_vested,33396.929567898864,30372.497690170585,5740.40206344224,12467.36538287007,123090.00214405164,400469.7920838912,0.15603181719999237,62486.02939255267,0.07,0.3557457880332398
1980,25,8,33,tier_1_vested,34482.32977885557,31359.603865101126,6773.674434861843,15704.6633717104,140040.5439265413,423553.0522425948,0.15603181719999237,66087.75242201537,0.055,0.33084358287091303
1980,25,9,34,tier_1_vested,35603.00549666838,32378.790990716912,7868.04621074421,19474.50056733387,156986.4157020277,441744.7375280351,0.15603181719999237,68926.23413503298,0.05,0.31264718581301276
1980,25,10,35,tier_1_vested,36760.103175310105,33431.10169791521,9026.397458437108,23852.41276638559,175065.142016573,458672.2415218368,0.15603181719999237,71567.46334384599,0.042499999999999996,0.2970148265223621
1980,25,11,36,tier_1_vested,37954.80652850768,34517.61250309745,10251.730913419942,28923.8016384419,193801.82241467317,472734.3901080834,0.15603181719999237,73761.60594149434,0.037500000000000006,0.28439169639516176
1980,25,12,37,tier_1_vested,39188.337740684176,35639.43490944812,11547.17691066119,34785.59359163102,213487.88026677418,484626.27295253734,0.15603181719999237,75617.11803164391,0.0325,0.2737270077803432
1980,25,13,38,tier_1_vested,40461.95871725641,36797.71654400518,12915.99850694582,41546.586752194286,234047.85961261153,493961.6490952694,0.15603181719999237,77073.73373543985,0.0325,0.264830880027482
1980,25,14,39,tier_1_vested,41776.972375567246,37993.642331685354,14361.596801377065,49329.84516542564,256460.8229858193,502940.69340299297,0.15603181719999237,78474.75033549321,0.0275,0.2562238764265889
1980,25,15,40,tier_1_vested,43134.72397777318,39228.43570746513,15887.516461523375,58274.29543040962,279733.8354771547,508854.2390595643,0.15603181719999237,79397.45161038316,0.024,0.2491777198248577
1980,25,16,41,tier_1_vested,44536.602507050804,40503.35986795774,17497.451462957742,68536.51932768339,304130.25203920034,512103.2265356372,0.15603181719999237,79904.39703033483,0.0225,0.2431974545490611
1980,25,17,42,tier_1_vested,45984.04208852995,41819.719063666365,19195.25105022286,80292.90960086795,330128.274639189,513429.70865112444,0.15603181719999237,80111.3704452976,0.0225,0.23772551182170723
1980,25,18,43,tier_1_vested,47478.52345640718,43178.85993323552,20984.925927552464,93742.8971135757,358197.08834266925,513396.8869997135,0.15603181719999237,80106.24922338444,0.0175,0.23237668780571882
1980,25,19,44,tier_1_vested,49021.57546874041,44582.17288106567,22870.654687986687,109113.12155268664,387060.37011140573,509227.43508629693,0.15603181719999237,79455.68206460607,0.0175,0.22831009576911876
