entry_age,entry_year,dist_age,dist_year,term_year,yos,cum_mort_dr
25,1995,53,2023,2023,28,1
25,1995,54,2024,2023,28,0.9356757662532784
25,1995,55,2025,2023,28,0.8753624376793667
25,1995,56,2026,2023,28,0.8188137480397977
25,1995,57,2027,2023,28,0.7657921971027847
25,1995,58,2028,2023,28,0.7160814613287771
25,1995,59,2029,2023,28,0.6673644321354554
25,1995,60,2030,2023,28,0.6218132563153937
25,1995,61,2031,2023,28,0.5792184052986215
25,1995,54,2024,2024,29,1
25,1995,55,2025,2024,29,0.9355403540957098
25,1995,56,2026,2024,29,0.8751041520702939
25,1995,57,2027,2024,29,0.8184375664331272
25,1995,58,2028,2024,29,0.7653094022047597
25,1995,59,2029,2024,29,0.7132432581937856
25,1995,60,2030,2024,29,0.6645606082172217
25,1995,61,2031,2024,29,0.6190375193941194
25,2000,48,2023,2023,23,1
25,2000,49,2024,2023,23,0.936193797233225
25,2000,50,2025,2023,23,0.8763854558147459
25,2000,51,2026,2023,23,0.8203233004344728
25,2000,52,2027,2023,23,0.7677682424780032
25,2000,53,2028,2023,23,0.7185037318638596
25,2000,54,2029,2023,23,0.6723182294747313
25,2000,55,2030,2023,23,0.6290178580405814
25,2000,56,2031,2023,23,0.588425050545184
25,2000,57,2032,2023,23,0.5503686104320291
25,2000,58,2033,2023,23,0.5146925168338788
25,2000,59,2034,2023,23,0.4797993997185119
25,2000,60,2035,2023,23,0.4471741707488406
25,2000,61,2036,2023,23,0.4166653529099877
25,2000,49,2024,2024,24,1
25,2000,50,2025,2024,24,0.9361154265332312
25,2000,51,2026,2024,24,0.8762323600720391
25,2000,52,2027,2024,24,0.8200954169393375
25,2000,53,2028,2024,24,0.7674732881026187
25,2000,54,2029,2024,24,0.7181400170153478
25,2000,55,2030,2024,24,0.6718885127198512
25,2000,56,2031,2024,24,0.6285291061361254
25,2000,57,2032,2024,24,0.5878789328219839
25,2000,58,2033,2024,24,0.5497713383222281
25,2000,59,2034,2024,24,0.5125000839959465
25,2000,60,2035,2024,24,0.4776512855248498
25,2000,61,2036,2024,24,0.44506314199194363
25,2000,50,2025,2025,25,1
25,2000,51,2026,2025,25,0.9360302535735785
25,2000,52,2027,2025,25,0.8760622821658253
25,2000,53,2028,2025,25,0.8198489912134508
25,2000,54,2029,2025,25,0.7671490039159765
25,2000,55,2030,2025,25,0.7177410965313258
25,2000,56,2031,2025,25,0.6714226561395239
25,2000,57,2032,2025,25,0.6279983388363857
25,2000,58,2033,2025,25,0.5872901169444746
25,2000,59,2034,2025,25,0.5474753107038486
25,2000,60,2035,2025,25,0.5102482792039468
25,2000,61,2036,2025,25,0.47543617953201656
25,2000,51,2026,2026,26,1
25,2000,52,2027,2026,26,0.9359337252414573
25,2000,53,2028,2026,26,0.8758787315724351
25,2000,54,2029,2026,26,0.8195771461308577
25,2000,55,2030,2026,26,0.7667926264040422
25,2000,56,2031,2026,26,0.7173087125935993
25,2000,57,2032,2026,26,0.6709167106926429
25,2000,58,2033,2026,26,0.62742642633859
25,2000,59,2034,2026,26,0.5848906150348196
25,2000,60,2035,2026,26,0.545119430975569
25,2000,61,2036,2026,26,0.5079282188977282
25,2000,52,2027,2027,27,1
25,2000,53,2028,2027,27,0.9358341386260776
25,2000,54,2029,2027,27,0.8756786127344847
25,2000,55,2030,2027,27,0.8192809017606678
25,2000,56,2031,2027,27,0.7664097288603892
25,2000,57,2032,2027,27,0.7168421145627123
25,2000,58,2033,2027,27,0.6703748453735046
25,2000,59,2034,2027,27,0.6249273845580534
25,2000,60,2035,2027,27,0.5824337944814801
25,2000,61,2036,2027,27,0.5426967799100199
25,2000,53,2028,2028,28,1
25,2000,54,2029,2028,28,0.9357198851712027
25,2000,55,2030,2028,28,0.8754552414207452
25,2000,56,2031,2028,28,0.8189589343102778
25,2000,57,2032,2028,28,0.7659926956876427
25,2000,58,2033,2028,28,0.7163393786400006
25,2000,59,2034,2028,28,0.6677757935562444
25,2000,60,2035,2028,28,0.6223686126011243
25,2000,61,2036,2028,28,0.5799070129101799
25,2000,54,2029,2029,29,1
25,2000,55,2030,2029,29,0.9355954226200597
25,2000,56,2031,2029,29,0.8752180511376416
25,2000,57,2032,2029,29,0.8186132493566641
25,2000,58,2033,2029,29,0.7655489532627988
25,2000,59,2034,2029,29,0.7136492492452116
25,2000,60,2035,2029,29,0.6651227813623448
25,2000,61,2036,2029,29,0.6197442440844121
30,2000,53,2023,2023,23,1
30,2000,54,2024,2023,23,0.9356757662532784
30,2000,55,2025,2023,23,0.8753624376793667
30,2000,56,2026,2023,23,0.8188137480397977
30,2000,57,2027,2023,23,0.7657921971027847
30,2000,58,2028,2023,23,0.7160814613287771
30,2000,59,2029,2023,23,0.6673644321354554
30,2000,60,2030,2023,23,0.6218132563153937
30,2000,61,2031,2023,23,0.5792184052986215
30,2000,54,2024,2024,24,1
30,2000,55,2025,2024,24,0.9355403540957098
30,2000,56,2026,2024,24,0.8751041520702939
30,2000,57,2027,2024,24,0.8184375664331272
30,2000,58,2028,2024,24,0.7653094022047597
30,2000,59,2029,2024,24,0.7132432581937856
30,2000,60,2030,2024,24,0.6645606082172217
30,2000,61,2031,2024,24,0.6190375193941194
30,2000,55,2025,2025,25,1
30,2000,56,2026,2025,25,0.9353996845129856
30,2000,57,2027,2025,25,0.8748287156722664
30,2000,58,2028,2025,25,0.818039968938064
30,2000,59,2029,2025,25,0.7623864166535117
30,2000,60,2030,2025,25,0.7103494844533818
30,2000,61,2031,2025,25,0.6616898102620907
30,2000,56,2026,2026,26,1
30,2000,57,2027,2026,26,0.9352458955849923
30,2000,58,2028,2026,26,0.8745352200583382
30,2000,59,2029,2026,26,0.8150381374678859
30,2000,60,2030,2026,26,0.7594074449824346
30,2000,61,2031,2026,26,0.7073872497686361
30,2000,57,2027,2027,27,1
30,2000,58,2028,2027,27,0.9350858679912412
30,2000,59,2029,2027,27,0.8714693550812997
30,2000,60,2030,2027,27,0.8119869315303743
30,2000,61,2031,2027,27,0.7563649871204925
25,2005,43,2023,2023,18,1
25,2005,44,2024,2023,18,0.9364391450338083
25,2005,45,2025,2023,18,0.8768828383630773
25,2005,46,2026,2023,18,0.8210783884842384
25,2005,47,2027,2023,18,0.7687889462995273
25,2005,48,2028,2023,18,0.7197884005639889
25,2005,49,2029,2023,18,0.6738688689637905
25,2005,50,2030,2023,18,0.6308321914061
25,2005,51,2031,2023,18,0.5904966400412108
25,2005,52,2032,2023,18,0.5526894306343222
25,2005,53,2033,2023,18,0.5172538531069827
25,2005,54,2034,2023,18,0.48403677172059456
25,2005,55,2035,2023,18,0.4528976395032641
25,2005,56,2036,2023,18,0.42370759345052417
25,2005,57,2037,2023,18,0.3963427986050585
25,2005,58,2038,2023,18,0.37069028682757843
25,2005,59,2039,2023,18,0.34565053143600155
25,2005,60,2040,2023,18,0.32223527990679507
25,2005,61,2041,2023,18,0.30033631928023535
25,2005,44,2024,2024,19,1
25,2005,45,2025,2024,19,0.9364013059614452
25,2005,46,2026,2024,19,0.876809126186833
25,2005,47,2027,2024,19,0.8209705354337486
25,2005,48,2028,2024,19,0.7686440751448962
25,2005,49,2029,2024,19,0.7196077529837369
25,2005,50,2030,2024,19,0.6736499587309809
25,2005,51,2031,2024,19,0.6305766297498083
25,2005,52,2032,2024,19,0.5902032540666253
25,2005,53,2033,2024,19,0.5523624848983735
25,2005,54,2034,2024,19,0.5168907924103487
25,2005,55,2035,2024,19,0.48363808999773605
25,2005,56,2036,2024,19,0.452466768073036
25,2005,57,2037,2024,19,0.42324458637485646
25,2005,58,2038,2024,19,0.395850909045665
25,2005,59,2039,2024,19,0.3691115789734767
25,2005,60,2040,2024,19,0.3441070160465808
25,2005,61,2041,2024,19,0.320721662345066
25,2005,45,2025,2025,20,1
25,2005,46,2026,2025,20,0.9363604264590102
25,2005,47,2027,2025,20,0.8767293789608946
25,2005,48,2028,2025,20,0.8208489995170338
25,2005,49,2029,2025,20,0.7684822184702993
25,2005,50,2030,2025,20,0.7194030534155591
25,2005,51,2031,2025,20,0.6734042613304208
25,2005,52,2032,2025,20,0.6302887985196018
25,2005,53,2033,2025,20,0.5898779523072515
25,2005,54,2034,2025,20,0.5519970862061472
25,2005,55,2035,2025,20,0.5164859199989722
25,2005,56,2036,2025,20,0.4831974979023208
25,2005,57,2037,2025,20,0.4519905981338763
25,2005,58,2038,2025,20,0.4227363914654381
25,2005,59,2039,2025,20,0.39418097414387226
25,2005,60,2040,2025,20,0.36747814623482467
25,2005,61,2041,2025,20,0.34250450133211496
25,2005,46,2026,2026,21,1
25,2005,47,2027,2026,21,0.936316138729165
25,2005,48,2028,2026,21,0.87663785901461
25,2005,49,2029,2026,21,0.8207119788011888
25,2005,50,2030,2026,21,0.7682971568289056
25,2005,51,2031,2026,21,0.7191720648393928
25,2005,52,2032,2026,21,0.673126267096886
25,2005,53,2033,2026,21,0.6299689047496004
25,2005,54,2034,2026,21,0.5895134721718306
25,2005,55,2035,2026,21,0.5515887957291644
25,2005,56,2036,2026,21,0.516037931813934
25,2005,57,2037,2026,21,0.4827100605299474
25,2005,58,2038,2026,21,0.4514675967929148
25,2005,59,2039,2026,21,0.4209714154991874
25,2005,60,2040,2026,21,0.3924537345352145
25,2005,61,2041,2026,21,0.36578276019988154
25,2005,47,2027,2027,22,1
25,2005,48,2028,2027,22,0.9362626817523891
25,2005,49,2029,2027,22,0.876532983736794
25,2005,50,2030,2027,22,0.8205531497851714
25,2005,51,2031,2027,22,0.7680867979222321
25,2005,52,2032,2027,22,0.7189091795539283
25,2005,53,2033,2027,22,0.6728164544986261
25,2005,54,2034,2027,22,0.629609431886927
25,2005,55,2035,2027,22,0.5891052956513385
25,2005,56,2036,2027,22,0.5511364276112313
25,2005,57,2037,2027,22,0.5155417498037747
25,2005,58,2038,2027,22,0.48217431924828164
25,2005,59,2039,2027,22,0.4496039297908075
25,2005,60,2040,2027,22,0.41914660903728596
25,2005,61,2041,2027,22,0.39066159929310623
25,2005,48,2028,2028,23,1
25,2005,49,2029,2028,23,0.9362041239283403
25,2005,50,2030,2028,23,0.8764133888679125
25,2005,51,2031,2028,23,0.820375320828355
25,2005,52,2032,2028,23,0.7678498711583339
25,2005,53,2033,2028,23,0.7186193229867128
25,2005,54,2034,2028,23,0.6724709252626584
25,2005,55,2035,2028,23,0.6292094164735037
25,2005,56,2036,2028,23,0.5886557676096599
25,2005,57,2037,2028,23,0.5506379351132983
25,2005,58,2038,2028,23,0.5149989726663068
25,2005,59,2039,2028,23,0.4802113109424487
25,2005,60,2040,2028,23,0.44768056786453936
25,2005,61,2041,2028,23,0.41725640347205833
25,2005,49,2029,2029,24,1
25,2005,50,2030,2029,24,0.9361349373152256
25,2005,51,2031,2029,24,0.8762782601149369
25,2005,52,2032,2029,24,0.8201735620821805
25,2005,53,2033,2029,24,0.7675882904375222
25,2005,54,2034,2029,24,0.7182951966083533
25,2005,55,2035,2029,24,0.6720857133520437
25,2005,56,2036,2029,24,0.6287686120625519
25,2005,57,2037,2029,24,0.5881601255961202
25,2005,58,2038,2029,24,0.5500926128218232
25,2005,59,2039,2029,24,0.5129344110635486
25,2005,60,2040,2029,24,0.4781869214440738
25,2005,61,2041,2029,24,0.44568955936792726
25,2005,50,2030,2030,25,1
25,2005,51,2031,2030,25,0.936059776412198
25,2005,52,2032,2030,25,0.8761274997751768
25,2005,53,2033,2030,25,0.8199547520776392
25,2005,54,2034,2030,25,0.7672987813790793
25,2005,55,2035,2030,25,0.71793679154796
25,2005,56,2036,2030,25,0.6716645079670026
25,2005,57,2037,2030,25,0.62828562651761
25,2005,58,2038,2030,25,0.5876210692439845
25,2005,59,2039,2030,25,0.5479278580656453
25,2005,60,2040,2030,25,0.510809822797003
25,2005,61,2041,2030,25,0.47609542342916505
25,2005,51,2031,2031,26,1
25,2005,52,2032,2031,26,0.9359738788619525
25,2005,53,2033,2031,26,0.875964091973298
25,2005,54,2034,2031,26,0.8197113055322612
25,2005,55,2035,2031,26,0.7669775046842878
25,2005,56,2036,2031,26,0.7175444612537568
25,2005,57,2037,2031,26,0.6712024620112955
25,2005,58,2038,2031,26,0.6277601965723426
25,2005,59,2039,2031,26,0.5853556277845687
25,2005,60,2040,2031,26,0.5457021396164188
25,2005,61,2041,2031,26,0.5086164745311249
25,2005,52,2032,2032,27,1
25,2005,53,2033,2032,27,0.9358851905550823
25,2005,54,2034,2032,27,0.8757843824968122
25,2005,55,2035,2032,27,0.8194432793539638
