year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,40356960.99168436,0,17562434.708952583,0,57919395.700636946,0.1557111083811197,0,215501829.26173872,0,41459380.129640445,0,919.2852087756547,40356960.99168436,17562434.708952583,0.1557111083811197,174042449.13209826,0,0,0,0,0,0,0,0,0,50091724.46119888,546355152.9723576,0,30965398,751363000.104456,0,751363000.104456,50091724.46119888,0,50091724.46119888,0,0,0,751363000.104456,0,751363000.104456
2023,37974888.41889545,0,19661783.660214767,0,57636672.07911022,0.15350626329552772,0,199100282.44683707,0,39065730.21227871,0,919.2852087756547,37974888.41889545,19661783.660214767,0.15350626329552772,160034552.23455834,0,980484.165030433,0,13664.93429255779,0,2311285.429329227,0,28647333.587647043,0,49728774.76575461,533232173.455751,1324328.520692759,31715751.14530724,754610294.588294,0,754610294.588294,53378053.650069155,0,53378053.650069155,-0,0,0,754610294.5882941,0,754610294.5882941
2024,35859834.72013319,1109398.9607595354,18013247.633186195,3328196.8822786063,58310678.196357526,0.1526552240533372,0.13983224924111354,194855409.04311493,1033402.2739232347,35853750.91625213,1033402.2739232347,919.2852087756547,36969233.68089273,21341444.5154648,0.15227042313878972,159001658.1268628,0,2033230.7100983723,0,23316.368508391377,0,3622281.7108815755,0,43518645.08027875,0,49485081.11814972,519473647.95913655,1367369.1976152735,32473337.274427548,756500519.150804,0,756500519.150804,54498048.39515496,0,54498048.39515496,0,0,0,756500519.1508042,0,756500519.1508042
2025,34256152.562007174,1960465.4701176442,17066551.37273585,5881396.410352932,59164565.815213606,0.1517467671699016,0.13996665254628762,192506705.99013206,2123239.0774403564,32781761.12392345,1976462.5156103703,919.2852087756547,36216618.03212482,22947947.78308878,0.1511090900700372,159724944.8662086,146776.56182998605,3137522.859760126,0,21189.44460703953,8353.19015877344,4800828.96281597,0,56048325.660020806,0,49265176.58617352,505013205.78622514,1411808.6965377699,33237242.17527642,757161241.3474911,146776.56182998605,757308017.9093212,55499003.6901343,8353.19015877344,55507356.88029308,0,-0,0,757161241.3474913,146776.56182998625,757308017.9093213
2026,31855592.646756086,2961332.280301924,15973669.200605432,8883996.84090577,59674590.96856921,0.15071798741482514,0.14017546688856933,184377719.41219893,3503065.662574101,29779878.712262787,3087028.883636579,919.2852087756547,34816924.92705801,24857666.0415112,0.14982129977180228,154597840.69993615,416036.77893752186,4166462.9225153388,0,22102.925763067422,14973.601820023861,6415218.021304307,0,73574452.38029552,0,49015785.20478063,489833305.3691216,1457692.4791752473,34006444.92184469,756178506.2937133,416036.77893752186,756594543.0726509,56910798.63102325,14973.601820023861,56925772.23284327,0,-0,0,756178506.2937135,416036.7789375222,756594543.072651
2027,30180064.724413335,3781942.132426614,15172221.686238624,11345826.397279842,60480054.940358415,0.1498112763141089,0.14036746697671315,179257792.6140965,4902316.5610051975,26973919.774358813,4066834.4421508345,919.2852087756547,33962006.85683995,26518048.083518468,0.14875963232339143,152283872.83973768,835482.118854363,5273177.050196436,0,23792.16945259572,23535.25927548668,7768208.0653917305,0,87357613.34177817,0,48705891.28277919,473946245.54607356,1505067.4847484427,34779809.24685984,753640718.0246456,835482.118854363,754476200.1435,58002959.00237196,23535.25927548668,58026494.26164745,-0,0,0,753640718.0246459,835482.1188543633,754476200.1435003
2028,27039606.76864961,4873950.065655823,13952797.044996431,14621850.19696747,60488204.076269336,0.14831617968001443,0.1405867918282688,161311702.46572167,6685291.488270823,24259858.38363407,5294488.184040579,919.2852087756547,31913556.834305435,28574647.2419639,0.1471357205220744,137051844.0820876,1390803.304230244,6137015.796896995,0,7529.68425112112,31517.75396859442,10092726.420116398,0,112556143.70049165,0,48316423.909585424,457384220.08807504,1553982.178002767,35556074.28839668,748685297.955948,1390803.304230244,750076101.2601782,59970662.19195571,31517.75396859442,60002179.945924304,0,0,0,748685297.9559482,1390803.3042302441,750076101.2601784
2029,25639644.96726179,5660810.862042615,13257144.46254777,16982432.586127844,61540032.87798002,0.14733908035817095,0.14077132668641662,156757064.79746106,8393535.998063993,21874857.71936159,6266189.096100347,919.2852087756547,31300455.829304405,30239577.04867561,0.1461512762083835,134882207.0780995,2127346.9019636456,7060426.286740876,0,7938.253662623785,41853.226911756115,11325391.98724519,0,123614366.38952893,0,47835034.63502001,440193928.1989561,1604486.598787857,36333844.6669314,742084772.6202568,2127346.9019636456,744212119.5222204,60772851.47471568,41853.226911756115,60814704.70162743,0,-0,0,742084772.6202569,2127346.9019636465,744212119.5222205
2030,24459635.926059645,6400183.296202615,12670057.058234192,19200549.888607845,62730426.16910429,0.1463748271701927,0.14095712736734065,153725000.51459342,10174570.427224793,19562751.476372454,7158466.611901633,919.2852087756547,30859819.22226226,31870606.946842037,0.14525122137288332,134162249.03822097,3016103.815323159,7282744.921090758,0,8663.876053796368,50655.184242668394,12488679.971351294,0,133184702.64138158,0,47252980.74487321,422433940.6434129,1656632.4132484624,37111579.84636734,734175217.0904735,3016103.815323159,737191320.9057966,61406957.005526766,50655.184242668394,61457612.18976943,0,0,0,734175217.0904737,3016103.815323159,737191320.9057968
2031,22110255.60467875,7414363.345942517,11659311.431382908,22243090.037827548,63427020.41983172,0.14529213644942918,0.1411629241160596,141526609.68538013,12344399.040667221,17293180.843966592,8284198.518020945,919.2852087756547,29524618.950621266,33902401.46921045,0.1442551889235914,124233428.84141354,4060200.5226462763,8202134.915235742,0,0,60133.7003606935,14268400.916820057,0,149906196.5807932,0,46564153.664489925,404172861.0020316,1710472.9666790373,37887582.72939491,724402204.0688691,4060200.5226462763,728462404.5915154,62543027.54798902,60133.7003606935,62603161.24834971,0,0,0,724402204.0688691,4060200.5226462753,728462404.5915154
