year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new
2022,38015971963,26618815000,0,11397156963,0,0,0,0,0,0.067,0.067,217434441000,217434441000,0,179178895000,179178895000,0,180226405000,180226405000,0,-0.0718,38255546000,38255546000,0,37208036000,37208036000,0,0.8240594000469319,0.8288769900992824,0.11175817686265885,0.11175817686265885,0,0.11175817686265885,0,0.03,0,0.08175817686265885,0,0.16405817686265883,0.0823,0,0,0.07407991802198399,0,2974870234.6443963,0,763674943,798564450,0,2176305784.6443963,2176305784.6443963,0,2173462765.3556037,2173462765.3556037,0,844300453.502724,0,5194069003.502724,4349768550,844300453.502724,11944986866,11944986866,0,28343757,28343757,0,768106850,22494571,0,0,0,0,0.136628599383385,5194069003.502724,0,37208036000,0,-7650488551,11632978139.954002,11896042000,178880941804.954,0,0,0,0,0,0,0,0,0,0
2023,39251491051.7975,28742538560.53281,0,10508952491.264679,0,0,0,0,0,0,0,222066325277.7216,222066325277.7216,0,184004238518.939,184004238518.93903,0,184901505536.45526,184901505536.45526,0,0.067,38062086758.78253,38062086758.78253,0,37164819741.266335,37164819741.266335,0,0.8286003665293186,0.8326409026907294,0.11265067461952373,0.11265067461952373,0,0,0,0,0,0,0,0,0,0,0,0,0,3237866359.1216955,0,0,862276156.8159842,0,0,2375590202.3057117,0,0,2455237600.555848,0,743092419.648718,0,5573920222.510277,4830827802.86156,743092419.648718,12837589960.657063,12837589960.657063,0,19480327.45784429,19480327.45784429,0,0,0,0,0,0,0,0.1420053117257318,5443281467.295194,5443281467.295194,36293769278.58041,41737050745.8756,-7163966328.437364,11764993092.997349,11989309847.376389,183779921764.55997,0,175596911835.7813,0,0,0,0,0,0,0,0
2024,40527164510.98091,28829672537.24117,0,11697491973.739752,0,0,0,0,0,0,0,226770030109.9917,226770030109.9917,0,189189291131.68274,189189291131.6828,0,189958281951.6273,189958281951.6273,0,0.067,37580738978.30893,37580738978.30893,0,36811748158.364456,36811748158.364456,0,0.8342781938156425,0.8376692539992636,0.1122247565652527,0.1122247565652527,0,0,0,0,0,0,0,0,0,0,0,0,0,3235402982.3478413,0,0,864890176.1172351,0,0,2370512806.230606,0,0,2752403753.362138,0,825601648.5909767,0,5948518208.183722,5122916559.592744,825601648.5909767,13060171946.440645,13060171946.440645,0,25340713.80850493,25340713.80850493,0,0,0,0,0,0,0,0.14677854421747072,5672949035.819741,11116230503.114935,35106418760.64725,46222649263.76219,-7097705924.539169,12090510832.296852,12282758537.282944,188997043426.6967,0,180455385556.66943,0,0,0,0,0,0,0,0
2025,41844297357.5878,28467914799.07184,775020908.6882552,11216643601.092625,1384718048.735078,0,0,0,0,0,0,231598585373.79144,231515358184.59543,83227189.19600454,194583387642.2034,194500125447.5092,83262194.69420613,195242928558.85837,195159701369.6624,83227189.19600455,0.067,37015197731.58805,37015232737.08624,-35005.4982015983,36355656814.93305,36355656814.93305,-9.313225746154785e-9,0.8401751993784984,0.8430229754803709,0.1120255443288952,0.1120941875130841,0.10950415645778087,0,0,0,0,0,0,0,0,0,0,0,0,3191087779.5936604,84868010.8430502,0,854037443.9721549,23250627.260647655,0,2337050335.6215057,61617383.58240255,0,2829235577.5025897,0,792695714.8938175,98622925.99987137,6119221937.600185,5227903296.706499,891318640.893689,13280837726.59695,13280837726.59695,0,29454003.670278575,25157783.895207595,4296219.775070982,0,0,0,0,0,0,0.14623789438516074,5698969529.569323,16815200032.684254,33858843906.72021,50674043939.40447,-7285672153.395908,12431612488.683985,12596506469.222294,194335231466.9709,0,185546455054.98483,0,80571791.06797922,2699155.0007773037,2690403.626226917,83270946.06875652,0,40285895.53398961,0
2026,43204237021.709404,28300720778.853405,1413592052.9000416,10966614854.948647,2523309335.007308,0,0,0,0,0,0,236191729705.25116,235951172971.7766,240556733.47451597,199840248932.636,199599600914.245,240648018.39099592,200406563232.67365,200166008921.6642,240554311.0094437,0.067,36351480772.61514,36351572057.531624,-91284.91647997996,35785166472.57749,35785164050.11242,2422.465072276762,0.8460933377388828,0.8484910266873671,0.11185257957015263,0.11195938529532506,0.10971428302307824,0,0,0,0,0,0,0,0,0,0,0,0,3168531301.8150606,155091238.57104936,0,849021623.3656023,42407761.58700124,0,2319509678.4494586,112683476.98404813,0,2910403823.4381456,-2345.175315406972,775663226.6892668,179862264.38510942,6298120124.770714,5342594633.696338,955525491.074376,13866094173.487694,13866094173.487694,0,32955734.47370405,24776065.555634357,8179668.918069696,0,0,0,0,0,0,0.14577552015572023,5728106884.608417,22543306917.29268,32546419308.871456,55089726226.16412,-7811935113.790124,12769808578.671146,12911410580.525932,199457998912.3902,0,190594157890.61414,0,146909224.47766426,10500026.064513564,10476599.219125539,240671445.23638397,0,156716806.93303826,0
2027,44608374724.91496,27614159249.955154,2297482846.7916193,10703975169.743208,3992757458.424965,0,0,0,0,0,0,240677395873.98035,240167987509.98212,509408363.99823886,205102264859.56146,204592679195.1157,509585664.44576395,205589138466.0727,205079739088.0468,509399378.02578855,0.067,35575131014.41884,35575308314.86636,-177300.44752509915,35088257407.90769,35088248421.93524,8985.972450342,0.8521874857203201,0.8542104160613404,0.11113572636032526,0.11102180637215096,0.11250496604783408,0,0,0,0,0,0,0,0,0,0,0,0,3065773841.3782625,258478229.67377234,0,828424777.4986546,68924485.4037486,0,2237349063.879608,189553744.27002373,0,2995789618.670255,-6196.969195913713,757413120.3220934,287531896.78094965,6467631246.953733,5422686229.850691,1044945017.1030428,14261032294.38563,14261032294.38563,0,40618247.41336487,26810753.10024002,13807494.313124867,0,0,0,0,0,0,0.1449869287289095,5744410500.122516,28287717417.415184,31164633014.586666,59452350432.001854,-8226279587.43735,13097592895.075264,13219357868.308048,204470914221.8829,0,195486461120.5263,0,244664538.39145148,24319679.268310353,24273107.663316548,509632236.05075777,0,362980287.58672166,0
2028,46058146903.47469,27230145887.75006,3027046426.412767,10506930681.274971,5294023908.036886,0,0,0,0,0,0,244797824377.92355,243923599736.4307,874224641.4928832,210126313273.73547,209251812705.87067,874500567.8648171,210545617447.32385,209671414975.31796,874202472.0058733,0.067,34671511104.18802,34671787030.55996,-275926.37193393696,34252206930.59971,34252184761.11269,22169.487009923017,0.858366751451755,0.8600796105208823,0.11085405140870017,0.11071852895721045,0.11207315927996704,0,0,0,0,0,0,0,0,0,0,0,0,3014881695.9819202,339250656.29521304,0,816904376.6325018,90811392.79238302,0,2197977319.3494186,248439263.5028301,0,3085294498.985886,-12180.037863655321,744029128.0145376,380581653.40441644,6656309683.219226,5531698901.80027,1124610781.418954,14951963013.00834,14951963013.00834,0,24103206.173919767,4987795.098885733,19115411.07503403,0,0,0,0,0,0,0.14451970239204445,5773428335.426066,34061145752.841255,29709053733.2634,63770199486.10465,-8856774613.139421,13411007556.532581,13515908123.894396,209146912138.50885,0,200164291888.546,0,320123065.18231547,44866362.20147376,44791838.23673773,874575091.8295531,0,669647197.0369217,0
2029,47555036677.837616,26141672521.875935,4030254149.702499,10171887105.039696,7211222901.219493,0,0,0,0,0,0,248819468390.7249,247454869027.87613,1364599362.8487298,215194226331.39746,213829234424.70605,1364991906.6913686,215555970252.75757,214191414408.85797,1364555843.899554,0.067,33625242059.327393,33625634603.170025,-392543.842638722,33263498137.967346,33263454619.01817,43518.94917599272,0.8648608877882287,0.8663147286942467,0.11042254563570161,0.11046290388921284,0.1101607675423962,0,0,0,0,0,0,0,0,0,0,0,0,2887685059.2872577,443975890.5221546,0,784250175.6562779,120907624.49107498,0,2103434883.6309793,323068266.0310797,0,3178861049.595099,-19230.333945647406,721411473.5920885,515257606.09593564,6842014048.611237,5605344968.923212,1236669079.6880243,15285706004.879276,15285706004.879276,0,30782165.27337346,4831133.026685797,25951032.246687662,0,0,0,0,0,0,0.14387569701528302,5795411324.7505045,39856557077.59177,28175278863.790405,68031835941.382164,-9223991029.023607,13710867751.821045,13801412747.858995,213738689428.6681,0,204639817191.35886,0,418005627.9415214,72594726.58298372,72485710.88503003,1365100922.3893223,0,1083503381.835578,0
2030,49100575369.86733,25818495943.43462,4753402652.8003025,10023018157.219086,8505658616.413334,0,0,0,0,0,0,252831446080.90244,250866655542.66882,1964790538.233592,220411004508.1342,218445702882.0802,1965301626.0538535,220723690002.70453,218758974574.38495,1964715428.3195546,0.067,32420441572.76828,32420952660.588535,-511087.82026154007,32107756078.19788,32107680968.283844,75109.9140375864,0.8717705329961442,0.8730072679807247,0.11016945417135582,0.11014972046380406,0.11027663942065812,0,0,0,0,0,0,0,0,0,0,0,0,2843900110.9651823,524189270.3640587,0,774554878.3030387,142602079.58400908,0,2069345232.662144,381587190.7800497,0,3276443617.755084,-27760.301221112553,711498185.1612751,607703309.7397844,7046549775.797115,5727348280.896056,1319201494.9010592,15586231210.111862,15586231210.111862,0,36896535.79229903,5237987.556010152,31658548.23628887,0,0,0,0,0,0,0.14351257032563272,5828769359.929257,45685326437.52101,26558913340.46691,72244239777.98793,-9471125468.947603,14009276003.245562,14087593926.321749,218367384959.00403,0,209093671690.23224,0,492502961.8265487,107953306.96951108,107806757.53593624,1965448175.4874282,0,1611243387.6046429,0
2031,50696344069.388016,25611884539.191303,5435828960.59733,9918150077.643194,9730480491.9562,0,0,0,0,0,0,256434843879.76373,253757726289.7157,2677117590.048004,225450234661.7726,222772490589.0356,2677744072.7369347,225721261076.0285,223044261603.26666,2676999472.761901,0.067,30984609217.99111,30985235700.680054,-626482.6889304421,30713582803.735184,30713464686.44908,118117.28610360334,0.8791716104207777,0.8802285120888793,0.10995424960934284,0.10986888547125373,0.11035645807917775,0,0,0,0,0,0,0,0,0,0,0,0,2813949209.1393833,599878830.8157396,0,768356536.1757392,163074868.8179199,0,2045592672.9636443,436803961.99781954,0,3432312457.274367,-36763.399387649864,704722847.5521842,695073299.8886822,7314468476.277308,5914672328.836443,1399796147.4408667,16286916857.22334,16286916857.22334,0,37719776.43306137,0,37719776.43306137,0,0,0,0,0,0,0.1442799990915717,5908580580.768432,51593907018.28945,24810234606.730278,76404141625.01973,-10040655190.80959,14299500144.207254,14367442897.765003,222704547835.47784,0,213425375286.6754,0,562122290.9832906,150506305.69354844,150320155.6997906,2677930222.730693,0,2246362771.545499,0
