year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,146524096.50376746,109113000,0,37411096.50376746,0,0,0,0,0,0.067,0.067,1545348000.2678328,1545348000.2678328,0,1018077000,1018077000,0,1024029000,1024029000,0,-0.0718,527271000.26783276,527271000.26783276,0,521319000,521319000,0,0.6588011244069297,0.6626526840556302,0.1777,NA,NA,0.1777,0,0.03,0,0.1477,0,0.4829,0.3352,0,0,0.1405,0,19389380.1,0,3273390,3273390,0,16115990.1,16115990.1,0,38467619.9,38467619.9,0,5256259.058779329,0,59839869.05877933,54583610,5256259.058779329,98833484.32388164,98833484.32388164,0,234517.81860999917,234517.81860999917,0,6355358.709905601,186121.3289927566,0,0,0,0,0.4083960965235552,59839869.05877933,0,521319000,0,-47752482.18138999,0,67018000,0,11191000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,151286129.6401399,104057333.24351709,0,47228796.396622844,0,0,-0,0,0,0,0,1556115193.7666175,1556115193.7666175,0,1035912401.1512262,1035912401.1512262,0,1040587236.3424338,1040587236.3424338,0,0.067,520202792.6153914,520202792.6153914,0,515527957.4241837,515527957.4241837,0,0.6657041877753106,0.6687083581670231,0.17769995420706905,0.17769995420706905,0,0.17769995420706905,0,0.03,0.03,0.14769995420706905,-0.03,0,0.37883198342456226,0,0,0.1405,0.1405,18490983.35228271,0,0,3121719.9973055124,0,0,15369263.354977198,0,0,39420245.942512214,0,6635645.893725511,0,61425155.19121492,54789509.29748941,6635645.893725511,108298420.91562703,108298420.91562703,0,3783.6609151683488,3783.6609151683488,0,0,0,0,0,0,0,0.40601974111787525,59985503.11642082,59985503.11642082,503445270.9220544,563430774.0384753,-50390975.281747274,0,67791420.52644897,0,434955.9065244649,992881512.3591263,1035477445.2447017,0,0,0,0,0,0,0,0.687818066937368,0,0.31218193306263214,0
2024,156202928.85344446,100162853.48468411,0,56040075.36876036,0,0,0,0,0,0,0,1565901177.682444,1565901177.682444,0,1053113766.7534018,1053113766.7534018,0,1056662314.2869864,1056662314.2869864,0,0.067,512787410.92904234,512787410.92904234,0,509238863.39545774,509238863.39545774,0,0.6725288809808707,0.6747950185789257,0.17518937338111631,0.17518937338111631,0,0.17518937338111631,0,0.03,0.03,0.14518937338111632,-0.03,0,0.39462519935188733,0,0,0.1405,0.1405,17547467.53804637,0,0,3004885.604540523,0,0,14542581.933505848,0,0,39526786.02404735,0,7873630.589310831,0,61942998.54686403,54069367.9575532,7873630.589310831,109000880.79503426,109000880.79503426,0,6096.984242853901,6096.984242853901,0,0,0,0,0,0,0,0.3965546549065115,59073446.7953339,119058949.91175473,485648024.9361589,604706974.8479136,-51932724.217183396,0,68742328.16593009,0,391761.6534288245,1009946039.0426345,1052722005.099973,0,0,0,0,0,0,0,0.6412354379005321,0,0.35876456209946805,0
2025,161279524.0411814,100867981.35955255,901890.0461032084,56803982.49721601,2705670.1383096254,0,0,-0,0,0,0,1575744068.6605353,1575599254.3939214,144814.2666139035,1071937315.6096733,1071792440.433931,144875.17574226036,1074443009.286365,1074298195.019751,144814.2666139035,0.067,503806753.050862,503806813.9599904,-60.90912835684139,501301059.3741703,501301059.3741703,0,0.6802737430075659,0.681863908394526,0.17475126092960838,0.17492140979064566,0.15572169937982547,0.17492140979064566,0.15572169937982547,0.03,0.03,0.14492140979064566,0.12572169937982547,0,0.4036461060490067,0,0,0.1405,0.1405,17643969.5021495,140443.85063294077,0,3026039.4407865764,27056.701383096253,0,14617930.061362922,113387.1492498445,0,40714967.90080718,0,7980959.54085885,380146.6544325024,63807391.3067113,55446285.111419946,8361106.195291352,109814878.88894746,109814878.88894746,0,8695.073927329975,8445.130429705636,249.94349762433893,0,0,0,0,0,0,0.3956323140587804,59425263.951263666,178484213.8630184,466872993.27381915,645357207.1368375,-51464386.616420485,0,69747593.03500071,0,395467.2619490325,1027381573.4451915,1071396973.1719819,140193.90713531643,0,4681.268606943911,0,3.9920457047634566e-12,70096.95356765822,144875.17574226036,0.6254233571138066,0.0055920926817276465,0.3522082721592828,0.01677627804518294
2026,166521108.57251978,101621504.02112648,1825799.4931656066,57596406.57873087,5477398.47949682,0,-0,0,0,0,0,1583209871.5034811,1582762129.283141,447742.22034034017,1090148716.13645,1089700801.8590317,447914.27741837094,1091656674.2082753,1091208936.2029939,447738.00528146065,0.067,493061155.3670312,493061327.4241092,-172.0570780307753,491553197.2952059,491553193.080147,4.215058879519347,0.6885686703691407,0.6895211392104278,0.17432654118800453,0.17465778322741618,0.15589006206418096,0.17465778322741618,0.15589006206418096,0.03,0.03,0.14465778322741618,0.12589006206418096,0,0.41283009208379295,-2.2349527897599033e-6,0,0.1405,0.1405,17748986.62056591,284623.99630633654,0,3048645.1206337945,54773.98479496819,0,14700341.499932116,229850.01151136836,0,41952414.86273518,-4.08057567079269,8092295.124311687,769574.4863693033,65744471.904283985,56882602.293602996,8861869.61068099,113000867.031247,113000867.031247,0,11583.25672898616,10829.179864810612,754.0768641755479,0,0,0,0,0,0,0.394811639604551,59794248.867805414,238278462.73082381,447065028.57953256,685343491.3103564,-53310294.727810726,0,70800683.7837661,0,417972.3691454378,1045137293.0700257,1089282829.4898863,283865.8388664902,0,19173.2688073364,0,-0.0059977159672326575,286808.09517550544,447914.2834160869,0.610261995564787,0.010964372678136915,0.3458805137226653,0.032893118034410744
2027,171933044.60112667,98794996.75124498,3971130.3714149673,57253526.36422185,11913391.1142449,0,0,0,0,0,0,1589207370.204861,1588090966.567466,1116403.6373948231,1108834665.7583034,1107717852.5168223,1116813.2414811112,1109382866.8033323,1108266479.7164438,1116387.0868886644,0.067,480372704.4465574,480373114.0506437,-409.60408628801815,479824503.4015284,479824486.85102224,16.550506158731878,0.6977281168884626,0.6980730693819551,0.1731124022033376,0.17379379521078833,0.15616049842249322,0.17379379521078833,0.15616049842249322,0.03,0.03,0.14379379521078833,0.12616049842249322,0,0.4376515745443931,-2.9383273869088447e-6,0,0.1405,0.1405,17169957.433236368,620133.6981008619,0,2963849.902537349,119133.91114244901,0,14206107.530699018,500999.7869584129,0,43237785.88529056,-11.668481127314092,8044120.454173171,1673831.4515514087,67662833.44019145,57944881.53446687,9717951.90572458,114659539.46350309,114659539.46350309,0,15098.046174161758,13250.237348790797,1847.8088253709616,0,0,0,0,0,0,0.3935417627086449,60096668.477342024,298375131.2081658,426169769.1645668,724544900.3727326,-54265046.38232495,0,71853929.19135381,0,428167.8487617589,1062568278.6678692,1107289684.6680605,618274.2207943635,0,50625.310716686814,0,-0.5674483101795996,757051.3878155528,1116813.8089294212,0.5746131988789174,0.023096958357410165,0.33299896769144205,0.06929087507223049
2028,177520868.5506633,98339038.2923094,5374393.8212753115,57684254.97325265,16123181.463825935,0,0,-0,0,0,0,1590713660.0620484,1588658176.6467836,2055483.4152647278,1125168714.6892507,1123112539.9085832,2056174.7806674694,1124781803.4370904,1122726366.601151,2055436.8359394467,0.067,465544945.37279767,465545636.7382004,-691.3654027415905,465931856.62495786,465931810.0456326,46.579325281083584,0.7073357970945957,0.7070925658570232,0.17237729838904728,0.17325586328877082,0.15630158265452537,0.1732558632887708,0.15630158265452537,0.03,0.03,0.1432558632887708,0.12630158265452537,0,0.4532479019119958,-5.209374966806083e-6,0,0.1405,0.1405,17037814.974321555,840026.2600740335,0,2950171.148769282,161231.81463825933,0,14087643.825552272,678794.4454357743,0,44571962.78203265,-27.997232634308894,8104637.823741998,2265306.995667544,69708317.87519762,59338373.05578807,10369944.819409542,119490769.55056277,119490769.55056277,0,8544.800530322202,5224.0379011175,3320.762629204701,0,0,0,0,0,0,0.3926767508762122,60462327.7444795,358837458.9526453,404131464.94638705,762968923.8990324,-57886215.83210968,0,72843263.88505045,0,437639.33881999983,1078774744.6007676,1122674900.5697632,836677.5002121946,0,102684.33882832892,0,-0.29985416548122035,1535151.9915872086,2056175.0805216348,0.5539576225329479,0.030274715672323867,0.3249435147777566,0.09082414701697161
2029,183290296.77855983,92413244.56128642,8631597.726936402,56350661.309527785,25894793.180809207,0,-0,0,0,0,0,1590891578.187774,1587308149.1972914,3583428.990482656,1142519521.82783,1138934947.278995,3584574.5488349875,1141212250.7509015,1137628920.9211307,3583329.829770756,0.067,448372056.359944,448373201.91829634,-1145.5583523316309,449679327.4368726,449679228.2761607,99.16071189986542,0.7181630335420494,0.7173413112481782,0.17110281146484316,0.17245908871996735,0.15658197932740917,0.17245908871996735,0.15658197932740917,0.03,0.03,0.14245908871996735,0.12658197932740917,0,0.4972822102235496,-5.547352089431647e-6,0,0.1405,0.1405,15937503.942694934,1351552.6568416676,0,2772397.3368385923,258947.93180809205,0,13165106.605856342,1092604.7250335757,0,45955462.50936594,-47.8825116856541,7917267.9139886545,3638218.441903694,71768612.31363653,60213125.95774417,11555486.355892349,120282223.14096354,120282223.14096354,0,11997.533978884228,6317.254338998089,5680.279639886138,0,0,0,0,0,0,0.3915570740787386,60790379.20837081,419627838.1610161,380893206.0381857,800521044.1992018,-58395573.94324166,0,73776302.30258399,0,441679.01106953324,1093914752.9369624,1138493268.2679255,1345824.494690096,0,182574.24629120392,0,1.027186218413467,2729087.0280125174,3584573.5216487693,0.5041905992052295,0.04709249686776694,0.30743941332370267,0.14127749060330083
2030,189247231.42386302,92439716.89701849,9980714.694268763,56884655.749769464,29942144.08280629,0,-0,0,0,0,0,1590563442.4463675,1585133303.4307127,5430139.015654802,1161928247.5674658,1156496519.9479632,5431727.619502447,1159706440.2834926,1154276489.78884,5429950.494652445,0.067,428635194.87890184,428636783.48274946,-1588.6038476442918,430857002.162875,430856813.64187264,188.52100235689431,0.7305136133270868,0.7291167452584004,0.17064897742525592,0.17215747624863773,0.15667751261092036,0.17215747624863773,0.15667751261092036,0.03,0.03,0.14215747624863773,0.12667751261092036,0,0.5126489450614885,-8.023214780650443e-6,0,0.1405,0.1405,15914188.366129257,1563753.5523772922,0,2773191.5069105546,299421.4408280629,0,13140996.859218702,1264332.1115492294,0,47389123.34903918,-80.07741765651221,7992294.132842611,4206871.2436342845,73993537.61886635,61794372.242389455,12199165.376476895,120968733.25430635,120968733.25430635,0,15820.932828113095,7427.774123036255,8393.15870507684,0,0,0,0,0,0,0.39098874557980023,61206019.77253936,480833857.9335555,356396558.9718481,837230416.9054036,-57672849.31326094,0,74792398.44275078,0,442023.53947858396,1110098522.6223645,1156054496.4084847,1555280.3162545587,0,291871.6234003064,0,1.1310125941010134,4362214.706962267,5431726.488489852,0.4884600752228619,0.05273902618905235,0.3005838200209286,0.15821707856715705
2031,195397766.44513857,92509806.6956633,11360294.92361002,57446780.05503519,34080884.77083006,0,0,0,0,0,0,1585869206.5976727,1578247260.8865917,7621945.711081024,1179736891.627275,1172112928.3996658,7623963.227609116,1176623330.1372366,1169001702.055425,7621628.081811748,0.067,406132314.9703978,406134332.48692584,-2017.5165280913934,409245876.46043605,409245558.83116674,317.6292692758143,0.7439055419698104,0.7419422265355456,0.17020888542513715,0.17185728685328525,0.15678552815314303,0.17185728685328525,0.15678552815314303,0.03,0.03,0.14185728685328525,0.12678552815314303,0,0.5282479810603856,-9.92589557359284e-6,0,0.1405,0.1405,15898484.386038577,1781129.8395736667,0,2775294.200869899,340808.84770830063,0,13123190.185168678,1440320.9918653662,0,48868118.61527068,-112.76110109696991,8071272.597732445,4788364.310301623,76291153.9392377,63431517.03120363,12859636.908034068,125380275.55164565,125380275.55164565,0,11465.156793427223,0,11465.156793427223,0,0,0,0,0,0,0.3904402559312663,61627503.3670273,542461361.3005828,330586186.304047,873047547.6046298,-60613672.55033639,0,75813224.88240738,0,416856.1196314744,1126189683.672795,1171696072.2800343,1769551.9216791429,0,422682.3083530902,0,1.3780744363758344,6316503.580342018,7623961.849534679,0.47344352178988236,0.05813932845951761,0.2939991643720472,0.17441798537855283
