year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,96222824.05785564,0,43672925.53520878,0,139895749.5930644,0.19379815005859544,0,532764867.3182925,0,168904748.3526723,0,856.1394196744516,96222824.05785564,43672925.53520878,0.19379815005859544,363860118.96562016,0,0,0,0,0,0,0,0,0,99052955.2716649,1080379905.3022125,0,101107976,1545348000.2678328,0,1545348000.2678328,99052955.2716649,0,99052955.2716649,0,0,0,1545348000.2678328,0,1545348000.2678328
2023,92410434.83098413,0,51702677.71554792,0,144113112.54653203,0.19106013067185287,0,501034505.3325539,0,170275555.3328345,0,856.1394196744516,92410434.83098413,51702677.71554792,0.19106013067185287,330758949.9997194,0,944756.0763091118,0,3783.6609151683488,0,5638986.659860747,0,69540075.8353384,0,98335247.10059655,1054430111.8568642,4324187.155169747,103558023.23683025,1559231917.0050614,0,1559231917.0050614,108302204.5765422,0,108302204.5765422,-0,0,0,1559231917.0050616,0,1559231917.0050616
2024,93179488.89018679,833144.9920811298,52474194.334775805,2499434.9762433893,148986263.1932871,0.19076789172138156,0.16982884097215134,520376835.83539915,2149309.5946927476,164028067.7858838,2149309.5946927476,856.1394196744516,94012633.88226792,54973629.3110192,0.19058232873319317,356348768.04951537,0,2109967.149960101,0,6096.984242853901,0,6682797.95881909,0,80635434.91114178,0,97853359.5985024,1027223569.7527716,4464723.237712763,106031687.5559851,1572349427.419374,0,1572349427.419374,109006977.77927712,0,109006977.77927712,0,0,0,1572349427.4193742,0,1572349427.4193742
2025,93994963.97856781,1688776.0050915077,53273883.45420734,5066328.015274523,154023951.45314118,0.19048038269816234,0.17001245597032388,540333188.8385025,4452041.840984948,157242293.68028122,4310799.736115682,856.1394196744516,95683739.98365931,58340211.46948186,0.19011913277693382,383090895.1582213,141242.10486926604,3531943.1296979617,0,8445.130429705636,249.94349762433893,7786538.702319041,0,91871312.03461736,0,97418513.44368999,998629035.4825174,4609826.742938428,108525983.87929766,1585649169.6843517,141242.10486926604,1585790411.789221,109823324.01937716,249.94349762433893,109823573.96287479,0,-0,0,1585649169.684352,141242.10486926616,1585790411.7892213
2026,91326000.06425108,3670909.099457231,52925104.755890734,11012727.298371691,158934741.21797073,0.18953812427135283,0.17030739170164336,528094750.63975716,9777136.705344161,149873330.6465225,9340072.50010347,856.1394196744516,94996909.16370831,63937832.05426243,0.18879500250243592,378221419.99323463,437064.2052406911,5121763.87350601,0,10829.179864810612,754.0768641755479,11315861.856001213,0,133787580.20187737,0,96925359.06316186,968611821.7966841,4759646.112083927,111037578.68712667,1596780164.5524287,437064.2052406911,1597217228.7576694,113011696.21111181,754.0768641755479,113012450.287976,-0,0,0,1596780164.5524292,437064.2052406908,1597217228.75767
2027,90965904.1395892,4971439.640291498,53359281.312708214,14914318.920874495,164210944.0134634,0.18895146001581242,0.17046125703769408,535072825.1054754,13572083.92216328,142605085.0504559,12482401.270094443,856.1394196744516,95937343.7798807,68273600.2335827,0.1879933041567826,392467740.0550195,1089682.6520688366,7022795.613791492,0,13250.237348790797,1847.8088253709616,13432639.801502645,0,156151858.30293652,0,96312565.0512738,937196248.8057882,4914334.6107266545,113562761.84843749,1606401404.6259732,1089682.6520688366,1607491087.278042,114672789.70085189,1847.8088253709616,114674637.50967726,0,0,0,1606401404.6259737,1089682.6520688357,1607491087.2780426
2028,85391470.5942965,7975748.789911614,52069006.56962195,23927246.369734842,169363472.32356492,0.1880825040380978,0.17076705540849244,501310777.14332,21976107.901815712,134971485.35000262,19969299.42431636,856.1394196744516,93367219.38420811,75996252.93935679,0.18660335890166557,366339291.79331744,2006808.477499351,8146389.1226033345,0,5224.0379011175,3320.762629204701,18874299.07682923,0,216693370.7360374,0,95542419.98815827,904445977.4876176,5074050.485575271,116097416.40670753,1611722445.5462835,2006808.477499351,1613729254.0237827,119495993.58846389,3320.762629204701,119499314.3510931,0,-0,0,1611722445.5462837,2006808.4774993535,1613729254.023783
2029,85507773.41531995,9232272.871965209,52618943.65252701,27696818.61589563,175055808.5557078,0.18775356788704978,0.17087124324408365,515671016.1703183,26206441.06313131,127953933.2555819,22708861.56174833,856.1394196744516,94740046.28728516,80315762.26842263,0.18610841112467774,387717082.9147364,3497579.5013829805,9452782.111443855,0,6317.254338998089,5680.279639886138,20452760.35550574,0,229219747.08948523,0,94590505.65910134,870453352.3201866,5238957.126356467,118636986.17960046,1615479950.6154525,3497579.5013829805,1618977530.1168356,120288540.39530255,5680.279639886138,120294220.67494243,-0,0,0,1615479950.615453,3497579.501382977,1618977530.116836
2030,85665159.86297186,10519765.584670506,53196388.28364635,31559296.75401152,180940610.48530024,0.18742618373129064,0.17098904413127994,530335563.8361558,30723283.422104042,120472457.24290214,25422229.309232157,856.1394196744516,96184925.44764236,84755685.03765787,0.18562845030612163,409863106.5932536,5301054.112871885,10575102.791169392,0,7427.774123036255,8393.15870507684,22119976.07596422,0,241846492.4337085,0,93439533.94537908,835334192.98026,5409223.232963052,121176441.02067064,1618795335.819062,5301054.112871885,1624096389.9319339,120976161.02842939,8393.15870507684,120984554.18713446,-0,0,0,1618795335.8190627,5301054.112871881,1624096389.9319346
2031,80261403.49927706,13673008.741502952,51591815.371304885,41019026.22450886,186545253.83659375,0.18625171034775223,0.1712887733971941,493369853.1912373,40347476.36827037,112488217.88632883,32903952.124821547,856.1394196744516,93934412.24078001,92610841.59581375,0.18407371867416703,380881635.30490845,7443524.24344882,12139556.272834398,0,0,11465.156793427223,27717827.004737638,0,301974652.2493136,0,92077425.55887367,799224158.3510637,5585022.988034351,123710239.5810212,1617930241.7591414,7443524.24344882,1625373766.0025902,125380275.55164565,11465.156793427223,125391740.70843908,0,0,0,1617930241.759142,7443524.243448813,1625373766.0025907
