entry_year,entry_age,term_age,yos,term_year,separation_rate,remaining_prob,separation_prob
1970,30,30,0,1970,0.01,1,0
1970,30,31,1,1971,0.01,0.99,0.010000000000000009
1970,30,32,2,1972,0.01,0.9801,0.00990000000000002
1970,30,33,3,1973,0.01,0.970299,0.009800999999999949
1970,30,34,4,1974,0.01,0.96059601,0.009702990000000078
1970,30,35,5,1975,0.01,0.9509900498999999,0.009605960100000033
1970,30,36,6,1976,0.01,0.941480149401,0.009509900498999913
1970,30,37,7,1977,0.01,0.9320653479069899,0.009414801494010083
1970,30,38,8,1978,0.01,0.9227446944279201,0.009320653479069851
1970,30,39,9,1979,0.01,0.9135172474836408,0.009227446944279238
1970,30,40,10,1980,0.01,0.9043820750088044,0.009135172474836417
1970,30,41,11,1981,0.01,0.8953382542587164,0.009043820750088027
1970,30,42,12,1982,0.01,0.8863848717161292,0.008953382542587152
1970,30,43,13,1983,0.01,0.8775210229989678,0.008863848717161393
1970,30,44,14,1984,0.01,0.8687458127689782,0.008775210229989616
1970,30,45,15,1985,0.01,0.8600583546412884,0.008687458127689784
1970,30,46,16,1986,0.01,0.8514577710948755,0.00860058354641291
1970,30,47,17,1987,0.01,0.8429431933839268,0.008514577710948767
1970,30,48,18,1988,0.01,0.8345137614500875,0.008429431933839271
1970,30,49,19,1989,0.01,0.8261686238355866,0.008345137614500842
1970,30,50,20,1990,0.01,0.8179069375972308,0.008261686238355881
1970,30,51,21,1991,0.01,0.8097278682212584,0.008179069375972348
1970,30,52,22,1992,0.01,0.8016305895390459,0.00809727868221255
1970,30,53,23,1993,0.01,0.7936142836436554,0.008016305895390485
1970,30,54,24,1994,0.01,0.7856781408072188,0.007936142836436622
1970,30,55,25,1995,0.01,0.7778213593991467,0.007856781408072111
1970,30,56,26,1996,0.01,0.7700431458051551,0.007778213593991556
1970,30,57,27,1997,0.01,0.7623427143471035,0.007700431458051549
1970,30,58,28,1998,0.03,0.7547192872036326,0.007623427143470973
1970,30,59,29,1999,0.03,0.7320777085875235,0.022641578616109048
1970,30,60,30,2000,0.5800000000000001,0.7101153773298978,0.0219623312576257
