"plan","year","n_active_boy","n_retired_boy","n_inactive_boy","payroll_fy","benefits_fy","aal_boy","er_cont_fy","ee_cont_fy","mva_boy","invest_income_fy","ava_boy","fr_mva_boy","fr_ava_boy"
"frs",2022,NA,NA,NA,38015971963,11944986866,217434441000,5194069003.50272,763674943,180226405000,11632978139.954,179178895000,0.828876990099282,0.824059400046932
"frs",2023,NA,NA,NA,39251491051.7975,12837589960.6571,204235080543.032,4987732659.96711,0,184295999036.904,13147786354.0882,184520421777.867,0.902371906662104,0.903470751876971
"frs",2024,NA,NA,NA,40527164510.9809,13060171946.4406,208730377596.919,4222629167.45582,0,188969700988.533,13508146822.1425,189157919105.501,0.905329177114096,0.906230905550246
"frs",2025,NA,NA,NA,41844297357.5878,13280837726.597,213363383432.546,4364644549.54869,0,193852836951.9,13850856017.2733,194009845288.296,0.908557193991001,0.909293066912912
"frs",2026,NA,NA,NA,43204237021.7094,13866094173.4877,217772981614.509,4510408199.27718,0,198590992557.037,14196260728.5669,198720893073.053,0.911917498142968,0.912513993240993
"frs",2027,NA,NA,NA,44608374724.915,14261032294.3856,222094825774.785,4651853003.84725,0,203327163427.905,14536664732.0232,203433564295.92,0.915497075263195,0.915976153817339
"frs",2028,NA,NA,NA,46058146903.4747,14951963013.0083,226066885256.778,4806046824.79884,0,207807318613.504,14868008031.9548,207893190059.899,0.919229361600066,0.919609211334791
"frs",2029,NA,NA,NA,47555036677.8376,15285706004.8793,229964074231.074,4963642533.84816,0,212315090480.344,15191325870.1482,212383145307.43,0.923253300282916,0.923549237060491
"frs",2030,NA,NA,NA,49100575369.8673,15586231210.1119,233866218188.303,5127492208.55681,0,216939767078.904,15520072895.2687,216992383918.451,0.92762335988274,0.927848346800279
"frs",2031,NA,NA,NA,50696344069.388,16286916857.2233,237371982305.286,5352480551.61861,0,221348465153.399,15845409262.9656,221387510916.225,0.932496173321421,0.932660665198039
"frs",2032,NA,NA,NA,52343975251.6431,16773493008.1462,240619658696.754,5478516422.03024,0,225591544295.613,16157094542.8169,225618659340.49,0.937544112220354,0.937656800622558
"frs",2033,NA,NA,NA,54045154447.3215,17427722486.9929,243448282380.85,5661996406.96951,0,229562739170.901,16453087263.084,229579285118.048,0.942963067662041,0.943031032598927
"frs",2034,NA,NA,NA,55801621966.8595,17706961651.1265,246183522320.224,5856211184.1326,0,233600945207.339,16741785544.0008,233608280987.581,0.948889442338392,0.948919240353195
"frs",2035,NA,NA,NA,57615174680.7824,17967583950.0094,248883306805.113,6050669933.07519,0,237778388079.074,17038042079.7463,237777717524.135,0.955381022260627,0.95537832800625
"frs",2036,NA,NA,NA,59487667857.9078,18652944016.823,251115171550.088,6741484206.32277,0,242186402811.381,17347757393.995,242178803530.057,0.964443531294461,0.964413269159053
"frs",2037,NA,NA,NA,61421017063.2898,19047059971.9226,253079143637.275,6966153455.23436,0,246588040912.319,17665650962.3472,246574306658.371,0.974351490874891,0.974297222262507
"frs",2038,NA,NA,NA,63417200117.8468,19476196881.0955,254765721099.523,7206320421.22575,0,250996511322.01,17983620855.9725,250977331883.231,0.985205192593232,0.985129909942584
"frs",2039,NA,NA,NA,65478259121.6768,19605668185.1319,256451267687.899,7460062313.18063,0,255712704838.028,18313019055.4637,255688830555.285,0.997120065513694,0.997026970700952
"frs",2040,NA,NA,NA,67606302543.1313,19727138825.2217,258175843717.4,7712933655.25531,0,260803152020.218,18667124320.2817,260775250915.385,1.01017642961862,1.01006835945825
"frs",2041,NA,NA,NA,69803507375.783,20141108474.4308,259650862402.56,5014503457.22452,0,262941359467.815,18928020187.8534,262908251319.077,1.01267277541391,1.01254526515482
"frs",2042,NA,NA,NA,72072121365.496,20282849682.2553,261090687970.461,5209606876.33765,0,265126003382.023,19083874606.6178,265088357580.951,1.01545560832877,1.01531142164267
"frs",2043,NA,NA,NA,74414465309.8746,20329759314.8997,262632944980.405,2957221751.45235,0,264954087362.898,19156223918.0313,264911220793.578,1.00883797111846,1.00867475256519
"frs",2044,NA,NA,NA,76832935432.4455,20209129039.6022,264461746541.46,2556045031.59232,0,264336737601.715,19127294459.2363,264289154916.579,0.999527308045945,0.999347385294326
"frs",2045,NA,NA,NA,79330005834,20148143322.9694,266553936823.16,5301974460.27312,0,266461082409.901,19181476340.7235,266410902223.398,0.999651648689319,0.999463393407476
"frs",2046,NA,NA,NA,81908231023.605,20494221773.9733,268517003555.599,5477276987.14441,0,268452270218.26,19330028806.7308,268399703187.242,0.99975892276287,0.999563154784225
"frs",2047,NA,NA,NA,84570248531.8721,20421493486.9973,270742927919.298,5673090489.3068,0,270702862740.536,19483169755.9599,270648300596.892,0.99985201763507,0.999650490141581
"frs",2048,NA,NA,NA,87318781609.158,20245983423.8395,273395123000.799,5867808507.81955,0,273376728983.104,19661018622.1871,273320584156.848,0.999932720022608,0.999727358545635
"frs",2049,NA,NA,NA,90156642011.4556,20336202911.8698,276237103994.14,6068299246.91359,0,276237781437.985,19860956907.7145,276180268519.534,1.00000245239989,0.999794251120562
"frs",2050,NA,NA,NA,93086732876.8279,20521679830.2062,279161177758.294,6302035169.14298,0,279178659000.732,20070559430.0059,279119899035.316,1.00006262060713,0.999852133010366
"frs",2051,NA,NA,NA,96112051695.3248,21005559658.9927,281877738655.288,6533554145.59245,0,281910068336.585,20275478156.3603,281850010966.505,1.00011469398559,0.999901632215032
"frs",2052,NA,NA,NA,99235693375.4229,20952913904.7243,284908847332.566,6786074957.02335,0,284954356638.144,20484143559.5312,284893240005.382,1.00015973286195,0.999945219927951
