"plan","year","n_active_boy","n_retired_boy","n_inactive_boy","payroll_fy","benefits_fy","aal_boy","er_cont_fy","ee_cont_fy","mva_boy","invest_income_fy","ava_boy","fr_mva_boy","fr_ava_boy"
"frs",2022,NA,NA,NA,38015971963,11944986866,217434441000,5194069003.50272,763674943,180226405000,11632978139.954,179178895000,0.828876990099282,0.824059400046932
"frs",2023,NA,NA,NA,39251491051.7975,12837589960.6571,222066325277.722,5573920222.51028,0,184901505536.455,11764993092.9973,184004238518.939,0.832640902690729,0.828600366529319
"frs",2024,NA,NA,NA,40527164510.9809,13060171946.4406,226770030109.992,5948518208.18372,0,186873596497.277,12090510832.2969,188572354040.813,0.824066550622392,0.831557653140268
"frs",2025,NA,NA,NA,41844297357.5878,13280837726.597,231598585373.791,6160553320.12573,0,188876597518.666,12394361459.9111,192817676720.47,0.815534331584222,0.832551185100159
"frs",2026,NA,NA,NA,43204237021.7094,13866094173.4877,236191729705.251,6417847317.04629,0,190588796968.3,12666016833.9208,196468475279.543,0.80692409173742,0.831817758922892
"frs",2027,NA,NA,NA,44608374724.915,14261032294.3856,240677395873.98,6699206705.32825,0,192176809404.73,12903761517.4419,199733119645.997,0.798483001309166,0.829879012612295
"frs",2028,NA,NA,NA,46058146903.4747,14951963013.0083,244797824377.924,7030115157.91358,0,193421221692.684,13108663672.8275,202427394134.986,0.790126391785559,0.826916638860625
"frs",2029,NA,NA,NA,47555036677.8376,15285706004.8793,248819468390.725,7385818338.29892,0,194626066470.528,13285852339.8124,204886065584.829,0.782197903280236,0.823432615261011
"frs",2030,NA,NA,NA,49100575369.8673,15586231210.1119,252831446080.902,7785907469.94819,0,195914635705.434,13451351022.949,207261448576.933,0.774882391974074,0.819761354015325
"frs",2031,NA,NA,NA,50696344069.388,16286916857.2233,256434843879.764,8273108916.56915,0,196980075634.293,13601100657.2601,209270140546.586,0.76814863633217,0.816075293748722
"frs",2032,NA,NA,NA,52343975251.6431,16773493008.1462,259759455999.248,8679177184.19912,0,197895268632.675,13729029445.6833,211003584444.22,0.761840479960229,0.812303766315367
"frs",2033,NA,NA,NA,54045154447.3215,17427722486.9929,262650322678.882,9168746837.17553,0,198586656823.853,13836357409.7168,212404025193.093,0.756087617933926,0.808695085643506
"frs",2034,NA,NA,NA,55801621966.8595,17706961651.1265,265426690207.795,9683709566.24775,0,199413154658.125,13933473866.8029,213845864301.708,0.751292775048395,0.805668277497994
"frs",2035,NA,NA,NA,57615174680.7824,17967583950.0094,268156407044.629,10230401271.7863,0,200480193993.952,14036590006.4667,215450768770.758,0.747624105660793,0.803451877750214
"frs",2036,NA,NA,NA,59487667857.9078,18652944016.823,270410469238.377,11272419385.8093,0,201878693498.24,14153210700.672,217324813453.657,0.746563896238339,0.803684909337134
"frs",2037,NA,NA,NA,61421017063.2898,19047059971.9226,272379223156.856,11879484929.3067,0,203405921237.483,14280694128.9595,219277390374.832,0.746774731493919,0.805044481122393
"frs",2038,NA,NA,NA,63417200117.8468,19476196881.0955,274061070728.51,12528521040.9959,0,205108967321.529,14414768294.434,221364968502.889,0.748406064299126,0.807721315232608
"frs",2039,NA,NA,NA,65478259121.6768,19605668185.1319,275728564630.724,13206656077.401,0,207309395088.903,14568112900.8328,223919627988.858,0.751860422464926,0.812101670672925
"frs",2040,NA,NA,NA,67606302543.1313,19727138825.2217,277429317716.576,13912026962.7418,0,210103817218.995,14755097446.6352,227049675049.071,0.757323771504346,0.818405484026841
"frs",2041,NA,NA,NA,69803507375.783,20141108474.4308,278877935054.15,11874319912.7441,0,210419972704.854,14879221636.0326,227672327596.393,0.75452356122759,0.816387024495807
"frs",2042,NA,NA,NA,72072121365.496,20282849682.2553,280280922356.539,12561454462.4957,0,211143521299.986,14933741319.9617,228664493625.997,0.753328194886537,0.815840377944518
"frs",2043,NA,NA,NA,74414465309.8746,20329759314.8997,281781985191.738,10995745833.6939,0,210115952595.641,14941785038.5478,227863770838.37,0.745668508413225,0.808652727332162
"frs",2044,NA,NA,NA,76832935432.4455,20209129039.6022,283563024630.38,11176942857.8432,0,209206280045.562,14893670647.0983,227134922652.472,0.737777008544251,0.801003314690055
"frs",2045,NA,NA,NA,79330005834,20148143322.9694,285603583382.907,11875103792.1178,0,208908172115.393,14866318468.6347,226983311521.016,0.731462013329545,0.794749522511071
"frs",2046,NA,NA,NA,81908231023.605,20494221773.9733,287512768577.558,12512215185.3461,0,208779310169.814,14862180919.9263,226976710864.765,0.726156654546959,0.789449150337602
"frs",2047,NA,NA,NA,84570248531.8721,20421493486.9973,289675708365.713,13105745411.021,0,209160321762.132,14878618436.2623,227463881424.843,0.722049919001383,0.785236299958131
"frs",2048,NA,NA,NA,87318781609.158,20245983423.8395,292260039897.7,13655317609.8811,0,210175504078.445,14931368772.8789,228579091240.479,0.719138696319935,0.782108602053461
"frs",2049,NA,NA,NA,90156642011.4556,20336202911.8698,295027839587.933,14168800665.6587,0,211548969630.263,15016141609.6896,230053860721.471,0.717047482453636,0.779770007612802
"frs",2050,NA,NA,NA,93086732876.8279,20521679830.2062,297863205590.829,14672065621.5776,0,213134115829.607,15119626455.1582,231745142144.71,0.715543618107659,0.778025408291132
"frs",2051,NA,NA,NA,96112051695.3248,21005559658.9927,300479813771.801,15145239508.2661,0,214621137702.548,15227143234.3275,233343099679.726,0.714261417459284,0.776568305040743
"frs",2052,NA,NA,NA,99235693375.4229,20952913904.7243,303394262155.613,15608240580.8938,0,216504948548.552,15344747738.7,235344045200.471,0.713609239048512,0.775703678534835
