year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,29126383663,18917045000,0,10209338663,0,0,0,0,0,0.067,0.067,145585523000.17603,145585523000.17603,0,123245363000,123245363000,0,123965876000,123965876000,0,-0.0718,22340160000.176025,22340160000.176025,0,21619647000,21619647000,0,0.8465495775977671,0.8514986479802665,0.0896,NA,NA,0.0896,0,0.03,0,0.0596,0,0.1223,0.0627,0,0,0.066,0,1694967232,0,567511350,567511350,0,1127455882,1127455882,0,1285098768,1285098768,0,673816351.758,0,3086371001.758,2412554650,673816351.758,8373165620.599579,8373165620.599579,0,19868332.576116256,19868332.576116256,0,538425528.7608147,15768185.487374172,0,0,0,0,0.10596478565509995,3086371001.758,0,21619647000,0,-5967161667.423883,0,8163242000,0,670660000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,30072991132.0475,20303453903.585846,0,9769537228.461649,0,0,0,0,0,0,0,147921671632.78796,147921671632.78796,0,125709632419.16754,125709632419.16754,0,126286481054.6737,126286481054.6737,0,0.067,22212039213.620422,22212039213.620422,0,21635190578.114258,21635190578.114258,0,0.8498391819911197,0.8537388718008603,0.08959999539256941,0.08959999539256941,0,0.08959999539256941,0,0.03,0.03,0.05959999539256941,-0.03,0,0.0683259697928357,0,0,0.066,0.066,1819189376.2145371,0,0,609103617.1075753,0,0,1210085759.1069617,0,0,1387253178.1066387,0,644789457.0784689,0,3242128394.292069,2597338937.2136,644789457.0784689,8990697601.074774,8990697601.074774,0,9896207.233032849,9896207.233032849,0,0,0,0,0,0,0,0.10780864397745495,3166141010.0508485,3166141010.0508485,21128115798.939705,24294256808.990555,-5794151253.986631,0,8217074502.229684,0,41346170.92447911,120348287373.00668,125668286248.24306,0,0,0,0,0,0,0,0.6751391577390958,0,0.32486084226090406,0
2024,31050363343.839043,20168543639.104916,0,10881819704.734127,0,0,0,-0,0,0,0,150221161153.67957,150221161153.67957,0,128299290969.99966,128299290969.99966,0,128749527907.29543,128749527907.29543,0,0.067,21921870183.6799,21921870183.6799,0,21471633246.38414,21471633246.38414,0,0.8540693600334154,0.8570665205788272,0.0885935934445567,0.0885935934445567,0,0.0885935934445567,0,0.03,0.03,0.058593593444556696,-0.03,0,0.07742988385321635,0,0,0.066,0.066,1786803755.5316608,0,0,605056309.1731474,0,0,1181747446.3585134,0,0,1561647991.4644191,0,718200100.5124524,0,3461595538.3353844,2743395437.8229322,718200100.5124524,9141605583.192358,9141605583.192358,0,13620152.053476492,13620152.053476492,0,0,0,0,0,0,0,0.11148325383516737,3301234758.696923,6467375768.747771,20476945158.371105,26944320927.118877,-5806773988.249754,0,8358849777.594562,0,37582761.48732678,122806245425.04266,128261708208.51234,0,0,0,0,0,0,0,0.649542918894916,0,0.350457081105084,0
2025,32059500152.51381,19929317562.09046,428218925.30557674,10417306889.201038,1284656775.9167302,0,-0,0,0,0,0,152527406250.5699,152494455351.74554,32950898.824347265,130937316743.11769,130904351985.08891,32964758.028781295,131271278487.99687,131238327589.17253,32950898.824347273,0.067,21590089507.452198,21590103366.65663,-13859.204434029758,21256127762.573013,21256127762.573013,-7.450580596923828e-9,0.8584510807717776,0.860640600367558,0.0882626286111424,0.08841490624752427,0.08117562429228056,0.08841490624752427,0.08117562429228056,0.03,0.03,0.05841490624752427,0.051175624292280564,0,0.08035046861722887,0,0,0.066,0.066,1762048743.8293672,34760938.59544965,0,597879526.8627138,12846567.759167302,0,1164169216.966653,21914370.83628235,0,1601330005.335538,0,687542254.6872686,84787347.21050419,3559743195.0362463,2787413593.1384735,772329601.8977728,9291723448.526106,9291723448.526106,0,16118441.542497225,13257089.62328346,2861351.9192137634,0,0,0,0,0,0,0.11103551765005058,3315269197.371086,9782644966.118858,19796311634.19505,29578956600.313908,-5941601788.984485,0,8508387484.666084,0,38275319.40763811,125328490075.50742,130866076665.68127,31899586.676235892,0,1065171.352545401,0,9.083462368423963e-10,15949793.338117946,32964758.028781295,0.6216353176837596,0.01335700566972189,0.32493665963735274,0.04007101700916567
2026,33101433907.47051,19809742357.835384,778925272.3037169,10175990460.420258,2336775816.9111505,0,0,0,0,0,0,154667764760.83203,154572843861.24713,94920899.58491315,133461262654.5075,133366305759.81468,94956894.69282313,133685205683.35234,133590285742.85786,94919940.49447319,0.067,21206502106.32454,21206538101.43245,-35995.107909977436,20982559077.479706,20982558118.389267,959.0904399603605,0.8628899684487142,0.8643378656830936,0.08794809803484721,0.08821142392516579,0.08125115517159846,0.08821142392516579,0.08125115517159846,0.03,0.03,0.05821142392516579,0.051251155171598464,0,0.08296743013948862,-1.1920145527520488e-6,0,0.066,0.066,1747445580.9753304,63288578.16702889,0,594292270.7350615,23367758.169111505,0,1153153310.240269,39920819.997917384,0,1643563415.154976,-928.490260092383,671615370.387737,154227203.91613594,3662479191.206775,2836636616.902902,825842574.303873,9613476743.986805,9613476743.986805,0,18471975.714931052,13038947.321897164,5433028.393033889,0,0,0,0,0,0,0.11064412500813771,3331005419.7561607,13113650385.87502,19083526310.60525,32197176696.48027,-6235506695.178396,0,8656641210.611233,0,40819259.2929267,127786598637.49971,133325486500.52176,57854621.2837349,0,4137516.651816663,0,-1.2715097419934522,61892068.670648746,94956895.96433286,0.598455716849312,0.023531466173975165,0.3074184184547874,0.07059439852192549
2027,34177230509.4633,19375506030.417637,1217302683.2216039,9932513746.159246,3651908049.6648116,0,0,0,0,0,0,156657874707.10822,156463376405.3441,194498301.76413542,135894006250.49672,135699441129.37761,194565121.11910638,136013227621.75513,135818732867.5717,194494754.18342426,0.067,20763868456.611504,20763935275.966476,-66819.35497096181,20644647085.353096,20644643537.772385,3547.58071115613,0.8674572312727197,0.868218261457007,0.08741253411491223,0.08779118182174833,0.08138569212374,0.08779118182174833,0.08138569212374,0.03,0.03,0.05779118182174833,0.05138569212374,0,0.08712603585504304,-2.007466669945198e-6,0,0.066,0.066,1700998572.804776,99071021.39807606,0,581265180.9125291,36519080.49664812,0,1119733391.892247,62551940.90142794,0,1688111033.1157696,-2443.6945638022275,655545907.2465103,241025931.27787757,3766965760.739269,2870393922.214881,896571838.5243878,9882821028.623537,9882821028.623537,0,22746602.3339646,13919133.246690406,8827469.087274196,0,0,0,0,0,0,0.11021857840986377,3345737696.4378834,16459388082.312902,18336130023.53571,34795518105.84861,-6507630555.949682,0,8798581574.177687,0,42184351.33490919,130112490481.83984,135657256778.0427,90241108.61623806,0,9367216.670107083,0,-98.86006187368613,140077449.00094217,194565219.97916827,0.566912700110466,0.035617358840253195,0.2906178645285212,0.10685207652075959
2028,35287990501.02086,19081801552.624268,1615015873.244739,9746125455.417635,4845047619.734217,0,0,0,0,0,0,158261294713.0641,157930419493.30286,330875219.7612329,138007405456.72565,137676427186.53683,330978270.1888156,138025586067.94366,137694719380.62152,330866687.3221458,0.067,20253889256.33844,20253992306.76602,-103050.42758268118,20235708645.120422,20235700112.681335,8532.439087092876,0.8720224721208064,0.8721373493006688,0.0869665223724568,0.08742742754936011,0.0815208166887249,0.08742742754936011,0.0815208166887249,0.03,0.03,0.057427427549360116,0.05152081668872491,0,0.09092200956528998,-2.845612909372765e-6,0,0.066,0.066,1668272822.7533255,131657412.95216535,0,572454046.578728,48450476.19734217,0,1095818776.1745975,83206936.75482318,0,1734955743.2906687,-4595.710017747158,643244280.0575639,319773142.9024583,3876994283.4700937,2913976860.5100718,963017422.9600222,10393430392.715582,10393430392.715582,0,15433498.699307099,3186226.972185719,12247271.72712138,0,0,0,0,0,0,0.10986724459013711,3362756499.8817253,19822144582.194626,17551679419.858612,37373824002.05324,-6993388053.643774,0,8926867857.92705,0,43506252.87593342,132202747102.55573,137632920933.6609,119405545.51502623,0,17007651.822799437,0,-48.268116474752475,254267893.8766195,330978318.45693207,0.5407449186451193,0.045766728292392214,0.27618816818531183,0.13730018487717663
2029,36434850192.30404,18177488855.380318,2207303634.191699,9428146800.156927,6621910902.575097,0,-0,0,0,0,0,159693180365.09555,159171384986.17792,521795378.91762817,140024816088.52774,139502870834.34445,521945254.183287,139944508211.99277,139422729364.62253,521778847.3702382,0.067,19668364276.567806,19668514151.833466,-149875.26565885544,19748672153.10278,19748655621.55539,16531.54738998413,0.876836542226779,0.8763336536478719,0.08591253129336315,0.08642886567781836,0.08166043730244235,0.08642886567781836,0.08166043730244235,0.03,0.03,0.056428865677818366,0.05166043730244235,0,0.09814556621060383,-3.2575760623785413e-6,0,0.066,0.066,1571059742.6417058,180249380.02736437,0,545324665.6614095,66219109.025750965,0,1025735076.9802963,114030271.00161342,0,1784039935.9982421,-7190.459481144039,622257688.8103572,437046119.5699564,3983101901.900985,2923798093.520671,1059303808.3803136,10610327540.931356,10610327540.931356,0,19978285.320635583,3096337.228164681,16881948.092470903,0,0,0,0,0,0,0.10932120979990516,3373818543.1814,23195963125.376026,16727775978.201574,39923739103.5776,-7258324199.519573,0,9040477354.679728,0,44290492.64745184,134047265086.77705,139458580341.697,163360241.4754123,0,27606592.946952783,0,149.5721063482909,412658390.9265218,521945104.61118066,0.4989038999594916,0.060582206940374285,0.2587672722790113,0.18174662082112286
2030,37618982823.55392,17920003207.77732,2603492637.1717296,9285009067.089682,7810477911.515188,0,0,0,0,0,0,161033839185.748,160278348873.08063,755490312.66735,142035093247.798,141279405549.0514,755687698.7466059,141857826974.29706,141102365246.206,755461728.0910566,0.067,18998745937.94998,18998943324.029236,-197386.07925581932,19176012211.450928,19175983626.874634,28584.576293468475,0.882020163997733,0.880919362610911,0.08548185684779072,0.08601767567578347,0.08179378222859442,0.08601767567578347,0.08179378222859442,0.03,0.03,0.056017675675783474,0.05179378222859442,0,0.1024187659538505,-4.069993149354447e-6,0,0.066,0.066,1541437024.035589,212949509.79857343,0,537600096.2333196,78104779.11515188,0,1003836927.8022695,134844730.68342155,0,1835344614.4295955,-10596.197197683683,612810598.427919,515491542.16000247,4102317817.3060102,2974015676.7180886,1128302140.5879216,10790689866.172821,10790689866.172821,0,23885022.431655593,3329444.44353586,20555577.988119733,0,0,0,0,0,0,0.10904914246478445,3393357765.006385,26589320890.382412,15862025527.392315,42451346417.77473,-7417237672.151172,0,9149077847.340626,0,44694539.51748303,135794251998.26886,141234711009.5339,192383335.61325604,0,41358951.593307175,0,157.3567556713919,618136921.989915,755687541.3898503,0.47635533612985637,0.0692068855073252,0.24681712184084284,0.20762065652197562
2031,38841599765.31942,17741125537.62519,2979626834.599626,9181966889.295725,8938880503.798878,0,-0,0,0,0,0,162087768485.61548,161054764423.65488,1033004061.9606013,143892067403.8138,142858819634.7634,1033247769.0504242,143620779584.22534,142587820673.55524,1032958910.6701179,0.067,18195701081.801655,18195944788.89148,-243707.08982288837,18466988901.39012,18466943750.09964,45151.29048347473,0.8877416769210661,0.8860679675343363,0.08509767194156369,0.08563008941040938,0.08192758196803676,0.08563008941040938,0.08192758196803676,0.03,0.03,0.05563008941040938,0.05192758196803676,0,0.10879900344541137,-4.76035578921247e-6,0,0.066,0.066,1519174166.0281422,244113621.72582278,0,532233766.1287557,89388805.03798878,0,986940399.8993865,154724816.687834,0,1930216778.4935586,-14184.083851779158,606009814.6935179,589966113.250726,4267843738.941171,3071867810.9969273,1195975927.944244,11163558771.413143,11163558771.413143,0,24456931.49994096,0,24456931.49994096,0,0,0,0,0,0,0.10987816579974674,3447536717.04879,30036857607.431202,14917514835.411955,44954372442.843155,-7714167826.891442,0,9251043163.568596,0,42538749.034857504,137422321635.60567,142816280885.72855,219642506.14203003,0,57917377.39104182,0,186.7707465287626,865508951.8176209,1033247582.2796777,0.45675578876299905,0.07671225831589078,0.23639517797343784,0.23013677494767235
