year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,18355687657.834435,0,8832318618.240425,0,27188006276.074863,0.09096783532223204,0,58755608843.576454,0,14439432108.80202,0,536076.522178452,18355687657.834435,8832318618.240425,0.09096783532223204,44316176734.77444,0,0,0,0,0,0,0,0,0,8391759183.371048,94677421301.4016,0,6591924964,145585523000.17603,0,145585523000.17603,8391759183.371048,0,8391759183.371048,0,0,0,145585523000.17603,0,145585523000.17603
2023,17880140909.45789,0,9647125402.486256,0,27527266311.944145,0.08994606957019512,0,57690932112.87652,0,14022831639.928814,0,536076.522178452,17880140909.45789,9647125402.486256,0.08994606957019512,43668100472.94771,0,271120741.16800195,0,9896207.233032849,0,351687845.2930926,0,4654332481.4466915,0,8357086228.233551,92663722300.36195,281923527.5481293,6751660409.03987,148008936404.9642,0,148008936404.9642,9000593808.307806,0,9000593808.307806,0,0,0,148008936404.9642,0,148008936404.9642
2024,17579501011.866146,377728690.77208847,9189027995.01683,1133186072.3162653,28279443769.971333,0.08976465452164942,0.0824148571709854,59119066244.623344,249489002.8831322,13354112961.63705,249489002.88313222,536076.522178452,17957229702.638233,10322214067.333096,0.08961005220399357,45764953282.9863,-2.9802322387695313e-08,559432140.1067107,0,13620152.053476492,0,507661665.9462344,0,6611902950.239358,0,8342857875.052681,90529333819.43352,291086042.19344354,6912935614.252098,150378557807.01797,-2.9802322387695313e-08,150378557807.01797,9155225735.245834,0,9155225735.245834,0,-0,0,150378557807.01794,0,150378557807.01794
2025,17406702076.64325,684436976.0112599,8941581928.713902,2053310928.0337796,29086031909.40219,0.08955806582362337,0.08249154111010203,60788144082.41869,514746359.0645169,12670820695.073584,486477254.8843656,536076.522178452,18091139052.65451,10994892856.74768,0.0892907199814542,48117323387.34511,28269104.180151284,861900778.8784477,0,13257089.62328346,2861351.9192137634,658206154.3568685,0,8410350119.135062,0,8332970955.604508,88261828229.73105,300546338.56473047,7075555961.8422575,152726958476.93192,28269104.180151284,152755227581.11206,9304980538.14939,2861351.9192137634,9307841890.068604,-0,0,0,152726958476.93192,28269104.180151217,152755227581.11206
2026,16808915937.026842,1056051823.3725898,8616796296.336817,3168155470.1177697,29649919526.85402,0.08913140827423785,0.08262813191296474,60026724805.022736,858131382.268988,11960855111.291294,776941015.5578936,536076.522178452,17864967760.399433,11784951766.454586,0.08874698010446291,48065869693.731445,81190366.71109438,1171441633.0492811,0,13038947.321897164,5433028.393033889,984785507.7860643,0,12558450550.941181,0,8318377141.632655,85856993579.49037,310314094.5680842,7239304116.717605,154892059573.92987,81190366.71109438,154973249940.64096,9626515691.3087,5433028.393033889,9631948719.701735,0,0,0,154892059573.92987,81190366.71109422,154973249940.64096
2027,16406302244.92749,1388571119.646966,8379600820.058471,4165713358.940898,30340187543.573826,0.0887621009031449,0.08276531929921045,59901514486.85605,1220073339.581029,11264030054.717327,1055011098.0190082,536076.522178452,17794873364.574455,12545314178.999369,0.0882941595148892,48637484432.13872,165062241.56202078,1509467398.9457827,0,13919133.246690406,8827469.087274196,1268679713.9608514,0,16004729594.2677,0,8293742012.021139,83315670137.29509,320399302.6415469,7403938189.896136,156871289752.54343,165062241.56202078,157036351994.10544,9896740161.870228,8827469.087274196,9905567630.957502,0,0,0,156871289752.54343,165062241.5620206,157036351994.10544
2028,15298790649.205393,1857741543.2568846,7935047863.494272,5573224629.770654,30664804685.727203,0.08774829491474634,0.08290707137118981,56408631316.905525,1707601776.1728125,10562462213.071642,1428802104.0660143,536076.522178452,17156532192.462276,13508272493.264927,0.087224078132697,45846169103.833885,278799672.1067982,1819062813.866156,0,3186226.972185719,12247271.72712138,1806901640.6678736,0,22564782150.822456,0,8255716472.070311,80642103564.42355,330812279.97739714,7569189768.64178,158441307401.58783,278799672.1067982,158720107073.69464,10396616619.687767,12247271.72712138,10408863891.414888,0,0,0,158441307401.5878,278799672.10679793,158720107073.6946
2029,14993755748.791092,2178355229.232723,7768813234.186966,6535065687.69817,31475989899.90895,0.08733082765676968,0.08304245195050916,56581385534.244736,2154908250.492751,9927704387.622002,1720291037.7312455,536076.522178452,17172110978.023815,14303878921.885136,0.08678682898027602,46653681146.622734,434617212.7615056,2151353265.167919,0,3096337.228164681,16881948.092470903,2066704661.8654797,0,25403032393.954628,0,8202059199.989214,77843065303.2507,341563679.07666254,7734761804.064116,159785893913.0601,434617212.7615056,160220511125.8216,10613423878.159521,16881948.092470903,10630305826.251991,-0,0,0,159785893913.0601,434617212.76150537,160220511125.8216
2030,14784568564.351213,2483072290.9261236,7651792934.021864,7449216872.778372,32368650662.07757,0.08693732447178365,0.08317829428633094,57217487569.61273,2619964316.159675,9283443482.367302,1995887368.6765695,536076.522178452,17267640855.277336,15101009806.800236,0.08639677907982875,47934044087.24543,624076947.4831057,2411848616.471091,0,3329444.44353586,20555577.988119733,2306923008.949434,0,27833279223.846104,0,8131102358.576733,74927448319.99178,352664498.64665407,7900326346.289757,161006946593.84415,624076947.4831057,161631023541.32724,10794019310.616356,20555577.988119733,10814574888.604475,0,0,0,161006946593.84412,624076947.4831053,161631023541.3272
2031,13984239415.246906,2915079726.0453,7294154972.118165,8745239178.135899,32938713291.546272,0.08626611882770613,0.08330418259533585,54904845610.73614,3201546083.623193,8620103361.231575,2353575194.409773,536076.522178452,16899319141.292206,16039394150.254063,0.08575519408638183,46284742249.50456,847970889.2134199,2755196820.5313687,0,0,24456931.49994096,2757845867.3289433,0,32904722343.79877,0,8041586809.231529,71906000548.19968,364126094.8526703,8065522116.638499,161916184078.67285,847970889.2134199,162764154967.88626,11163558771.413143,24456931.49994096,11188015702.913084,-0,0,0,161916184078.67285,847970889.2134194,162764154967.88626
