entry_year,entry_age,age,yos,count,entry_salary
2020,18,20,2,1086.0469554071124,12901.087570274714
2020,20,22,2,9997.681588170777,23702.26317026209
2020,25,27,2,17402.67813690813,31841.50443129649
2015,20,27,7,8103.581128806914,30407.708560741205
2020,30,32,2,16325.273464965796,32933.10793985922
2015,25,32,7,24932.987795884765,33235.738080592004
2010,20,32,12,4675.475354444942,28907.073590367327
2020,35,37,2,14151.73917357411,33822.17296611031
2015,30,37,7,21474.63402939607,33550.808068633036
2010,25,37,12,15358.778097488113,30780.19485642782
2005,20,37,17,6432.7396589498185,25519.344274527295
2020,40,42,2,12985.030905829068,34240.401780234344
2015,35,42,7,17710.919580485217,33074.0574288341
2010,30,42,12,12427.603622350882,30318.46683966745
2005,25,42,17,20064.50144405978,27362.42063767914
2000,20,42,22,5551.226745542454,23074.288002844612
2020,45,47,2,11213.362795549561,34340.35583644009
2015,40,47,7,15439.439409826044,32235.943622926694
2010,35,47,12,10568.07229684613,29015.813884169587
2005,30,47,17,16470.75190328956,26583.879760140862
2000,25,47,22,16452.02695578254,24163.037619419392
1995,20,47,27,4515.593110346547,20524.564972784086
2020,50,52,2,11278.179921535397,33600.3451045309
2015,45,52,7,15469.687401952766,31627.22287848776
2010,40,52,12,11168.710997648208,28396.27303076286
2005,35,52,17,16251.814055515182,25170.70322849266
2000,30,52,22,16515.403701190913,22932.80996603868
1995,25,52,27,15993.985932149304,21841.84160668919
1990,20,52,32,3249.498582756559,18625.964763829346
2020,55,57,2,9543.961706269929,33049.72100543259
2015,50,57,7,13497.8063914059,30476.111913408007
2010,45,57,12,10395.22662755057,26799.742460732734
2005,40,57,17,15484.091207727397,23815.17957815488
2000,35,57,22,14926.663924249211,21158.207504370574
1995,30,57,27,13461.796876969325,19928.149309987304
1990,25,57,32,5755.760787542203,19410.35234124703
1985,20,57,37,1009.7067848015726,15348.214174800714
2020,60,62,2,5523.859514570658,30791.11005116946
2015,55,62,7,9719.688136720415,29525.374405635055
2010,50,62,12,7229.270118286865,26559.39852930312
2005,45,62,17,10676.100840155857,23326.718945950106
2000,40,62,22,9826.276299452678,20265.1506053725
1995,35,62,27,8178.480918834991,18781.71611169014
1990,30,62,32,2244.1129396873753,17957.446732712295
1985,25,62,37,1296.3425197167123,16862.552007405295
1980,20,62,42,237.66279528139725,12232.4407781003
2020,65,67,2,2431.362414757567,22026.7175438658
2015,60,67,7,4992.359081486805,25245.673734744305
2010,55,67,12,4188.626719262444,24947.25396836805
2005,50,67,17,4836.7979791208,23012.57883676265
2000,45,67,22,3003.1935040103835,19691.4404561201
1995,40,67,27,1850.8890420399725,18050.100607764773
1990,35,67,32,1104.7719029141315,16846.447011359953
1985,30,67,37,746.117139125841,16693.463742533735
1980,25,67,42,471.00444883040547,15242.401253517328
1975,20,67,47,177.16681102795067,14110.765933377488
