year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,824335420,542652000,0,281683420,0,0,0,0,0,0.067,0.067,6039701000.331901,6039701000.331901,0,3391319000,3391319000,0,3411145000,3411145000,0,-0.0718,2648382000.3319006,2648382000.3319006,0,2628556000,2628556000,0,0.5615044519587973,0.5647870647901279,0.1086,NA,NA,0.1086,0,0.03,0,0.0786,0,0.4139,0.3353,0,0,0.0798,0,58932007.2,0,16279560,16279560,0,42652447.2,42652447.2,0,231473992.8,231473992.8,0,22478336.915999997,0,296604776.916,274126440,22478336.915999997,316419540.3795003,316419540.3795003,0,750818.6206630396,750818.6206630396,0,20346947.147438224,595875.2317353981,0,0,0,0,0.35981078784167736,296604776.916,0,2628556000,0,-47707181.37933701,0,219973000,0,31897000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,851126321.15,597513849.778379,0,253612471.37162092,0,0,0,0,0,0,0,6136244439.147919,6136244439.147919,0,3508466368.4067087,3508466368.4067087,0,3523705993.9883976,3523705993.9883976,0,0.067,2627778070.74121,2627778070.74121,0,2612538445.159521,2612538445.159521,0,0.5717611811588613,0.5742447239402512,0.10860000409013873,0.10860000409013873,0,0.10860000409013873,0,0.03,0.03,0.07860000409013873,-0.03,0,0.3112911840531511,0,0,0.0798,0.0798,64890006.5298465,0,0,17925415.49335137,0,0,46964591.03649513,0,0,186000793.78566825,0,20238275.21545535,0,253203660.03761873,232965384.82216337,20238275.21545535,362963409.1091801,362963409.1091801,0,212539.4913184759,212539.4913184759,0,0,0,0,0,0,0,0.2974924564611072,247269199.25548702,247269199.25548702,2551307075.3510947,2798576274.6065817,-112285148.28498383,0,227717350.7622187,0,1715165.9294739712,3335176425.857508,3506751202.477235,0,0,0,0,0,0,0,0.7020272254899222,0,0.2979727745100777,0
2024,878787926.5873749,588655871.0606496,0,290132055.52672535,0,0,0,0,0,0,0,6230030271.7096,6230030271.7096,0,3638106412.5354753,3638106412.5354753,0,3649185901.058631,3649185901.058631,0,0.067,2591923859.174125,2591923859.174125,0,2580844370.6509695,2580844370.6509695,0,0.5839628788091157,0.5857412792405657,0.10733309247699886,0.10733309247699886,0,0.10733309247699886,0,0.03,0.03,0.07733309247699886,-0.03,0,0.33999187134720243,0,0,0.0798,0.0798,63182255.04568102,0,0,17659676.131819487,0,0,45522578.913861535,0,0,200138211.18142778,0,23152538.03103268,0,268813328.12632203,245660790.09528932,23152538.03103268,370127539.4383644,370127539.4383644,0,272314.4297845223,272314.4297845223,0,0,0,0,0,0,0,0.3058910119193528,256360366.94175914,503629566.1972462,2461284990.931482,2964914557.128728,-107079387.6410401,0,235160784.9056611,0,1558646.8641455607,3454926674.586189,3636547765.6713295,0,0,0,0,0,0,0,0.6698497478755718,0,0.3301502521244282,0
2025,907348534.2014645,583885960.2341752,9512495.81214324,285412590.7187164,28537487.436429717,0,-0,0,0,0,0,6324496546.786299,6323597032.402617,899514.3836812801,3776723110.1520357,3775823217.4310656,899892.7209703852,3783830062.5160894,3782930548.132408,899514.3836812801,0.067,2547773436.6342626,2547773814.971552,-378.3372891051695,2540666484.2702093,2540666484.2702093,0,0.5971579053309979,0.5982816236082519,0.10699563990923547,0.10721287231466868,0.09366171008206649,0.10721287231466868,0.09366171008206649,0.03,0.03,0.07721287231466868,0.06366171008206649,0,0.3533148693547994,0,0,0.0798,0.0798,62600090.90091434,890956.6249138317,0,17516578.807025254,285374.8743642972,0,45083512.09388909,605581.7505495346,0,206295591.7582392,0,22775924.739353567,2277291.4974270915,277037901.83945847,251984685.60267782,25053216.23678066,375811551.9444934,375811551.9444934,0,321529.9774343421,301388.35522265016,20141.62221169192,0,0,0,0,0,0,0.3053268853112468,258011652.00719467,761641218.2044408,2366180051.369787,3127821269.5742283,-107217257.64056249,0,243346872.39430702,0,1587190.1418455876,3584497783.715194,3774236027.28922,870815.0027021398,0,29077.718268245502,0,2.479660751465658e-11,435407.5013510699,899892.7209703852,0.6435079114863387,0.010483838848667956,0.3145567331189895,0.031451516546003866
2026,936837361.5630121,581778707.085818,18328636.818857912,281744107.2017624,54985910.45657374,0,0,-0,0,0,0,6404714780.688714,6402045188.142004,2669592.5467098486,3910319651.9785495,3907649041.277795,2670610.700754677,3913517391.2741814,3910847824.909326,2669566.364855126,0.067,2494395128.7101645,2494396146.864209,-1018.1540448283777,2491197389.4145327,2491197363.232678,26.181854722555727,0.6105376719926416,0.6110369509465262,0.10676373950815017,0.10717422199885158,0.0937344032251632,0.10717422199885158,0.0937344032251632,0.03,0.03,0.07717422199885159,0.0637344032251632,0,0.3655760369080095,-1.3828912643929672e-6,0,0.0798,0.0798,62351680.30742031,1718023.8341464,0,17453361.21257454,549859.1045657373,0,44898319.09484577,1168164.7295806627,0,212684354.09389907,-25.34651174502991,22483179.75470064,4387875.654434584,285621867.980949,258750812.57181376,26871055.409135222,396205138.3591424,396205138.3591424,0,427355.0447469003,364589.6875763744,62765.35717052597,0,0,0,0,0,0,0.30487881856507054,259771575.63915983,1021412793.8436006,2265730826.7430673,3287143620.586668,-121533693.6453994,0,251668879.36959824,0,1690638.1225306499,3715056370.608366,3905958403.1552644,1655233.130464129,0,115484.88508060129,0,-0.03576043785023499,1727509.2862024498,2670610.736515115,0.6210028879667897,0.019564374320296705,0.3007396147520235,0.05869312296089011
2027,967284575.81381,556570903.0835209,34970490.1567788,270831712.1031739,104911470.47033639,0,0,0,0,0,0,6476272336.391493,6470208064.957848,6064271.433645434,4045351589.944577,4039285158.267491,6066431.677086504,4044695039.223987,4038630867.0936747,6064172.130312368,0.067,2430920746.4469156,2430922906.6903567,-2160.24344107043,2431577297.167506,2431577197.864173,99.30333306547254,0.6246419822731856,0.6245406043992348,0.10595714821676608,0.10671740686916911,0.09385729365802196,0.10671740686916911,0.09385729365802196,0.03,0.03,0.07671740686916911,0.06385729365802197,0,0.3940249860506569,-1.975674076359864e-6,0,0.0798,0.0798,59395803.515904985,3282235.564009754,0,16697127.092505626,1049114.7047033638,0,42698676.42339936,2233120.8593063904,0,219302842.32368582,-69.09029084034567,21612370.625833277,8371935.3435328435,294218876.48546684,264234570.51610073,29984305.96936612,408258141.55047446,408258141.55047446,0,570184.5760186352,401163.24378920306,169021.33222943213,0,0,0,0,0,0,0.3041699245932153,261318856.76280826,1282731650.6064088,2159674481.176937,3442406131.783346,-129960658.95467287,0,259852332.3787702,0,1744443.5655986671,3842668711.8004584,4037540714.7018924,3113145.1414894816,0,282678.91720473015,0,-3.0823623842023826,4227183.271499418,6066434.759448889,0.5753952011643094,0.03615325937287578,0.27999176134418746,0.10845977811862734
2028,998721324.5277588,544288709.8228928,47832213.36951186,263103761.22681865,143496640.10853556,0,0,0,0,0,0,6526178137.744801,6515370674.513246,10807463.231555328,4169789184.5655327,4158978199.5627394,10810985.00279331,4165296161.6184425,4154488957.283676,10807204.334766591,0.067,2356388953.1792684,2356392474.950506,-3521.771237982437,2360881976.126358,2360881717.2295694,258.8967887368053,0.6389327867790097,0.638244325193644,0.105421230159182,0.10642937454702173,0.09394942968167734,0.10642937454702173,0.09394942968167734,0.03,0.03,0.07642937454702173,0.06394942968167734,0,0.41551053273511634,-3.0954142264991e-6,0,0.0798,0.0798,57928306.95945588,4493809.166477941,0,16328661.294686783,1434966.4010853558,0,41599645.6647691,3058842.765392585,0,226157691.78021935,-148.06051374892746,20995680.145900127,11451031.880661137,303262744.17642856,270816032.1498673,32446712.026561264,433712327.49934167,433712327.49934167,0,462412.08416986297,167118.38817393832,295293.69599592465,0,0,0,0,0,0,0.3036510152817905,263038500.85599965,1545770151.4624085,2047738693.9984543,3593508845.460863,-149793447.14784038,0,267691651.41894105,0,1794837.0241480581,3964388434.6935706,4157183362.5385914,4198367.409968267,0,546187.4923325621,0,-1.576594023673807,8165615.382070638,10810986.579387333,0.5449855695033421,0.04789345355385209,0.2634406162812496,0.14368036066155626
2029,1031179767.574911,506860813.3849786,68544101.30788432,250142548.95839515,205632303.92365298,0,0,-0,0,0,0,6566629520.047685,6548912455.799246,17717064.248438373,4296847842.150735,4279125404.856848,17722437.29388723,4288509359.9591584,4270792824.6530185,17716535.306139927,0.067,2269781677.8969493,2269787050.942398,-5373.045448858291,2278120160.088526,2278119631.1462274,528.9422984458506,0.6543460125217377,0.6530761857154409,0.104179879660778,0.10554512626440306,0.0940843354668842,0.10554512626440306,0.0940843354668842,0.03,0.03,0.07554512626440306,0.0640843354668842,0,0.4601930685927419,-3.5690444519462184e-6,0,0.0798,0.0798,53496688.5471956,6448926.221727084,0,15205824.401549358,2056323.0392365295,0,38290864.145646244,4392603.182490556,0,233253833.0610464,-244.63694448654408,19961375.40687993,16409457.853107506,312307889.0122261,275937055.7522387,36370833.259987436,443474300.7867518,443474300.7867518,0,613716.2240906537,152939.9982423683,460776.22584828536,0,0,0,0,0,0,0.3028646399324725,264535071.68079478,1810305223.1432033,1929642833.3992224,3739948056.5424256,-156876719.1767522,0,275201646.1826019,0,1822278.2882587214,4080539839.9743633,4277303126.568589,5987905.358934313,0,923541.8535814403,0,5.078578164957761,13804937.682260467,17722432.215309065,0.4915348703718212,0.06647153431751644,0.2425789923581131,0.19941460295254934
2030,1064693110.0210956,495504117.154947,81112662.89533408,244738341.28481224,243337988.68600222,0,-0,0,0,0,0,6603437513.461555,6577278251.472831,26159261.988724064,4433430991.831382,4407264498.660471,26166493.1709113,4421209507.715805,4395051200.29182,26158307.42398565,0.067,2170006521.6301727,2170013752.81236,-7231.1821872368455,2182228005.7457495,2182227051.181011,954.5647384151816,0.6713822888145049,0.6695315127466369,0.1036543103867836,0.10520488396235066,0.0941821076107934,0.10520488396235066,0.0941821076107934,0.03,0.03,0.07520488396235066,0.0641821076107934,0,0.4855605481599361,-4.656909681366299e-6,0,0.0798,0.0798,52129453.1481532,7639361.545406364,0,14865123.51464841,2433379.8868600223,0,37264329.63350479,5205981.658546342,0,240597250.74126124,-377.7343451186822,19530119.634528015,19418371.497142978,322015675.43063825,283067184.29896724,38948491.131671,449281019.5788146,449281019.5788146,0,781113.6011346632,165427.76797255367,615685.8331621095,0,0,0,0,0,0,0.30244929022247347,266365123.65439227,2076670346.7975955,1805096698.523141,3881767045.3207364,-156719743.45737275,0,283024725.38752854,0,1834111.873467816,4200765533.1281614,4405430386.7870035,7023297.977899136,0,1420752.4505618894,0,5.448563043476173,21234086.2828368,26166487.722348258,0.46539619021778883,0.07618407795813287,0.22986749794967964,0.22855223387439857
2031,1099295636.0967813,490545844.1529831,91926240.9696978,241044828.06500685,275778722.90909344,0,0,-0,0,0,0,6622111782.5118475,6586063256.736648,36048525.77519984,4566498210.373453,4530440713.096799,36057497.2766539,4550432583.541087,4514385609.827449,36046973.71363792,0.067,2055613572.1383946,2055622543.6398487,-8971.50145406276,2071679198.9707606,2071677646.9091988,1552.0615619197488,0.6895833776821757,0.6871573197477879,0.10331204942504718,0.10500294399772943,0.0942889315777337,0.10500294399772943,0.0942889315777337,0.03,0.03,0.07500294399772943,0.0642889315777337,0,0.5067143653966737,-5.618832373070851e-6,0,0.0798,0.0798,51508757.801914595,8667627.044990096,0,14716375.324589493,2757787.229090934,0,36792382.477325104,5909839.815899163,0,248566626.11795443,-516.51813869525,19235377.279587545,22007142.088145655,332510851.2607732,291268331.89304,41242519.367733195,469621680.939737,469621680.939737,0,790635.2070329546,0,790635.2070329546,0,0,0,0,0,0,0.30247627693802576,268600126.5882959,2345270473.3858914,1673489129.7050772,4018759603.0909686,-169546297.01986802,0,290982960.98087364,0,1739550.4753218445,4322491350.150537,4528701162.621477,7876475.319818446,0,2014522.26822464,0,6.517699511768427,30104730.830820523,36057490.75895439,0.4462365064003545,0.0836228562646679,0.21927206854097384,0.2508685687940037
