year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,565030217.1213156,0,239824917.55953544,0,804855134.6808511,0.11295223425405423,0,2460813321.7930303,0,513424030.3291664,0,7595.145422603943,565030217.1213156,239824917.55953544,0.11295223425405423,1947389291.4638638,0,0,0,0,0,0,0,0,0,316935017.98990136,3456840068.8680367,0,635471640.0000001,6039701000.331901,0,6039701000.331901,316935017.98990136,0,316935017.98990136,0,0,0,6039701000.331901,0,6039701000.331901
2023,539731837.0701622,0,266018764.13842452,0,805750601.2085867,0.1116345501664203,0,2324088037.0370154,0,498151279.4334318,0,7595.145422603943,539731837.0701622,266018764.13842452,0.1116345501664203,1825936757.6035836,0,10975511.992524223,0,212539.4913184759,0,21146948.85490354,0,283414041.4945191,0,314638601.3763315,3373809752.1058636,27177858.87794504,650870381.002055,6145006444.198545,0,6145006444.198545,363175948.6004986,0,363175948.6004986,0,0,0,6145006444.198545,0,6145006444.198545
2024,532884799.34882605,8681600.119529305,260482425.49927607,26044800.358587913,828093625.3262193,0.11150951208698977,0.09741527642157359,2357270693.4406385,8598898.200540844,471274694.3136486,8598898.200540844,7595.145422603943,541566399.4683553,286527225.85786396,0.11128357392288345,1885995999.1269898,0,22249786.448464103,0,272314.4297845223,0,28969671.233889457,0,385153123.53639364,0,313096728.91299665,3286758276.5839596,28061139.291478254,666417557.2377144,6246574742.933522,0,6246574742.933522,370399853.8681489,0,370399853.8681489,0,0,0,6246574742.933522,0,6246574742.933522
2025,530921115.2043541,16726394.729685768,257114765.074669,50179184.189057305,854941459.1977662,0.11146931282951514,0.09749088279927601,2422462350.9752874,17152126.286178637,443428374.858702,16326547.432964813,7595.145422603943,547647509.9340398,307293949.2637263,0.11104237993171884,1979033976.1165855,825578.8532138243,32782159.49322074,0,301388.35522265016,20141.62221169192,35133053.220484674,0,459227782.8107889,0,311705372.40555745,3195265708.709527,28973126.318451297,682094407.25419,6348404034.384312,825578.8532138243,6349229613.237526,376112940.29971606,20141.62221169192,376133081.92192775,-0,0,0,6348404034.384313,825578.8532138217,6349229613.237527
2026,497003467.8306923,31227746.15662936,241845736.75710446,93683238.46988809,863760189.2143142,0.11099419047596656,0.09761869816241656,2276547392.4715176,32782510.321588438,413956664.09572583,30333712.054133594,7595.145422603943,528231213.9873217,335528975.22699255,0.11020346386302257,1862590728.3757918,2448798.267454844,44113835.03756763,0,364589.6875763744,62765.35717052597,56162935.58682246,0,732553184.1455259,0,310127449.848519,3099221061.344547,29914752.923800964,697879979.6164197,6436358788.519853,2448798.267454844,6438807586.787308,396569728.04671884,62765.35717052597,396632493.40388936,0,-0,0,6436358788.519853,2448798.267454845,6438807586.787308
2027,482717503.05860496,42421321.969015874,233340850.86215302,127263965.90704761,885743641.7968215,0.11069461503306946,0.09771452660933375,2239851723.680347,46674387.721433885,386527263.0145236,41182129.37593243,7595.145422603943,525138825.02762085,360604816.7692006,0.10964606846982378,1853324460.6658235,5492258.345501453,56716503.458364934,0,401163.24378920306,169021.33222943213,69204437.0890355,0,891605949.7639337,0,308166722.06761444,2998702150.3870163,30886982.393824495,713750955.8568953,6514100020.132034,5492258.345501453,6519592278.477536,408659304.79426366,169021.33222943213,408828326.1264931,0,0,0,6514100020.132034,5492258.345501453,6519592278.477536
2028,437567196.1448574,59173345.87627615,215945227.75055882,177520037.62882847,890205807.4005208,0.10977492980843365,0.09785483884947202,2014092090.6856449,67507709.91537319,358990361.46569985,57797584.56237454,7595.145422603943,496740542.02113354,393465265.37938726,0.10835496987860513,1655101729.219945,9710125.352998652,67924343.9435642,0,167118.38817393832,295293.69599592465,96118992.54688735,0,1223479301.190852,0,305702525.6308305,2893912668.832116,31890809.32162379,729681460.5776834,6570099503.764161,9710125.352998652,6579809629.11716,433879445.8875156,295293.69599592465,434174739.58351153,0,0,0,6570099503.764161,9710125.35299864,6579809629.11716
2029,426472610.16937226,69812394.82202788,210642445.9508943,209437184.46608362,916364635.4083781,0.10942105202982268,0.09795652928857354,1986791386.1377923,84241559.90104845,335008807.440627,68551234.15034011,7595.145422603943,496285004.9914001,420079630.4169779,0.10780833800459826,1651782578.6971655,15690325.750708342,79456725.26198623,0,152939.9982423683,460776.22584828536,107890309.42133129,0,1352672589.3006527,0,302656730.74084395,2785148086.9030237,32927260.624576565,745642857.8118117,6614702837.97464,15690325.750708342,6630393163.725348,443627240.7849942,460776.22584828536,444088017.01084244,0,-0,0,6614702837.97464,15690325.750708336,6630393163.725348
2030,423077802.02785134,79283011.85650939,207892324.9752788,237849035.5695282,948102174.4291677,0.10921101916306311,0.09806763430959889,2013578866.5165637,101287919.81607942,310789315.8725118,78323448.1751463,7595.145422603943,502360813.88436073,445741360.54480696,0.10745236066693642,1702789550.6440518,22964471.640933126,88144292.70831802,0,165427.76797255367,615685.8331621095,116309601.55544217,0,1429790199.0990636,0,298974021.42849714,2672778987.2970285,33997396.594875306,761603532.6903276,6655106562.438789,22964471.640933126,6678071034.079722,449446447.3467872,615685.8331621095,450062133.17994934,-0,0,0,6655106562.43879,22964471.640933115,6678071034.079723
2031,387081361.6232866,95227238.79795352,192880227.4116883,285681716.3938606,960870544.226789,0.10855572106672158,0.09822473827796725,1830273329.2265122,126491258.97683145,285407442.09123975,95003705.52928102,7595.145422603943,482308600.4212401,478561943.8055489,0.10651596692552852,1544865887.1352725,31487553.44755043,99766990.62390165,0,0,790635.2070329546,139903620.78397027,0,1698180812.6972654,0,294615748.171558,2557239431.2743716,35102311.984208755,777528657.3963709,6677581779.127182,31487553.44755043,6709069332.574733,469621680.939737,790635.2070329546,470412316.14677,0,-0,0,6677581779.127182,31487553.44755043,6709069332.574733
2032,372753003.72104114,107166252.67646068,187448377.5658332,321498758.02938205,988866391.992717,0.10811664224061023,0.09835257753464932,1772452946.9826913,149241727.17612186,262509844.3888485,107411003.27731155,7595.145422603943,479919256.3975018,508947135.59521526,0.10593632083970851,1509943102.5938427,41830723.89881031,83463943.51568295,140880.19424972901,0,851711.0466979282,155750130.74668163,11060.98862023162,1859644927.1833177,116514.00802058312,289555625.8454895,2439018847.3242645,36243137.12369554,793379940.3182322,6685450760.93534,42088118.10108062,6727538879.036421,481548893.7158667,862772.0353181598,482411665.7511848,0,0,0,6685450760.93534,42088118.10108062,6727538879.036421
2033,339180803.36726165,123174581.87185997,175710867.64570832,369523745.6155799,1007589998.5004098,0.10748097456208822,0.09849610275111335,1596309146.1293805,177468347.85291255,239797200.81548068,123757952.91052113,7595.145422603943,462355385.2391216,545234613.2612882,0.10508734432910904,1356511945.3138998,53710394.94239141,93861806.95003794,424175.293387182,0,924781.4524887645,178166182.97981545,34069.639296692614,2096167323.4071312,354677.86174842156,283777694.4087614,2318655415.686229,37421039.08021564,809115357.239338,6674311848.596636,54489248.09752701,6728801096.694162,499364916.4687925,958851.0917854571,500323767.5605779,0,0,0,6674311848.596635,54489248.09752698,6728801096.694161
2034,329563436.822198,134993442.0827251,170724997.81730297,404980326.2481753,1040262202.9704013,0.10710396266765823,0.09861475016465925,1569577411.3811686,203294496.64032045,219408129.97145256,135864792.36947575,7595.145422603943,464556878.9049231,575705324.0654783,0.10463712153713203,1350169281.4097161,67429704.2708447,104752365.02011757,993301.1897700728,0,955910.3860820329,188636729.66947737,78955.59322073511,2177056434.940385,814372.5525199212,277275898.8208513,2196729429.716355,38637222.85032265,824688863.324051,6653396374.410624,69237378.01313469,6722633752.4237585,504549851.34065133,1034865.979302768,505584717.3199541,0,-0,0,6653396374.410623,69237378.01313467,6722633752.423758
2035,326486379.0528268,145319729.39499894,169667590.01335838,435959188.1849968,1077432886.6461809,0.10684017901646665,0.09869675448466736,1584682158.2172906,228875923.20713672,198810924.64551008,146790159.3935622,7595.145422603943,471806108.4478258,605626778.1983552,0.10433194474793865,1385871233.5717807,82085763.81357452,108360174.14051,1770661.072043584,0,1020085.3672526032,196659581.73192036,204338.09937618588,2219727173.411842,2107778.5526231243,270053479.81173307,2073856821.6956174,39892932.59295814,840050084.5738043,6627865487.393554,85964203.43824123,6713829690.831795,506605994.1366116,1224423.466628789,507830417.6032404,0,-0,0,6627865487.393552,85964203.43824124,6713829690.831793
2036,269759681.8848786,165470142.6856211,148742258.79369038,496410428.0568633,1080382511.4210534,0.10400258320937876,0.09882858319012429,1313275844.4726171,265782682.21727496,177249393.41231722,167665341.62603876,7595.145422603943,435229824.57049966,645152686.8505538,0.10203547876683208,1136026451.0602999,98117340.5912362,118585701.19087341,2887642.483845297,0,1012623.2362229209,232005962.74599364,359958.3912644821,2511057554.246724,3688826.019911029,262124781.91932768,1950680446.829896,41189452.90222928,855143987.3380198,6571494140.665813,104693809.09499253,6676187949.760806,535320197.56755066,1372581.627487403,536692779.1950381,0,0,0,6571494140.665811,104693809.0949925,6676187949.760803
2037,256887216.1732477,178443573.81226954,144729536.24161637,535330721.43680865,1115391047.6639423,0.10353852601724435,0.09889963111377985,1256775585.0761101,297145273.0926684,161069399.00917485,181011273.28760132,7595.145422603943,435330789.98551726,680060257.6784251,0.10163702719346193,1095706186.0669353,116133999.80506709,86105887.48361476,4240941.102944721,0,1066816.5201737646,245668104.025824,591431.8369953899,2618545103.01865,6028284.801063711,253516838.40574843,1827859198.3617506,42528110.12155173,869910524.3681154,6498126899.299066,126403225.70907553,6624530125.0081415,541713052.5531242,1658248.3571691546,543371300.9102933,0,0,0,6498126899.299063,126403225.70907548,6624530125.008139
