year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new,payroll_db_legacy_ratio,payroll_db_new_ratio,payroll_dc_legacy_ratio,payroll_dc_new_ratio
2022,5451709307,4601265000,0,850444307,0,0,0,0,0,0.067,0.067,45070773000.01312,45070773000.01312,0,36060861000,36060861000,0,36271679000,36271679000,0,-0.0718,9009912000.013123,9009912000.013123,0,8799094000,8799094000,0,0.8000941319555358,0.8047716199586814,0.2013,NA,NA,0.2013,0,0.03,0,0.1713,0,0.2975,0.1262,0,0,0.1654,0,926234644.5,0,138037950,138037950,0,788196694.5,788196694.5,0,428000355.5,428000355.5,0,140663488.3778,0,1356860538.3778,1216197050,140663488.3778,2262952876.444555,2262952876.444555,0,5369665.714322727,5369665.714322727,0,145516242.5144073,4261549.612392538,0,0,0,0,0.2488871768411404,1356860538.3778,0,8799094000,0,-1063865334.285677,0,2362271000,0,258680000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2023,5628889859.4775,5212289169.736985,0,416600689.74051374,0,0,0,0,0,0,0,46640233230.46537,46640233230.46537,0,37687298555.876076,37687298555.876076,0,37854108657.294174,37854108657.294174,0,0.067,8952934674.589294,8952934674.589294,0,8786124573.171196,8786124573.171196,0,0.8080426692904863,0.811619197319277,0.2012999905069671,0.2012999905069671,0,0.2012999905069671,0,0.03,0.03,0.1712999905069671,-0.03,0,0.11190580838683568,0,0,0.1654,0.1654,1049233760.3876225,0,0,156368675.09210956,0,0,892865085.2955129,0,0,583285433.0853659,0,68905754.08308096,0,1545056272.46396,1476150518.380879,68905754.08308096,2444836480.644234,2444836480.644234,0,8407003.189353004,8407003.189353004,0,0,0,0,0,0,0,0.2744868546081979,1508844016.078086,1508844016.078086,8580199778.487496,10089043794.565582,-820724290.3605988,0,2434125250.355766,0,13036595.880903691,35650498854.8197,37674261959.99517,0,0,0,0,0,0,0,0.9259888361398521,0,0.07401116386014783,0
2024,5811828779.910519,5367691278.839901,0,444137501.0706186,0,0,0,0,0,0,0,48288948054.35744,48288948054.35744,0,39478156282.89456,39478156282.89456,0,39604729674.221115,39604729674.221115,0,0.067,8810791771.462875,8810791771.462875,0,8684218380.136322,8684218380.136322,0,0.8175402006781173,0.8201613675584576,0.20010119041085483,0.20010119041085483,0,0.20010119041085483,0,0.03,0.03,0.17010119041085484,-0.03,0,0.12454952653822127,0,0,0.1654,0.1654,1074081414.653828,0,0,161030738.36519703,0,0,913050676.2886308,0,0,668543407.3828491,0,73460342.67708032,0,1655054426.3485603,1581594083.67148,73460342.67708032,2493049252.7999554,2493049252.7999554,0,10114801.199558865,10114801.199558865,0,0,0,0,0,0,0,0.2847734317414014,1578382898.6631017,3087226914.7411876,8281916027.199099,11369142941.940287,-760539231.9628373,0,2539315891.285779,0,12081067.695544004,37307028939.89465,39466075215.19902,0,0,0,0,0,0,0,0.9235804222922314,0,0.07641957770776873,0
2025,6000713215.25761,5308742864.416407,194082263.55942002,433193999.4286432,64694087.85314001,0,-0,-0,-0,0,0,50018725676.695656,49985321491.88124,33404184.814416572,41373924369.55505,41340506134.88334,33418234.67171372,41462127039.1185,41428722854.304085,33404184.814416572,0.067,8644801307.140604,8644815356.997902,-14049.857297148556,8556598637.577156,8556598637.577156,0,0.8271687015175534,0.828932094494287,0.19909184354018217,0.20006568919005438,0.1724541897433458,0.20006568919005438,0.1724541897433458,0.03,0.03,0.17006568919005438,0.1424541897433458,0,0.12937652078811132,0,0,0.1654,0.1654,1062097299.9022518,33470299.50569427,0,159262285.9324922,5822467.9067826,0,902835013.9697596,27647831.59891167,0,686826681.5569068,0,71650287.50549759,10700402.130909357,1699660216.7619848,1617309527.125578,82350689.63640694,2541684610.316595,2541684610.316595,0,11428669.020561159,10296779.902905595,1131889.1176555643,0,0,0,0,0,0,0.2832430339180971,1582931929.046274,4670158843.787461,7968953473.099652,12639112316.887114,-803057408.7603422,0,2652861203.639162,0,12546057.109959917,39076627578.51439,41327960077.77338,32338410.388038706,0,1079824.2836750138,0,9.208418177820155e-10,16169205.194019353,33418234.67171372,0.8846853155585278,0.032343199316031315,0.07219041868676376,0.010781066438677106
2026,6195736394.753483,5293346396.0475445,355654917.0477848,428183442.64222574,118551639.01592827,0,0,0,0,0,0,51673842769.78693,51577036471.89545,96806297.89147612,43222564308.26408,43125721257.30921,96843050.95486134,43273229712.63503,43176424387.02763,96805325.6073973,0.067,8451278461.52285,8451315214.586235,-36753.06338521838,8400613057.151892,8400612084.867813,972.2840788215399,0.836449584383064,0.8374300689310524,0.19817876314905347,0.19990230409472617,0.1725266525893359,0.19990230409472617,0.1725266525893359,0.03,0.03,0.16990230409472618,0.1425266525893359,0,0.1333770112950873,-2.646562455079262e-6,0,0.1654,0.1654,1058152140.9414191,61359952.315192245,0,158800391.88142633,10669647.511433544,0,899351749.0599928,50690304.803758696,0,706010722.054443,-941.2629504229966,70821541.41302413,19608441.093234535,1746481817.1615028,1656051834.655244,90429982.50625867,2749295490.02431,2749295490.02431,0,12238156.382294292,10090772.829094714,2147383.553199578,0,0,0,0,0,0,0.2818844614887771,1588415959.4511425,6258574803.238604,7640313067.1241255,13898887870.362728,-995223399.8575429,0,2766818171.0450273,0,13620351.238390233,40842894434.95457,43112100906.07082,59211627.49904224,0,4213190.080870915,0,-1.2967655320756801,63024048.421234846,96843052.25162688,0.8543530677854407,0.05740317121124642,0.06910937059956412,0.019134390403748806
2027,6397097827.582971,5127002548.388248,636680869.4609004,421187453.2468541,212226956.48696682,0,0,-0,0,0,0,53353949945.44652,53141161688.58595,212788256.8605687,45126691990.68286,44913828862.60174,212863128.0811226,45140468400.900375,44927683758.60833,212784642.2920431,0.067,8227257954.76366,8227332825.984215,-74871.22055390477,8213481544.546148,8213477929.977623,3614.5685256123543,0.8457985216994077,0.8460567295777672,0.19504443042918032,0.19782179789300064,0.1726791125001612,0.19782179789300064,0.1726791125001612,0.03,0.03,0.16782179789300064,0.14267911250016121,0,0.1416123529879609,-3.9186298241743124e-6,0,0.1654,0.1654,1014232861.9241593,109941487.48433928,0,153810076.45164746,19100426.08382701,0,860422785.4725119,90841061.40051226,0,726046894.6525317,-2494.916643550717,69664404.76702967,35102338.60294431,1782074989.9788861,1677308246.6089122,104766743.36997399,2834298671.694425,2834298671.694425,0,15059230.119033057,11120166.179416409,3939063.9396166485,0,0,0,0,0,0,0.27857554128607276,1582800548.3865635,7841375351.625167,7295037058.471141,15136412410.096308,-1105139081.2971504,0,2878919209.537097,0,14327477.05257854,42573151716.66064,44899501385.549156,105999928.62807907,0,10020256.654706195,0,-108.1565239820959,149843015.26890087,212863236.23764658,0.8014575806988081,0.09952651758984574,0.06584039584806417,0.03317550586328191
2028,6605003506.979417,5090279815.964461,822212659.9922638,418440144.3586041,274070886.664088,0,0,-0,0,0,0,55074437860.57877,54706198513.989105,368239346.5896704,47105209985.68477,46736853176.40636,368356809.27841306,47082212028.246254,46713981845.104866,368230183.14138925,0.067,7969227874.894006,7969345337.582748,-117462.68874263763,7992225832.3325205,7992216668.884239,9163.448281168938,0.855300785909642,0.8548832063876007,0.1936658781246439,0.19704125390671576,0.17276908578513248,0.19704125390671576,0.17276908578513248,0.03,0.03,0.16704125390671576,0.14276908578513248,0,0.14673991012071227,-6.2482509990381755e-6,0,0.1654,0.1654,1002995117.6736838,142052929.5878254,0,152708394.47893384,24666379.79976791,0,850286723.19475,117386549.78805748,0,746947202.6839008,-5137.391074218498,69209999.87691312,45331324.654240154,1829156662.8067873,1714615338.275634,114541324.53115326,2933436282.4284086,2933436282.4284086,0,6678620.065790776,1315104.8101898131,5363515.255600963,0,0,0,0,0,0,0.2769350025134646,1586540502.105163,9427915853.73033,6932150888.327749,16360066742.058079,-1184809066.8810139,0,2992763062.288035,0,15070318.3976001,44321424329.16123,46721782858.00876,136684276.94115022,0,18809457.97494002,0,-53.71879974753999,281205266.55169773,368356862.9972128,0.7706702669552912,0.12448330407749866,0.0633519942747107,0.04149443469249956
2029,6819666120.956247,5052895804.092901,1012578658.0951474,416665439.40314883,337526219.3650491,0,0,-0,0,0,0,56842468873.46737,56275906226.10007,566562647.3673056,49168749841.00168,48602024370.78382,566725470.2178584,49108789802.48472,48542245379.212456,566544423.2722597,0.067,7673719032.465693,7673881855.316246,-162822.85055279732,7733679070.982657,7733660846.887611,18224.095045924187,0.8650002509646869,0.8639454051829101,0.19219620720584912,0.19606761460149108,0.1728773937694953,0.19606761460149108,0.1728773937694953,0.03,0.03,0.16606761460149108,0.1428773937694953,0,0.15213065386479865,-8.075619923421146e-6,0,0.1654,0.1654,990709227.1383784,175051959.39810193,0,151586874.12278703,30377359.74285442,0,839122353.0155913,144674599.6552475,0,768700342.5873506,-8177.200385344221,68916463.67728081,55826836.68297912,1877232418.418064,1752489118.057804,124743300.36025994,3018184926.092166,3018184926.092166,0,8211767.380624642,1270656.6326697832,6941110.7479548585,0,0,0,0,0,0,0.2752674962560836,1590077708.0539706,11017993561.7843,6550680976.613339,17568674538.39764,-1260046012.9991066,0,3109558063.5477214,0,15659143.82884974,46106830169.90681,48586365226.95497,168102671.44976175,0,30265827.085085995,0,162.40459760447484,452408145.00329393,566725307.8132608,0.7409300857949317,0.14847921293149238,0.061097630296411694,0.04949307097716413
2030,7041305269.887325,5032813133.55145,1194019339.4006236,416466350.4683777,398006446.46687454,0,-0,0,0,0,0,58652333894.0352,57843193209.78845,809140684.2467523,51315257763.83373,50505908061.08135,809349702.7523774,51217878825.02448,50408769486.04203,809109338.9824512,0.067,7337076130.201475,7337285148.7071,-209018.50562512875,7434455069.010723,7434423723.746422,31345.26430106163,0.8749056406952694,0.8732453668008805,0.19095435249351933,0.1952178208013282,0.1729837563850909,0.1952178208013282,0.1729837563850909,0.03,0.03,0.1652178208013282,0.1429837563850909,0,0.1572307840555007,-9.648483160903015e-6,0,0.1654,0.1654,982494812.4322181,206545950.52596462,0,150984394.0065435,35820580.182018705,0,831510418.4256746,170725370.34394592,0,791313154.9931158,-11520.475489999459,68883534.36746967,65830266.24562105,1928251223.900337,1793537423.2872462,134713800.61309072,3113991885.469772,3113991885.469772,0,9863731.74267899,1407687.3952665124,8456044.347412478,0,0,0,0,0,0,0.27384854795980074,1595012028.5420058,12613005590.326305,6149637097.982251,18762642688.308556,-1341591605.4397044,0,3229345388.5918875,0,16129907.145346837,47931228568.06397,50489778153.936005,198078385.70306215,0,44545678.30017212,0,168.53128467692343,665764663.0693895,809349534.2210927,0.714755708018321,0.1695735795615818,0.059146185899570006,0.056524526520527266
2031,7270147691.158663,5034274721.558317,1363177982.6627896,418302326.0499593,454392660.8875966,0,-0,-0,-0,0,0,60335081179.430756,59238387701.31964,1096693478.111117,53391654045.0786,52294706654.925125,1096947390.153475,53257084846.28624,52160440365.914276,1096644480.3719673,0.067,6943427134.352158,6943681046.394516,-253912.04235816002,7077996333.144514,7077947335.405365,48997.739149570465,0.8849189062379303,0.8826885421419218,0.18988098178901525,0.1944281512406662,0.17308809009311762,0.1944281512406662,0.17308809009311762,0.03,0.03,0.1644281512406662,0.14308809009311763,0,0.16433687158643573,-1.1044880697671837e-5,0,0.1654,0.1654,978804726.9502032,235949873.47609127,0,151028241.6467495,40895339.479883686,0,827776485.3034537,195054533.99620757,0,827316958.4475687,-15056.138188203478,69187204.72866327,75156546.11080848,1994476672.4485137,1850132921.609042,144343750.83947176,3379969193.585869,3379969193.585869,0,10054327.06345498,0,10054327.06345498,0,0,0,0,0,0,0.2743378480294186,1611125425.4284039,14224131015.75471,5717559904.7837515,19941690920.53846,-1573847508.188097,0,3346999704.25734,0,15646397.77453185,49718984306.987305,52279060257.1506,225880490.27444807,0,61716998.84063388,0,198.28601567285094,922289947.8896015,1096947191.8674593,0.692458383985868,0.18750347868731349,0.05753697776438065,0.06250115956243783
