year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2022,4902529392.458923,0,391842635.71366465,0,5294372028.172588,0.2044050903605348,0,27943466124.915554,0,10366856214.856262,0,72777.39021458956,4902529392.458923,391842635.71366465,0.2044050903605348,17576609910.05929,0,0,0,0,0,0,0,0,0,2267978019.6536574,24256399095.953835,0,3237763994.0000005,45070773000.01312,0,45070773000.01312,2267978019.6536574,0,2267978019.6536574,0,0,0,45070773000.01312,0,45070773000.01312
2023,5049974860.598976,0,417848773.0651717,0,5467823633.664147,0.20318779849006371,0,29151595168.063896,0,10434906332.154589,0,72777.39021458956,5049974860.598976,417848773.0651717,0.20318779849006371,18716688835.90931,0,116542430.99665163,0,8407003.189353004,0,58500936.81095045,0,856205530.5877441,0,2247862813.7063756,23633715021.67636,138472730.1269081,3316221451.471092,46639373270.64116,0,46639373270.64116,2453243483.833587,0,2453243483.833587,0,0,0,46639373270.64116,0,46639373270.64116
2024,5002163016.78149,182874014.76863447,408177050.2689116,60958004.92287815,5654172086.741915,0.20315174965455532,0.17511433631350012,30090383755.48318,355467657.1589939,10107951782.053673,355467657.1589939,72777.39021458956,5185037031.550125,469135055.19178975,0.20216288220573914,19982431973.42951,0,248171335.39269587,0,10114801.199558865,0,117136348.54109125,0,1676867878.7181957,0,2232939810.402831,22984234117.725845,142973093.8560326,3395435194.8636227,48287140500.129875,0,48287140500.129875,2503164053.9995136,0,2503164053.9995136,0,0,0,48287140500.129875,0,48287140500.129875
2025,5004116968.869737,336221866.5284555,404787420.05528444,112073955.50948517,5857200210.962961,0.2029858443055783,0.17518791691598837,31146346999.819202,729138612.4720268,9768986382.534801,698246639.8644878,72777.39021458956,5340338835.398192,516861375.5647696,0.20123571733412116,21377360617.2844,30891972.607539058,368377605.3853789,0,10296779.902905595,1131889.1176555643,175162685.97052824,0,2460272237.478859,0,2218902204.9397135,22305275598.673763,147619719.40635365,3475309633.5131316,49986595692.33553,30891972.607539058,50017487664.94307,2551981390.219501,1131889.1176555643,2553113279.337157,-0,-0,-0,49986595692.33554,30891972.60753908,50017487664.94308
2026,4737646939.180241,588329953.8020107,389201571.4568692,196109984.60067022,5911288449.039791,0.20087324580476199,0.17534272855691357,29906401520.290524,1338359382.1407065,9407743562.234737,1248643022.5029361,72777.39021458956,5325976892.982251,585311556.0575395,0.19805303679244735,20498657958.055786,89716359.63777041,515685498.40357304,0,10090772.829094714,2147383.553199578,393512936.046979,0,5425630903.573059,0,2203365193.690271,21596363870.094635,152417360.28706014,3555738018.671451,51592076248.7985,89716359.63777041,51681792608.43627,2759386262.853405,2147383.553199578,2761533646.406605,0,0,0,51592076248.79851,89716359.63777022,51681792608.43628
2027,4691943935.51008,757871048.9846375,385695436.9266489,252623682.9948792,6088134104.416245,0.20008066174330663,0.1754340897010362,30336428305.473698,1869293823.6047711,9086395862.754332,1674346152.4194796,72777.39021458956,5449814984.494718,638319119.9215281,0.19665321999332167,21250032442.719368,194947671.18529153,682268758.953502,0,11120166.179416409,3939063.9396166485,491964588.7028965,0,6727733203.749542,0,2184963158.495139,20858357090.895836,157370924.4963896,3636601541.4260488,53154993037.7443,194947671.18529153,53349940708.929596,2845418837.8738413,3939063.9396166485,2849357901.813458,0,-0,0,53154993037.74429,194947671.18529162,53349940708.92959
2028,4639742545.436227,929784516.1895603,382596523.1354543,309928172.06318676,6262051756.824429,0.1990920038220529,0.17554406836161482,30583349140.018173,2441153841.0174937,8756417138.079521,2105551773.5289996,72777.39021458956,5569527061.625787,692524695.1986411,0.19516087905381177,21826932001.938652,335602067.48849416,843642183.1448104,0,1315104.8101898131,5363515.255600963,608073198.8683723,0,8239061469.303036,0,2162877604.0175138,20092989411.96834,162485479.54252225,3717768365.1590714,54720393431.513916,335602067.48849416,55055995499.00241,2934751387.2385983,5363515.255600963,2940114902.4941993,0,-0,0,54720393431.51391,335602067.48849446,55055995499.0024
2029,4613640720.2697935,1094571981.6863215,381779744.6787353,364857327.22877383,6454849773.863624,0.19822910175199987,0.17565207164565397,31040438605.908283,3042655421.561334,8419361445.741518,2528290969.627515,72777.39021458956,5708212701.956115,746637071.9075091,0.19389986843950854,22621077160.166763,514364451.9338193,1024198028.6873503,0,1270656.6326697832,6941110.7479548585,713829878.6990699,0,9543941159.633867,0,2136588789.7654421,19302630912.80478,167766257.62765422,3799092587.997075,56290939849.28984,514364451.9338193,56805304301.22366,3019455582.724836,6941110.7479548585,3026396693.4727907,0,-0,0,56290939849.28983,514364451.9338199,56805304301.223656
2030,4617790254.4974365,1250402560.7758613,383696264.40831,416800853.59195375,6668689933.2735615,0.1974272513520293,0.17575801472574623,31663909197.200283,3667226014.5526624,8068900806.820668,2934591352.538198,72777.39021458956,5868192815.273298,800497118.0002637,0.19280994073860827,23595008390.379616,732634662.0144644,886544216.9065588,0,1407687.3952665124,8456044.347412478,835016983.7786714,0,11009474421.162094,0,2105756240.6905472,18490150943.27215,173218661.00055298,3880413130.392326,57861591102.11275,732634662.0144644,58594225764.12721,3115399572.8650384,8456044.347412478,3123855617.212451,-0,0,0,57861591102.11274,732634662.0144645,58594225764.127205
2031,4293900715.587193,1534079958.4390237,367638316.0855415,511359986.1463412,6706978976.258099,0.19462856556535252,0.17593592911678052,29625301091.604748,4582131310.07706,7697839523.612037,3590696181.081127,72777.39021458956,5827980674.0262165,878998302.2318827,0.1897081650784493,21927461567.99271,991435128.9959326,1050022639.2233369,0,0,10054327.06345498,1130950212.6597636,0,14672169056.744108,0,2070170713.4430344,17658820343.028347,178848267.48307094,3961552542.6455407,59270026149.63403,991435128.9959326,60261461278.62997,3379969193.585869,10054327.06345498,3390023520.649324,-0,-0,-0,59270026149.63404,991435128.9959332,60261461278.629974
2032,4212466209.1256814,1729502053.9371483,365904218.62834114,576500684.6457161,6884373166.336887,0.19326726635612582,0.1760467254121972,29448940303.219547,5416169460.751371,7377879034.739266,4103505307.4626093,72777.39021458956,5941968263.06283,942404903.2740571,0.18825496073383333,22071061268.48028,1312664153.288762,1230879637.315422,3275483.2085546153,0,11073494.559273336,1279669117.0350695,60833.27581419301,16426285746.769485,687101.1336585627,2029720130.9043658,16812241175.10688,184660836.17627075,4042315726.826521,60582783554.49859,1316626737.6309752,61899410292.12956,3494050084.115706,11134327.835087528,3505184411.9507933,0,0,0,60582783554.49858,1316626737.6309748,61899410292.129555
2033,4110352837.8233213,1935450762.7129598,363339515.87292105,645150254.2376533,7054293370.646855,0.19159825772866695,0.1761653759734127,28991477120.107853,6313270045.430067,7058065101.211525,4628767369.770544,72777.39021458956,6045803600.536282,1008489770.1105742,0.18665770974900447,21933412018.896328,1684502675.659523,1404771856.345618,10036874.642153239,0,11691251.756134216,1449793183.5317304,263130.96426821745,18416172608.36865,2819969.2194761364,1984366416.299698,15954294917.539345,190662313.35199955,4122488567.1718974,61831139968.32184,1697359519.5211525,63528499487.84299,3624821913.1834283,11954382.720402433,3636776295.9038305,0,0,0,61831139968.32183,1697359519.5211518,63528499487.84298
2034,4046304456.2542605,2134259752.7493336,362903560.2354872,711419917.5831112,7254887686.822192,0.19015723374823087,0.17627350936187333,28874663017.03703,7248266163.151656,6743419020.615665,5137527679.38881,72777.39021458956,6180564209.003594,1074323477.8185983,0.1853629345266644,22131243996.421364,2110738483.762846,1598551398.8254201,22521185.228296828,0,11622495.502722986,1595831619.7924874,614000.9988941249,20013807795.35026,6545853.127666134,1934130250.9207737,15089102426.093704,196858838.53593954,4201836462.636475,63034542079.327225,2139805522.118809,65174347601.44604,3726820709.249201,12236496.501617111,3739057205.750818,-0,-0,-0,63034542079.32722,2139805522.1188085,65174347601.44602
2035,4012713414.8378263,2327601647.2158732,364704570.83518046,775867215.7386245,7480886848.627504,0.1888649574493153,0.17636806214851808,28983752402.070354,8221104756.452682,6425794032.692465,5630660682.980436,72777.39021458956,6340315062.0536995,1140571786.5738049,0.18427720529464586,22557958369.37789,2590444073.472245,1214228124.5475247,39968879.30456743,0,11949296.637236027,1768854026.421554,1470379.8936380602,21902818146.324528,15553319.300010357,1879097147.089263,14220975141.552721,203256750.7883576,4280102754.844761,64176082536.647415,2645966272.0768228,66822048808.724236,3851207924.299175,13419676.530874087,3864627600.830049,-0,-0,-0,64176082536.647415,2645966272.076823,66822048808.724236
2036,3718464455.180011,2630985716.137932,351125248.26147133,876995238.7126439,7577570658.292058,0.18567402123821203,0.17651042563509173,27045344992.247726,9460044797.861038,6098461284.533217,6330674931.731329,72777.39021458956,6349450171.317943,1228120486.9741151,0.1818769540135283,20946883707.714508,3129369866.1297092,1377934619.2914658,62533636.78539215,0,12213649.676855482,2064873385.9107926,2562925.8372994685,25103399186.57956,27080525.84987778,1819434314.7824833,13354346161.254269,209862595.1889792,4357007044.23038,65139570719.070175,3218984028.7649794,68358554747.83515,4094170295.882255,14776575.51415495,4108946871.39641,-0,0,0,65139570719.07018,3218984028.7649775,68358554747.83516
2037,3647567427.5154386,2858019823.0320034,350859771.525244,952673274.3440012,7809120296.416687,0.18433376732388385,0.17659566388968384,26926658555.562084,10644534770.43393,5816635942.372313,6896999870.253964,72777.39021458956,6505587250.5474415,1303533045.869245,0.1809342812888984,21110022613.189774,3747534900.179965,1562171983.3076773,90997766.00797036,0,13109150.63429311,2203134419.737816,4105521.0493086916,26421001318.98513,43305029.41604743,1755397947.781241,12493689406.277063,216683129.53262103,4432243386.661194,66019128708.42084,3881837695.603983,69900966404.02483,4175215497.0516777,17214671.6836018,4192430168.7352796,0,-0,0,66019128708.42082,3881837695.603982,69900966404.02481
2038,3558964990.047052,3096563323.9055266,350127447.1351652,1032187774.6351756,8037843535.722919,0.18266330210418816,0.17668331918646685,26556903798.215958,11907598999.46868,5533980705.029448,7467994739.433148,72777.39021458956,6655528313.952579,1382315221.770341,0.17988104427173665,21022923093.18651,4439604260.035531,1748948462.7450297,125825729.42162034,0,13707627.407183157,2359390755.2497897,5858859.3808541875,27923547576.120384,61638253.022473305,1687325114.1858702,11643441482.311754,223725331.2424312,4505478362.325062,66844338976.688736,4627068242.479625,71471407219.16837,4270441200.678091,19566486.788037345,4290007687.4661283,-0,-0,-0,66844338976.68873,4627068242.479625,71471407219.16835
2039,3510853267.124614,3328397492.687088,351661573.8987637,1109465830.895696,8300378164.606161,0.18125137400442598,0.17676076174996805,26542428448.648777,13223224181.80969,5254665115.111227,8014134354.6405325,72777.39021458956,6839250759.811702,1461127404.7944596,0.179065967577132,21287763333.53755,5209089827.169158,1958922347.805403,168718865.31373227,0,13439785.48024864,2487488975.786402,8081031.958882517,29007929853.92524,84863390.9424461,1615612200.2567482,10807939861.369894,230996404.5078102,4576349008.09303,67638904404.731125,5462672083.425336,73101576488.15646,4334097580.550961,21520817.439131156,4355618397.990091,0,0,0,67638904404.73111,5462672083.425336,73101576488.15645
2040,3487596804.6450753,3558176553.2198915,354887206.6185934,1186058851.0732973,8586719415.556858,0.17999787328567318,0.1768253463969403,26744414096.695816,14595628986.045874,4970380699.229415,8543234795.582375,72777.39021458956,7045773357.864967,1540946057.6918907,0.17839571973678728,21774033397.4664,6052394190.463499,1519104827.7749124,220763983.47951892,0,13621327.246945731,2648158439.749847,11374220.398801845,30450725089.734264,118847467.64012155,1540697668.2601788,9991374163.821497,238503787.65431404,4644460603.980948,68379698082.77802,6392005641.583139,74771703724.36116,4427359895.66434,24995547.645747576,4452355443.310087,-0,0,0,68379698082.778015,6392005641.583139,74771703724.36116
2041,3313387004.40074,3851521204.7506595,347261931.5502776,1283840401.583553,8796010542.28523,0.17709099422452598,0.17691545028031946,25696584706.94154,16159876875.249363,4675636198.363762,9179902314.127235,72777.39021458956,7164908209.1514,1631102333.1338305,0.1769966299697804,21020948508.577778,6979974561.122128,1703403890.323327,281994697.4888906,0,13719828.913107492,2876051205.5031347,15218944.739179498,32372058560.38872,158537788.87048277,1463093902.3433268,9197702330.454212,246255160.75307924,4709384303.6945925,69003497593.43863,7420507047.481501,76424004640.92014,4585400268.599541,28938773.65228699,4614339042.251827,0,0,0,69003497593.43863,7420507047.481501,76424004640.92014
