lookup_type,age,lookup_value,term_rate
yos,18,0,0.275
yos,18,1,0.185
yos,18,2,0.1674999999999999
yos,18,3,0.16
yos,18,4,0.1575
yos,18,5,0.1175
yos,18,6,0.1124999999999999
yos,18,7,0.0775
yos,18,8,0.0574999999999999
yos,18,9,0.05
yos,18,10,0.0424999999999999
yos,18,11,0.0375
yos,18,12,0.0325
yos,18,13,0.0325
yos,18,14,0.0275
yos,18,15,0.0275
yos,18,16,0.025
yos,18,17,0.0225
yos,18,18,0.02
yos,18,19,0.02
yos,18,20,0.0175
yos,18,21,0.0139999999999999
yos,18,22,0.0139999999999999
yos,18,23,0.0115
yos,18,24,0.0115
yos,18,25,0.01
yos,18,26,0.01
yos,18,27,0.009
yos,18,28,0.0065
yos,18,29,0.005
yos,18,30,0.005
yos,18,31,0.005
yos,18,32,0.005
yos,18,33,0.005
yos,18,34,0.005
yos,18,35,0.005
yos,18,36,0.005
yos,18,37,0.005
yos,18,38,0.005
yos,18,39,0.005
yos,18,40,0.005
yos,18,41,0.005
yos,18,42,0.005
yos,18,43,0.005
yos,18,44,0.005
yos,18,45,0.005
yos,18,46,0.005
yos,18,47,0.005
yos,18,48,0.005
yos,18,49,0.005
yos,18,50,0.005
yos,18,51,0.005
yos,18,52,0.005
yos,18,53,0.005
yos,18,54,0.005
yos,18,55,0.005
yos,18,56,0.005
yos,18,57,0.005
yos,18,58,0.005
yos,18,59,0.005
yos,18,60,0.005
yos,18,61,0.005
yos,18,62,0.005
yos,18,63,0.005
yos,18,64,0.005
yos,18,65,0.005
yos,18,66,0.005
yos,18,67,0.005
yos,18,68,0.005
yos,18,69,0.005
yos,18,70,0.005
yos,19,0,0.275
yos,19,1,0.185
yos,19,2,0.1674999999999999
yos,19,3,0.16
yos,19,4,0.1575
yos,19,5,0.1175
yos,19,6,0.1124999999999999
yos,19,7,0.0775
yos,19,8,0.0574999999999999
yos,19,9,0.05
yos,19,10,0.0424999999999999
yos,19,11,0.0375
yos,19,12,0.0325
yos,19,13,0.0325
yos,19,14,0.0275
yos,19,15,0.0275
yos,19,16,0.025
yos,19,17,0.0225
yos,19,18,0.02
yos,19,19,0.02
yos,19,20,0.0175
yos,19,21,0.0139999999999999
yos,19,22,0.0139999999999999
yos,19,23,0.0115
yos,19,24,0.0115
yos,19,25,0.01
yos,19,26,0.01
yos,19,27,0.009
