age,tier,retire_type,retire_rate
52,tier_1,early,0.0
53,tier_1,early,0.05
54,tier_1,early,0.05
55,tier_1,early,0.05
56,tier_1,early,0.05
57,tier_1,early,0.05
58,tier_1,early,0.05
59,tier_1,early,0.05
60,tier_1,early,0.07
61,tier_1,early,0.09
62,tier_1,early,0.2
63,tier_1,early,0.14
64,tier_1,early,0.14
65,tier_1,early,0.2
66,tier_1,early,0.25
67,tier_1,early,0.25
68,tier_1,early,0.25
69,tier_1,early,0.25
70,tier_1,early,1.0
71,tier_1,early,1.0
72,tier_1,early,1.0
73,tier_1,early,1.0
74,tier_1,early,1.0
75,tier_1,early,1.0
76,tier_1,early,1.0
77,tier_1,early,1.0
78,tier_1,early,1.0
79,tier_1,early,1.0
80,tier_1,early,1.0
45,tier_1,normal,0.17
46,tier_1,normal,0.17
47,tier_1,normal,0.17
48,tier_1,normal,0.195
49,tier_1,normal,0.195
50,tier_1,normal,0.195
51,tier_1,normal,0.1999999999999999
52,tier_1,normal,0.3249999999999999
53,tier_1,normal,0.3025
54,tier_1,normal,0.31875
55,tier_1,normal,0.40625
56,tier_1,normal,0.12
57,tier_1,normal,0.12
58,tier_1,normal,0.12
59,tier_1,normal,0.12
60,tier_1,normal,0.12
61,tier_1,normal,0.12
62,tier_1,normal,0.12
63,tier_1,normal,0.12
64,tier_1,normal,0.12
65,tier_1,normal,0.12
66,tier_1,normal,0.12
67,tier_1,normal,0.12
68,tier_1,normal,0.12
69,tier_1,normal,0.12
70,tier_1,normal,1.0
71,tier_1,normal,1.0
72,tier_1,normal,1.0
73,tier_1,normal,1.0
74,tier_1,normal,1.0
75,tier_1,normal,1.0
76,tier_1,normal,1.0
77,tier_1,normal,1.0
78,tier_1,normal,1.0
79,tier_1,normal,1.0
80,tier_1,normal,1.0
55,tier_2,early,0.0
56,tier_2,early,0.05
57,tier_2,early,0.05
58,tier_2,early,0.05
59,tier_2,early,0.05
60,tier_2,early,0.07
61,tier_2,early,0.09
62,tier_2,early,0.2
63,tier_2,early,0.14
64,tier_2,early,0.14
65,tier_2,early,0.2
66,tier_2,early,0.25
67,tier_2,early,0.25
68,tier_2,early,0.25
69,tier_2,early,0.25
70,tier_2,early,1.0
71,tier_2,early,1.0
72,tier_2,early,1.0
73,tier_2,early,1.0
74,tier_2,early,1.0
75,tier_2,early,1.0
76,tier_2,early,1.0
77,tier_2,early,1.0
78,tier_2,early,1.0
79,tier_2,early,1.0
80,tier_2,early,1.0
45,tier_2,normal,0.105
46,tier_2,normal,0.105
47,tier_2,normal,0.105
48,tier_2,normal,0.13
49,tier_2,normal,0.13
50,tier_2,normal,0.2
51,tier_2,normal,0.205
52,tier_2,normal,0.205
53,tier_2,normal,0.205
54,tier_2,normal,0.205
55,tier_2,normal,0.345
56,tier_2,normal,0.16
57,tier_2,normal,0.16
58,tier_2,normal,0.16
59,tier_2,normal,0.16
60,tier_2,normal,0.205
61,tier_2,normal,0.12
62,tier_2,normal,0.12
63,tier_2,normal,0.12
64,tier_2,normal,0.12
65,tier_2,normal,0.12
66,tier_2,normal,0.12
67,tier_2,normal,0.12
68,tier_2,normal,0.12
69,tier_2,normal,0.12
70,tier_2,normal,1.0
71,tier_2,normal,1.0
72,tier_2,normal,1.0
73,tier_2,normal,1.0
74,tier_2,normal,1.0
75,tier_2,normal,1.0
76,tier_2,normal,1.0
77,tier_2,normal,1.0
78,tier_2,normal,1.0
79,tier_2,normal,1.0
80,tier_2,normal,1.0
